<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCPLN,D,20100719,000000,0.25736,0.25736,0.25736,0.25736,0,0
BTCPLN,D,20100720,000000,0.23821,0.23821,0.23821,0.23821,0,0
BTCPLN,D,20100721,000000,0.2534,0.2534,0.2534,0.2534,0,0
BTCPLN,D,20100722,000000,0.16,0.16,0.16,0.16,0,0
BTCPLN,D,20100723,000000,0.19802,0.19802,0.19802,0.19802,0,0
BTCPLN,D,20100726,000000,0.17337,0.17337,0.17337,0.17337,0,0
BTCPLN,D,20100727,000000,0.18495,0.18495,0.18495,0.18495,0,0
BTCPLN,D,20100728,000000,0.18115,0.18115,0.18115,0.18115,0,0
BTCPLN,D,20100729,000000,0.2141,0.2141,0.2141,0.2141,0,0
BTCPLN,D,20100730,000000,0.19232,0.19232,0.19232,0.19232,0,0
BTCPLN,D,20100802,000000,0.1812,0.1812,0.1812,0.1812,0,0
BTCPLN,D,20100803,000000,0.18138,0.18138,0.18138,0.18138,0,0
BTCPLN,D,20100804,000000,0.17248,0.17248,0.17248,0.17248,0,0
BTCPLN,D,20100805,000000,0.18471,0.18471,0.18471,0.18471,0,0
BTCPLN,D,20100806,000000,0.18732,0.18732,0.18732,0.18732,0,0
BTCPLN,D,20100809,000000,0.21265,0.21265,0.21265,0.21265,0,0
BTCPLN,D,20100810,000000,0.21276,0.21276,0.21276,0.21276,0,0
BTCPLN,D,20100811,000000,0.20807,0.20807,0.20807,0.20807,0,0
BTCPLN,D,20100812,000000,0.21776,0.21776,0.21776,0.21776,0,0
BTCPLN,D,20100813,000000,0.20125,0.20125,0.20125,0.20125,0,0
BTCPLN,D,20100816,000000,0.20277,0.20277,0.20277,0.20277,0,0
BTCPLN,D,20100817,000000,0.21444,0.21444,0.21444,0.21444,0,0
BTCPLN,D,20100818,000000,0.20755,0.20755,0.20755,0.20755,0,0
BTCPLN,D,20100819,000000,0.20605,0.20605,0.20605,0.20605,0,0
BTCPLN,D,20100820,000000,0.20472,0.20472,0.20472,0.20472,0,0
BTCPLN,D,20100823,000000,0.20537,0.20537,0.20537,0.20537,0,0
BTCPLN,D,20100824,000000,0.2055,0.2055,0.2055,0.2055,0,0
BTCPLN,D,20100825,000000,0.2046,0.2046,0.2046,0.2046,0,0
BTCPLN,D,20100826,000000,0.20056,0.20056,0.20056,0.20056,0,0
BTCPLN,D,20100827,000000,0.20229,0.20229,0.20229,0.20229,0,0
BTCPLN,D,20100830,000000,0.20453,0.20453,0.20453,0.20453,0,0
BTCPLN,D,20100831,000000,0.18875,0.18875,0.18875,0.18875,0,0
BTCPLN,D,20100901,000000,0.19496,0.19496,0.19496,0.19496,0,0
BTCPLN,D,20100902,000000,0.1961,0.1961,0.1961,0.1961,0,0
BTCPLN,D,20100903,000000,0.18574,0.18574,0.18574,0.18574,0,0
BTCPLN,D,20100906,000000,0.18765,0.18765,0.18765,0.18765,0,0
BTCPLN,D,20100907,000000,0.18884,0.18884,0.18884,0.18884,0,0
BTCPLN,D,20100908,000000,0.19143,0.19143,0.19143,0.19143,0,0
BTCPLN,D,20100909,000000,0.18958,0.18958,0.18958,0.18958,0,0
BTCPLN,D,20100910,000000,0.19139,0.19139,0.19139,0.19139,0,0
BTCPLN,D,20100913,000000,0.19005,0.19005,0.19005,0.19005,0,0
BTCPLN,D,20100914,000000,0.18688,0.18688,0.18688,0.18688,0,0
BTCPLN,D,20100915,000000,0.18296,0.18296,0.18296,0.18296,0,0
BTCPLN,D,20100916,000000,0.187,0.187,0.187,0.187,0,0
BTCPLN,D,20100917,000000,0.17886,0.17886,0.17886,0.17886,0,0
BTCPLN,D,20100920,000000,0.18701,0.18701,0.18701,0.18701,0,0
BTCPLN,D,20100921,000000,0.18856,0.18856,0.18856,0.18856,0,0
BTCPLN,D,20100922,000000,0.1836,0.1836,0.1836,0.1836,0,0
BTCPLN,D,20100923,000000,0.18494,0.18494,0.18494,0.18494,0,0
BTCPLN,D,20100924,000000,0.18242,0.18242,0.18242,0.18242,0,0
BTCPLN,D,20100927,000000,0.1823,0.1823,0.1823,0.1823,0,0
BTCPLN,D,20100928,000000,0.18089,0.18089,0.18089,0.18089,0,0
BTCPLN,D,20100929,000000,0.18042,0.18042,0.18042,0.18042,0,0
BTCPLN,D,20100930,000000,0.18035,0.18035,0.18035,0.18035,0,0
BTCPLN,D,20101001,000000,0.17742,0.17742,0.17742,0.17742,0,0
BTCPLN,D,20101004,000000,0.17749,0.17749,0.17749,0.17749,0,0
BTCPLN,D,20101005,000000,0.17527,0.17527,0.17527,0.17527,0,0
BTCPLN,D,20101006,000000,0.17862,0.17862,0.17862,0.17862,0,0
BTCPLN,D,20101007,000000,0.1921,0.1921,0.1921,0.1921,0,0
BTCPLN,D,20101008,000000,0.24717,0.24717,0.24717,0.24717,0,0
BTCPLN,D,20101011,000000,0.27033,0.27033,0.27033,0.27033,0,0
BTCPLN,D,20101012,000000,0.27068,0.27068,0.27068,0.27068,0,0
BTCPLN,D,20101013,000000,0.29366,0.29366,0.29366,0.29366,0,0
BTCPLN,D,20101014,000000,0.28333,0.28333,0.28333,0.28333,0,0
BTCPLN,D,20101015,000000,0.29227,0.29227,0.29227,0.29227,0,0
BTCPLN,D,20101018,000000,0.28702,0.28702,0.28702,0.28702,0,0
BTCPLN,D,20101019,000000,0.27816,0.27816,0.27816,0.27816,0,0
BTCPLN,D,20101020,000000,0.2802,0.2802,0.2802,0.2802,0,0
BTCPLN,D,20101021,000000,0.30451,0.30451,0.30451,0.30451,0,0
BTCPLN,D,20101022,000000,0.2917,0.2917,0.2917,0.2917,0,0
BTCPLN,D,20101025,000000,0.37157,0.37157,0.37157,0.37157,0,0
BTCPLN,D,20101026,000000,0.426,0.426,0.426,0.426,0,0
BTCPLN,D,20101027,000000,0.5403,0.5403,0.5403,0.5403,0,0
BTCPLN,D,20101028,000000,0.4942,0.4942,0.4942,0.4942,0,0
BTCPLN,D,20101029,000000,0.5408,0.5408,0.5408,0.5408,0,0
BTCPLN,D,20101101,000000,0.5576,0.5576,0.5576,0.5576,0,0
BTCPLN,D,20101102,000000,0.5446,0.5446,0.5446,0.5446,0,0
BTCPLN,D,20101103,000000,0.5398,0.5398,0.5398,0.5398,0,0
BTCPLN,D,20101104,000000,0.6326,0.6326,0.6326,0.6326,0,0
BTCPLN,D,20101105,000000,0.7244,0.7244,0.7244,0.7244,0,0
BTCPLN,D,20101108,000000,0.6852,0.6852,0.6852,0.6852,0,0
BTCPLN,D,20101109,000000,0.59,0.59,0.59,0.59,0,0
BTCPLN,D,20101110,000000,0.68,0.68,0.68,0.68,0,0
BTCPLN,D,20101111,000000,0.6415,0.6415,0.6415,0.6415,0,0
BTCPLN,D,20101112,000000,0.7738,0.7738,0.7738,0.7738,0,0
BTCPLN,D,20101115,000000,0.7727,0.7727,0.7727,0.7727,0,0
BTCPLN,D,20101116,000000,0.6556,0.6556,0.6556,0.6556,0,0
BTCPLN,D,20101117,000000,0.671,0.671,0.671,0.671,0,0
BTCPLN,D,20101118,000000,0.7742,0.7742,0.7742,0.7742,0,0
BTCPLN,D,20101119,000000,0.8077,0.8077,0.8077,0.8077,0,0
BTCPLN,D,20101122,000000,0.8378,0.8378,0.8378,0.8378,0,0
BTCPLN,D,20101123,000000,0.8388,0.8388,0.8388,0.8388,0,0
BTCPLN,D,20101124,000000,0.8371,0.8371,0.8371,0.8371,0,0
BTCPLN,D,20101125,000000,0.8326,0.8326,0.8326,0.8326,0,0
BTCPLN,D,20101126,000000,0.8656,0.8656,0.8656,0.8656,0,0
BTCPLN,D,20101129,000000,0.7203,0.7203,0.7203,0.7203,0,0
BTCPLN,D,20101130,000000,0.6421,0.6421,0.6421,0.6421,0,0
BTCPLN,D,20101201,000000,0.693,0.693,0.693,0.693,0,0
BTCPLN,D,20101202,000000,0.7704,0.7704,0.7704,0.7704,0,0
BTCPLN,D,20101203,000000,0.7475,0.7475,0.7475,0.7475,0,0
BTCPLN,D,20101206,000000,0.6146,0.6146,0.6146,0.6146,0,0
BTCPLN,D,20101207,000000,0.7041,0.7041,0.7041,0.7041,0,0
BTCPLN,D,20101208,000000,0.7286,0.7286,0.7286,0.7286,0,0
BTCPLN,D,20101209,000000,0.6102,0.6102,0.6102,0.6102,0,0
BTCPLN,D,20101210,000000,0.6216,0.6216,0.6216,0.6216,0,0
BTCPLN,D,20101213,000000,0.686,0.686,0.686,0.686,0,0
BTCPLN,D,20101214,000000,0.7331,0.7331,0.7331,0.7331,0,0
BTCPLN,D,20101215,000000,0.7151,0.7151,0.7151,0.7151,0,0
BTCPLN,D,20101216,000000,0.7517,0.7517,0.7517,0.7517,0,0
BTCPLN,D,20101217,000000,0.7269,0.7269,0.7269,0.7269,0,0
BTCPLN,D,20101220,000000,0.8129,0.8129,0.8129,0.8129,0,0
BTCPLN,D,20101221,000000,0.7309,0.7309,0.7309,0.7309,0,0
BTCPLN,D,20101222,000000,0.7611,0.7611,0.7611,0.7611,0,0
BTCPLN,D,20101223,000000,0.7551,0.7551,0.7551,0.7551,0,0
BTCPLN,D,20101224,000000,0.7495,0.7495,0.7495,0.7495,0,0
BTCPLN,D,20101227,000000,0.8037,0.8037,0.8037,0.8037,0,0
BTCPLN,D,20101228,000000,0.8542,0.8542,0.8542,0.8542,0,0
BTCPLN,D,20101229,000000,0.9014,0.9014,0.9014,0.9014,0,0
BTCPLN,D,20101230,000000,0.8969,0.8969,0.8969,0.8969,0,0
BTCPLN,D,20101231,000000,0.8874,0.8874,0.8874,0.8874,0,0
BTCPLN,D,20110103,000000,0.8703,0.8703,0.8703,0.8703,0,0
BTCPLN,D,20110104,000000,0.8797,0.8797,0.8797,0.8797,0,0
BTCPLN,D,20110105,000000,0.8786,0.8786,0.8786,0.8786,0,0
BTCPLN,D,20110106,000000,0.8821,0.8821,0.8821,0.8821,0,0
BTCPLN,D,20110107,000000,0.9602,0.9602,0.9602,0.9602,0,0
BTCPLN,D,20110110,000000,0.9832,0.9832,0.9832,0.9832,0,0
BTCPLN,D,20110111,000000,0.9693,0.9693,0.9693,0.9693,0,0
BTCPLN,D,20110112,000000,0.9355,0.9355,0.9355,0.9355,0,0
BTCPLN,D,20110113,000000,0.9195,0.9195,0.9195,0.9195,0,0
BTCPLN,D,20110114,000000,1.1602,1.1602,1.1602,1.1602,0,0
BTCPLN,D,20110117,000000,1.0168,1.0168,1.0168,1.0168,0,0
BTCPLN,D,20110118,000000,0.9064,0.9064,0.9064,0.9064,0,0
BTCPLN,D,20110119,000000,0.8988,0.8988,0.8988,0.8988,0,0
BTCPLN,D,20110120,000000,1.1296,1.1296,1.1296,1.1296,0,0
BTCPLN,D,20110121,000000,1.1978,1.1978,1.1978,1.1978,0,0
BTCPLN,D,20110124,000000,1.1929,1.1929,1.1929,1.1929,0,0
BTCPLN,D,20110125,000000,1.1643,1.1643,1.1643,1.1643,0,0
BTCPLN,D,20110126,000000,1.1827,1.1827,1.1827,1.1827,0,0
BTCPLN,D,20110127,000000,1.1984,1.1984,1.1984,1.1984,0,0
BTCPLN,D,20110128,000000,1.2919,1.2919,1.2919,1.2919,0,0
BTCPLN,D,20110131,000000,1.4912,1.4912,1.4912,1.4912,0,0
BTCPLN,D,20110201,000000,1.9739,1.9739,1.9739,1.9739,0,0
BTCPLN,D,20110202,000000,2.0282,2.0282,2.0282,2.0282,0,0
BTCPLN,D,20110203,000000,1.9735,1.9735,1.9735,1.9735,0,0
BTCPLN,D,20110204,000000,2.3228,2.3228,2.3228,2.3228,0,0
BTCPLN,D,20110207,000000,2.5473,2.5473,2.5473,2.5473,0,0
BTCPLN,D,20110208,000000,2.611,2.611,2.611,2.611,0,0
BTCPLN,D,20110209,000000,3.1059,3.1059,3.1059,3.1059,0,0
BTCPLN,D,20110210,000000,2.821,2.821,2.821,2.821,0,0
BTCPLN,D,20110211,000000,3.1011,3.1011,3.1011,3.1011,0,0
BTCPLN,D,20110214,000000,3.127,3.127,3.127,3.127,0,0
BTCPLN,D,20110215,000000,3.0468,3.0468,3.0468,3.0468,0,0
BTCPLN,D,20110216,000000,3.0187,3.0187,3.0187,3.0187,0,0
BTCPLN,D,20110217,000000,2.9856,2.9856,2.9856,2.9856,0,0
BTCPLN,D,20110218,000000,2.5712,2.5712,2.5712,2.5712,0,0
BTCPLN,D,20110221,000000,2.4064,2.4064,2.4064,2.4064,0,0
BTCPLN,D,20110222,000000,2.5252,2.5252,2.5252,2.5252,0,0
BTCPLN,D,20110223,000000,2.6088,2.6088,2.6088,2.6088,0,0
BTCPLN,D,20110224,000000,2.8846,2.8846,2.8846,2.8846,0,0
BTCPLN,D,20110225,000000,2.6343,2.6343,2.6343,2.6343,0,0
BTCPLN,D,20110228,000000,2.4675,2.4675,2.4675,2.4675,0,0
BTCPLN,D,20110301,000000,2.6505,2.6505,2.6505,2.6505,0,0
BTCPLN,D,20110302,000000,2.6916,2.6916,2.6916,2.6916,0,0
BTCPLN,D,20110303,000000,2.6888,2.6888,2.6888,2.6888,0,0
BTCPLN,D,20110304,000000,2.5633,2.5633,2.5633,2.5633,0,0
BTCPLN,D,20110307,000000,2.5166,2.5166,2.5166,2.5166,0,0
BTCPLN,D,20110308,000000,2.483,2.483,2.483,2.483,0,0
BTCPLN,D,20110309,000000,2.4772,2.4772,2.4772,2.4772,0,0
BTCPLN,D,20110310,000000,2.7086,2.7086,2.7086,2.7086,0,0
BTCPLN,D,20110311,000000,2.5429,2.5429,2.5429,2.5429,0,0
BTCPLN,D,20110314,000000,2.5816,2.5816,2.5816,2.5816,0,0
BTCPLN,D,20110315,000000,2.5232,2.5232,2.5232,2.5232,0,0
BTCPLN,D,20110316,000000,2.5396,2.5396,2.5396,2.5396,0,0
BTCPLN,D,20110317,000000,2.3952,2.3952,2.3952,2.3952,0,0
BTCPLN,D,20110318,000000,2.3476,2.3476,2.3476,2.3476,0,0
BTCPLN,D,20110321,000000,2.147,2.147,2.147,2.147,0,0
BTCPLN,D,20110322,000000,2.2965,2.2965,2.2965,2.2965,0,0
BTCPLN,D,20110323,000000,2.4271,2.4271,2.4271,2.4271,0,0
BTCPLN,D,20110324,000000,2.4569,2.4569,2.4569,2.4569,0,0
BTCPLN,D,20110325,000000,2.521,2.521,2.521,2.521,0,0
BTCPLN,D,20110328,000000,2.2632,2.2632,2.2632,2.2632,0,0
BTCPLN,D,20110329,000000,2.2481,2.2481,2.2481,2.2481,0,0
BTCPLN,D,20110330,000000,2.2466,2.2466,2.2466,2.2466,0,0
BTCPLN,D,20110331,000000,2.2272,2.2272,2.2272,2.2272,0,0
BTCPLN,D,20110401,000000,2.1897,2.1897,2.1897,2.1897,0,0
BTCPLN,D,20110404,000000,1.9249,1.9249,1.9249,1.9249,0,0
BTCPLN,D,20110405,000000,1.9959,1.9959,1.9959,1.9959,0,0
BTCPLN,D,20110406,000000,2.0521,2.0521,2.0521,2.0521,0,0
BTCPLN,D,20110407,000000,2.0929,2.0929,2.0929,2.0929,0,0
BTCPLN,D,20110408,000000,2.0584,2.0584,2.0584,2.0584,0,0
BTCPLN,D,20110411,000000,2.1171,2.1171,2.1171,2.1171,0,0
BTCPLN,D,20110412,000000,2.3667,2.3667,2.3667,2.3667,0,0
BTCPLN,D,20110413,000000,2.5337,2.5337,2.5337,2.5337,0,0
BTCPLN,D,20110414,000000,2.7229,2.7229,2.7229,2.7229,0,0
BTCPLN,D,20110415,000000,2.7079,2.7079,2.7079,2.7079,0,0
BTCPLN,D,20110418,000000,3.2581,3.2581,3.2581,3.2581,0,0
BTCPLN,D,20110419,000000,3.3218,3.3218,3.3218,3.3218,0,0
BTCPLN,D,20110420,000000,3.1288,3.1288,3.1288,3.1288,0,0
BTCPLN,D,20110421,000000,3.2758,3.2758,3.2758,3.2758,0,0
BTCPLN,D,20110422,000000,3.8252,3.8252,3.8252,3.8252,0,0
BTCPLN,D,20110425,000000,4.2204,4.2204,4.2204,4.2204,0,0
BTCPLN,D,20110426,000000,4.8335,4.8335,4.8335,4.8335,0,0
BTCPLN,D,20110427,000000,5.0836,5.0836,5.0836,5.0836,0,0
BTCPLN,D,20110428,000000,5.8842,5.8842,5.8842,5.8842,0,0
BTCPLN,D,20110429,000000,7.6401,7.6401,7.6401,7.6401,0,0
BTCPLN,D,20110502,000000,8.4445,8.4445,8.4445,8.4445,0,0
BTCPLN,D,20110503,000000,9.0413,9.0413,9.0413,9.0413,0,0
BTCPLN,D,20110504,000000,9.0667,9.0667,9.0667,9.0667,0,0
BTCPLN,D,20110505,000000,9.0544,9.0544,9.0544,9.0544,0,0
BTCPLN,D,20110506,000000,9.4465,9.4465,9.4465,9.4465,0,0
BTCPLN,D,20110509,000000,10.447,10.447,10.447,10.447,0,0
BTCPLN,D,20110510,000000,15.901,15.901,15.901,15.901,0,0
BTCPLN,D,20110511,000000,15.103,15.103,15.103,15.103,0,0
BTCPLN,D,20110512,000000,17.301,17.301,17.301,17.301,0,0
BTCPLN,D,20110513,000000,22.896,22.896,22.896,22.896,0,0
BTCPLN,D,20110516,000000,22.243,22.243,22.243,22.243,0,0
BTCPLN,D,20110517,000000,19.926,19.926,19.926,19.926,0,0
BTCPLN,D,20110518,000000,18.899,18.899,18.899,18.899,0,0
BTCPLN,D,20110519,000000,18.638,18.638,18.638,18.638,0,0
BTCPLN,D,20110520,000000,15.465,15.465,15.465,15.465,0,0
BTCPLN,D,20110523,000000,20.096,20.096,20.096,20.096,0,0
BTCPLN,D,20110524,000000,20.795,20.795,20.795,20.795,0,0
BTCPLN,D,20110525,000000,23.628,23.628,23.628,23.628,0,0
BTCPLN,D,20110526,000000,24.819,24.819,24.819,24.819,0,0
BTCPLN,D,20110527,000000,23.65,23.65,23.65,23.65,0,0
BTCPLN,D,20110530,000000,24.512,24.512,24.512,24.512,0,0
BTCPLN,D,20110531,000000,24.03,24.03,24.03,24.03,0,0
BTCPLN,D,20110601,000000,26.342,26.342,26.342,26.342,0,0
BTCPLN,D,20110602,000000,29.006,29.006,29.006,29.006,0,0
BTCPLN,D,20110603,000000,38.626,38.626,38.626,38.626,0,0
BTCPLN,D,20110606,000000,50.285,50.285,50.285,50.285,0,0
BTCPLN,D,20110607,000000,64.21,64.21,64.21,64.21,0,0
BTCPLN,D,20110608,000000,80.068,80.068,80.068,80.068,0,0
BTCPLN,D,20110609,000000,78.483,78.483,78.483,78.483,0,0
BTCPLN,D,20110610,000000,65.596,65.596,65.596,65.596,0,0
BTCPLN,D,20110613,000000,54.387,54.387,54.387,54.387,0,0
BTCPLN,D,20110614,000000,52.309,52.309,52.309,52.309,0,0
BTCPLN,D,20110615,000000,54.155,54.155,54.155,54.155,0,0
BTCPLN,D,20110616,000000,47.707,47.707,47.707,47.707,0,0
BTCPLN,D,20110617,000000,43.64,43.64,43.64,43.64,0,0
BTCPLN,D,20110620,000000,43.714,43.714,43.714,43.714,0,0
BTCPLN,D,20110621,000000,43.335,43.335,43.335,43.335,0,0
BTCPLN,D,20110622,000000,43.322,43.322,43.322,43.322,0,0
BTCPLN,D,20110623,000000,44.255,44.255,44.255,44.255,0,0
BTCPLN,D,20110624,000000,44.173,44.173,44.173,44.173,0,0
BTCPLN,D,20110627,000000,46.967,46.967,46.967,46.967,0,0
BTCPLN,D,20110628,000000,47.341,47.341,47.341,47.341,0,0
BTCPLN,D,20110629,000000,46.55,46.55,46.55,46.55,0,0
BTCPLN,D,20110630,000000,44.149,44.149,44.149,44.149,0,0
BTCPLN,D,20110701,000000,41.837,41.837,41.837,41.837,0,0
BTCPLN,D,20110704,000000,37.588,37.588,37.588,37.588,0,0
BTCPLN,D,20110705,000000,35.205,35.205,35.205,35.205,0,0
BTCPLN,D,20110706,000000,40.789,40.789,40.789,40.789,0,0
BTCPLN,D,20110707,000000,40.506,40.506,40.506,40.506,0,0
BTCPLN,D,20110708,000000,39.709,39.709,39.709,39.709,0,0
BTCPLN,D,20110711,000000,40.317,40.317,40.317,40.317,0,0
BTCPLN,D,20110712,000000,40.284,40.284,40.284,40.284,0,0
BTCPLN,D,20110713,000000,39.533,39.533,39.533,39.533,0,0
BTCPLN,D,20110714,000000,39.757,39.757,39.757,39.757,0,0
BTCPLN,D,20110715,000000,39.225,39.225,39.225,39.225,0,0
BTCPLN,D,20110718,000000,38.729,38.729,38.729,38.729,0,0
BTCPLN,D,20110719,000000,39.324,39.324,39.324,39.324,0,0
BTCPLN,D,20110720,000000,38.533,38.533,38.533,38.533,0,0
BTCPLN,D,20110721,000000,37.749,37.749,37.749,37.749,0,0
BTCPLN,D,20110722,000000,37.979,37.979,37.979,37.979,0,0
