<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCXDR,D,20100719,000000,0.05358,0.05358,0.05358,0.05358,0,0
BTCXDR,D,20100720,000000,0.04948,0.04948,0.04948,0.04948,0,0
BTCXDR,D,20100721,000000,0.0524,0.0524,0.0524,0.0524,0,0
BTCXDR,D,20100722,000000,0.0332,0.0332,0.0332,0.0332,0,0
BTCXDR,D,20100723,000000,0.04149,0.04149,0.04149,0.04149,0,0
BTCXDR,D,20100726,000000,0.03652,0.03652,0.03652,0.03652,0,0
BTCXDR,D,20100727,000000,0.03941,0.03941,0.03941,0.03941,0,0
BTCXDR,D,20100728,000000,0.03894,0.03894,0.03894,0.03894,0,0
BTCXDR,D,20100729,000000,0.04591,0.04591,0.04591,0.04591,0,0
BTCXDR,D,20100730,000000,0.04121,0.04121,0.04121,0.04121,0,0
BTCXDR,D,20100802,000000,0.03901,0.03901,0.03901,0.03901,0,0
BTCXDR,D,20100803,000000,0.03905,0.03905,0.03905,0.03905,0,0
BTCXDR,D,20100804,000000,0.03699,0.03699,0.03699,0.03699,0,0
BTCXDR,D,20100805,000000,0.03992,0.03992,0.03992,0.03992,0,0
BTCXDR,D,20100806,000000,0.04044,0.04044,0.04044,0.04044,0,0
BTCXDR,D,20100809,000000,0.04596,0.04596,0.04596,0.04596,0,0
BTCXDR,D,20100810,000000,0.04625,0.04625,0.04625,0.04625,0,0
BTCXDR,D,20100811,000000,0.04473,0.04473,0.04473,0.04473,0,0
BTCXDR,D,20100812,000000,0.04665,0.04665,0.04665,0.04665,0,0
BTCXDR,D,20100813,000000,0.04256,0.04256,0.04256,0.04256,0,0
BTCXDR,D,20100816,000000,0.04288,0.04288,0.04288,0.04288,0,0
BTCXDR,D,20100817,000000,0.04578,0.04578,0.04578,0.04578,0,0
BTCXDR,D,20100818,000000,0.04453,0.04453,0.04453,0.04453,0,0
BTCXDR,D,20100819,000000,0.04429,0.04429,0.04429,0.04429,0,0
BTCXDR,D,20100820,000000,0.04369,0.04369,0.04369,0.04369,0,0
BTCXDR,D,20100823,000000,0.04344,0.04344,0.04344,0.04344,0,0
BTCXDR,D,20100824,000000,0.04314,0.04314,0.04314,0.04314,0,0
BTCXDR,D,20100825,000000,0.04288,0.04288,0.04288,0.04288,0,0
BTCXDR,D,20100826,000000,0.04203,0.04203,0.04203,0.04203,0,0
BTCXDR,D,20100827,000000,0.04269,0.04269,0.04269,0.04269,0,0
BTCXDR,D,20100830,000000,0.04329,0.04329,0.04329,0.04329,0,0
BTCXDR,D,20100831,000000,0.03967,0.03967,0.03967,0.03967,0,0
BTCXDR,D,20100901,000000,0.04104,0.04104,0.04104,0.04104,0,0
BTCXDR,D,20100902,000000,0.04178,0.04178,0.04178,0.04178,0,0
BTCXDR,D,20100903,000000,0.03964,0.03964,0.03964,0.03964,0,0
BTCXDR,D,20100906,000000,0.04046,0.04046,0.04046,0.04046,0,0
BTCXDR,D,20100907,000000,0.0405,0.0405,0.0405,0.0405,0,0
BTCXDR,D,20100908,000000,0.04083,0.04083,0.04083,0.04083,0,0
BTCXDR,D,20100909,000000,0.04038,0.04038,0.04038,0.04038,0,0
BTCXDR,D,20100910,000000,0.04091,0.04091,0.04091,0.04091,0,0
BTCXDR,D,20100913,000000,0.04057,0.04057,0.04057,0.04057,0,0
BTCXDR,D,20100914,000000,0.03998,0.03998,0.03998,0.03998,0,0
BTCXDR,D,20100915,000000,0.03934,0.03934,0.03934,0.03934,0,0
BTCXDR,D,20100916,000000,0.04063,0.04063,0.04063,0.04063,0,0
BTCXDR,D,20100917,000000,0.03879,0.03879,0.03879,0.03879,0,0
BTCXDR,D,20100920,000000,0.04055,0.04055,0.04055,0.04055,0,0
BTCXDR,D,20100921,000000,0.04098,0.04098,0.04098,0.04098,0,0
BTCXDR,D,20100922,000000,0.04004,0.04004,0.04004,0.04004,0,0
BTCXDR,D,20100923,000000,0.04032,0.04032,0.04032,0.04032,0,0
BTCXDR,D,20100924,000000,0.03975,0.03975,0.03975,0.03975,0,0
BTCXDR,D,20100927,000000,0.04006,0.04006,0.04006,0.04006,0,0
BTCXDR,D,20100928,000000,0.03966,0.03966,0.03966,0.03966,0,0
BTCXDR,D,20100929,000000,0.03957,0.03957,0.03957,0.03957,0,0
BTCXDR,D,20100930,000000,0.03966,0.03966,0.03966,0.03966,0,0
BTCXDR,D,20101001,000000,0.03943,0.03943,0.03943,0.03943,0,0
BTCXDR,D,20101004,000000,0.03949,0.03949,0.03949,0.03949,0,0
BTCXDR,D,20101005,000000,0.03882,0.03882,0.03882,0.03882,0,0
BTCXDR,D,20101006,000000,0.04005,0.04005,0.04005,0.04005,0,0
BTCXDR,D,20101007,000000,0.04291,0.04291,0.04291,0.04291,0,0
BTCXDR,D,20101008,000000,0.05511,0.05511,0.05511,0.05511,0,0
BTCXDR,D,20101011,000000,0.06018,0.06018,0.06018,0.06018,0,0
BTCXDR,D,20101012,000000,0.06032,0.06032,0.06032,0.06032,0,0
BTCXDR,D,20101013,000000,0.06554,0.06554,0.06554,0.06554,0,0
BTCXDR,D,20101014,000000,0.06448,0.06448,0.06448,0.06448,0,0
BTCXDR,D,20101015,000000,0.06677,0.06677,0.06677,0.06677,0,0
BTCXDR,D,20101018,000000,0.06517,0.06517,0.06517,0.06517,0,0
BTCXDR,D,20101019,000000,0.06253,0.06253,0.06253,0.06253,0,0
BTCXDR,D,20101020,000000,0.06224,0.06224,0.06224,0.06224,0,0
BTCXDR,D,20101021,000000,0.0681,0.0681,0.0681,0.0681,0,0
BTCXDR,D,20101022,000000,0.06527,0.06527,0.06527,0.06527,0,0
BTCXDR,D,20101025,000000,0.08353,0.08353,0.08353,0.08353,0,0
BTCXDR,D,20101026,000000,0.09627,0.09627,0.09627,0.09627,0,0
BTCXDR,D,20101027,000000,0.12104,0.12104,0.12104,0.12104,0,0
BTCXDR,D,20101028,000000,0.10954,0.10954,0.10954,0.10954,0,0
BTCXDR,D,20101029,000000,0.11921,0.11921,0.11921,0.11921,0,0
BTCXDR,D,20101102,000000,0.12166,0.12166,0.12166,0.12166,0,0
BTCXDR,D,20101103,000000,0.12195,0.12195,0.12195,0.12195,0,0
BTCXDR,D,20101104,000000,0.1432,0.1432,0.1432,0.1432,0,0
BTCXDR,D,20101105,000000,0.16573,0.16573,0.16573,0.16573,0,0
BTCXDR,D,20101108,000000,0.15509,0.15509,0.15509,0.15509,0,0
BTCXDR,D,20101109,000000,0.13258,0.13258,0.13258,0.13258,0,0
BTCXDR,D,20101110,000000,0.15422,0.15422,0.15422,0.15422,0,0
BTCXDR,D,20101112,000000,0.17221,0.17221,0.17221,0.17221,0,0
BTCXDR,D,20101115,000000,0.17196,0.17196,0.17196,0.17196,0,0
BTCXDR,D,20101116,000000,0.14579,0.14579,0.14579,0.14579,0,0
BTCXDR,D,20101117,000000,0.14868,0.14868,0.14868,0.14868,0,0
BTCXDR,D,20101118,000000,0.17112,0.17112,0.17112,0.17112,0,0
BTCXDR,D,20101119,000000,0.17978,0.17978,0.17978,0.17978,0,0
BTCXDR,D,20101122,000000,0.18686,0.18686,0.18686,0.18686,0,0
BTCXDR,D,20101123,000000,0.1862,0.1862,0.1862,0.1862,0,0
BTCXDR,D,20101124,000000,0.18337,0.18337,0.18337,0.18337,0,0
BTCXDR,D,20101125,000000,0.1813,0.1813,0.1813,0.1813,0,0
BTCXDR,D,20101126,000000,0.18614,0.18614,0.18614,0.18614,0,0
BTCXDR,D,20101129,000000,0.15477,0.15477,0.15477,0.15477,0,0
BTCXDR,D,20101130,000000,0.13532,0.13532,0.13532,0.13532,0,0
BTCXDR,D,20101201,000000,0.14684,0.14684,0.14684,0.14684,0,0
BTCXDR,D,20101202,000000,0.16539,0.16539,0.16539,0.16539,0,0
