<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADMYR,D,19900108,000000,2.3246,2.3246,2.3246,2.3246,0,0
CADMYR,D,19900115,000000,2.3231,2.3231,2.3231,2.3231,0,0
CADMYR,D,19900122,000000,2.3262,2.3262,2.3262,2.3262,0,0
CADMYR,D,19900129,000000,2.2842,2.2842,2.2842,2.2842,0,0
CADMYR,D,19900205,000000,2.2672,2.2672,2.2672,2.2672,0,0
CADMYR,D,19900212,000000,2.2772,2.2772,2.2772,2.2772,0,0
CADMYR,D,19900219,000000,2.2522,2.2522,2.2522,2.2522,0,0
CADMYR,D,19900226,000000,2.2518,2.2518,2.2518,2.2518,0,0
CADMYR,D,19900305,000000,2.2645,2.2645,2.2645,2.2645,0,0
CADMYR,D,19900312,000000,2.281,2.281,2.281,2.281,0,0
CADMYR,D,19900319,000000,2.3082,2.3082,2.3082,2.3082,0,0
CADMYR,D,19900326,000000,2.305,2.305,2.305,2.305,0,0
CADMYR,D,19900402,000000,2.3247,2.3247,2.3247,2.3247,0,0
CADMYR,D,19900409,000000,2.34,2.34,2.34,2.34,0,0
CADMYR,D,19900417,000000,2.3524,2.3524,2.3524,2.3524,0,0
CADMYR,D,19900423,000000,2.3276,2.3276,2.3276,2.3276,0,0
CADMYR,D,19900430,000000,2.3397,2.3397,2.3397,2.3397,0,0
CADMYR,D,19900507,000000,2.3266,2.3266,2.3266,2.3266,0,0
CADMYR,D,19900514,000000,2.3175,2.3175,2.3175,2.3175,0,0
CADMYR,D,19900521,000000,2.299,2.299,2.299,2.299,0,0
CADMYR,D,19900528,000000,2.2888,2.2888,2.2888,2.2888,0,0
CADMYR,D,19900604,000000,2.2951,2.2951,2.2951,2.2951,0,0
CADMYR,D,19900611,000000,2.3009,2.3009,2.3009,2.3009,0,0
CADMYR,D,19900618,000000,2.3179,2.3179,2.3179,2.3179,0,0
CADMYR,D,19900625,000000,2.3132,2.3132,2.3132,2.3132,0,0
CADMYR,D,19900702,000000,2.295,2.295,2.295,2.295,0,0
CADMYR,D,19900709,000000,2.3269,2.3269,2.3269,2.3269,0,0
CADMYR,D,19900716,000000,2.3363,2.3363,2.3363,2.3363,0,0
CADMYR,D,19900723,000000,2.3351,2.3351,2.3351,2.3351,0,0
CADMYR,D,19900730,000000,2.3374,2.3374,2.3374,2.3374,0,0
CADMYR,D,19900806,000000,2.3386,2.3386,2.3386,2.3386,0,0
CADMYR,D,19900813,000000,2.3465,2.3465,2.3465,2.3465,0,0
CADMYR,D,19900820,000000,2.3491,2.3491,2.3491,2.3491,0,0
CADMYR,D,19900827,000000,2.3557,2.3557,2.3557,2.3557,0,0
CADMYR,D,19900903,000000,2.3567,2.3567,2.3567,2.3567,0,0
CADMYR,D,19900910,000000,2.3304,2.3304,2.3304,2.3304,0,0
CADMYR,D,19900917,000000,2.3173,2.3173,2.3173,2.3173,0,0
CADMYR,D,19900924,000000,2.3332,2.3332,2.3332,2.3332,0,0
CADMYR,D,19901001,000000,2.3479,2.3479,2.3479,2.3479,0,0
CADMYR,D,19901008,000000,2.3393,2.3393,2.3393,2.3393,0,0
CADMYR,D,19901010,000000,2.3445,2.3445,2.3445,2.3445,0,0
CADMYR,D,19901015,000000,2.3439,2.3439,2.3439,2.3439,0,0
CADMYR,D,19901022,000000,2.3306,2.3306,2.3306,2.3306,0,0
CADMYR,D,19901029,000000,2.3056,2.3056,2.3056,2.3056,0,0
CADMYR,D,19901105,000000,2.3206,2.3206,2.3206,2.3206,0,0
CADMYR,D,19901112,000000,2.3261,2.3261,2.3261,2.3261,0,0
CADMYR,D,19901119,000000,2.3122,2.3122,2.3122,2.3122,0,0
CADMYR,D,19901126,000000,2.3108,2.3108,2.3108,2.3108,0,0
CADMYR,D,19901203,000000,2.3172,2.3172,2.3172,2.3172,0,0
CADMYR,D,19901210,000000,2.3147,2.3147,2.3147,2.3147,0,0
CADMYR,D,19901217,000000,2.3288,2.3288,2.3288,2.3288,0,0
CADMYR,D,19901224,000000,2.341,2.341,2.341,2.341,0,0
CADMYR,D,19910102,000000,2.3349,2.3349,2.3349,2.3349,0,0
CADMYR,D,19910103,000000,2.3324,2.3324,2.3324,2.3324,0,0
CADMYR,D,19910104,000000,2.3409,2.3409,2.3409,2.3409,0,0
CADMYR,D,19910107,000000,2.3319,2.3319,2.3319,2.3319,0,0
CADMYR,D,19910108,000000,2.356,2.356,2.356,2.356,0,0
CADMYR,D,19910109,000000,2.3641,2.3641,2.3641,2.3641,0,0
CADMYR,D,19910110,000000,2.3666,2.3666,2.3666,2.3666,0,0
CADMYR,D,19910111,000000,2.3649,2.3649,2.3649,2.3649,0,0
CADMYR,D,19910114,000000,2.3633,2.3633,2.3633,2.3633,0,0
CADMYR,D,19910115,000000,2.3631,2.3631,2.3631,2.3631,0,0
CADMYR,D,19910116,000000,2.3763,2.3763,2.3763,2.3763,0,0
CADMYR,D,19910117,000000,2.3742,2.3742,2.3742,2.3742,0,0
CADMYR,D,19910118,000000,2.3577,2.3577,2.3577,2.3577,0,0
CADMYR,D,19910121,000000,2.3532,2.3532,2.3532,2.3532,0,0
CADMYR,D,19910122,000000,2.3453,2.3453,2.3453,2.3453,0,0
CADMYR,D,19910123,000000,2.3392,2.3392,2.3392,2.3392,0,0
CADMYR,D,19910124,000000,2.336,2.336,2.336,2.336,0,0
CADMYR,D,19910125,000000,2.3352,2.3352,2.3352,2.3352,0,0
CADMYR,D,19910128,000000,2.3238,2.3238,2.3238,2.3238,0,0
CADMYR,D,19910129,000000,2.3209,2.3209,2.3209,2.3209,0,0
CADMYR,D,19910130,000000,2.3283,2.3283,2.3283,2.3283,0,0
CADMYR,D,19910131,000000,2.3294,2.3294,2.3294,2.3294,0,0
CADMYR,D,19910201,000000,2.3179,2.3179,2.3179,2.3179,0,0
CADMYR,D,19910204,000000,2.3204,2.3204,2.3204,2.3204,0,0
CADMYR,D,19910205,000000,2.3226,2.3226,2.3226,2.3226,0,0
CADMYR,D,19910206,000000,2.3213,2.3213,2.3213,2.3213,0,0
CADMYR,D,19910207,000000,2.3204,2.3204,2.3204,2.3204,0,0
CADMYR,D,19910208,000000,2.3245,2.3245,2.3245,2.3245,0,0
CADMYR,D,19910211,000000,2.3196,2.3196,2.3196,2.3196,0,0
CADMYR,D,19910212,000000,2.322,2.322,2.322,2.322,0,0
CADMYR,D,19910213,000000,2.3306,2.3306,2.3306,2.3306,0,0
CADMYR,D,19910214,000000,2.3326,2.3326,2.3326,2.3326,0,0
CADMYR,D,19910215,000000,2.327,2.327,2.327,2.327,0,0
CADMYR,D,19910218,000000,2.3326,2.3326,2.3326,2.3326,0,0
CADMYR,D,19910219,000000,2.3363,2.3363,2.3363,2.3363,0,0
CADMYR,D,19910220,000000,2.3399,2.3399,2.3399,2.3399,0,0
CADMYR,D,19910221,000000,2.3388,2.3388,2.3388,2.3388,0,0
CADMYR,D,19910222,000000,2.3409,2.3409,2.3409,2.3409,0,0
CADMYR,D,19910225,000000,2.3528,2.3528,2.3528,2.3528,0,0
CADMYR,D,19910226,000000,2.3512,2.3512,2.3512,2.3512,0,0
CADMYR,D,19910227,000000,2.3592,2.3592,2.3592,2.3592,0,0
CADMYR,D,19910228,000000,2.3605,2.3605,2.3605,2.3605,0,0
CADMYR,D,19910301,000000,2.3666,2.3666,2.3666,2.3666,0,0
CADMYR,D,19910304,000000,2.3689,2.3689,2.3689,2.3689,0,0
CADMYR,D,19910305,000000,2.359,2.359,2.359,2.359,0,0
CADMYR,D,19910306,000000,2.3638,2.3638,2.3638,2.3638,0,0
CADMYR,D,19910307,000000,2.3554,2.3554,2.3554,2.3554,0,0
CADMYR,D,19910308,000000,2.3558,2.3558,2.3558,2.3558,0,0
CADMYR,D,19910311,000000,2.3566,2.3566,2.3566,2.3566,0,0
CADMYR,D,19910312,000000,2.3524,2.3524,2.3524,2.3524,0,0
CADMYR,D,19910313,000000,2.3655,2.3655,2.3655,2.3655,0,0
CADMYR,D,19910314,000000,2.367,2.367,2.367,2.367,0,0
CADMYR,D,19910315,000000,2.3699,2.3699,2.3699,2.3699,0,0
CADMYR,D,19910318,000000,2.3769,2.3769,2.3769,2.3769,0,0
CADMYR,D,19910319,000000,2.3747,2.3747,2.3747,2.3747,0,0
CADMYR,D,19910320,000000,2.3789,2.3789,2.3789,2.3789,0,0
CADMYR,D,19910321,000000,2.3699,2.3699,2.3699,2.3699,0,0
CADMYR,D,19910322,000000,2.3703,2.3703,2.3703,2.3703,0,0
CADMYR,D,19910325,000000,2.3735,2.3735,2.3735,2.3735,0,0
CADMYR,D,19910326,000000,2.3809,2.3809,2.3809,2.3809,0,0
CADMYR,D,19910327,000000,2.378,2.378,2.378,2.378,0,0
CADMYR,D,19910328,000000,2.3966,2.3966,2.3966,2.3966,0,0
CADMYR,D,19910329,000000,2.3825,2.3825,2.3825,2.3825,0,0
CADMYR,D,19910402,000000,2.3765,2.3765,2.3765,2.3765,0,0
CADMYR,D,19910403,000000,2.375,2.375,2.375,2.375,0,0
