<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADXAU,D,19840109,000000,0.0021691,0.0021691,0.0021691,0.0021691,0,0
CADXAU,D,19840116,000000,0.0021568,0.0021568,0.0021568,0.0021568,0,0
CADXAU,D,19840123,000000,0.0021835,0.0021835,0.0021835,0.0021835,0,0
CADXAU,D,19840130,000000,0.0021371,0.0021371,0.0021371,0.0021371,0,0
CADXAU,D,19840206,000000,0.0020695,0.0020695,0.0020695,0.0020695,0,0
CADXAU,D,19840213,000000,0.0020924,0.0020924,0.0020924,0.0020924,0,0
CADXAU,D,19840220,000000,0.0021055,0.0021055,0.0021055,0.0021055,0,0
CADXAU,D,19840301,000000,0.0020152,0.0020152,0.0020152,0.0020152,0,0
CADXAU,D,19840305,000000,0.001961,0.001961,0.001961,0.001961,0,0
CADXAU,D,19840312,000000,0.0020092,0.0020092,0.0020092,0.0020092,0,0
CADXAU,D,19840319,000000,0.0020036,0.0020036,0.0020036,0.0020036,0,0
CADXAU,D,19840326,000000,0.002025,0.002025,0.002025,0.002025,0,0
CADXAU,D,19840402,000000,0.0020242,0.0020242,0.0020242,0.0020242,0,0
CADXAU,D,19840409,000000,0.0020243,0.0020243,0.0020243,0.0020243,0,0
CADXAU,D,19840416,000000,0.0020415,0.0020415,0.0020415,0.0020415,0,0
CADXAU,D,19840424,000000,0.0020174,0.0020174,0.0020174,0.0020174,0,0
CADXAU,D,19840502,000000,0.0020542,0.0020542,0.0020542,0.0020542,0,0
CADXAU,D,19840507,000000,0.0020609,0.0020609,0.0020609,0.0020609,0,0
CADXAU,D,19840514,000000,0.0020636,0.0020636,0.0020636,0.0020636,0,0
CADXAU,D,19840521,000000,0.0020354,0.0020354,0.0020354,0.0020354,0,0
CADXAU,D,19840528,000000,0.0020335,0.0020335,0.0020335,0.0020335,0,0
CADXAU,D,19840604,000000,0.0019192,0.0019192,0.0019192,0.0019192,0,0
CADXAU,D,19840611,000000,0.0020363,0.0020363,0.0020363,0.0020363,0,0
CADXAU,D,19840618,000000,0.0020402,0.0020402,0.0020402,0.0020402,0,0
CADXAU,D,19840625,000000,0.0020681,0.0020681,0.0020681,0.0020681,0,0
CADXAU,D,19840702,000000,0.0020297,0.0020297,0.0020297,0.0020297,0,0
CADXAU,D,19840709,000000,0.0021706,0.0021706,0.0021706,0.0021706,0,0
CADXAU,D,19840716,000000,0.0021604,0.0021604,0.0021604,0.0021604,0,0
CADXAU,D,19840723,000000,0.0022184,0.0022184,0.0022184,0.0022184,0,0
CADXAU,D,19840730,000000,0.0021325,0.0021325,0.0021325,0.0021325,0,0
CADXAU,D,19840806,000000,0.0021117,0.0021117,0.0021117,0.0021117,0,0
CADXAU,D,19840813,000000,0.0021122,0.0021122,0.0021122,0.0021122,0,0
CADXAU,D,19840820,000000,0.0021665,0.0021665,0.0021665,0.0021665,0,0
CADXAU,D,19840827,000000,0.002142,0.002142,0.002142,0.002142,0,0
CADXAU,D,19840901,000000,0.0021475,0.0021475,0.0021475,0.0021475,0,0
CADXAU,D,19840910,000000,0.0022171,0.0022171,0.0022171,0.0022171,0,0
CADXAU,D,19840917,000000,0.0022079,0.0022079,0.0022079,0.0022079,0,0
CADXAU,D,19840924,000000,0.002155,0.002155,0.002155,0.002155,0,0
CADXAU,D,19841001,000000,0.0021586,0.0021586,0.0021586,0.0021586,0,0
CADXAU,D,19841008,000000,0.0021928,0.0021928,0.0021928,0.0021928,0,0
CADXAU,D,19841015,000000,0.0021924,0.0021924,0.0021924,0.0021924,0,0
CADXAU,D,19841022,000000,0.0022029,0.0022029,0.0022029,0.0022029,0,0
CADXAU,D,19841029,000000,0.0022422,0.0022422,0.0022422,0.0022422,0,0
CADXAU,D,19841105,000000,0.0021638,0.0021638,0.0021638,0.0021638,0,0
CADXAU,D,19841112,000000,0.0021856,0.0021856,0.0021856,0.0021856,0,0
CADXAU,D,19841119,000000,0.0022126,0.0022126,0.0022126,0.0022126,0,0
CADXAU,D,19841126,000000,0.0022856,0.0022856,0.0022856,0.0022856,0,0
CADXAU,D,19841201,000000,0.0022787,0.0022787,0.0022787,0.0022787,0,0
CADXAU,D,19841210,000000,0.0022976,0.0022976,0.0022976,0.0022976,0,0
CADXAU,D,19841217,000000,0.002393,0.002393,0.002393,0.002393,0,0
CADXAU,D,19841224,000000,0.0023947,0.0023947,0.0023947,0.0023947,0,0
CADXAU,D,19850101,000000,0.0023996,0.0023996,0.0023996,0.0023996,0,0
CADXAU,D,19850107,000000,0.0024864,0.0024864,0.0024864,0.0024864,0,0
CADXAU,D,19850114,000000,0.0025044,0.0025044,0.0025044,0.0025044,0,0
CADXAU,D,19850121,000000,0.0024569,0.0024569,0.0024569,0.0024569,0,0
CADXAU,D,19850128,000000,0.0024714,0.0024714,0.0024714,0.0024714,0,0
CADXAU,D,19850204,000000,0.0024709,0.0024709,0.0024709,0.0024709,0,0
CADXAU,D,19850211,000000,0.0024365,0.0024365,0.0024365,0.0024365,0,0
CADXAU,D,19850218,000000,0.0024257,0.0024257,0.0024257,0.0024257,0,0
CADXAU,D,19850225,000000,0.0026274,0.0026274,0.0026274,0.0026274,0,0
CADXAU,D,19850304,000000,0.0024843,0.0024843,0.0024843,0.0024843,0,0
CADXAU,D,19850311,000000,0.002445,0.002445,0.002445,0.002445,0,0
CADXAU,D,19850318,000000,0.0023754,0.0023754,0.0023754,0.0023754,0,0
CADXAU,D,19850325,000000,0.0022693,0.0022693,0.0022693,0.0022693,0,0
CADXAU,D,19850329,000000,0.0021884,0.0021884,0.0021884,0.0021884,0,0
CADXAU,D,19850401,000000,0.0022664,0.0022664,0.0022664,0.0022664,0,0
CADXAU,D,19850409,000000,0.0022319,0.0022319,0.0022319,0.0022319,0,0
CADXAU,D,19850415,000000,0.0021833,0.0021833,0.0021833,0.0021833,0,0
CADXAU,D,19850422,000000,0.0022103,0.0022103,0.0022103,0.0022103,0,0
CADXAU,D,19850429,000000,0.0022535,0.0022535,0.0022535,0.0022535,0,0
CADXAU,D,19850506,000000,0.0023562,0.0023562,0.0023562,0.0023562,0,0
CADXAU,D,19850513,000000,0.0022088,0.0022088,0.0022088,0.0022088,0,0
CADXAU,D,19850520,000000,0.0023239,0.0023239,0.0023239,0.0023239,0,0
CADXAU,D,19850527,000000,0.0023298,0.0023298,0.0023298,0.0023298,0,0
CADXAU,D,19850601,000000,0.0023152,0.0023152,0.0023152,0.0023152,0,0
CADXAU,D,19850610,000000,0.002299,0.002299,0.002299,0.002299,0,0
CADXAU,D,19850617,000000,0.0022638,0.0022638,0.0022638,0.0022638,0,0
CADXAU,D,19850624,000000,0.0022979,0.0022979,0.0022979,0.0022979,0,0
CADXAU,D,19850701,000000,0.0023651,0.0023651,0.0023651,0.0023651,0,0
CADXAU,D,19850708,000000,0.0023257,0.0023257,0.0023257,0.0023257,0,0
CADXAU,D,19850715,000000,0.0023133,0.0023133,0.0023133,0.0023133,0,0
CADXAU,D,19850723,000000,0.0023259,0.0023259,0.0023259,0.0023259,0,0
CADXAU,D,19850729,000000,0.0022944,0.0022944,0.0022944,0.0022944,0,0
CADXAU,D,19850805,000000,0.0022368,0.0022368,0.0022368,0.0022368,0,0
CADXAU,D,19850812,000000,0.0021932,0.0021932,0.0021932,0.0021932,0,0
CADXAU,D,19850819,000000,0.0021307,0.0021307,0.0021307,0.0021307,0,0
CADXAU,D,19850826,000000,0.002147,0.002147,0.002147,0.002147,0,0
CADXAU,D,19850902,000000,0.0021459,0.0021459,0.0021459,0.0021459,0,0
CADXAU,D,19850909,000000,0.0022432,0.0022432,0.0022432,0.0022432,0,0
CADXAU,D,19850916,000000,0.0022494,0.0022494,0.0022494,0.0022494,0,0
CADXAU,D,19850923,000000,0.002176,0.002176,0.002176,0.002176,0,0
CADXAU,D,19850930,000000,0.0022366,0.0022366,0.0022366,0.0022366,0,0
CADXAU,D,19851007,000000,0.0022024,0.0022024,0.0022024,0.0022024,0,0
CADXAU,D,19851014,000000,0.0022256,0.0022256,0.0022256,0.0022256,0,0
CADXAU,D,19851021,000000,0.0022125,0.0022125,0.0022125,0.0022125,0,0
CADXAU,D,19851028,000000,0.0022325,0.0022325,0.0022325,0.0022325,0,0
CADXAU,D,19851104,000000,0.0022401,0.0022401,0.0022401,0.0022401,0,0
CADXAU,D,19851111,000000,0.0022385,0.0022385,0.0022385,0.0022385,0,0
CADXAU,D,19851118,000000,0.0022349,0.0022349,0.0022349,0.0022349,0,0
CADXAU,D,19851125,000000,0.0021771,0.0021771,0.0021771,0.0021771,0,0
CADXAU,D,19851202,000000,0.0022194,0.0022194,0.0022194,0.0022194,0,0
CADXAU,D,19851209,000000,0.0022453,0.0022453,0.0022453,0.0022453,0,0
CADXAU,D,19851216,000000,0.0022042,0.0022042,0.0022042,0.0022042,0,0
CADXAU,D,19851223,000000,0.0021799,0.0021799,0.0021799,0.0021799,0,0
CADXAU,D,19860101,000000,0.0021797,0.0021797,0.0021797,0.0021797,0,0
CADXAU,D,19860106,000000,0.002162,0.002162,0.002162,0.002162,0,0
CADXAU,D,19860113,000000,0.0020769,0.0020769,0.0020769,0.0020769,0,0
CADXAU,D,19860120,000000,0.0020169,0.0020169,0.0020169,0.0020169,0,0
CADXAU,D,19860127,000000,0.0020147,0.0020147,0.0020147,0.0020147,0,0
