<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFIDR,D,19931025,000000,1431.1,1431.1,1431.1,1431.1,0,0
CHFIDR,D,19931026,000000,1422.6,1422.6,1422.6,1422.6,0,0
CHFIDR,D,19931027,000000,1415.5,1415.5,1415.5,1415.5,0,0
CHFIDR,D,19931028,000000,1423.4,1423.4,1423.4,1423.4,0,0
CHFIDR,D,19931029,000000,1416.7,1416.7,1416.7,1416.7,0,0
CHFIDR,D,19931102,000000,1419.6,1419.6,1419.6,1419.6,0,0
CHFIDR,D,19931103,000000,1393.3,1393.3,1393.3,1393.3,0,0
CHFIDR,D,19931104,000000,1397.9,1397.9,1397.9,1397.9,0,0
CHFIDR,D,19931105,000000,1398.9,1398.9,1398.9,1398.9,0,0
CHFIDR,D,19931108,000000,1395.3,1395.3,1395.3,1395.3,0,0
CHFIDR,D,19931109,000000,1404.4,1404.4,1404.4,1404.4,0,0
CHFIDR,D,19931110,000000,1409.5,1409.5,1409.5,1409.5,0,0
CHFIDR,D,19931112,000000,1402.4,1402.4,1402.4,1402.4,0,0
CHFIDR,D,19931115,000000,1388.6,1388.6,1388.6,1388.6,0,0
CHFIDR,D,19931116,000000,1403.3,1403.3,1403.3,1403.3,0,0
CHFIDR,D,19931117,000000,1401,1401,1401,1401,0,0
CHFIDR,D,19931118,000000,1391,1391,1391,1391,0,0
CHFIDR,D,19931119,000000,1399.3,1399.3,1399.3,1399.3,0,0
CHFIDR,D,19931122,000000,1398.2,1398.2,1398.2,1398.2,0,0
CHFIDR,D,19931123,000000,1403.1,1403.1,1403.1,1403.1,0,0
CHFIDR,D,19931124,000000,1402.5,1402.5,1402.5,1402.5,0,0
CHFIDR,D,19931125,000000,1407.2,1407.2,1407.2,1407.2,0,0
CHFIDR,D,19931126,000000,1402.4,1402.4,1402.4,1402.4,0,0
CHFIDR,D,19931129,000000,1398.5,1398.5,1398.5,1398.5,0,0
CHFIDR,D,19931130,000000,1401.3,1401.3,1401.3,1401.3,0,0
CHFIDR,D,19931201,000000,1409.8,1409.8,1409.8,1409.8,0,0
CHFIDR,D,19931202,000000,1400.8,1400.8,1400.8,1400.8,0,0
CHFIDR,D,19931203,000000,1405.1,1405.1,1405.1,1405.1,0,0
CHFIDR,D,19931206,000000,1405,1405,1405,1405,0,0
CHFIDR,D,19931207,000000,1426.7,1426.7,1426.7,1426.7,0,0
CHFIDR,D,19931208,000000,1436.9,1436.9,1436.9,1436.9,0,0
CHFIDR,D,19931209,000000,1431.2,1431.2,1431.2,1431.2,0,0
CHFIDR,D,19931210,000000,1431.4,1431.4,1431.4,1431.4,0,0
