<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFXPD,D,19840109,000000,0.0031463,0.0031463,0.0031463,0.0031463,0,0
CHFXPD,D,19840116,000000,0.0028912,0.0028912,0.0028912,0.0028912,0,0
CHFXPD,D,19840123,000000,0.0029538,0.0029538,0.0029538,0.0029538,0,0
CHFXPD,D,19840130,000000,0.0028224,0.0028224,0.0028224,0.0028224,0,0
CHFXPD,D,19840206,000000,0.0028519,0.0028519,0.0028519,0.0028519,0,0
CHFXPD,D,19840213,000000,0.0028513,0.0028513,0.0028513,0.0028513,0,0
CHFXPD,D,19840220,000000,0.0028647,0.0028647,0.0028647,0.0028647,0,0
CHFXPD,D,19840301,000000,0.0028968,0.0028968,0.0028968,0.0028968,0,0
CHFXPD,D,19840305,000000,0.0028477,0.0028477,0.0028477,0.0028477,0,0
CHFXPD,D,19840312,000000,0.0029873,0.0029873,0.0029873,0.0029873,0,0
CHFXPD,D,19840319,000000,0.0030008,0.0030008,0.0030008,0.0030008,0,0
CHFXPD,D,19840326,000000,0.0028646,0.0028646,0.0028646,0.0028646,0,0
CHFXPD,D,19840402,000000,0.0029359,0.0029359,0.0029359,0.0029359,0,0
CHFXPD,D,19840409,000000,0.0029088,0.0029088,0.0029088,0.0029088,0,0
CHFXPD,D,19840416,000000,0.0029085,0.0029085,0.0029085,0.0029085,0,0
CHFXPD,D,19840424,000000,0.0027681,0.0027681,0.0027681,0.0027681,0,0
CHFXPD,D,19840502,000000,0.002865,0.002865,0.002865,0.002865,0,0
CHFXPD,D,19840507,000000,0.0029204,0.0029204,0.0029204,0.0029204,0,0
CHFXPD,D,19840514,000000,0.0028641,0.0028641,0.0028641,0.0028641,0,0
CHFXPD,D,19840521,000000,0.0028407,0.0028407,0.0028407,0.0028407,0,0
CHFXPD,D,19840528,000000,0.00285,0.00285,0.00285,0.00285,0,0
CHFXPD,D,19840604,000000,0.0028542,0.0028542,0.0028542,0.0028542,0,0
CHFXPD,D,19840611,000000,0.0030193,0.0030193,0.0030193,0.0030193,0,0
CHFXPD,D,19840618,000000,0.002908,0.002908,0.002908,0.002908,0,0
