<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPARS,D,19960806,000000,0.0023135,0.0023135,0.0023135,0.0023135,0,0
CLPARS,D,19960807,000000,0.0023118,0.0023118,0.0023118,0.0023118,0,0
CLPARS,D,19960808,000000,0.0023218,0.0023218,0.0023218,0.0023218,0,0
CLPARS,D,19960809,000000,0.0023193,0.0023193,0.0023193,0.0023193,0,0
CLPARS,D,19960812,000000,0.0023197,0.0023197,0.0023197,0.0023197,0,0
CLPARS,D,19960813,000000,0.0023236,0.0023236,0.0023236,0.0023236,0,0
CLPARS,D,19960814,000000,0.0023188,0.0023188,0.0023188,0.0023188,0,0
CLPARS,D,19960816,000000,0.0023159,0.0023159,0.0023159,0.0023159,0,0
CLPARS,D,19960819,000000,0.0023239,0.0023239,0.0023239,0.0023239,0,0
CLPARS,D,19960820,000000,0.0023214,0.0023214,0.0023214,0.0023214,0,0
CLPARS,D,19960821,000000,0.0023202,0.0023202,0.0023202,0.0023202,0,0
CLPARS,D,19960822,000000,0.002323,0.002323,0.002323,0.002323,0,0
CLPARS,D,19960823,000000,0.0023251,0.0023251,0.0023251,0.0023251,0,0
CLPARS,D,19960826,000000,0.0023203,0.0023203,0.0023203,0.0023203,0,0
CLPARS,D,19960827,000000,0.0023178,0.0023178,0.0023178,0.0023178,0,0
CLPARS,D,19960828,000000,0.0023203,0.0023203,0.0023203,0.0023203,0,0
CLPARS,D,19960829,000000,0.0023197,0.0023197,0.0023197,0.0023197,0,0
CLPARS,D,19960830,000000,0.0023177,0.0023177,0.0023177,0.0023177,0,0
CLPARS,D,19960902,000000,0.002313,0.002313,0.002313,0.002313,0,0
CLPARS,D,19960903,000000,0.0023118,0.0023118,0.0023118,0.0023118,0,0
CLPARS,D,19960904,000000,0.0023125,0.0023125,0.0023125,0.0023125,0,0
CLPARS,D,19960905,000000,0.0023107,0.0023107,0.0023107,0.0023107,0,0
CLPARS,D,19960906,000000,0.002306,0.002306,0.002306,0.002306,0,0
CLPARS,D,19960909,000000,0.0023081,0.0023081,0.0023081,0.0023081,0,0
CLPARS,D,19960910,000000,0.0023052,0.0023052,0.0023052,0.0023052,0,0
CLPARS,D,19960911,000000,0.0023097,0.0023097,0.0023097,0.0023097,0,0
CLPARS,D,19960912,000000,0.002311,0.002311,0.002311,0.002311,0,0
CLPARS,D,19960913,000000,0.0023124,0.0023124,0.0023124,0.0023124,0,0
CLPARS,D,19960916,000000,0.0023173,0.0023173,0.0023173,0.0023173,0,0
CLPARS,D,19960917,000000,0.0023108,0.0023108,0.0023108,0.0023108,0,0
CLPARS,D,19960918,000000,0.0023166,0.0023166,0.0023166,0.0023166,0,0
CLPARS,D,19960919,000000,0.0023107,0.0023107,0.0023107,0.0023107,0,0
CLPARS,D,19960920,000000,0.0023149,0.0023149,0.0023149,0.0023149,0,0
CLPARS,D,19960923,000000,0.0023155,0.0023155,0.0023155,0.0023155,0,0
CLPARS,D,19960924,000000,0.0023203,0.0023203,0.0023203,0.0023203,0,0
CLPARS,D,19960925,000000,0.0023067,0.0023067,0.0023067,0.0023067,0,0
CLPARS,D,19960926,000000,0.0023098,0.0023098,0.0023098,0.0023098,0,0
CLPARS,D,19960927,000000,0.0023057,0.0023057,0.0023057,0.0023057,0,0
CLPARS,D,19960930,000000,0.0023081,0.0023081,0.0023081,0.0023081,0,0
CLPARS,D,19961001,000000,0.0023034,0.0023034,0.0023034,0.0023034,0,0
CLPARS,D,19961002,000000,0.0022958,0.0022958,0.0022958,0.0022958,0,0
CLPARS,D,19961003,000000,0.0023037,0.0023037,0.0023037,0.0023037,0,0
CLPARS,D,19961004,000000,0.0023011,0.0023011,0.0023011,0.0023011,0,0
CLPARS,D,19961007,000000,0.0023014,0.0023014,0.0023014,0.0023014,0,0
CLPARS,D,19961008,000000,0.0023018,0.0023018,0.0023018,0.0023018,0,0
CLPARS,D,19961009,000000,0.0023052,0.0023052,0.0023052,0.0023052,0,0
CLPARS,D,19961010,000000,0.0023085,0.0023085,0.0023085,0.0023085,0,0
CLPARS,D,19961011,000000,0.002302,0.002302,0.002302,0.002302,0,0
CLPARS,D,19961014,000000,0.0023017,0.0023017,0.0023017,0.0023017,0,0
CLPARS,D,19961015,000000,0.002288,0.002288,0.002288,0.002288,0,0
CLPARS,D,19961016,000000,0.0022928,0.0022928,0.0022928,0.0022928,0,0
CLPARS,D,19961017,000000,0.0022894,0.0022894,0.0022894,0.0022894,0,0
CLPARS,D,19961018,000000,0.0022816,0.0022816,0.0022816,0.0022816,0,0
CLPARS,D,19961021,000000,0.0022873,0.0022873,0.0022873,0.0022873,0,0
CLPARS,D,19961022,000000,0.0022843,0.0022843,0.0022843,0.0022843,0,0
CLPARS,D,19961023,000000,0.002285,0.002285,0.002285,0.002285,0,0
CLPARS,D,19961024,000000,0.0022849,0.0022849,0.0022849,0.0022849,0,0
CLPARS,D,19961025,000000,0.0022801,0.0022801,0.0022801,0.0022801,0,0
CLPARS,D,19961028,000000,0.0022748,0.0022748,0.0022748,0.0022748,0,0
CLPARS,D,19961029,000000,0.00227,0.00227,0.00227,0.00227,0,0
CLPARS,D,19961030,000000,0.0022622,0.0022622,0.0022622,0.0022622,0,0
CLPARS,D,19961031,000000,0.0022611,0.0022611,0.0022611,0.0022611,0,0
CLPARS,D,19961104,000000,0.0022637,0.0022637,0.0022637,0.0022637,0,0
CLPARS,D,19961105,000000,0.0022595,0.0022595,0.0022595,0.0022595,0,0
CLPARS,D,19961106,000000,0.002272,0.002272,0.002272,0.002272,0,0
