<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPBTC,D,20100719,000000,0.023213,0.023213,0.023213,0.023213,0,0
CLPBTC,D,20100720,000000,0.02515,0.02515,0.02515,0.02515,0,0
CLPBTC,D,20100721,000000,0.024112,0.024112,0.024112,0.024112,0,0
CLPBTC,D,20100722,000000,0.038506,0.038506,0.038506,0.038506,0,0
CLPBTC,D,20100723,000000,0.030436,0.030436,0.030436,0.030436,0,0
CLPBTC,D,20100726,000000,0.034868,0.034868,0.034868,0.034868,0,0
CLPBTC,D,20100727,000000,0.032095,0.032095,0.032095,0.032095,0,0
CLPBTC,D,20100728,000000,0.032459,0.032459,0.032459,0.032459,0,0
CLPBTC,D,20100729,000000,0.027305,0.027305,0.027305,0.027305,0,0
CLPBTC,D,20100730,000000,0.030668,0.030668,0.030668,0.030668,0,0
CLPBTC,D,20100802,000000,0.032301,0.032301,0.032301,0.032301,0,0
CLPBTC,D,20100803,000000,0.032181,0.032181,0.032181,0.032181,0,0
CLPBTC,D,20100804,000000,0.034126,0.034126,0.034126,0.034126,0,0
CLPBTC,D,20100805,000000,0.031763,0.031763,0.031763,0.031763,0,0
CLPBTC,D,20100806,000000,0.031358,0.031358,0.031358,0.031358,0,0
CLPBTC,D,20100809,000000,0.027552,0.027552,0.027552,0.027552,0,0
CLPBTC,D,20100810,000000,0.027618,0.027618,0.027618,0.027618,0,0
CLPBTC,D,20100811,000000,0.028726,0.028726,0.028726,0.028726,0,0
CLPBTC,D,20100812,000000,0.028219,0.028219,0.028219,0.028219,0,0
CLPBTC,D,20100813,000000,0.030231,0.030231,0.030231,0.030231,0,0
CLPBTC,D,20100816,000000,0.030448,0.030448,0.030448,0.030448,0,0
CLPBTC,D,20100817,000000,0.028591,0.028591,0.028591,0.028591,0,0
CLPBTC,D,20100818,000000,0.029598,0.029598,0.029598,0.029598,0,0
CLPBTC,D,20100819,000000,0.0296,0.0296,0.0296,0.0296,0,0
CLPBTC,D,20100820,000000,0.030017,0.030017,0.030017,0.030017,0,0
CLPBTC,D,20100823,000000,0.030336,0.030336,0.030336,0.030336,0,0
CLPBTC,D,20100824,000000,0.030589,0.030589,0.030589,0.030589,0,0
CLPBTC,D,20100825,000000,0.030386,0.030386,0.030386,0.030386,0,0
CLPBTC,D,20100826,000000,0.031123,0.031123,0.031123,0.031123,0,0
CLPBTC,D,20100827,000000,0.030931,0.030931,0.030931,0.030931,0,0
CLPBTC,D,20100830,000000,0.030573,0.030573,0.030573,0.030573,0,0
CLPBTC,D,20100831,000000,0.03325,0.03325,0.03325,0.03325,0,0
CLPBTC,D,20100901,000000,0.032181,0.032181,0.032181,0.032181,0,0
CLPBTC,D,20100902,000000,0.031749,0.031749,0.031749,0.031749,0,0
CLPBTC,D,20100903,000000,0.033585,0.033585,0.033585,0.033585,0,0
CLPBTC,D,20100906,000000,0.032763,0.032763,0.032763,0.032763,0,0
CLPBTC,D,20100907,000000,0.032906,0.032906,0.032906,0.032906,0,0
CLPBTC,D,20100908,000000,0.03268,0.03268,0.03268,0.03268,0,0
CLPBTC,D,20100909,000000,0.033063,0.033063,0.033063,0.033063,0,0
CLPBTC,D,20100910,000000,0.032494,0.032494,0.032494,0.032494,0,0
CLPBTC,D,20100913,000000,0.03267,0.03267,0.03267,0.03267,0,0
CLPBTC,D,20100914,000000,0.033182,0.033182,0.033182,0.033182,0,0
CLPBTC,D,20100915,000000,0.033537,0.033537,0.033537,0.033537,0,0
CLPBTC,D,20100916,000000,0.032465,0.032465,0.032465,0.032465,0,0
CLPBTC,D,20100917,000000,0.033859,0.033859,0.033859,0.033859,0,0
CLPBTC,D,20100920,000000,0.032469,0.032469,0.032469,0.032469,0,0
CLPBTC,D,20100921,000000,0.032016,0.032016,0.032016,0.032016,0,0
CLPBTC,D,20100922,000000,0.032653,0.032653,0.032653,0.032653,0,0
CLPBTC,D,20100923,000000,0.032924,0.032924,0.032924,0.032924,0,0
CLPBTC,D,20100924,000000,0.033494,0.033494,0.033494,0.033494,0,0
CLPBTC,D,20100927,000000,0.033258,0.033258,0.033258,0.033258,0,0
CLPBTC,D,20100928,000000,0.033761,0.033761,0.033761,0.033761,0,0
CLPBTC,D,20100929,000000,0.033372,0.033372,0.033372,0.033372,0,0
CLPBTC,D,20100930,000000,0.033529,0.033529,0.033529,0.033529,0,0
CLPBTC,D,20101001,000000,0.033784,0.033784,0.033784,0.033784,0,0
CLPBTC,D,20101004,000000,0.033534,0.033534,0.033534,0.033534,0,0
CLPBTC,D,20101005,000000,0.034062,0.034062,0.034062,0.034062,0,0
CLPBTC,D,20101006,000000,0.033014,0.033014,0.033014,0.033014,0,0
CLPBTC,D,20101007,000000,0.030599,0.030599,0.030599,0.030599,0,0
CLPBTC,D,20101008,000000,0.024024,0.024024,0.024024,0.024024,0,0
