<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPCHF,D,19931025,000000,0.0035636,0.0035636,0.0035636,0.0035636,0,0
CLPCHF,D,19931026,000000,0.0035839,0.0035839,0.0035839,0.0035839,0,0
CLPCHF,D,19931027,000000,0.0036014,0.0036014,0.0036014,0.0036014,0,0
CLPCHF,D,19931028,000000,0.0035853,0.0035853,0.0035853,0.0035853,0,0
CLPCHF,D,19931029,000000,0.0035992,0.0035992,0.0035992,0.0035992,0,0
CLPCHF,D,19931102,000000,0.0035936,0.0035936,0.0035936,0.0035936,0,0
CLPCHF,D,19931103,000000,0.0036618,0.0036618,0.0036618,0.0036618,0,0
CLPCHF,D,19931104,000000,0.0036524,0.0036524,0.0036524,0.0036524,0,0
CLPCHF,D,19931105,000000,0.003648,0.003648,0.003648,0.003648,0,0
CLPCHF,D,19931108,000000,0.0036568,0.0036568,0.0036568,0.0036568,0,0
CLPCHF,D,19931109,000000,0.003634,0.003634,0.003634,0.003634,0,0
CLPCHF,D,19931110,000000,0.0036195,0.0036195,0.0036195,0.0036195,0,0
CLPCHF,D,19931112,000000,0.003623,0.003623,0.003623,0.003623,0,0
CLPCHF,D,19931115,000000,0.0036571,0.0036571,0.0036571,0.0036571,0,0
CLPCHF,D,19931116,000000,0.0036327,0.0036327,0.0036327,0.0036327,0,0
CLPCHF,D,19931117,000000,0.0036406,0.0036406,0.0036406,0.0036406,0,0
CLPCHF,D,19931118,000000,0.0036691,0.0036691,0.0036691,0.0036691,0,0
CLPCHF,D,19931119,000000,0.0036333,0.0036333,0.0036333,0.0036333,0,0
CLPCHF,D,19931122,000000,0.0036511,0.0036511,0.0036511,0.0036511,0,0
CLPCHF,D,19931123,000000,0.0036334,0.0036334,0.0036334,0.0036334,0,0
CLPCHF,D,19931124,000000,0.0036171,0.0036171,0.0036171,0.0036171,0,0
CLPCHF,D,19931125,000000,0.003596,0.003596,0.003596,0.003596,0,0
CLPCHF,D,19931126,000000,0.0035923,0.0035923,0.0035923,0.0035923,0,0
CLPCHF,D,19931129,000000,0.0035706,0.0035706,0.0035706,0.0035706,0,0
CLPCHF,D,19931130,000000,0.0035824,0.0035824,0.0035824,0.0035824,0,0
CLPCHF,D,19931201,000000,0.0035597,0.0035597,0.0035597,0.0035597,0,0
CLPCHF,D,19931202,000000,0.003568,0.003568,0.003568,0.003568,0,0
CLPCHF,D,19931203,000000,0.0035328,0.0035328,0.0035328,0.0035328,0,0
CLPCHF,D,19931206,000000,0.0035128,0.0035128,0.0035128,0.0035128,0,0
CLPCHF,D,19931207,000000,0.0034352,0.0034352,0.0034352,0.0034352,0,0
CLPCHF,D,19931208,000000,0.0034187,0.0034187,0.0034187,0.0034187,0,0
CLPCHF,D,19931209,000000,0.0034555,0.0034555,0.0034555,0.0034555,0,0
CLPCHF,D,19931210,000000,0.0034765,0.0034765,0.0034765,0.0034765,0,0
CLPCHF,D,19931213,000000,0.0034395,0.0034395,0.0034395,0.0034395,0,0
CLPCHF,D,19931214,000000,0.0034177,0.0034177,0.0034177,0.0034177,0,0
CLPCHF,D,19931215,000000,0.0034474,0.0034474,0.0034474,0.0034474,0,0
CLPCHF,D,19931216,000000,0.003449,0.003449,0.003449,0.003449,0,0
CLPCHF,D,19931217,000000,0.0034456,0.0034456,0.0034456,0.0034456,0,0
CLPCHF,D,19931220,000000,0.0034288,0.0034288,0.0034288,0.0034288,0,0
CLPCHF,D,19931221,000000,0.003428,0.003428,0.003428,0.003428,0,0
CLPCHF,D,19931222,000000,0.0033941,0.0033941,0.0033941,0.0033941,0,0
CLPCHF,D,19931223,000000,0.003384,0.003384,0.003384,0.003384,0,0
CLPCHF,D,19931224,000000,0.0033531,0.0033531,0.0033531,0.0033531,0,0
CLPCHF,D,19931227,000000,0.0033513,0.0033513,0.0033513,0.0033513,0,0
CLPCHF,D,19931228,000000,0.0033613,0.0033613,0.0033613,0.0033613,0,0
CLPCHF,D,19931229,000000,0.0033588,0.0033588,0.0033588,0.0033588,0,0
CLPCHF,D,19931230,000000,0.003375,0.003375,0.003375,0.003375,0,0
CLPCHF,D,19931231,000000,0.0034284,0.0034284,0.0034284,0.0034284,0,0
