<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPDKK,D,19931025,000000,0.016284,0.016284,0.016284,0.016284,0,0
CLPDKK,D,19931026,000000,0.016327,0.016327,0.016327,0.016327,0,0
CLPDKK,D,19931027,000000,0.016448,0.016448,0.016448,0.016448,0,0
CLPDKK,D,19931028,000000,0.016376,0.016376,0.016376,0.016376,0,0
CLPDKK,D,19931029,000000,0.016442,0.016442,0.016442,0.016442,0,0
CLPDKK,D,19931102,000000,0.016393,0.016393,0.016393,0.016393,0,0
CLPDKK,D,19931103,000000,0.016511,0.016511,0.016511,0.016511,0,0
CLPDKK,D,19931104,000000,0.016493,0.016493,0.016493,0.016493,0,0
CLPDKK,D,19931105,000000,0.016431,0.016431,0.016431,0.016431,0,0
CLPDKK,D,19931108,000000,0.016473,0.016473,0.016473,0.016473,0,0
CLPDKK,D,19931109,000000,0.016385,0.016385,0.016385,0.016385,0,0
CLPDKK,D,19931110,000000,0.016356,0.016356,0.016356,0.016356,0,0
CLPDKK,D,19931112,000000,0.01639,0.01639,0.01639,0.01639,0,0
CLPDKK,D,19931115,000000,0.016462,0.016462,0.016462,0.016462,0,0
CLPDKK,D,19931116,000000,0.016409,0.016409,0.016409,0.016409,0,0
CLPDKK,D,19931117,000000,0.016454,0.016454,0.016454,0.016454,0,0
CLPDKK,D,19931118,000000,0.016504,0.016504,0.016504,0.016504,0,0
CLPDKK,D,19931119,000000,0.016399,0.016399,0.016399,0.016399,0,0
CLPDKK,D,19931122,000000,0.01647,0.01647,0.01647,0.01647,0,0
CLPDKK,D,19931123,000000,0.016423,0.016423,0.016423,0.016423,0,0
CLPDKK,D,19931124,000000,0.016406,0.016406,0.016406,0.016406,0,0
CLPDKK,D,19931125,000000,0.016275,0.016275,0.016275,0.016275,0,0
CLPDKK,D,19931126,000000,0.016269,0.016269,0.016269,0.016269,0,0
CLPDKK,D,19931129,000000,0.016141,0.016141,0.016141,0.016141,0,0
CLPDKK,D,19931130,000000,0.016218,0.016218,0.016218,0.016218,0,0
CLPDKK,D,19931201,000000,0.016173,0.016173,0.016173,0.016173,0,0
CLPDKK,D,19931202,000000,0.016172,0.016172,0.016172,0.016172,0,0
CLPDKK,D,19931203,000000,0.016033,0.016033,0.016033,0.016033,0,0
CLPDKK,D,19931206,000000,0.015935,0.015935,0.015935,0.015935,0,0
CLPDKK,D,19931207,000000,0.015702,0.015702,0.015702,0.015702,0,0
CLPDKK,D,19931208,000000,0.015642,0.015642,0.015642,0.015642,0,0
CLPDKK,D,19931209,000000,0.015764,0.015764,0.015764,0.015764,0,0
CLPDKK,D,19931210,000000,0.015811,0.015811,0.015811,0.015811,0,0
CLPDKK,D,19931213,000000,0.015673,0.015673,0.015673,0.015673,0,0
CLPDKK,D,19931214,000000,0.015636,0.015636,0.015636,0.015636,0,0
CLPDKK,D,19931215,000000,0.015744,0.015744,0.015744,0.015744,0,0
CLPDKK,D,19931216,000000,0.015824,0.015824,0.015824,0.015824,0,0
CLPDKK,D,19931217,000000,0.015781,0.015781,0.015781,0.015781,0,0
CLPDKK,D,19931220,000000,0.015732,0.015732,0.015732,0.015732,0,0
CLPDKK,D,19931221,000000,0.015759,0.015759,0.015759,0.015759,0,0
CLPDKK,D,19931222,000000,0.015671,0.015671,0.015671,0.015671,0,0
CLPDKK,D,19931223,000000,0.015562,0.015562,0.015562,0.015562,0,0
CLPDKK,D,19931224,000000,0.015488,0.015488,0.015488,0.015488,0,0
CLPDKK,D,19931227,000000,0.015442,0.015442,0.015442,0.015442,0,0
CLPDKK,D,19931228,000000,0.015475,0.015475,0.015475,0.015475,0,0
CLPDKK,D,19931229,000000,0.015453,0.015453,0.015453,0.015453,0,0
CLPDKK,D,19931230,000000,0.015618,0.015618,0.015618,0.015618,0,0
CLPDKK,D,19931231,000000,0.015732,0.015732,0.015732,0.015732,0,0
CLPDKK,D,19940103,000000,0.01577,0.01577,0.01577,0.01577,0,0
CLPDKK,D,19940104,000000,0.015732,0.015732,0.015732,0.015732,0,0
CLPDKK,D,19940105,000000,0.015753,0.015753,0.015753,0.015753,0,0
CLPDKK,D,19940106,000000,0.015692,0.015692,0.015692,0.015692,0,0
CLPDKK,D,19940107,000000,0.015753,0.015753,0.015753,0.015753,0,0
CLPDKK,D,19940110,000000,0.015752,0.015752,0.015752,0.015752,0,0
CLPDKK,D,19940111,000000,0.015682,0.015682,0.015682,0.015682,0,0
