<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPNZD,D,19931025,000000,0.0043598,0.0043598,0.0043598,0.0043598,0,0
CLPNZD,D,19931026,000000,0.004366,0.004366,0.004366,0.004366,0,0
CLPNZD,D,19931027,000000,0.0043755,0.0043755,0.0043755,0.0043755,0,0
CLPNZD,D,19931028,000000,0.0043811,0.0043811,0.0043811,0.0043811,0,0
CLPNZD,D,19931029,000000,0.0043778,0.0043778,0.0043778,0.0043778,0,0
CLPNZD,D,19931102,000000,0.0043761,0.0043761,0.0043761,0.0043761,0,0
CLPNZD,D,19931103,000000,0.0043781,0.0043781,0.0043781,0.0043781,0,0
CLPNZD,D,19931104,000000,0.0043846,0.0043846,0.0043846,0.0043846,0,0
CLPNZD,D,19931105,000000,0.0043571,0.0043571,0.0043571,0.0043571,0,0
CLPNZD,D,19931108,000000,0.0044808,0.0044808,0.0044808,0.0044808,0,0
CLPNZD,D,19931109,000000,0.0044648,0.0044648,0.0044648,0.0044648,0,0
CLPNZD,D,19931110,000000,0.0045116,0.0045116,0.0045116,0.0045116,0,0
CLPNZD,D,19931112,000000,0.0045093,0.0045093,0.0045093,0.0045093,0,0
CLPNZD,D,19931115,000000,0.0045133,0.0045133,0.0045133,0.0045133,0,0
CLPNZD,D,19931116,000000,0.0045205,0.0045205,0.0045205,0.0045205,0,0
CLPNZD,D,19931117,000000,0.0044262,0.0044262,0.0044262,0.0044262,0,0
CLPNZD,D,19931118,000000,0.004423,0.004423,0.004423,0.004423,0,0
CLPNZD,D,19931119,000000,0.004414,0.004414,0.004414,0.004414,0,0
CLPNZD,D,19931122,000000,0.0044275,0.0044275,0.0044275,0.0044275,0,0
CLPNZD,D,19931123,000000,0.0044248,0.0044248,0.0044248,0.0044248,0,0
CLPNZD,D,19931124,000000,0.0044008,0.0044008,0.0044008,0.0044008,0,0
CLPNZD,D,19931125,000000,0.0043949,0.0043949,0.0043949,0.0043949,0,0
CLPNZD,D,19931126,000000,0.0043898,0.0043898,0.0043898,0.0043898,0,0
CLPNZD,D,19931129,000000,0.0043575,0.0043575,0.0043575,0.0043575,0,0
CLPNZD,D,19931130,000000,0.0043716,0.0043716,0.0043716,0.0043716,0,0
CLPNZD,D,19931201,000000,0.0043645,0.0043645,0.0043645,0.0043645,0,0
CLPNZD,D,19931202,000000,0.0043336,0.0043336,0.0043336,0.0043336,0,0
CLPNZD,D,19931203,000000,0.0042912,0.0042912,0.0042912,0.0042912,0,0
CLPNZD,D,19931206,000000,0.0042611,0.0042611,0.0042611,0.0042611,0,0
CLPNZD,D,19931207,000000,0.0042352,0.0042352,0.0042352,0.0042352,0,0
