<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPRON,D,19951023,000000,0.0005427,0.0005427,0.0005427,0.0005427,0,0
CLPRON,D,19951024,000000,0.0005473,0.0005473,0.0005473,0.0005473,0,0
CLPRON,D,19951025,000000,0.0005449,0.0005449,0.0005449,0.0005449,0,0
CLPRON,D,19951026,000000,0.0005392,0.0005392,0.0005392,0.0005392,0,0
CLPRON,D,19951027,000000,0.000538,0.000538,0.000538,0.000538,0,0
CLPRON,D,19951030,000000,0.0005389,0.0005389,0.0005389,0.0005389,0,0
CLPRON,D,19951031,000000,0.0005396,0.0005396,0.0005396,0.0005396,0,0
CLPRON,D,19951102,000000,0.0005458,0.0005458,0.0005458,0.0005458,0,0
CLPRON,D,19951103,000000,0.00055,0.00055,0.00055,0.00055,0,0
CLPRON,D,19951106,000000,0.0005522,0.0005522,0.0005522,0.0005522,0,0
CLPRON,D,19951107,000000,0.000568,0.000568,0.000568,0.000568,0,0
CLPRON,D,19951108,000000,0.0005653,0.0005653,0.0005653,0.0005653,0,0
CLPRON,D,19951109,000000,0.0005699,0.0005699,0.0005699,0.0005699,0,0
CLPRON,D,19951110,000000,0.0005741,0.0005741,0.0005741,0.0005741,0,0
CLPRON,D,19951113,000000,0.0005822,0.0005822,0.0005822,0.0005822,0,0
CLPRON,D,19951114,000000,0.0005866,0.0005866,0.0005866,0.0005866,0,0
CLPRON,D,19951115,000000,0.000588,0.000588,0.000588,0.000588,0,0
CLPRON,D,19951116,000000,0.0006057,0.0006057,0.0006057,0.0006057,0,0
CLPRON,D,19951117,000000,0.0006253,0.0006253,0.0006253,0.0006253,0,0
CLPRON,D,19951120,000000,0.0006216,0.0006216,0.0006216,0.0006216,0,0
CLPRON,D,19951121,000000,0.000623,0.000623,0.000623,0.000623,0,0
CLPRON,D,19951122,000000,0.000621,0.000621,0.000621,0.000621,0,0
CLPRON,D,19951123,000000,0.0006192,0.0006192,0.0006192,0.0006192,0,0
CLPRON,D,19951124,000000,0.0006132,0.0006132,0.0006132,0.0006132,0,0
CLPRON,D,19951127,000000,0.0006131,0.0006131,0.0006131,0.0006131,0,0
CLPRON,D,19951128,000000,0.000623,0.000623,0.000623,0.000623,0,0
CLPRON,D,19951129,000000,0.0006173,0.0006173,0.0006173,0.0006173,0,0
CLPRON,D,19951130,000000,0.0006131,0.0006131,0.0006131,0.0006131,0,0
CLPRON,D,19951201,000000,0.0006142,0.0006142,0.0006142,0.0006142,0,0
CLPRON,D,19951204,000000,0.0006238,0.0006238,0.0006238,0.0006238,0,0
CLPRON,D,19951205,000000,0.0006309,0.0006309,0.0006309,0.0006309,0,0
CLPRON,D,19951206,000000,0.0006276,0.0006276,0.0006276,0.0006276,0,0
CLPRON,D,19951207,000000,0.0006344,0.0006344,0.0006344,0.0006344,0,0
CLPRON,D,19951208,000000,0.0006331,0.0006331,0.0006331,0.0006331,0,0
CLPRON,D,19951211,000000,0.0006338,0.0006338,0.0006338,0.0006338,0,0
CLPRON,D,19951212,000000,0.000629,0.000629,0.000629,0.000629,0,0
CLPRON,D,19951213,000000,0.0006329,0.0006329,0.0006329,0.0006329,0,0
CLPRON,D,19951214,000000,0.0006329,0.0006329,0.0006329,0.0006329,0,0
CLPRON,D,19951215,000000,0.0006403,0.0006403,0.0006403,0.0006403,0,0
CLPRON,D,19951218,000000,0.0006424,0.0006424,0.0006424,0.0006424,0,0
CLPRON,D,19951219,000000,0.0006422,0.0006422,0.0006422,0.0006422,0,0
CLPRON,D,19951220,000000,0.0006422,0.0006422,0.0006422,0.0006422,0,0
CLPRON,D,19951221,000000,0.0006422,0.0006422,0.0006422,0.0006422,0,0
CLPRON,D,19951222,000000,0.0006422,0.0006422,0.0006422,0.0006422,0,0
CLPRON,D,19951227,000000,0.000641,0.000641,0.000641,0.000641,0,0
CLPRON,D,19951228,000000,0.0006398,0.0006398,0.0006398,0.0006398,0,0
CLPRON,D,19951229,000000,0.0006455,0.0006455,0.0006455,0.0006455,0,0
