<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPSEK,D,19931025,000000,0.019467,0.019467,0.019467,0.019467,0,0
CLPSEK,D,19931026,000000,0.01965,0.01965,0.01965,0.01965,0,0
CLPSEK,D,19931027,000000,0.019683,0.019683,0.019683,0.019683,0,0
CLPSEK,D,19931028,000000,0.019678,0.019678,0.019678,0.019678,0,0
CLPSEK,D,19931029,000000,0.019777,0.019777,0.019777,0.019777,0,0
CLPSEK,D,19931102,000000,0.019752,0.019752,0.019752,0.019752,0,0
CLPSEK,D,19931103,000000,0.01992,0.01992,0.01992,0.01992,0,0
CLPSEK,D,19931104,000000,0.019829,0.019829,0.019829,0.019829,0,0
CLPSEK,D,19931105,000000,0.019815,0.019815,0.019815,0.019815,0,0
CLPSEK,D,19931108,000000,0.019829,0.019829,0.019829,0.019829,0,0
CLPSEK,D,19931109,000000,0.019765,0.019765,0.019765,0.019765,0,0
CLPSEK,D,19931110,000000,0.019826,0.019826,0.019826,0.019826,0,0
CLPSEK,D,19931112,000000,0.019946,0.019946,0.019946,0.019946,0,0
CLPSEK,D,19931115,000000,0.020049,0.020049,0.020049,0.020049,0,0
CLPSEK,D,19931116,000000,0.019998,0.019998,0.019998,0.019998,0,0
CLPSEK,D,19931117,000000,0.020029,0.020029,0.020029,0.020029,0,0
CLPSEK,D,19931118,000000,0.020121,0.020121,0.020121,0.020121,0,0
CLPSEK,D,19931119,000000,0.019984,0.019984,0.019984,0.019984,0,0
CLPSEK,D,19931122,000000,0.020187,0.020187,0.020187,0.020187,0,0
CLPSEK,D,19931123,000000,0.020226,0.020226,0.020226,0.020226,0,0
CLPSEK,D,19931124,000000,0.020357,0.020357,0.020357,0.020357,0,0
CLPSEK,D,19931125,000000,0.020167,0.020167,0.020167,0.020167,0,0
CLPSEK,D,19931126,000000,0.020134,0.020134,0.020134,0.020134,0,0
CLPSEK,D,19931129,000000,0.019974,0.019974,0.019974,0.019974,0,0
CLPSEK,D,19931130,000000,0.020089,0.020089,0.020089,0.020089,0,0
CLPSEK,D,19931201,000000,0.020207,0.020207,0.020207,0.020207,0,0
CLPSEK,D,19931202,000000,0.020208,0.020208,0.020208,0.020208,0,0
CLPSEK,D,19931203,000000,0.019941,0.019941,0.019941,0.019941,0,0
CLPSEK,D,19931206,000000,0.019758,0.019758,0.019758,0.019758,0,0
CLPSEK,D,19931207,000000,0.01954,0.01954,0.01954,0.01954,0,0
CLPSEK,D,19931208,000000,0.019347,0.019347,0.019347,0.019347,0,0
CLPSEK,D,19931209,000000,0.019568,0.019568,0.019568,0.019568,0,0
CLPSEK,D,19931210,000000,0.019669,0.019669,0.019669,0.019669,0,0
CLPSEK,D,19931213,000000,0.019546,0.019546,0.019546,0.019546,0,0
CLPSEK,D,19931214,000000,0.019697,0.019697,0.019697,0.019697,0,0
CLPSEK,D,19931215,000000,0.019731,0.019731,0.019731,0.019731,0,0
CLPSEK,D,19931216,000000,0.019827,0.019827,0.019827,0.019827,0,0
CLPSEK,D,19931217,000000,0.019828,0.019828,0.019828,0.019828,0,0
CLPSEK,D,19931220,000000,0.01976,0.01976,0.01976,0.01976,0,0
CLPSEK,D,19931221,000000,0.019766,0.019766,0.019766,0.019766,0,0
CLPSEK,D,19931222,000000,0.019637,0.019637,0.019637,0.019637,0,0
CLPSEK,D,19931223,000000,0.019458,0.019458,0.019458,0.019458,0,0
CLPSEK,D,19931224,000000,0.019235,0.019235,0.019235,0.019235,0,0
CLPSEK,D,19931227,000000,0.019139,0.019139,0.019139,0.019139,0,0
CLPSEK,D,19931228,000000,0.019286,0.019286,0.019286,0.019286,0,0
CLPSEK,D,19931229,000000,0.01929,0.01929,0.01929,0.01929,0,0
CLPSEK,D,19931230,000000,0.019305,0.019305,0.019305,0.019305,0,0
CLPSEK,D,19931231,000000,0.019412,0.019412,0.019412,0.019412,0,0
CLPSEK,D,19940103,000000,0.019413,0.019413,0.019413,0.019413,0,0
CLPSEK,D,19940104,000000,0.019403,0.019403,0.019403,0.019403,0,0
CLPSEK,D,19940105,000000,0.019338,0.019338,0.019338,0.019338,0,0
CLPSEK,D,19940106,000000,0.019101,0.019101,0.019101,0.019101,0,0
