<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPTHB,D,19931025,000000,0.068596,0.068596,0.068596,0.068596,0,0
CLPTHB,D,19931026,000000,0.068701,0.068701,0.068701,0.068701,0,0
CLPTHB,D,19931027,000000,0.068635,0.068635,0.068635,0.068635,0,0
CLPTHB,D,19931028,000000,0.068709,0.068709,0.068709,0.068709,0,0
CLPTHB,D,19931029,000000,0.068635,0.068635,0.068635,0.068635,0,0
CLPTHB,D,19931102,000000,0.068721,0.068721,0.068721,0.068721,0,0
CLPTHB,D,19931103,000000,0.068788,0.068788,0.068788,0.068788,0,0
CLPTHB,D,19931104,000000,0.068829,0.068829,0.068829,0.068829,0,0
CLPTHB,D,19931105,000000,0.068747,0.068747,0.068747,0.068747,0,0
CLPTHB,D,19931108,000000,0.068824,0.068824,0.068824,0.068824,0,0
CLPTHB,D,19931109,000000,0.06898,0.06898,0.06898,0.06898,0,0
CLPTHB,D,19931110,000000,0.068952,0.068952,0.068952,0.068952,0,0
CLPTHB,D,19931112,000000,0.068698,0.068698,0.068698,0.068698,0,0
CLPTHB,D,19931115,000000,0.068805,0.068805,0.068805,0.068805,0,0
CLPTHB,D,19931116,000000,0.069004,0.069004,0.069004,0.069004,0,0
CLPTHB,D,19931117,000000,0.069012,0.069012,0.069012,0.069012,0,0
CLPTHB,D,19931118,000000,0.068944,0.068944,0.068944,0.068944,0,0
CLPTHB,D,19931119,000000,0.06869,0.06869,0.06869,0.06869,0,0
CLPTHB,D,19931122,000000,0.068838,0.068838,0.068838,0.068838,0,0
CLPTHB,D,19931123,000000,0.06877,0.06877,0.06877,0.06877,0,0
CLPTHB,D,19931124,000000,0.068453,0.068453,0.068453,0.068453,0,0
CLPTHB,D,19931125,000000,0.068335,0.068335,0.068335,0.068335,0,0
CLPTHB,D,19931126,000000,0.068129,0.068129,0.068129,0.068129,0,0
CLPTHB,D,19931129,000000,0.067461,0.067461,0.067461,0.067461,0,0
CLPTHB,D,19931130,000000,0.067758,0.067758,0.067758,0.067758,0,0
CLPTHB,D,19931201,000000,0.067719,0.067719,0.067719,0.067719,0,0
CLPTHB,D,19931202,000000,0.067418,0.067418,0.067418,0.067418,0,0
CLPTHB,D,19931203,000000,0.067013,0.067013,0.067013,0.067013,0,0
CLPTHB,D,19931206,000000,0.066608,0.066608,0.066608,0.066608,0,0
CLPTHB,D,19931207,000000,0.066122,0.066122,0.066122,0.066122,0,0
CLPTHB,D,19931208,000000,0.066283,0.066283,0.066283,0.066283,0,0
CLPTHB,D,19931209,000000,0.066743,0.066743,0.066743,0.066743,0,0
