<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPUAH,D,19960902,000000,0.0042839,0.0042839,0.0042839,0.0042839,0,0
CLPUAH,D,19960903,000000,0.0042743,0.0042743,0.0042743,0.0042743,0,0
CLPUAH,D,19960904,000000,0.004274,0.004274,0.004274,0.004274,0,0
CLPUAH,D,19960905,000000,0.0042808,0.0042808,0.0042808,0.0042808,0,0
CLPUAH,D,19960906,000000,0.0042756,0.0042756,0.0042756,0.0042756,0,0
CLPUAH,D,19960909,000000,0.0042787,0.0042787,0.0042787,0.0042787,0,0
CLPUAH,D,19960910,000000,0.0042726,0.0042726,0.0042726,0.0042726,0,0
CLPUAH,D,19960911,000000,0.004273,0.004273,0.004273,0.004273,0,0
CLPUAH,D,19960912,000000,0.0042739,0.0042739,0.0042739,0.0042739,0,0
CLPUAH,D,19960913,000000,0.0042785,0.0042785,0.0042785,0.0042785,0,0
CLPUAH,D,19960916,000000,0.0042823,0.0042823,0.0042823,0.0042823,0,0
CLPUAH,D,19960917,000000,0.0042766,0.0042766,0.0042766,0.0042766,0,0
CLPUAH,D,19960918,000000,0.0042781,0.0042781,0.0042781,0.0042781,0,0
CLPUAH,D,19960919,000000,0.0042777,0.0042777,0.0042777,0.0042777,0,0
CLPUAH,D,19960920,000000,0.0042778,0.0042778,0.0042778,0.0042778,0,0
CLPUAH,D,19960923,000000,0.0042757,0.0042757,0.0042757,0.0042757,0,0
CLPUAH,D,19960924,000000,0.0042743,0.0042743,0.0042743,0.0042743,0,0
CLPUAH,D,19960925,000000,0.0042761,0.0042761,0.0042761,0.0042761,0,0
CLPUAH,D,19960926,000000,0.0042726,0.0042726,0.0042726,0.0042726,0,0
CLPUAH,D,19960927,000000,0.0042635,0.0042635,0.0042635,0.0042635,0,0
CLPUAH,D,19960930,000000,0.0042613,0.0042613,0.0042613,0.0042613,0,0
CLPUAH,D,19961001,000000,0.0042591,0.0042591,0.0042591,0.0042591,0,0
CLPUAH,D,19961002,000000,0.0042559,0.0042559,0.0042559,0.0042559,0,0
CLPUAH,D,19961003,000000,0.0042586,0.0042586,0.0042586,0.0042586,0,0
CLPUAH,D,19961004,000000,0.0042605,0.0042605,0.0042605,0.0042605,0,0
CLPUAH,D,19961007,000000,0.0042592,0.0042592,0.0042592,0.0042592,0,0
CLPUAH,D,19961008,000000,0.0042814,0.0042814,0.0042814,0.0042814,0,0
CLPUAH,D,19961009,000000,0.0042806,0.0042806,0.0042806,0.0042806,0,0
CLPUAH,D,19961010,000000,0.004283,0.004283,0.004283,0.004283,0,0
CLPUAH,D,19961011,000000,0.0042821,0.0042821,0.0042821,0.0042821,0,0
CLPUAH,D,19961014,000000,0.0042821,0.0042821,0.0042821,0.0042821,0,0
CLPUAH,D,19961015,000000,0.004264,0.004264,0.004264,0.004264,0,0
CLPUAH,D,19961016,000000,0.004273,0.004273,0.004273,0.004273,0,0
CLPUAH,D,19961017,000000,0.0042659,0.0042659,0.0042659,0.0042659,0,0
CLPUAH,D,19961018,000000,0.0042613,0.0042613,0.0042613,0.0042613,0,0
CLPUAH,D,19961021,000000,0.0042663,0.0042663,0.0042663,0.0042663,0,0
CLPUAH,D,19961022,000000,0.0042594,0.0042594,0.0042594,0.0042594,0,0
CLPUAH,D,19961023,000000,0.0042701,0.0042701,0.0042701,0.0042701,0,0
CLPUAH,D,19961024,000000,0.004272,0.004272,0.004272,0.004272,0,0
CLPUAH,D,19961025,000000,0.0042699,0.0042699,0.0042699,0.0042699,0,0
CLPUAH,D,19961028,000000,0.0042611,0.0042611,0.0042611,0.0042611,0,0
CLPUAH,D,19961029,000000,0.0042764,0.0042764,0.0042764,0.0042764,0,0
CLPUAH,D,19961030,000000,0.0042813,0.0042813,0.0042813,0.0042813,0,0
CLPUAH,D,19961031,000000,0.0043074,0.0043074,0.0043074,0.0043074,0,0
CLPUAH,D,19961104,000000,0.0042992,0.0042992,0.0042992,0.0042992,0,0
CLPUAH,D,19961105,000000,0.0043643,0.0043643,0.0043643,0.0043643,0,0
CLPUAH,D,19961106,000000,0.0044009,0.0044009,0.0044009,0.0044009,0,0
CLPUAH,D,19961107,000000,0.0044367,0.0044367,0.0044367,0.0044367,0,0
CLPUAH,D,19961108,000000,0.0044286,0.0044286,0.0044286,0.0044286,0,0
CLPUAH,D,19961112,000000,0.004447,0.004447,0.004447,0.004447,0,0
CLPUAH,D,19961113,000000,0.0044643,0.0044643,0.0044643,0.0044643,0,0
CLPUAH,D,19961114,000000,0.0044664,0.0044664,0.0044664,0.0044664,0,0
CLPUAH,D,19961115,000000,0.0044687,0.0044687,0.0044687,0.0044687,0,0
CLPUAH,D,19961118,000000,0.0044472,0.0044472,0.0044472,0.0044472,0,0
CLPUAH,D,19961119,000000,0.0044492,0.0044492,0.0044492,0.0044492,0,0
CLPUAH,D,19961120,000000,0.0044499,0.0044499,0.0044499,0.0044499,0,0
CLPUAH,D,19961121,000000,0.004452,0.004452,0.004452,0.004452,0,0
CLPUAH,D,19961122,000000,0.0044477,0.0044477,0.0044477,0.0044477,0,0
CLPUAH,D,19961125,000000,0.0044548,0.0044548,0.0044548,0.0044548,0,0
CLPUAH,D,19961126,000000,0.004462,0.004462,0.004462,0.004462,0,0
CLPUAH,D,19961127,000000,0.0044597,0.0044597,0.0044597,0.0044597,0,0
CLPUAH,D,19961128,000000,0.0044613,0.0044613,0.0044613,0.0044613,0,0
CLPUAH,D,19961129,000000,0.0044546,0.0044546,0.0044546,0.0044546,0,0
CLPUAH,D,19961202,000000,0.0044444,0.0044444,0.0044444,0.0044444,0,0
CLPUAH,D,19961203,000000,0.0044438,0.0044438,0.0044438,0.0044438,0,0
CLPUAH,D,19961204,000000,0.0044591,0.0044591,0.0044591,0.0044591,0,0
CLPUAH,D,19961205,000000,0.004472,0.004472,0.004472,0.004472,0,0
CLPUAH,D,19961206,000000,0.0044843,0.0044843,0.0044843,0.0044843,0,0
CLPUAH,D,19961209,000000,0.0044704,0.0044704,0.0044704,0.0044704,0,0
CLPUAH,D,19961210,000000,0.004468,0.004468,0.004468,0.004468,0,0
CLPUAH,D,19961211,000000,0.0044616,0.0044616,0.0044616,0.0044616,0,0
CLPUAH,D,19961212,000000,0.0044583,0.0044583,0.0044583,0.0044583,0,0
CLPUAH,D,19961213,000000,0.0044714,0.0044714,0.0044714,0.0044714,0,0
CLPUAH,D,19961216,000000,0.004459,0.004459,0.004459,0.004459,0,0
CLPUAH,D,19961217,000000,0.0044622,0.0044622,0.0044622,0.0044622,0,0
CLPUAH,D,19961218,000000,0.0044592,0.0044592,0.0044592,0.0044592,0,0
CLPUAH,D,19961219,000000,0.0044606,0.0044606,0.0044606,0.0044606,0,0
CLPUAH,D,19961220,000000,0.0044549,0.0044549,0.0044549,0.0044549,0,0
