<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPXAU,D,19931025,000000,0.0000065483,0.0000065483,0.0000065483,0.0000065483,0,0
CLPXAU,D,19931026,000000,0.0000065531,0.0000065531,0.0000065531,0.0000065531,0,0
CLPXAU,D,19931027,000000,0.0000065484,0.0000065484,0.0000065484,0.0000065484,0,0
CLPXAU,D,19931028,000000,0.0000065612,0.0000065612,0.0000065612,0.0000065612,0,0
CLPXAU,D,19931029,000000,0.0000065655,0.0000065655,0.0000065655,0.0000065655,0,0
CLPXAU,D,19931102,000000,0.0000066786,0.0000066786,0.0000066786,0.0000066786,0,0
CLPXAU,D,19931103,000000,0.0000066028,0.0000066028,0.0000066028,0.0000066028,0,0
CLPXAU,D,19931104,000000,0.0000065319,0.0000065319,0.0000065319,0.0000065319,0,0
CLPXAU,D,19931105,000000,0.0000064354,0.0000064354,0.0000064354,0.0000064354,0,0
CLPXAU,D,19931108,000000,0.0000064797,0.0000064797,0.0000064797,0.0000064797,0,0
CLPXAU,D,19931109,000000,0.0000064685,0.0000064685,0.0000064685,0.0000064685,0,0
CLPXAU,D,19931110,000000,0.0000064556,0.0000064556,0.0000064556,0.0000064556,0,0
CLPXAU,D,19931112,000000,0.0000065046,0.0000065046,0.0000065046,0.0000065046,0,0
CLPXAU,D,19931115,000000,0.0000064691,0.0000064691,0.0000064691,0.0000064691,0,0
CLPXAU,D,19931116,000000,0.0000065078,0.0000065078,0.0000065078,0.0000065078,0,0
CLPXAU,D,19931117,000000,0.0000064598,0.0000064598,0.0000064598,0.0000064598,0,0
CLPXAU,D,19931118,000000,0.0000064637,0.0000064637,0.0000064637,0.0000064637,0,0
CLPXAU,D,19931119,000000,0.0000063998,0.0000063998,0.0000063998,0.0000063998,0,0
CLPXAU,D,19931122,000000,0.0000064033,0.0000064033,0.0000064033,0.0000064033,0,0
CLPXAU,D,19931123,000000,0.0000064221,0.0000064221,0.0000064221,0.0000064221,0,0
CLPXAU,D,19931124,000000,0.0000063714,0.0000063714,0.0000063714,0.0000063714,0,0
CLPXAU,D,19931125,000000,0.0000063584,0.0000063584,0.0000063584,0.0000063584,0,0
CLPXAU,D,19931126,000000,0.0000063302,0.0000063302,0.0000063302,0.0000063302,0,0
CLPXAU,D,19931129,000000,0.0000063984,0.0000063984,0.0000063984,0.0000063984,0,0
CLPXAU,D,19931130,000000,0.0000064181,0.0000064181,0.0000064181,0.0000064181,0,0
CLPXAU,D,19931201,000000,0.0000063336,0.0000063336,0.0000063336,0.0000063336,0,0
CLPXAU,D,19931202,000000,0.0000063213,0.0000063213,0.0000063213,0.0000063213,0,0
CLPXAU,D,19931203,000000,0.0000062295,0.0000062295,0.0000062295,0.0000062295,0,0
CLPXAU,D,19931206,000000,0.0000062091,0.0000062091,0.0000062091,0.0000062091,0,0
CLPXAU,D,19931207,000000,0.0000061469,0.0000061469,0.0000061469,0.0000061469,0,0
CLPXAU,D,19931208,000000,0.0000060577,0.0000060577,0.0000060577,0.0000060577,0,0
CLPXAU,D,19931209,000000,0.0000061178,0.0000061178,0.0000061178,0.0000061178,0,0
CLPXAU,D,19931210,000000,0.0000061478,0.0000061478,0.0000061478,0.0000061478,0,0
