<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPXPD,D,19931025,000000,0.000018422,0.000018422,0.000018422,0.000018422,0,0
CLPXPD,D,19931026,000000,0.000018709,0.000018709,0.000018709,0.000018709,0,0
CLPXPD,D,19931027,000000,0.00001863,0.00001863,0.00001863,0.00001863,0,0
CLPXPD,D,19931028,000000,0.000018756,0.000018756,0.000018756,0.000018756,0,0
CLPXPD,D,19931029,000000,0.000018709,0.000018709,0.000018709,0.000018709,0,0
CLPXPD,D,19931102,000000,0.000018927,0.000018927,0.000018927,0.000018927,0,0
CLPXPD,D,19931103,000000,0.000018807,0.000018807,0.000018807,0.000018807,0,0
CLPXPD,D,19931104,000000,0.000018583,0.000018583,0.000018583,0.000018583,0,0
CLPXPD,D,19931105,000000,0.000018818,0.000018818,0.000018818,0.000018818,0,0
CLPXPD,D,19931108,000000,0.000018876,0.000018876,0.000018876,0.000018876,0,0
CLPXPD,D,19931109,000000,0.000018811,0.000018811,0.000018811,0.000018811,0,0
CLPXPD,D,19931110,000000,0.000018814,0.000018814,0.000018814,0.000018814,0,0
CLPXPD,D,19931112,000000,0.000018853,0.000018853,0.000018853,0.000018853,0,0
CLPXPD,D,19931115,000000,0.000018624,0.000018624,0.000018624,0.000018624,0,0
CLPXPD,D,19931116,000000,0.000018595,0.000018595,0.000018595,0.000018595,0,0
CLPXPD,D,19931117,000000,0.000018874,0.000018874,0.000018874,0.000018874,0,0
CLPXPD,D,19931118,000000,0.000018802,0.000018802,0.000018802,0.000018802,0,0
CLPXPD,D,19931119,000000,0.000018811,0.000018811,0.000018811,0.000018811,0,0
CLPXPD,D,19931122,000000,0.000018861,0.000018861,0.000018861,0.000018861,0,0
CLPXPD,D,19931123,000000,0.000019354,0.000019354,0.000019354,0.000019354,0,0
CLPXPD,D,19931124,000000,0.000019359,0.000019359,0.000019359,0.000019359,0,0
CLPXPD,D,19931125,000000,0.00001932,0.00001932,0.00001932,0.00001932,0,0
CLPXPD,D,19931126,000000,0.000019234,0.000019234,0.000019234,0.000019234,0,0
CLPXPD,D,19931129,000000,0.000019564,0.000019564,0.000019564,0.000019564,0,0
CLPXPD,D,19931130,000000,0.000019759,0.000019759,0.000019759,0.000019759,0,0
CLPXPD,D,19931201,000000,0.000019455,0.000019455,0.000019455,0.000019455,0,0
CLPXPD,D,19931202,000000,0.000019194,0.000019194,0.000019194,0.000019194,0,0
CLPXPD,D,19931203,000000,0.000019113,0.000019113,0.000019113,0.000019113,0,0
CLPXPD,D,19931206,000000,0.000018721,0.000018721,0.000018721,0.000018721,0,0
CLPXPD,D,19931207,000000,0.000018286,0.000018286,0.000018286,0.000018286,0,0
CLPXPD,D,19931208,000000,0.000018268,0.000018268,0.000018268,0.000018268,0,0
CLPXPD,D,19931209,000000,0.00001859,0.00001859,0.00001859,0.00001859,0,0
CLPXPD,D,19931210,000000,0.000018632,0.000018632,0.000018632,0.000018632,0,0
CLPXPD,D,19931213,000000,0.000018462,0.000018462,0.000018462,0.000018462,0,0
CLPXPD,D,19931214,000000,0.000018477,0.000018477,0.000018477,0.000018477,0,0
CLPXPD,D,19931215,000000,0.000018592,0.000018592,0.000018592,0.000018592,0,0
CLPXPD,D,19931216,000000,0.000018651,0.000018651,0.000018651,0.000018651,0,0
CLPXPD,D,19931217,000000,0.000018752,0.000018752,0.000018752,0.000018752,0,0
CLPXPD,D,19931220,000000,0.000018708,0.000018708,0.000018708,0.000018708,0,0
CLPXPD,D,19931221,000000,0.000018686,0.000018686,0.000018686,0.000018686,0,0
CLPXPD,D,19931222,000000,0.00001874,0.00001874,0.00001874,0.00001874,0,0
CLPXPD,D,19931223,000000,0.000018632,0.000018632,0.000018632,0.000018632,0,0
CLPXPD,D,19931224,000000,0.000018606,0.000018606,0.000018606,0.000018606,0,0
CLPXPD,D,19931227,000000,0.000018691,0.000018691,0.000018691,0.000018691,0,0
CLPXPD,D,19931228,000000,0.000018575,0.000018575,0.000018575,0.000018575,0,0
CLPXPD,D,19931229,000000,0.000018755,0.000018755,0.000018755,0.000018755,0,0
CLPXPD,D,19931230,000000,0.000018821,0.000018821,0.000018821,0.000018821,0,0
CLPXPD,D,19931231,000000,0.000018827,0.000018827,0.000018827,0.000018827,0,0
CLPXPD,D,19940103,000000,0.000018648,0.000018648,0.000018648,0.000018648,0,0
CLPXPD,D,19940104,000000,0.000018198,0.000018198,0.000018198,0.000018198,0,0
CLPXPD,D,19940105,000000,0.000018357,0.000018357,0.000018357,0.000018357,0,0
CLPXPD,D,19940106,000000,0.000018474,0.000018474,0.000018474,0.000018474,0,0
CLPXPD,D,19940107,000000,0.000018597,0.000018597,0.000018597,0.000018597,0,0
CLPXPD,D,19940110,000000,0.000018912,0.000018912,0.000018912,0.000018912,0,0
CLPXPD,D,19940111,000000,0.000018855,0.000018855,0.000018855,0.000018855,0,0
CLPXPD,D,19940112,000000,0.000018897,0.000018897,0.000018897,0.000018897,0,0
CLPXPD,D,19940113,000000,0.000018813,0.000018813,0.000018813,0.000018813,0,0
CLPXPD,D,19940114,000000,0.000018744,0.000018744,0.000018744,0.000018744,0,0
CLPXPD,D,19940117,000000,0.000018497,0.000018497,0.000018497,0.000018497,0,0
CLPXPD,D,19940118,000000,0.000018461,0.000018461,0.000018461,0.000018461,0,0
CLPXPD,D,19940119,000000,0.000018632,0.000018632,0.000018632,0.000018632,0,0
CLPXPD,D,19940120,000000,0.000018731,0.000018731,0.000018731,0.000018731,0,0
CLPXPD,D,19940121,000000,0.000018772,0.000018772,0.000018772,0.000018772,0,0
CLPXPD,D,19940124,000000,0.000018668,0.000018668,0.000018668,0.000018668,0,0
CLPXPD,D,19940125,000000,0.0000188,0.0000188,0.0000188,0.0000188,0,0
CLPXPD,D,19940126,000000,0.000018768,0.000018768,0.000018768,0.000018768,0,0
CLPXPD,D,19940127,000000,0.000018813,0.000018813,0.000018813,0.000018813,0,0
CLPXPD,D,19940128,000000,0.000018818,0.000018818,0.000018818,0.000018818,0,0
CLPXPD,D,19940131,000000,0.00001861,0.00001861,0.00001861,0.00001861,0,0
CLPXPD,D,19940201,000000,0.000018247,0.000018247,0.000018247,0.000018247,0,0
CLPXPD,D,19940202,000000,0.0000182,0.0000182,0.0000182,0.0000182,0,0
CLPXPD,D,19940203,000000,0.000018147,0.000018147,0.000018147,0.000018147,0,0
