<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPZAR,D,19931025,000000,0.008157,0.008157,0.008157,0.008157,0,0
CLPZAR,D,19931026,000000,0.00818,0.00818,0.00818,0.00818,0,0
CLPZAR,D,19931027,000000,0.008181,0.008181,0.008181,0.008181,0,0
CLPZAR,D,19931028,000000,0.008192,0.008192,0.008192,0.008192,0,0
CLPZAR,D,19931029,000000,0.008153,0.008153,0.008153,0.008153,0,0
CLPZAR,D,19931102,000000,0.008191,0.008191,0.008191,0.008191,0,0
CLPZAR,D,19931103,000000,0.008189,0.008189,0.008189,0.008189,0,0
CLPZAR,D,19931104,000000,0.008191,0.008191,0.008191,0.008191,0,0
CLPZAR,D,19931105,000000,0.008212,0.008212,0.008212,0.008212,0,0
CLPZAR,D,19931108,000000,0.008175,0.008175,0.008175,0.008175,0,0
CLPZAR,D,19931109,000000,0.008204,0.008204,0.008204,0.008204,0,0
CLPZAR,D,19931110,000000,0.008198,0.008198,0.008198,0.008198,0,0
CLPZAR,D,19931112,000000,0.008182,0.008182,0.008182,0.008182,0,0
CLPZAR,D,19931115,000000,0.008172,0.008172,0.008172,0.008172,0,0
CLPZAR,D,19931116,000000,0.008206,0.008206,0.008206,0.008206,0,0
CLPZAR,D,19931117,000000,0.008216,0.008216,0.008216,0.008216,0,0
CLPZAR,D,19931118,000000,0.00821,0.00821,0.00821,0.00821,0,0
CLPZAR,D,19931119,000000,0.008165,0.008165,0.008165,0.008165,0,0
CLPZAR,D,19931122,000000,0.008161,0.008161,0.008161,0.008161,0,0
CLPZAR,D,19931123,000000,0.008137,0.008137,0.008137,0.008137,0,0
CLPZAR,D,19931124,000000,0.008113,0.008113,0.008113,0.008113,0,0
CLPZAR,D,19931125,000000,0.008096,0.008096,0.008096,0.008096,0,0
CLPZAR,D,19931126,000000,0.008087,0.008087,0.008087,0.008087,0,0
CLPZAR,D,19931129,000000,0.008011,0.008011,0.008011,0.008011,0,0
CLPZAR,D,19931130,000000,0.008044,0.008044,0.008044,0.008044,0,0
CLPZAR,D,19931201,000000,0.008038,0.008038,0.008038,0.008038,0,0
CLPZAR,D,19931202,000000,0.008003,0.008003,0.008003,0.008003,0,0
CLPZAR,D,19931203,000000,0.007954,0.007954,0.007954,0.007954,0,0
CLPZAR,D,19931206,000000,0.007895,0.007895,0.007895,0.007895,0,0
CLPZAR,D,19931207,000000,0.007846,0.007846,0.007846,0.007846,0,0
CLPZAR,D,19931208,000000,0.007874,0.007874,0.007874,0.007874,0,0
CLPZAR,D,19931209,000000,0.007919,0.007919,0.007919,0.007919,0,0
CLPZAR,D,19931210,000000,0.007951,0.007951,0.007951,0.007951,0,0
CLPZAR,D,19931213,000000,0.007967,0.007967,0.007967,0.007967,0,0
CLPZAR,D,19931214,000000,0.007932,0.007932,0.007932,0.007932,0,0
CLPZAR,D,19931215,000000,0.007942,0.007942,0.007942,0.007942,0,0
CLPZAR,D,19931216,000000,0.007961,0.007961,0.007961,0.007961,0,0
CLPZAR,D,19931217,000000,0.007954,0.007954,0.007954,0.007954,0,0
CLPZAR,D,19931220,000000,0.007972,0.007972,0.007972,0.007972,0,0
CLPZAR,D,19931221,000000,0.007954,0.007954,0.007954,0.007954,0,0
CLPZAR,D,19931222,000000,0.007941,0.007941,0.007941,0.007941,0,0
CLPZAR,D,19931223,000000,0.007897,0.007897,0.007897,0.007897,0,0
CLPZAR,D,19931224,000000,0.007879,0.007879,0.007879,0.007879,0,0
CLPZAR,D,19931227,000000,0.007875,0.007875,0.007875,0.007875,0,0
CLPZAR,D,19931228,000000,0.007851,0.007851,0.007851,0.007851,0,0
CLPZAR,D,19931229,000000,0.007875,0.007875,0.007875,0.007875,0,0
CLPZAR,D,19931230,000000,0.007941,0.007941,0.007941,0.007941,0,0
CLPZAR,D,19931231,000000,0.007945,0.007945,0.007945,0.007945,0,0
CLPZAR,D,19940103,000000,0.007927,0.007927,0.007927,0.007927,0,0
CLPZAR,D,19940104,000000,0.0079,0.0079,0.0079,0.0079,0,0
CLPZAR,D,19940105,000000,0.007883,0.007883,0.007883,0.007883,0,0
CLPZAR,D,19940106,000000,0.007903,0.007903,0.007903,0.007903,0,0
CLPZAR,D,19940107,000000,0.007893,0.007893,0.007893,0.007893,0,0
CLPZAR,D,19940110,000000,0.007915,0.007915,0.007915,0.007915,0,0
CLPZAR,D,19940111,000000,0.007942,0.007942,0.007942,0.007942,0,0
CLPZAR,D,19940112,000000,0.007928,0.007928,0.007928,0.007928,0,0
CLPZAR,D,19940113,000000,0.007931,0.007931,0.007931,0.007931,0,0
