<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYIDR,D,19931025,000000,242.29,242.29,242.29,242.29,0,0
CNYIDR,D,19931026,000000,242.2,242.2,242.2,242.2,0,0
CNYIDR,D,19931027,000000,242.08,242.08,242.08,242.08,0,0
CNYIDR,D,19931028,000000,242.22,242.22,242.22,242.22,0,0
CNYIDR,D,19931029,000000,242.22,242.22,242.22,242.22,0,0
CNYIDR,D,19931102,000000,242.14,242.14,242.14,242.14,0,0
CNYIDR,D,19931103,000000,242.03,242.03,242.03,242.03,0,0
CNYIDR,D,19931104,000000,241.94,241.94,241.94,241.94,0,0
CNYIDR,D,19931105,000000,241.95,241.95,241.95,241.95,0,0
CNYIDR,D,19931108,000000,241.73,241.73,241.73,241.73,0,0
CNYIDR,D,19931109,000000,241.48,241.48,241.48,241.48,0,0
CNYIDR,D,19931110,000000,241.37,241.37,241.37,241.37,0,0
CNYIDR,D,19931112,000000,241.04,241.04,241.04,241.04,0,0
CNYIDR,D,19931115,000000,240.86,240.86,240.86,240.86,0,0
CNYIDR,D,19931116,000000,241.06,241.06,241.06,241.06,0,0
CNYIDR,D,19931117,000000,241.33,241.33,241.33,241.33,0,0
CNYIDR,D,19931118,000000,240.89,240.89,240.89,240.89,0,0
CNYIDR,D,19931119,000000,241.29,241.29,241.29,241.29,0,0
CNYIDR,D,19931122,000000,242.06,242.06,242.06,242.06,0,0
CNYIDR,D,19931123,000000,241.76,241.76,241.76,241.76,0,0
CNYIDR,D,19931124,000000,241.28,241.28,241.28,241.28,0,0
CNYIDR,D,19931125,000000,241.2,241.2,241.2,241.2,0,0
CNYIDR,D,19931126,000000,241.21,241.21,241.21,241.21,0,0
CNYIDR,D,19931129,000000,241.42,241.42,241.42,241.42,0,0
CNYIDR,D,19931130,000000,241.66,241.66,241.66,241.66,0,0
CNYIDR,D,19931201,000000,241.82,241.82,241.82,241.82,0,0
CNYIDR,D,19931202,000000,241.86,241.86,241.86,241.86,0,0
CNYIDR,D,19931203,000000,241.88,241.88,241.88,241.88,0,0
CNYIDR,D,19931206,000000,241.8,241.8,241.8,241.8,0,0
CNYIDR,D,19931207,000000,241.55,241.55,241.55,241.55,0,0
CNYIDR,D,19931208,000000,241.58,241.58,241.58,241.58,0,0
CNYIDR,D,19931209,000000,241.67,241.67,241.67,241.67,0,0
CNYIDR,D,19931210,000000,241.65,241.65,241.65,241.65,0,0
CNYIDR,D,19931213,000000,241.61,241.61,241.61,241.61,0,0
CNYIDR,D,19931214,000000,241.66,241.66,241.66,241.66,0,0
CNYIDR,D,19931215,000000,241.5,241.5,241.5,241.5,0,0
CNYIDR,D,19931216,000000,241.56,241.56,241.56,241.56,0,0
CNYIDR,D,19931217,000000,241.54,241.54,241.54,241.54,0,0
CNYIDR,D,19931220,000000,241.49,241.49,241.49,241.49,0,0
CNYIDR,D,19931221,000000,241.44,241.44,241.44,241.44,0,0
CNYIDR,D,19931222,000000,241.5,241.5,241.5,241.5,0,0
CNYIDR,D,19931223,000000,241.46,241.46,241.46,241.46,0,0
CNYIDR,D,19931224,000000,241.48,241.48,241.48,241.48,0,0
CNYIDR,D,19931227,000000,241.58,241.58,241.58,241.58,0,0
CNYIDR,D,19931228,000000,241.62,241.62,241.62,241.62,0,0
CNYIDR,D,19931229,000000,242,242,242,242,0,0
CNYIDR,D,19931230,000000,242.57,242.57,242.57,242.57,0,0
CNYIDR,D,19931231,000000,242.75,242.75,242.75,242.75,0,0
CNYIDR,D,19940103,000000,241.48,241.48,241.48,241.48,0,0
CNYIDR,D,19940104,000000,241.38,241.38,241.38,241.38,0,0
CNYIDR,D,19940105,000000,241.28,241.28,241.28,241.28,0,0
CNYIDR,D,19940106,000000,241.1,241.1,241.1,241.1,0,0
CNYIDR,D,19940107,000000,241,241,241,241,0,0
CNYIDR,D,19940110,000000,240.76,240.76,240.76,240.76,0,0
CNYIDR,D,19940111,000000,240.69,240.69,240.69,240.69,0,0
CNYIDR,D,19940112,000000,241.03,241.03,241.03,241.03,0,0
CNYIDR,D,19940113,000000,241.86,241.86,241.86,241.86,0,0
CNYIDR,D,19940114,000000,242.99,242.99,242.99,242.99,0,0
CNYIDR,D,19940117,000000,242.64,242.64,242.64,242.64,0,0
CNYIDR,D,19940118,000000,242.26,242.26,242.26,242.26,0,0
CNYIDR,D,19940119,000000,241.7,241.7,241.7,241.7,0,0
