<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZK_I,D,19960102,000000,100,100,100,100,0,0
CZK_I,D,19960103,000000,100.159,100.159,100.159,100.159,0,0
CZK_I,D,19960104,000000,100.229,100.229,100.229,100.229,0,0
CZK_I,D,19960105,000000,100.039,100.039,100.039,100.039,0,0
CZK_I,D,19960108,000000,100.128,100.128,100.128,100.128,0,0
CZK_I,D,19960109,000000,100.076,100.076,100.076,100.076,0,0
CZK_I,D,19960110,000000,99.9326,99.9326,99.9326,99.9326,0,0
CZK_I,D,19960111,000000,99.9111,99.9111,99.9111,99.9111,0,0
CZK_I,D,19960112,000000,100.048,100.048,100.048,100.048,0,0
CZK_I,D,19960115,000000,99.9767,99.9767,99.9767,99.9767,0,0
CZK_I,D,19960116,000000,99.9937,99.9937,99.9937,99.9937,0,0
CZK_I,D,19960117,000000,100.073,100.073,100.073,100.073,0,0
CZK_I,D,19960118,000000,100.182,100.182,100.182,100.182,0,0
CZK_I,D,19960119,000000,100.156,100.156,100.156,100.156,0,0
CZK_I,D,19960122,000000,100.158,100.158,100.158,100.158,0,0
CZK_I,D,19960123,000000,100.311,100.311,100.311,100.311,0,0
CZK_I,D,19960124,000000,100.447,100.447,100.447,100.447,0,0
CZK_I,D,19960125,000000,100.376,100.376,100.376,100.376,0,0
CZK_I,D,19960126,000000,100.487,100.487,100.487,100.487,0,0
CZK_I,D,19960129,000000,101.019,101.019,101.019,101.019,0,0
CZK_I,D,19960130,000000,100.998,100.998,100.998,100.998,0,0
CZK_I,D,19960131,000000,100.808,100.808,100.808,100.808,0,0
CZK_I,D,19960201,000000,100.605,100.605,100.605,100.605,0,0
CZK_I,D,19960202,000000,100.754,100.754,100.754,100.754,0,0
CZK_I,D,19960205,000000,100.674,100.674,100.674,100.674,0,0
CZK_I,D,19960206,000000,100.736,100.736,100.736,100.736,0,0
CZK_I,D,19960207,000000,100.695,100.695,100.695,100.695,0,0
CZK_I,D,19960208,000000,100.522,100.522,100.522,100.522,0,0
CZK_I,D,19960209,000000,100.585,100.585,100.585,100.585,0,0
CZK_I,D,19960212,000000,100.785,100.785,100.785,100.785,0,0
CZK_I,D,19960213,000000,100.932,100.932,100.932,100.932,0,0
CZK_I,D,19960214,000000,100.921,100.921,100.921,100.921,0,0
CZK_I,D,19960215,000000,100.774,100.774,100.774,100.774,0,0
CZK_I,D,19960216,000000,100.471,100.471,100.471,100.471,0,0
CZK_I,D,19960219,000000,100.29,100.29,100.29,100.29,0,0
CZK_I,D,19960220,000000,100.039,100.039,100.039,100.039,0,0
CZK_I,D,19960221,000000,100.322,100.322,100.322,100.322,0,0
CZK_I,D,19960222,000000,100.121,100.121,100.121,100.121,0,0
CZK_I,D,19960223,000000,100.005,100.005,100.005,100.005,0,0
CZK_I,D,19960226,000000,99.9553,99.9553,99.9553,99.9553,0,0
CZK_I,D,19960227,000000,99.9524,99.9524,99.9524,99.9524,0,0
CZK_I,D,19960228,000000,100.053,100.053,100.053,100.053,0,0
CZK_I,D,19960229,000000,99.6151,99.6151,99.6151,99.6151,0,0
CZK_I,D,19960301,000000,99.6926,99.6926,99.6926,99.6926,0,0
CZK_I,D,19960304,000000,99.7683,99.7683,99.7683,99.7683,0,0
CZK_I,D,19960305,000000,99.86,99.86,99.86,99.86,0,0
CZK_I,D,19960306,000000,100.037,100.037,100.037,100.037,0,0
CZK_I,D,19960307,000000,99.91,99.91,99.91,99.91,0,0
CZK_I,D,19960308,000000,100.002,100.002,100.002,100.002,0,0
CZK_I,D,19960311,000000,99.9058,99.9058,99.9058,99.9058,0,0
CZK_I,D,19960312,000000,99.9787,99.9787,99.9787,99.9787,0,0
CZK_I,D,19960313,000000,99.8425,99.8425,99.8425,99.8425,0,0
CZK_I,D,19960314,000000,99.8025,99.8025,99.8025,99.8025,0,0
CZK_I,D,19960315,000000,99.8031,99.8031,99.8031,99.8031,0,0
