<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKCAD,D,19951023,000000,0.052635,0.052635,0.052635,0.052635,0,0
CZKCAD,D,19951024,000000,0.053191,0.053191,0.053191,0.053191,0,0
CZKCAD,D,19951025,000000,0.05263,0.05263,0.05263,0.05263,0,0
CZKCAD,D,19951026,000000,0.052643,0.052643,0.052643,0.052643,0,0
CZKCAD,D,19951027,000000,0.052826,0.052826,0.052826,0.052826,0,0
CZKCAD,D,19951030,000000,0.052082,0.052082,0.052082,0.052082,0,0
CZKCAD,D,19951031,000000,0.051094,0.051094,0.051094,0.051094,0,0
CZKCAD,D,19951102,000000,0.051293,0.051293,0.051293,0.051293,0,0
CZKCAD,D,19951103,000000,0.051175,0.051175,0.051175,0.051175,0,0
CZKCAD,D,19951106,000000,0.051411,0.051411,0.051411,0.051411,0,0
CZKCAD,D,19951107,000000,0.051695,0.051695,0.051695,0.051695,0,0
CZKCAD,D,19951108,000000,0.051707,0.051707,0.051707,0.051707,0,0
CZKCAD,D,19951109,000000,0.05142,0.05142,0.05142,0.05142,0,0
CZKCAD,D,19951110,000000,0.051566,0.051566,0.051566,0.051566,0,0
CZKCAD,D,19951113,000000,0.051599,0.051599,0.051599,0.051599,0,0
CZKCAD,D,19951114,000000,0.051486,0.051486,0.051486,0.051486,0,0
CZKCAD,D,19951115,000000,0.052008,0.052008,0.052008,0.052008,0,0
CZKCAD,D,19951116,000000,0.051762,0.051762,0.051762,0.051762,0,0
CZKCAD,D,19951117,000000,0.051951,0.051951,0.051951,0.051951,0,0
CZKCAD,D,19951120,000000,0.051458,0.051458,0.051458,0.051458,0,0
CZKCAD,D,19951121,000000,0.051632,0.051632,0.051632,0.051632,0,0
CZKCAD,D,19951122,000000,0.05174,0.05174,0.05174,0.05174,0,0
CZKCAD,D,19951123,000000,0.051691,0.051691,0.051691,0.051691,0,0
CZKCAD,D,19951124,000000,0.05166,0.05166,0.05166,0.05166,0,0
CZKCAD,D,19951127,000000,0.051028,0.051028,0.051028,0.051028,0,0
CZKCAD,D,19951128,000000,0.051108,0.051108,0.051108,0.051108,0,0
CZKCAD,D,19951129,000000,0.051252,0.051252,0.051252,0.051252,0,0
CZKCAD,D,19951130,000000,0.051225,0.051225,0.051225,0.051225,0,0
CZKCAD,D,19951201,000000,0.051111,0.051111,0.051111,0.051111,0,0
CZKCAD,D,19951204,000000,0.051499,0.051499,0.051499,0.051499,0,0
CZKCAD,D,19951205,000000,0.051612,0.051612,0.051612,0.051612,0,0
CZKCAD,D,19951206,000000,0.051488,0.051488,0.051488,0.051488,0,0
CZKCAD,D,19951207,000000,0.051493,0.051493,0.051493,0.051493,0,0
CZKCAD,D,19951208,000000,0.051505,0.051505,0.051505,0.051505,0,0
CZKCAD,D,19951211,000000,0.051873,0.051873,0.051873,0.051873,0,0
CZKCAD,D,19951212,000000,0.05188,0.05188,0.05188,0.05188,0,0
CZKCAD,D,19951213,000000,0.051562,0.051562,0.051562,0.051562,0,0
CZKCAD,D,19951214,000000,0.051549,0.051549,0.051549,0.051549,0,0
CZKCAD,D,19951215,000000,0.051736,0.051736,0.051736,0.051736,0,0
CZKCAD,D,19951218,000000,0.051685,0.051685,0.051685,0.051685,0,0
CZKCAD,D,19951219,000000,0.051936,0.051936,0.051936,0.051936,0,0
CZKCAD,D,19951220,000000,0.051261,0.051261,0.051261,0.051261,0,0
CZKCAD,D,19951221,000000,0.051173,0.051173,0.051173,0.051173,0,0
CZKCAD,D,19951222,000000,0.0511,0.0511,0.0511,0.0511,0,0
CZKCAD,D,19951227,000000,0.050923,0.050923,0.050923,0.050923,0,0
CZKCAD,D,19951228,000000,0.051069,0.051069,0.051069,0.051069,0,0
CZKCAD,D,19951229,000000,0.051093,0.051093,0.051093,0.051093,0,0
CZKCAD,D,19960102,000000,0.051116,0.051116,0.051116,0.051116,0,0
CZKCAD,D,19960103,000000,0.050802,0.050802,0.050802,0.050802,0,0
CZKCAD,D,19960104,000000,0.050544,0.050544,0.050544,0.050544,0,0
CZKCAD,D,19960105,000000,0.050872,0.050872,0.050872,0.050872,0,0
CZKCAD,D,19960108,000000,0.051008,0.051008,0.051008,0.051008,0,0
CZKCAD,D,19960109,000000,0.051017,0.051017,0.051017,0.051017,0,0
CZKCAD,D,19960110,000000,0.051014,0.051014,0.051014,0.051014,0,0
CZKCAD,D,19960111,000000,0.051187,0.051187,0.051187,0.051187,0,0
CZKCAD,D,19960112,000000,0.050903,0.050903,0.050903,0.050903,0,0
CZKCAD,D,19960115,000000,0.050959,0.050959,0.050959,0.050959,0,0
CZKCAD,D,19960116,000000,0.050749,0.050749,0.050749,0.050749,0,0
CZKCAD,D,19960117,000000,0.050752,0.050752,0.050752,0.050752,0,0
CZKCAD,D,19960118,000000,0.050466,0.050466,0.050466,0.050466,0,0
CZKCAD,D,19960119,000000,0.050181,0.050181,0.050181,0.050181,0,0
CZKCAD,D,19960122,000000,0.050278,0.050278,0.050278,0.050278,0,0
CZKCAD,D,19960123,000000,0.050594,0.050594,0.050594,0.050594,0,0
CZKCAD,D,19960124,000000,0.050275,0.050275,0.050275,0.050275,0,0
CZKCAD,D,19960125,000000,0.050653,0.050653,0.050653,0.050653,0,0
CZKCAD,D,19960126,000000,0.050536,0.050536,0.050536,0.050536,0,0
CZKCAD,D,19960129,000000,0.050581,0.050581,0.050581,0.050581,0,0
CZKCAD,D,19960130,000000,0.05066,0.05066,0.05066,0.05066,0,0
CZKCAD,D,19960131,000000,0.050767,0.050767,0.050767,0.050767,0,0
CZKCAD,D,19960201,000000,0.050488,0.050488,0.050488,0.050488,0,0
CZKCAD,D,19960202,000000,0.050444,0.050444,0.050444,0.050444,0,0
CZKCAD,D,19960205,000000,0.050818,0.050818,0.050818,0.050818,0,0
CZKCAD,D,19960206,000000,0.050963,0.050963,0.050963,0.050963,0,0
