<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKISK,D,19951023,000000,2.469,2.469,2.469,2.469,0,0
CZKISK,D,19951024,000000,2.4703,2.4703,2.4703,2.4703,0,0
CZKISK,D,19951025,000000,2.4662,2.4662,2.4662,2.4662,0,0
CZKISK,D,19951026,000000,2.4688,2.4688,2.4688,2.4688,0,0
CZKISK,D,19951027,000000,2.4658,2.4658,2.4658,2.4658,0,0
CZKISK,D,19951030,000000,2.4632,2.4632,2.4632,2.4632,0,0
CZKISK,D,19951031,000000,2.4603,2.4603,2.4603,2.4603,0,0
CZKISK,D,19951102,000000,2.461,2.461,2.461,2.461,0,0
CZKISK,D,19951103,000000,2.4686,2.4686,2.4686,2.4686,0,0
CZKISK,D,19951106,000000,2.4588,2.4588,2.4588,2.4588,0,0
CZKISK,D,19951107,000000,2.4598,2.4598,2.4598,2.4598,0,0
CZKISK,D,19951108,000000,2.4576,2.4576,2.4576,2.4576,0,0
CZKISK,D,19951109,000000,2.455,2.455,2.455,2.455,0,0
CZKISK,D,19951110,000000,2.4566,2.4566,2.4566,2.4566,0,0
CZKISK,D,19951113,000000,2.4583,2.4583,2.4583,2.4583,0,0
CZKISK,D,19951114,000000,2.4605,2.4605,2.4605,2.4605,0,0
CZKISK,D,19951115,000000,2.4635,2.4635,2.4635,2.4635,0,0
CZKISK,D,19951116,000000,2.4651,2.4651,2.4651,2.4651,0,0
CZKISK,D,19951117,000000,2.4676,2.4676,2.4676,2.4676,0,0
CZKISK,D,19951120,000000,2.4646,2.4646,2.4646,2.4646,0,0
CZKISK,D,19951121,000000,2.4655,2.4655,2.4655,2.4655,0,0
CZKISK,D,19951122,000000,2.4632,2.4632,2.4632,2.4632,0,0
CZKISK,D,19951123,000000,2.4614,2.4614,2.4614,2.4614,0,0
CZKISK,D,19951124,000000,2.4603,2.4603,2.4603,2.4603,0,0
CZKISK,D,19951127,000000,2.4416,2.4416,2.4416,2.4416,0,0
CZKISK,D,19951128,000000,2.4557,2.4557,2.4557,2.4557,0,0
CZKISK,D,19951129,000000,2.4594,2.4594,2.4594,2.4594,0,0
CZKISK,D,19951130,000000,2.4603,2.4603,2.4603,2.4603,0,0
CZKISK,D,19951201,000000,2.4604,2.4604,2.4604,2.4604,0,0
CZKISK,D,19951204,000000,2.4719,2.4719,2.4719,2.4719,0,0
CZKISK,D,19951205,000000,2.4621,2.4621,2.4621,2.4621,0,0
CZKISK,D,19951206,000000,2.4606,2.4606,2.4606,2.4606,0,0
CZKISK,D,19951207,000000,2.4659,2.4659,2.4659,2.4659,0,0
CZKISK,D,19951208,000000,2.4633,2.4633,2.4633,2.4633,0,0
CZKISK,D,19951211,000000,2.4663,2.4663,2.4663,2.4663,0,0
CZKISK,D,19951212,000000,2.4668,2.4668,2.4668,2.4668,0,0
CZKISK,D,19951213,000000,2.4657,2.4657,2.4657,2.4657,0,0
CZKISK,D,19951214,000000,2.4649,2.4649,2.4649,2.4649,0,0
CZKISK,D,19951215,000000,2.4626,2.4626,2.4626,2.4626,0,0
CZKISK,D,19951218,000000,2.4627,2.4627,2.4627,2.4627,0,0
