<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKRUB,D,19951023,000000,0.17382,0.17382,0.17382,0.17382,0,0
CZKRUB,D,19951024,000000,0.17401,0.17401,0.17401,0.17401,0,0
CZKRUB,D,19951025,000000,0.17342,0.17342,0.17342,0.17342,0,0
CZKRUB,D,19951026,000000,0.17364,0.17364,0.17364,0.17364,0,0
CZKRUB,D,19951027,000000,0.17371,0.17371,0.17371,0.17371,0,0
CZKRUB,D,19951030,000000,0.17213,0.17213,0.17213,0.17213,0,0
CZKRUB,D,19951031,000000,0.17209,0.17209,0.17209,0.17209,0,0
CZKRUB,D,19951102,000000,0.17208,0.17208,0.17208,0.17208,0,0
CZKRUB,D,19951103,000000,0.17235,0.17235,0.17235,0.17235,0,0
CZKRUB,D,19951106,000000,0.17262,0.17262,0.17262,0.17262,0,0
CZKRUB,D,19951107,000000,0.17252,0.17252,0.17252,0.17252,0,0
CZKRUB,D,19951108,000000,0.17217,0.17217,0.17217,0.17217,0,0
CZKRUB,D,19951109,000000,0.17153,0.17153,0.17153,0.17153,0,0
CZKRUB,D,19951110,000000,0.17258,0.17258,0.17258,0.17258,0,0
CZKRUB,D,19951113,000000,0.17305,0.17305,0.17305,0.17305,0,0
CZKRUB,D,19951114,000000,0.17268,0.17268,0.17268,0.17268,0,0
CZKRUB,D,19951115,000000,0.17385,0.17385,0.17385,0.17385,0,0
CZKRUB,D,19951116,000000,0.17315,0.17315,0.17315,0.17315,0,0
CZKRUB,D,19951117,000000,0.17448,0.17448,0.17448,0.17448,0,0
CZKRUB,D,19951120,000000,0.17394,0.17394,0.17394,0.17394,0,0
CZKRUB,D,19951121,000000,0.17422,0.17422,0.17422,0.17422,0,0
CZKRUB,D,19951122,000000,0.17476,0.17476,0.17476,0.17476,0,0
CZKRUB,D,19951123,000000,0.17478,0.17478,0.17478,0.17478,0,0
CZKRUB,D,19951124,000000,0.17455,0.17455,0.17455,0.17455,0,0
CZKRUB,D,19951127,000000,0.17291,0.17291,0.17291,0.17291,0,0
CZKRUB,D,19951128,000000,0.17281,0.17281,0.17281,0.17281,0,0
CZKRUB,D,19951129,000000,0.17275,0.17275,0.17275,0.17275,0,0
CZKRUB,D,19951130,000000,0.17281,0.17281,0.17281,0.17281,0,0
CZKRUB,D,19951201,000000,0.17219,0.17219,0.17219,0.17219,0,0
CZKRUB,D,19951204,000000,0.173,0.173,0.173,0.173,0,0
CZKRUB,D,19951205,000000,0.17332,0.17332,0.17332,0.17332,0,0
CZKRUB,D,19951206,000000,0.17303,0.17303,0.17303,0.17303,0,0
CZKRUB,D,19951207,000000,0.17333,0.17333,0.17333,0.17333,0,0
CZKRUB,D,19951208,000000,0.17225,0.17225,0.17225,0.17225,0,0
CZKRUB,D,19951211,000000,0.17247,0.17247,0.17247,0.17247,0,0
CZKRUB,D,19951212,000000,0.17231,0.17231,0.17231,0.17231,0,0
CZKRUB,D,19951213,000000,0.17346,0.17346,0.17346,0.17346,0,0
CZKRUB,D,19951214,000000,0.17378,0.17378,0.17378,0.17378,0,0
CZKRUB,D,19951215,000000,0.1742,0.1742,0.1742,0.1742,0,0
CZKRUB,D,19951218,000000,0.17462,0.17462,0.17462,0.17462,0,0
CZKRUB,D,19951219,000000,0.17476,0.17476,0.17476,0.17476,0,0
CZKRUB,D,19951220,000000,0.17344,0.17344,0.17344,0.17344,0,0
CZKRUB,D,19951221,000000,0.17394,0.17394,0.17394,0.17394,0,0
