<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKSGD,D,19951023,000000,0.054378,0.054378,0.054378,0.054378,0,0
CZKSGD,D,19951024,000000,0.054451,0.054451,0.054451,0.054451,0,0
CZKSGD,D,19951025,000000,0.054651,0.054651,0.054651,0.054651,0,0
CZKSGD,D,19951026,000000,0.054668,0.054668,0.054668,0.054668,0,0
CZKSGD,D,19951027,000000,0.054258,0.054258,0.054258,0.054258,0,0
CZKSGD,D,19951030,000000,0.054206,0.054206,0.054206,0.054206,0,0
CZKSGD,D,19951031,000000,0.053802,0.053802,0.053802,0.053802,0,0
CZKSGD,D,19951102,000000,0.053998,0.053998,0.053998,0.053998,0,0
CZKSGD,D,19951103,000000,0.053697,0.053697,0.053697,0.053697,0,0
CZKSGD,D,19951106,000000,0.053764,0.053764,0.053764,0.053764,0,0
CZKSGD,D,19951107,000000,0.053728,0.053728,0.053728,0.053728,0,0
CZKSGD,D,19951108,000000,0.053696,0.053696,0.053696,0.053696,0,0
CZKSGD,D,19951109,000000,0.053503,0.053503,0.053503,0.053503,0,0
CZKSGD,D,19951110,000000,0.053812,0.053812,0.053812,0.053812,0,0
CZKSGD,D,19951113,000000,0.053853,0.053853,0.053853,0.053853,0,0
CZKSGD,D,19951114,000000,0.053619,0.053619,0.053619,0.053619,0,0
CZKSGD,D,19951115,000000,0.054017,0.054017,0.054017,0.054017,0,0
CZKSGD,D,19951116,000000,0.054019,0.054019,0.054019,0.054019,0,0
CZKSGD,D,19951117,000000,0.054054,0.054054,0.054054,0.054054,0,0
CZKSGD,D,19951120,000000,0.053778,0.053778,0.053778,0.053778,0,0
CZKSGD,D,19951121,000000,0.054025,0.054025,0.054025,0.054025,0,0
CZKSGD,D,19951122,000000,0.053875,0.053875,0.053875,0.053875,0,0
CZKSGD,D,19951123,000000,0.053933,0.053933,0.053933,0.053933,0,0
CZKSGD,D,19951124,000000,0.053913,0.053913,0.053913,0.053913,0,0
CZKSGD,D,19951127,000000,0.053299,0.053299,0.053299,0.053299,0,0
CZKSGD,D,19951128,000000,0.053273,0.053273,0.053273,0.053273,0,0
CZKSGD,D,19951129,000000,0.053309,0.053309,0.053309,0.053309,0,0
CZKSGD,D,19951130,000000,0.053226,0.053226,0.053226,0.053226,0,0
CZKSGD,D,19951201,000000,0.053093,0.053093,0.053093,0.053093,0,0
CZKSGD,D,19951204,000000,0.053342,0.053342,0.053342,0.053342,0,0
CZKSGD,D,19951205,000000,0.053338,0.053338,0.053338,0.053338,0,0
CZKSGD,D,19951206,000000,0.053302,0.053302,0.053302,0.053302,0,0
CZKSGD,D,19951207,000000,0.053292,0.053292,0.053292,0.053292,0,0
CZKSGD,D,19951208,000000,0.053175,0.053175,0.053175,0.053175,0,0
CZKSGD,D,19951211,000000,0.053243,0.053243,0.053243,0.053243,0,0
CZKSGD,D,19951212,000000,0.053253,0.053253,0.053253,0.053253,0,0
CZKSGD,D,19951213,000000,0.053123,0.053123,0.053123,0.053123,0,0
CZKSGD,D,19951214,000000,0.053112,0.053112,0.053112,0.053112,0,0
CZKSGD,D,19951215,000000,0.053295,0.053295,0.053295,0.053295,0,0
CZKSGD,D,19951218,000000,0.053212,0.053212,0.053212,0.053212,0,0
CZKSGD,D,19951219,000000,0.053258,0.053258,0.053258,0.053258,0,0
CZKSGD,D,19951220,000000,0.052857,0.052857,0.052857,0.052857,0,0
CZKSGD,D,19951221,000000,0.05301,0.05301,0.05301,0.05301,0,0
CZKSGD,D,19951222,000000,0.052946,0.052946,0.052946,0.052946,0,0
CZKSGD,D,19951227,000000,0.052996,0.052996,0.052996,0.052996,0,0
CZKSGD,D,19951228,000000,0.053083,0.053083,0.053083,0.053083,0,0
CZKSGD,D,19951229,000000,0.053042,0.053042,0.053042,0.053042,0,0
CZKSGD,D,19960102,000000,0.053151,0.053151,0.053151,0.053151,0,0
CZKSGD,D,19960103,000000,0.053084,0.053084,0.053084,0.053084,0,0
CZKSGD,D,19960104,000000,0.052913,0.052913,0.052913,0.052913,0,0
CZKSGD,D,19960105,000000,0.053276,0.053276,0.053276,0.053276,0,0
CZKSGD,D,19960108,000000,0.053427,0.053427,0.053427,0.053427,0,0
CZKSGD,D,19960109,000000,0.053293,0.053293,0.053293,0.053293,0,0
CZKSGD,D,19960110,000000,0.053344,0.053344,0.053344,0.053344,0,0
CZKSGD,D,19960111,000000,0.053388,0.053388,0.053388,0.053388,0,0
CZKSGD,D,19960112,000000,0.053165,0.053165,0.053165,0.053165,0,0
CZKSGD,D,19960115,000000,0.053152,0.053152,0.053152,0.053152,0,0
CZKSGD,D,19960116,000000,0.053006,0.053006,0.053006,0.053006,0,0
CZKSGD,D,19960117,000000,0.052824,0.052824,0.052824,0.052824,0,0
CZKSGD,D,19960118,000000,0.052461,0.052461,0.052461,0.052461,0,0
CZKSGD,D,19960119,000000,0.052353,0.052353,0.052353,0.052353,0,0
CZKSGD,D,19960122,000000,0.052311,0.052311,0.052311,0.052311,0,0
CZKSGD,D,19960123,000000,0.052505,0.052505,0.052505,0.052505,0,0
CZKSGD,D,19960124,000000,0.052209,0.052209,0.052209,0.052209,0,0
CZKSGD,D,19960125,000000,0.05232,0.05232,0.05232,0.05232,0,0
CZKSGD,D,19960126,000000,0.051974,0.051974,0.051974,0.051974,0,0
CZKSGD,D,19960129,000000,0.052026,0.052026,0.052026,0.052026,0,0
CZKSGD,D,19960130,000000,0.052187,0.052187,0.052187,0.052187,0,0
CZKSGD,D,19960131,000000,0.052087,0.052087,0.052087,0.052087,0,0
CZKSGD,D,19960201,000000,0.052085,0.052085,0.052085,0.052085,0,0
CZKSGD,D,19960202,000000,0.052048,0.052048,0.052048,0.052048,0,0
CZKSGD,D,19960205,000000,0.052235,0.052235,0.052235,0.052235,0,0
CZKSGD,D,19960206,000000,0.052418,0.052418,0.052418,0.052418,0,0
CZKSGD,D,19960207,000000,0.05226,0.05226,0.05226,0.05226,0,0
CZKSGD,D,19960208,000000,0.05225,0.05225,0.05225,0.05225,0,0
CZKSGD,D,19960209,000000,0.05236,0.05236,0.05236,0.05236,0,0
CZKSGD,D,19960212,000000,0.052302,0.052302,0.052302,0.052302,0,0
CZKSGD,D,19960213,000000,0.052463,0.052463,0.052463,0.052463,0,0
CZKSGD,D,19960214,000000,0.052547,0.052547,0.052547,0.052547,0,0
CZKSGD,D,19960215,000000,0.052475,0.052475,0.052475,0.052475,0,0
CZKSGD,D,19960216,000000,0.05228,0.05228,0.05228,0.05228,0,0
CZKSGD,D,19960219,000000,0.052109,0.052109,0.052109,0.052109,0,0
CZKSGD,D,19960220,000000,0.052106,0.052106,0.052106,0.052106,0,0
CZKSGD,D,19960221,000000,0.052077,0.052077,0.052077,0.052077,0,0
CZKSGD,D,19960222,000000,0.052169,0.052169,0.052169,0.052169,0,0
CZKSGD,D,19960223,000000,0.052187,0.052187,0.052187,0.052187,0,0
CZKSGD,D,19960226,000000,0.052213,0.052213,0.052213,0.052213,0,0
CZKSGD,D,19960227,000000,0.052228,0.052228,0.052228,0.052228,0,0
CZKSGD,D,19960228,000000,0.052355,0.052355,0.052355,0.052355,0,0
CZKSGD,D,19960229,000000,0.051767,0.051767,0.051767,0.051767,0,0
CZKSGD,D,19960301,000000,0.051639,0.051639,0.051639,0.051639,0,0
CZKSGD,D,19960304,000000,0.051842,0.051842,0.051842,0.051842,0,0
CZKSGD,D,19960305,000000,0.05183,0.05183,0.05183,0.05183,0,0
CZKSGD,D,19960306,000000,0.051924,0.051924,0.051924,0.051924,0,0
CZKSGD,D,19960307,000000,0.051682,0.051682,0.051682,0.051682,0,0
