<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKTRY,D,19951023,000000,0.0019324,0.0019324,0.0019324,0.0019324,0,0
CZKTRY,D,19951024,000000,0.0019463,0.0019463,0.0019463,0.0019463,0,0
CZKTRY,D,19951025,000000,0.0019359,0.0019359,0.0019359,0.0019359,0,0
CZKTRY,D,19951026,000000,0.0019409,0.0019409,0.0019409,0.0019409,0,0
CZKTRY,D,19951027,000000,0.0019554,0.0019554,0.0019554,0.0019554,0,0
CZKTRY,D,19951030,000000,0.0019474,0.0019474,0.0019474,0.0019474,0,0
CZKTRY,D,19951031,000000,0.001943,0.001943,0.001943,0.001943,0,0
CZKTRY,D,19951102,000000,0.0019513,0.0019513,0.0019513,0.0019513,0,0
CZKTRY,D,19951103,000000,0.0019658,0.0019658,0.0019658,0.0019658,0,0
CZKTRY,D,19951106,000000,0.0019641,0.0019641,0.0019641,0.0019641,0,0
CZKTRY,D,19951107,000000,0.0019669,0.0019669,0.0019669,0.0019669,0,0
CZKTRY,D,19951108,000000,0.0019693,0.0019693,0.0019693,0.0019693,0,0
CZKTRY,D,19951109,000000,0.0019661,0.0019661,0.0019661,0.0019661,0,0
CZKTRY,D,19951110,000000,0.0019739,0.0019739,0.0019739,0.0019739,0,0
CZKTRY,D,19951113,000000,0.0019822,0.0019822,0.0019822,0.0019822,0,0
CZKTRY,D,19951114,000000,0.0019855,0.0019855,0.0019855,0.0019855,0,0
CZKTRY,D,19951115,000000,0.0020002,0.0020002,0.0020002,0.0020002,0,0
CZKTRY,D,19951116,000000,0.0020038,0.0020038,0.0020038,0.0020038,0,0
CZKTRY,D,19951117,000000,0.0020071,0.0020071,0.0020071,0.0020071,0,0
CZKTRY,D,19951120,000000,0.0020146,0.0020146,0.0020146,0.0020146,0,0
CZKTRY,D,19951121,000000,0.0020217,0.0020217,0.0020217,0.0020217,0,0
CZKTRY,D,19951122,000000,0.0020255,0.0020255,0.0020255,0.0020255,0,0
CZKTRY,D,19951123,000000,0.0020244,0.0020244,0.0020244,0.0020244,0,0
CZKTRY,D,19951124,000000,0.0020486,0.0020486,0.0020486,0.0020486,0,0
CZKTRY,D,19951127,000000,0.0020376,0.0020376,0.0020376,0.0020376,0,0
CZKTRY,D,19951128,000000,0.0020474,0.0020474,0.0020474,0.0020474,0,0
CZKTRY,D,19951129,000000,0.0020527,0.0020527,0.0020527,0.0020527,0,0
CZKTRY,D,19951130,000000,0.0020573,0.0020573,0.0020573,0.0020573,0,0
CZKTRY,D,19951201,000000,0.0020599,0.0020599,0.0020599,0.0020599,0,0
