<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKXPD,D,19951023,000000,0.00028424,0.00028424,0.00028424,0.00028424,0,0
CZKXPD,D,19951024,000000,0.00028374,0.00028374,0.00028374,0.00028374,0,0
CZKXPD,D,19951025,000000,0.0002799,0.0002799,0.0002799,0.0002799,0,0
CZKXPD,D,19951026,000000,0.00028525,0.00028525,0.00028525,0.00028525,0,0
CZKXPD,D,19951027,000000,0.00028158,0.00028158,0.00028158,0.00028158,0,0
CZKXPD,D,19951030,000000,0.00027831,0.00027831,0.00027831,0.00027831,0,0
CZKXPD,D,19951031,000000,0.00027443,0.00027443,0.00027443,0.00027443,0,0
CZKXPD,D,19951102,000000,0.00027948,0.00027948,0.00027948,0.00027948,0,0
CZKXPD,D,19951103,000000,0.00027971,0.00027971,0.00027971,0.00027971,0,0
CZKXPD,D,19951106,000000,0.00028462,0.00028462,0.00028462,0.00028462,0,0
CZKXPD,D,19951107,000000,0.0002809,0.0002809,0.0002809,0.0002809,0,0
CZKXPD,D,19951108,000000,0.0002807,0.0002807,0.0002807,0.0002807,0,0
CZKXPD,D,19951109,000000,0.00027786,0.00027786,0.00027786,0.00027786,0,0
CZKXPD,D,19951110,000000,0.00027951,0.00027951,0.00027951,0.00027951,0,0
CZKXPD,D,19951113,000000,0.0002796,0.0002796,0.0002796,0.0002796,0,0
CZKXPD,D,19951114,000000,0.00028009,0.00028009,0.00028009,0.00028009,0,0
CZKXPD,D,19951115,000000,0.00028092,0.00028092,0.00028092,0.00028092,0,0
CZKXPD,D,19951116,000000,0.00028347,0.00028347,0.00028347,0.00028347,0,0
CZKXPD,D,19951117,000000,0.00028269,0.00028269,0.00028269,0.00028269,0,0
CZKXPD,D,19951120,000000,0.00028044,0.00028044,0.00028044,0.00028044,0,0
CZKXPD,D,19951121,000000,0.00028268,0.00028268,0.00028268,0.00028268,0,0
CZKXPD,D,19951122,000000,0.00028393,0.00028393,0.00028393,0.00028393,0,0
CZKXPD,D,19951123,000000,0.00028377,0.00028377,0.00028377,0.00028377,0,0
CZKXPD,D,19951124,000000,0.00028343,0.00028343,0.00028343,0.00028343,0,0
CZKXPD,D,19951127,000000,0.00027848,0.00027848,0.00027848,0.00027848,0,0
CZKXPD,D,19951128,000000,0.00027786,0.00027786,0.00027786,0.00027786,0,0
CZKXPD,D,19951129,000000,0.00028159,0.00028159,0.00028159,0.00028159,0,0
CZKXPD,D,19951130,000000,0.0002834,0.0002834,0.0002834,0.0002834,0,0
CZKXPD,D,19951201,000000,0.00028577,0.00028577,0.00028577,0.00028577,0,0
CZKXPD,D,19951204,000000,0.00028302,0.00028302,0.00028302,0.00028302,0,0
CZKXPD,D,19951205,000000,0.0002791,0.0002791,0.0002791,0.0002791,0,0
CZKXPD,D,19951206,000000,0.00028084,0.00028084,0.00028084,0.00028084,0,0
CZKXPD,D,19951207,000000,0.00028029,0.00028029,0.00028029,0.00028029,0,0
CZKXPD,D,19951208,000000,0.00027729,0.00027729,0.00027729,0.00027729,0,0
CZKXPD,D,19951211,000000,0.00027183,0.00027183,0.00027183,0.00027183,0,0
CZKXPD,D,19951212,000000,0.00027375,0.00027375,0.00027375,0.00027375,0,0
CZKXPD,D,19951213,000000,0.00027645,0.00027645,0.00027645,0.00027645,0,0
CZKXPD,D,19951214,000000,0.00027734,0.00027734,0.00027734,0.00027734,0,0
CZKXPD,D,19951215,000000,0.00028345,0.00028345,0.00028345,0.00028345,0,0
CZKXPD,D,19951218,000000,0.00027958,0.00027958,0.00027958,0.00027958,0,0
CZKXPD,D,19951219,000000,0.00028666,0.00028666,0.00028666,0.00028666,0,0
CZKXPD,D,19951220,000000,0.00028386,0.00028386,0.00028386,0.00028386,0,0
CZKXPD,D,19951221,000000,0.00028063,0.00028063,0.00028063,0.00028063,0,0
CZKXPD,D,19951222,000000,0.00028113,0.00028113,0.00028113,0.00028113,0,0
CZKXPD,D,19951227,000000,0.00028564,0.00028564,0.00028564,0.00028564,0,0
CZKXPD,D,19951228,000000,0.00029203,0.00029203,0.00029203,0.00029203,0,0
CZKXPD,D,19951229,000000,0.00028983,0.00028983,0.00028983,0.00028983,0,0
CZKXPD,D,19960102,000000,0.00028237,0.00028237,0.00028237,0.00028237,0,0
CZKXPD,D,19960103,000000,0.00028054,0.00028054,0.00028054,0.00028054,0,0
CZKXPD,D,19960104,000000,0.00028047,0.00028047,0.00028047,0.00028047,0,0
CZKXPD,D,19960105,000000,0.00027888,0.00027888,0.00027888,0.00027888,0,0
CZKXPD,D,19960108,000000,0.00027946,0.00027946,0.00027946,0.00027946,0,0
CZKXPD,D,19960109,000000,0.00028592,0.00028592,0.00028592,0.00028592,0,0
CZKXPD,D,19960110,000000,0.00028237,0.00028237,0.00028237,0.00028237,0,0
CZKXPD,D,19960111,000000,0.00028671,0.00028671,0.00028671,0.00028671,0,0
CZKXPD,D,19960112,000000,0.00028644,0.00028644,0.00028644,0.00028644,0,0
CZKXPD,D,19960115,000000,0.00028324,0.00028324,0.00028324,0.00028324,0,0
CZKXPD,D,19960116,000000,0.00028044,0.00028044,0.00028044,0.00028044,0,0
CZKXPD,D,19960117,000000,0.00027969,0.00027969,0.00027969,0.00027969,0,0
CZKXPD,D,19960118,000000,0.00028105,0.00028105,0.00028105,0.00028105,0,0
CZKXPD,D,19960119,000000,0.00027843,0.00027843,0.00027843,0.00027843,0,0
CZKXPD,D,19960122,000000,0.00027632,0.00027632,0.00027632,0.00027632,0,0
CZKXPD,D,19960123,000000,0.00027797,0.00027797,0.00027797,0.00027797,0,0
CZKXPD,D,19960124,000000,0.00028308,0.00028308,0.00028308,0.00028308,0,0
CZKXPD,D,19960125,000000,0.00028136,0.00028136,0.00028136,0.00028136,0,0
CZKXPD,D,19960126,000000,0.00028635,0.00028635,0.00028635,0.00028635,0,0
CZKXPD,D,19960129,000000,0.0002834,0.0002834,0.0002834,0.0002834,0,0
CZKXPD,D,19960130,000000,0.00028469,0.00028469,0.00028469,0.00028469,0,0
CZKXPD,D,19960131,000000,0.00028179,0.00028179,0.00028179,0.00028179,0,0
CZKXPD,D,19960201,000000,0.00027089,0.00027089,0.00027089,0.00027089,0,0
