<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKXAG,D,19840109,000000,0.012467,0.012467,0.012467,0.012467,0,0
DKKXAG,D,19840116,000000,0.011983,0.011983,0.011983,0.011983,0,0
DKKXAG,D,19840123,000000,0.012153,0.012153,0.012153,0.012153,0,0
DKKXAG,D,19840130,000000,0.011612,0.011612,0.011612,0.011612,0,0
DKKXAG,D,19840206,000000,0.011121,0.011121,0.011121,0.011121,0,0
DKKXAG,D,19840213,000000,0.011337,0.011337,0.011337,0.011337,0,0
DKKXAG,D,19840220,000000,0.0115,0.0115,0.0115,0.0115,0,0
DKKXAG,D,19840301,000000,0.010435,0.010435,0.010435,0.010435,0,0
DKKXAG,D,19840305,000000,0.010262,0.010262,0.010262,0.010262,0,0
DKKXAG,D,19840312,000000,0.0109,0.0109,0.0109,0.0109,0,0
DKKXAG,D,19840319,000000,0.011073,0.011073,0.011073,0.011073,0,0
DKKXAG,D,19840326,000000,0.010883,0.010883,0.010883,0.010883,0,0
DKKXAG,D,19840402,000000,0.011204,0.011204,0.011204,0.011204,0,0
DKKXAG,D,19840409,000000,0.011185,0.011185,0.011185,0.011185,0,0
DKKXAG,D,19840416,000000,0.011296,0.011296,0.011296,0.011296,0,0
DKKXAG,D,19840424,000000,0.011111,0.011111,0.011111,0.011111,0,0
DKKXAG,D,19840502,000000,0.011024,0.011024,0.011024,0.011024,0,0
DKKXAG,D,19840507,000000,0.011418,0.011418,0.011418,0.011418,0,0
DKKXAG,D,19840514,000000,0.01104,0.01104,0.01104,0.01104,0,0
DKKXAG,D,19840521,000000,0.010801,0.010801,0.010801,0.010801,0,0
DKKXAG,D,19840528,000000,0.010801,0.010801,0.010801,0.010801,0,0
DKKXAG,D,19840604,000000,0.010512,0.010512,0.010512,0.010512,0,0
DKKXAG,D,19840611,000000,0.011762,0.011762,0.011762,0.011762,0,0
DKKXAG,D,19840618,000000,0.011588,0.011588,0.011588,0.011588,0,0
DKKXAG,D,19840625,000000,0.011878,0.011878,0.011878,0.011878,0,0
DKKXAG,D,19840702,000000,0.011591,0.011591,0.011591,0.011591,0,0
DKKXAG,D,19840709,000000,0.012486,0.012486,0.012486,0.012486,0,0
DKKXAG,D,19840716,000000,0.01277,0.01277,0.01277,0.01277,0,0
DKKXAG,D,19840723,000000,0.013231,0.013231,0.013231,0.013231,0,0
DKKXAG,D,19840730,000000,0.013268,0.013268,0.013268,0.013268,0,0
DKKXAG,D,19840806,000000,0.012422,0.012422,0.012422,0.012422,0,0
DKKXAG,D,19840813,000000,0.011971,0.011971,0.011971,0.011971,0,0
DKKXAG,D,19840820,000000,0.012701,0.012701,0.012701,0.012701,0,0
DKKXAG,D,19840827,000000,0.012468,0.012468,0.012468,0.012468,0,0
DKKXAG,D,19840901,000000,0.012552,0.012552,0.012552,0.012552,0,0
DKKXAG,D,19840910,000000,0.012696,0.012696,0.012696,0.012696,0,0
DKKXAG,D,19840917,000000,0.012769,0.012769,0.012769,0.012769,0,0
DKKXAG,D,19840924,000000,0.011553,0.011553,0.011553,0.011553,0,0
DKKXAG,D,19841001,000000,0.011724,0.011724,0.011724,0.011724,0,0
DKKXAG,D,19841008,000000,0.01228,0.01228,0.01228,0.01228,0,0
DKKXAG,D,19841015,000000,0.012145,0.012145,0.012145,0.012145,0,0
DKKXAG,D,19841022,000000,0.01207,0.01207,0.01207,0.01207,0,0
DKKXAG,D,19841029,000000,0.012492,0.012492,0.012492,0.012492,0,0
DKKXAG,D,19841105,000000,0.011704,0.011704,0.011704,0.011704,0,0
DKKXAG,D,19841112,000000,0.012139,0.012139,0.012139,0.012139,0,0
DKKXAG,D,19841119,000000,0.012503,0.012503,0.012503,0.012503,0,0
DKKXAG,D,19841126,000000,0.012544,0.012544,0.012544,0.012544,0,0
DKKXAG,D,19841201,000000,0.012336,0.012336,0.012336,0.012336,0,0
DKKXAG,D,19841210,000000,0.013006,0.013006,0.013006,0.013006,0,0
DKKXAG,D,19841217,000000,0.013855,0.013855,0.013855,0.013855,0,0
DKKXAG,D,19841224,000000,0.013855,0.013855,0.013855,0.013855,0,0
DKKXAG,D,19850101,000000,0.013717,0.013717,0.013717,0.013717,0,0
DKKXAG,D,19850107,000000,0.014412,0.014412,0.014412,0.014412,0,0
DKKXAG,D,19850114,000000,0.014732,0.014732,0.014732,0.014732,0,0
DKKXAG,D,19850121,000000,0.013888,0.013888,0.013888,0.013888,0,0
DKKXAG,D,19850128,000000,0.013911,0.013911,0.013911,0.013911,0,0
DKKXAG,D,19850204,000000,0.014296,0.014296,0.014296,0.014296,0,0
DKKXAG,D,19850211,000000,0.013776,0.013776,0.013776,0.013776,0,0
DKKXAG,D,19850218,000000,0.013533,0.013533,0.013533,0.013533,0,0
DKKXAG,D,19850225,000000,0.015273,0.015273,0.015273,0.015273,0,0
DKKXAG,D,19850304,000000,0.014392,0.014392,0.014392,0.014392,0,0
DKKXAG,D,19850311,000000,0.014501,0.014501,0.014501,0.014501,0,0
DKKXAG,D,19850318,000000,0.013961,0.013961,0.013961,0.013961,0,0
