<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPIDR,D,19951116,000000,673.3,673.3,673.3,673.3,0,0
EGPIDR,D,19951117,000000,671.56,671.56,671.56,671.56,0,0
EGPIDR,D,19951120,000000,672.77,672.77,672.77,672.77,0,0
EGPIDR,D,19951121,000000,672.52,672.52,672.52,672.52,0,0
EGPIDR,D,19951122,000000,671.4,671.4,671.4,671.4,0,0
EGPIDR,D,19951123,000000,673.11,673.11,673.11,673.11,0,0
EGPIDR,D,19951124,000000,673.43,673.43,673.43,673.43,0,0
EGPIDR,D,19951127,000000,677.31,677.31,677.31,677.31,0,0
EGPIDR,D,19951128,000000,673.9,673.9,673.9,673.9,0,0
EGPIDR,D,19951129,000000,675.61,675.61,675.61,675.61,0,0
EGPIDR,D,19951130,000000,677.87,677.87,677.87,677.87,0,0
EGPIDR,D,19951201,000000,673.36,673.36,673.36,673.36,0,0
EGPIDR,D,19951204,000000,675.36,675.36,675.36,675.36,0,0
EGPIDR,D,19951205,000000,675.26,675.26,675.26,675.26,0,0
EGPIDR,D,19951206,000000,675.25,675.25,675.25,675.25,0,0
EGPIDR,D,19951207,000000,676.06,676.06,676.06,676.06,0,0
EGPIDR,D,19951208,000000,678.03,678.03,678.03,678.03,0,0
EGPIDR,D,19951211,000000,679.29,679.29,679.29,679.29,0,0
EGPIDR,D,19951212,000000,679.11,679.11,679.11,679.11,0,0
EGPIDR,D,19951213,000000,677.88,677.88,677.88,677.88,0,0
EGPIDR,D,19951214,000000,679.11,679.11,679.11,679.11,0,0
EGPIDR,D,19951215,000000,681.25,681.25,681.25,681.25,0,0
EGPIDR,D,19951218,000000,679.53,679.53,679.53,679.53,0,0
EGPIDR,D,19951219,000000,677.9,677.9,677.9,677.9,0,0
EGPIDR,D,19951220,000000,678.57,678.57,678.57,678.57,0,0
EGPIDR,D,19951221,000000,678.17,678.17,678.17,678.17,0,0
EGPIDR,D,19951222,000000,676.93,676.93,676.93,676.93,0,0
EGPIDR,D,19951227,000000,681.1,681.1,681.1,681.1,0,0
EGPIDR,D,19951228,000000,677.76,677.76,677.76,677.76,0,0
EGPIDR,D,19951229,000000,679.53,679.53,679.53,679.53,0,0
EGPIDR,D,19960102,000000,676.39,676.39,676.39,676.39,0,0
EGPIDR,D,19960103,000000,676.67,676.67,676.67,676.67,0,0
EGPIDR,D,19960104,000000,678.16,678.16,678.16,678.16,0,0
EGPIDR,D,19960105,000000,678.51,678.51,678.51,678.51,0,0
EGPIDR,D,19960108,000000,678.31,678.31,678.31,678.31,0,0
EGPIDR,D,19960109,000000,678.85,678.85,678.85,678.85,0,0
EGPIDR,D,19960110,000000,680.61,680.61,680.61,680.61,0,0
EGPIDR,D,19960111,000000,681.16,681.16,681.16,681.16,0,0
EGPIDR,D,19960112,000000,678.95,678.95,678.95,678.95,0,0
EGPIDR,D,19960115,000000,681.05,681.05,681.05,681.05,0,0
EGPIDR,D,19960116,000000,681.61,681.61,681.61,681.61,0,0
EGPIDR,D,19960117,000000,681.6,681.6,681.6,681.6,0,0
EGPIDR,D,19960118,000000,679.54,679.54,679.54,679.54,0,0
EGPIDR,D,19960119,000000,680.37,680.37,680.37,680.37,0,0
EGPIDR,D,19960122,000000,681.2,681.2,681.2,681.2,0,0
EGPIDR,D,19960123,000000,683.48,683.48,683.48,683.48,0,0
EGPIDR,D,19960124,000000,682.82,682.82,682.82,682.82,0,0
EGPIDR,D,19960125,000000,682.76,682.76,682.76,682.76,0,0
EGPIDR,D,19960126,000000,682.4,682.4,682.4,682.4,0,0
EGPIDR,D,19960129,000000,679.17,679.17,679.17,679.17,0,0
EGPIDR,D,19960130,000000,683.32,683.32,683.32,683.32,0,0
EGPIDR,D,19960131,000000,680.18,680.18,680.18,680.18,0,0
EGPIDR,D,19960201,000000,680.44,680.44,680.44,680.44,0,0
EGPIDR,D,19960202,000000,680.58,680.58,680.58,680.58,0,0
EGPIDR,D,19960205,000000,680.77,680.77,680.77,680.77,0,0
EGPIDR,D,19960206,000000,677.77,677.77,677.77,677.77,0,0
EGPIDR,D,19960207,000000,680.64,680.64,680.64,680.64,0,0
EGPIDR,D,19960208,000000,682.58,682.58,682.58,682.58,0,0
EGPIDR,D,19960209,000000,684.45,684.45,684.45,684.45,0,0
EGPIDR,D,19960212,000000,683.41,683.41,683.41,683.41,0,0
