<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPXAG,D,19951116,000000,0.055248,0.055248,0.055248,0.055248,0,0
EGPXAG,D,19951117,000000,0.054846,0.054846,0.054846,0.054846,0,0
EGPXAG,D,19951120,000000,0.055117,0.055117,0.055117,0.055117,0,0
EGPXAG,D,19951121,000000,0.055622,0.055622,0.055622,0.055622,0,0
EGPXAG,D,19951122,000000,0.056669,0.056669,0.056669,0.056669,0,0
EGPXAG,D,19951123,000000,0.056459,0.056459,0.056459,0.056459,0,0
EGPXAG,D,19951124,000000,0.056125,0.056125,0.056125,0.056125,0,0
EGPXAG,D,19951127,000000,0.056362,0.056362,0.056362,0.056362,0,0
EGPXAG,D,19951128,000000,0.056229,0.056229,0.056229,0.056229,0,0
EGPXAG,D,19951129,000000,0.056758,0.056758,0.056758,0.056758,0,0
EGPXAG,D,19951130,000000,0.056233,0.056233,0.056233,0.056233,0,0
EGPXAG,D,19951201,000000,0.056587,0.056587,0.056587,0.056587,0,0
EGPXAG,D,19951204,000000,0.056552,0.056552,0.056552,0.056552,0,0
EGPXAG,D,19951205,000000,0.056128,0.056128,0.056128,0.056128,0,0
EGPXAG,D,19951206,000000,0.056005,0.056005,0.056005,0.056005,0,0
EGPXAG,D,19951207,000000,0.056164,0.056164,0.056164,0.056164,0,0
EGPXAG,D,19951208,000000,0.056523,0.056523,0.056523,0.056523,0,0
EGPXAG,D,19951211,000000,0.0566,0.0566,0.0566,0.0566,0,0
EGPXAG,D,19951212,000000,0.05705,0.05705,0.05705,0.05705,0,0
EGPXAG,D,19951213,000000,0.05763,0.05763,0.05763,0.05763,0,0
EGPXAG,D,19951214,000000,0.057407,0.057407,0.057407,0.057407,0,0
EGPXAG,D,19951215,000000,0.057491,0.057491,0.057491,0.057491,0,0
EGPXAG,D,19951218,000000,0.057047,0.057047,0.057047,0.057047,0,0
EGPXAG,D,19951219,000000,0.057403,0.057403,0.057403,0.057403,0,0
EGPXAG,D,19951220,000000,0.05706,0.05706,0.05706,0.05706,0,0
EGPXAG,D,19951221,000000,0.057278,0.057278,0.057278,0.057278,0,0
EGPXAG,D,19951222,000000,0.057155,0.057155,0.057155,0.057155,0,0
EGPXAG,D,19951227,000000,0.05728,0.05728,0.05728,0.05728,0,0
EGPXAG,D,19951228,000000,0.057285,0.057285,0.057285,0.057285,0,0
EGPXAG,D,19951229,000000,0.056966,0.056966,0.056966,0.056966,0,0
EGPXAG,D,19960102,000000,0.055232,0.055232,0.055232,0.055232,0,0
EGPXAG,D,19960103,000000,0.055127,0.055127,0.055127,0.055127,0,0
EGPXAG,D,19960104,000000,0.054843,0.054843,0.054843,0.054843,0,0
EGPXAG,D,19960105,000000,0.053421,0.053421,0.053421,0.053421,0,0
EGPXAG,D,19960108,000000,0.053344,0.053344,0.053344,0.053344,0,0
EGPXAG,D,19960109,000000,0.053382,0.053382,0.053382,0.053382,0,0
EGPXAG,D,19960110,000000,0.052715,0.052715,0.052715,0.052715,0,0
EGPXAG,D,19960111,000000,0.05369,0.05369,0.05369,0.05369,0,0
EGPXAG,D,19960112,000000,0.053567,0.053567,0.053567,0.053567,0,0
EGPXAG,D,19960115,000000,0.054262,0.054262,0.054262,0.054262,0,0
EGPXAG,D,19960116,000000,0.053944,0.053944,0.053944,0.053944,0,0
EGPXAG,D,19960117,000000,0.053653,0.053653,0.053653,0.053653,0,0
EGPXAG,D,19960118,000000,0.054222,0.054222,0.054222,0.054222,0,0
EGPXAG,D,19960119,000000,0.054128,0.054128,0.054128,0.054128,0,0
EGPXAG,D,19960122,000000,0.05278,0.05278,0.05278,0.05278,0,0
EGPXAG,D,19960123,000000,0.053053,0.053053,0.053053,0.053053,0,0
EGPXAG,D,19960124,000000,0.053642,0.053642,0.053642,0.053642,0,0
EGPXAG,D,19960125,000000,0.052952,0.052952,0.052952,0.052952,0,0
EGPXAG,D,19960126,000000,0.053224,0.053224,0.053224,0.053224,0,0
EGPXAG,D,19960129,000000,0.053265,0.053265,0.053265,0.053265,0,0
EGPXAG,D,19960130,000000,0.053059,0.053059,0.053059,0.053059,0,0
EGPXAG,D,19960131,000000,0.052871,0.052871,0.052871,0.052871,0,0
EGPXAG,D,19960201,000000,0.051032,0.051032,0.051032,0.051032,0,0
EGPXAG,D,19960202,000000,0.050618,0.050618,0.050618,0.050618,0,0
EGPXAG,D,19960205,000000,0.05078,0.05078,0.05078,0.05078,0,0
EGPXAG,D,19960206,000000,0.051129,0.051129,0.051129,0.051129,0,0
EGPXAG,D,19960207,000000,0.051742,0.051742,0.051742,0.051742,0,0
EGPXAG,D,19960208,000000,0.051569,0.051569,0.051569,0.051569,0,0
EGPXAG,D,19960209,000000,0.052122,0.052122,0.052122,0.052122,0,0
EGPXAG,D,19960212,000000,0.052017,0.052017,0.052017,0.052017,0,0
EGPXAG,D,19960213,000000,0.051848,0.051848,0.051848,0.051848,0,0
EGPXAG,D,19960214,000000,0.051488,0.051488,0.051488,0.051488,0,0
EGPXAG,D,19960215,000000,0.05222,0.05222,0.05222,0.05222,0,0
EGPXAG,D,19960216,000000,0.052038,0.052038,0.052038,0.052038,0,0
EGPXAG,D,19960219,000000,0.05166,0.05166,0.05166,0.05166,0,0
EGPXAG,D,19960220,000000,0.052097,0.052097,0.052097,0.052097,0,0
EGPXAG,D,19960221,000000,0.053333,0.053333,0.053333,0.053333,0,0
EGPXAG,D,19960222,000000,0.053277,0.053277,0.053277,0.053277,0,0
EGPXAG,D,19960223,000000,0.05381,0.05381,0.05381,0.05381,0,0
EGPXAG,D,19960226,000000,0.053621,0.053621,0.053621,0.053621,0,0
EGPXAG,D,19960227,000000,0.053433,0.053433,0.053433,0.053433,0,0
EGPXAG,D,19960228,000000,0.05412,0.05412,0.05412,0.05412,0,0
EGPXAG,D,19960229,000000,0.053451,0.053451,0.053451,0.053451,0,0
EGPXAG,D,19960301,000000,0.053644,0.053644,0.053644,0.053644,0,0
EGPXAG,D,19960304,000000,0.054544,0.054544,0.054544,0.054544,0,0
EGPXAG,D,19960305,000000,0.054813,0.054813,0.054813,0.054813,0,0
EGPXAG,D,19960306,000000,0.054714,0.054714,0.054714,0.054714,0,0
EGPXAG,D,19960307,000000,0.054737,0.054737,0.054737,0.054737,0,0
EGPXAG,D,19960308,000000,0.053636,0.053636,0.053636,0.053636,0,0
EGPXAG,D,19960311,000000,0.053557,0.053557,0.053557,0.053557,0,0
EGPXAG,D,19960312,000000,0.052976,0.052976,0.052976,0.052976,0,0
EGPXAG,D,19960313,000000,0.05306,0.05306,0.05306,0.05306,0,0
EGPXAG,D,19960314,000000,0.052872,0.052872,0.052872,0.052872,0,0
