<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPXAU,D,19951116,000000,0.000763,0.000763,0.000763,0.000763,0,0
EGPXAU,D,19951117,000000,0.00076024,0.00076024,0.00076024,0.00076024,0,0
EGPXAU,D,19951120,000000,0.00076391,0.00076391,0.00076391,0.00076391,0,0
EGPXAU,D,19951121,000000,0.000764,0.000764,0.000764,0.000764,0,0
EGPXAU,D,19951122,000000,0.00076877,0.00076877,0.00076877,0.00076877,0,0
EGPXAU,D,19951123,000000,0.00076887,0.00076887,0.00076887,0.00076887,0,0
EGPXAU,D,19951124,000000,0.00076701,0.00076701,0.00076701,0.00076701,0,0
EGPXAU,D,19951127,000000,0.00076399,0.00076399,0.00076399,0.00076399,0,0
EGPXAU,D,19951128,000000,0.00075667,0.00075667,0.00075667,0.00075667,0,0
EGPXAU,D,19951129,000000,0.00075697,0.00075697,0.00075697,0.00075697,0,0
EGPXAU,D,19951130,000000,0.00076015,0.00076015,0.00076015,0.00076015,0,0
EGPXAU,D,19951201,000000,0.00076186,0.00076186,0.00076186,0.00076186,0,0
EGPXAU,D,19951204,000000,0.00076237,0.00076237,0.00076237,0.00076237,0,0
EGPXAU,D,19951205,000000,0.0007603,0.0007603,0.0007603,0.0007603,0,0
EGPXAU,D,19951206,000000,0.00075742,0.00075742,0.00075742,0.00075742,0,0
EGPXAU,D,19951207,000000,0.0007565,0.0007565,0.0007565,0.0007565,0,0
EGPXAU,D,19951208,000000,0.00075727,0.00075727,0.00075727,0.00075727,0,0
EGPXAU,D,19951211,000000,0.00076006,0.00076006,0.00076006,0.00076006,0,0
EGPXAU,D,19951212,000000,0.00076028,0.00076028,0.00076028,0.00076028,0,0
EGPXAU,D,19951213,000000,0.00076389,0.00076389,0.00076389,0.00076389,0,0
EGPXAU,D,19951214,000000,0.00076386,0.00076386,0.00076386,0.00076386,0,0
EGPXAU,D,19951215,000000,0.00076439,0.00076439,0.00076439,0.00076439,0,0
EGPXAU,D,19951218,000000,0.0007616,0.0007616,0.0007616,0.0007616,0,0
EGPXAU,D,19951219,000000,0.00076204,0.00076204,0.00076204,0.00076204,0,0
EGPXAU,D,19951220,000000,0.00075944,0.00075944,0.00075944,0.00075944,0,0
