<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_I,D,19710104,000000,100,100,100,100,0,0
EUR_I,D,19710105,000000,99.9118,99.9118,99.9118,99.9118,0,0
EUR_I,D,19710106,000000,99.926,99.926,99.926,99.926,0,0
EUR_I,D,19710107,000000,99.9437,99.9437,99.9437,99.9437,0,0
EUR_I,D,19710108,000000,99.9495,99.9495,99.9495,99.9495,0,0
EUR_I,D,19710111,000000,99.9619,99.9619,99.9619,99.9619,0,0
EUR_I,D,19710112,000000,99.9597,99.9597,99.9597,99.9597,0,0
EUR_I,D,19710113,000000,99.9985,99.9985,99.9985,99.9985,0,0
EUR_I,D,19710114,000000,99.9744,99.9744,99.9744,99.9744,0,0
EUR_I,D,19710115,000000,100.001,100.001,100.001,100.001,0,0
EUR_I,D,19710118,000000,100.025,100.025,100.025,100.025,0,0
EUR_I,D,19710119,000000,99.9816,99.9816,99.9816,99.9816,0,0
EUR_I,D,19710120,000000,100.086,100.086,100.086,100.086,0,0
EUR_I,D,19710121,000000,100.11,100.11,100.11,100.11,0,0
EUR_I,D,19710122,000000,100.071,100.071,100.071,100.071,0,0
EUR_I,D,19710125,000000,100.048,100.048,100.048,100.048,0,0
EUR_I,D,19710126,000000,100.014,100.014,100.014,100.014,0,0
EUR_I,D,19710127,000000,100.021,100.021,100.021,100.021,0,0
EUR_I,D,19710128,000000,100.001,100.001,100.001,100.001,0,0
EUR_I,D,19710129,000000,99.9681,99.9681,99.9681,99.9681,0,0
EUR_I,D,19710201,000000,99.9215,99.9215,99.9215,99.9215,0,0
EUR_I,D,19710202,000000,99.9213,99.9213,99.9213,99.9213,0,0
EUR_I,D,19710203,000000,99.9507,99.9507,99.9507,99.9507,0,0
EUR_I,D,19710204,000000,99.9777,99.9777,99.9777,99.9777,0,0
EUR_I,D,19710205,000000,99.9819,99.9819,99.9819,99.9819,0,0
EUR_I,D,19710208,000000,99.9499,99.9499,99.9499,99.9499,0,0
EUR_I,D,19710209,000000,100.007,100.007,100.007,100.007,0,0
EUR_I,D,19710210,000000,99.9597,99.9597,99.9597,99.9597,0,0
EUR_I,D,19710211,000000,99.9251,99.9251,99.9251,99.9251,0,0
EUR_I,D,19710216,000000,99.9487,99.9487,99.9487,99.9487,0,0
EUR_I,D,19710217,000000,99.9647,99.9647,99.9647,99.9647,0,0
EUR_I,D,19710218,000000,99.9494,99.9494,99.9494,99.9494,0,0
EUR_I,D,19710219,000000,99.9546,99.9546,99.9546,99.9546,0,0
EUR_I,D,19710222,000000,99.9645,99.9645,99.9645,99.9645,0,0
EUR_I,D,19710223,000000,99.9595,99.9595,99.9595,99.9595,0,0
EUR_I,D,19710224,000000,99.997,99.997,99.997,99.997,0,0
EUR_I,D,19710225,000000,100.013,100.013,100.013,100.013,0,0
EUR_I,D,19710226,000000,99.8885,99.8885,99.8885,99.8885,0,0
EUR_I,D,19710301,000000,99.983,99.983,99.983,99.983,0,0
EUR_I,D,19710302,000000,99.9729,99.9729,99.9729,99.9729,0,0
EUR_I,D,19710303,000000,100.011,100.011,100.011,100.011,0,0
EUR_I,D,19710304,000000,99.978,99.978,99.978,99.978,0,0
EUR_I,D,19710305,000000,99.9841,99.9841,99.9841,99.9841,0,0
EUR_I,D,19710308,000000,99.9816,99.9816,99.9816,99.9816,0,0
EUR_I,D,19710309,000000,99.982,99.982,99.982,99.982,0,0
EUR_I,D,19710310,000000,99.9867,99.9867,99.9867,99.9867,0,0
EUR_I,D,19710311,000000,99.9668,99.9668,99.9668,99.9668,0,0
EUR_I,D,19710312,000000,99.8997,99.8997,99.8997,99.8997,0,0
EUR_I,D,19710315,000000,99.8939,99.8939,99.8939,99.8939,0,0
EUR_I,D,19710316,000000,99.8985,99.8985,99.8985,99.8985,0,0
EUR_I,D,19710317,000000,99.9673,99.9673,99.9673,99.9673,0,0
EUR_I,D,19710318,000000,99.9471,99.9471,99.9471,99.9471,0,0
EUR_I,D,19710319,000000,99.9429,99.9429,99.9429,99.9429,0,0
EUR_I,D,19710322,000000,99.9362,99.9362,99.9362,99.9362,0,0
EUR_I,D,19710323,000000,99.9485,99.9485,99.9485,99.9485,0,0
EUR_I,D,19710324,000000,99.9534,99.9534,99.9534,99.9534,0,0
EUR_I,D,19710325,000000,99.9225,99.9225,99.9225,99.9225,0,0
EUR_I,D,19710326,000000,99.9276,99.9276,99.9276,99.9276,0,0
EUR_I,D,19710329,000000,99.9164,99.9164,99.9164,99.9164,0,0
EUR_I,D,19710330,000000,99.9656,99.9656,99.9656,99.9656,0,0
EUR_I,D,19710331,000000,99.9812,99.9812,99.9812,99.9812,0,0
EUR_I,D,19710401,000000,100.007,100.007,100.007,100.007,0,0
EUR_I,D,19710402,000000,100.032,100.032,100.032,100.032,0,0
EUR_I,D,19710405,000000,99.9704,99.9704,99.9704,99.9704,0,0
EUR_I,D,19710406,000000,99.9617,99.9617,99.9617,99.9617,0,0
EUR_I,D,19710407,000000,99.9271,99.9271,99.9271,99.9271,0,0
EUR_I,D,19710408,000000,99.927,99.927,99.927,99.927,0,0
EUR_I,D,19710409,000000,99.9273,99.9273,99.9273,99.9273,0,0
EUR_I,D,19710412,000000,99.9069,99.9069,99.9069,99.9069,0,0
EUR_I,D,19710413,000000,99.8845,99.8845,99.8845,99.8845,0,0
EUR_I,D,19710414,000000,99.8904,99.8904,99.8904,99.8904,0,0
EUR_I,D,19710415,000000,99.8797,99.8797,99.8797,99.8797,0,0
EUR_I,D,19710416,000000,99.8403,99.8403,99.8403,99.8403,0,0
EUR_I,D,19710419,000000,99.6656,99.6656,99.6656,99.6656,0,0
EUR_I,D,19710420,000000,99.7334,99.7334,99.7334,99.7334,0,0
EUR_I,D,19710421,000000,99.8104,99.8104,99.8104,99.8104,0,0
EUR_I,D,19710422,000000,99.8133,99.8133,99.8133,99.8133,0,0
EUR_I,D,19710423,000000,99.7655,99.7655,99.7655,99.7655,0,0
EUR_I,D,19710426,000000,99.7881,99.7881,99.7881,99.7881,0,0
EUR_I,D,19710427,000000,99.8298,99.8298,99.8298,99.8298,0,0
EUR_I,D,19710428,000000,99.928,99.928,99.928,99.928,0,0
EUR_I,D,19710429,000000,99.8842,99.8842,99.8842,99.8842,0,0
EUR_I,D,19710430,000000,99.8853,99.8853,99.8853,99.8853,0,0
EUR_I,D,19710503,000000,99.9469,99.9469,99.9469,99.9469,0,0
EUR_I,D,19710504,000000,99.9676,99.9676,99.9676,99.9676,0,0
EUR_I,D,19710505,000000,100.687,100.687,100.687,100.687,0,0
EUR_I,D,19710506,000000,100.531,100.531,100.531,100.531,0,0
EUR_I,D,19710507,000000,100.708,100.708,100.708,100.708,0,0
EUR_I,D,19710510,000000,101.393,101.393,101.393,101.393,0,0
EUR_I,D,19710511,000000,100.582,100.582,100.582,100.582,0,0
EUR_I,D,19710512,000000,100.797,100.797,100.797,100.797,0,0
EUR_I,D,19710513,000000,101.161,101.161,101.161,101.161,0,0
EUR_I,D,19710514,000000,101.078,101.078,101.078,101.078,0,0
EUR_I,D,19710517,000000,101.062,101.062,101.062,101.062,0,0
EUR_I,D,19710518,000000,101.053,101.053,101.053,101.053,0,0
EUR_I,D,19710519,000000,101.478,101.478,101.478,101.478,0,0
EUR_I,D,19710520,000000,102.175,102.175,102.175,102.175,0,0
EUR_I,D,19710521,000000,102.262,102.262,102.262,102.262,0,0
EUR_I,D,19710524,000000,102.082,102.082,102.082,102.082,0,0
EUR_I,D,19710525,000000,101.298,101.298,101.298,101.298,0,0
EUR_I,D,19710526,000000,101.045,101.045,101.045,101.045,0,0
EUR_I,D,19710527,000000,101.146,101.146,101.146,101.146,0,0
EUR_I,D,19710528,000000,101.114,101.114,101.114,101.114,0,0
EUR_I,D,19710601,000000,100.568,100.568,100.568,100.568,0,0
EUR_I,D,19710602,000000,101.042,101.042,101.042,101.042,0,0
EUR_I,D,19710603,000000,101.625,101.625,101.625,101.625,0,0
EUR_I,D,19710604,000000,101.689,101.689,101.689,101.689,0,0
EUR_I,D,19710607,000000,101.731,101.731,101.731,101.731,0,0
EUR_I,D,19710608,000000,101.883,101.883,101.883,101.883,0,0
EUR_I,D,19710609,000000,102.063,102.063,102.063,102.063,0,0
EUR_I,D,19710610,000000,102.07,102.07,102.07,102.07,0,0
EUR_I,D,19710611,000000,102.164,102.164,102.164,102.164,0,0
EUR_I,D,19710614,000000,102.188,102.188,102.188,102.188,0,0
EUR_I,D,19710615,000000,102.249,102.249,102.249,102.249,0,0
EUR_I,D,19710616,000000,102.274,102.274,102.274,102.274,0,0
EUR_I,D,19710617,000000,102.323,102.323,102.323,102.323,0,0
EUR_I,D,19710618,000000,102.296,102.296,102.296,102.296,0,0
EUR_I,D,19710621,000000,102.294,102.294,102.294,102.294,0,0
EUR_I,D,19710622,000000,102.381,102.381,102.381,102.381,0,0
EUR_I,D,19710623,000000,102.578,102.578,102.578,102.578,0,0
EUR_I,D,19710624,000000,102.508,102.508,102.508,102.508,0,0
EUR_I,D,19710625,000000,102.397,102.397,102.397,102.397,0,0
EUR_I,D,19710628,000000,102.39,102.39,102.39,102.39,0,0
EUR_I,D,19710629,000000,102.497,102.497,102.497,102.497,0,0
EUR_I,D,19710630,000000,102.542,102.542,102.542,102.542,0,0
EUR_I,D,19710701,000000,102.481,102.481,102.481,102.481,0,0
EUR_I,D,19710702,000000,102.439,102.439,102.439,102.439,0,0
EUR_I,D,19710706,000000,102.47,102.47,102.47,102.47,0,0
EUR_I,D,19710707,000000,102.516,102.516,102.516,102.516,0,0
EUR_I,D,19710708,000000,102.503,102.503,102.503,102.503,0,0
EUR_I,D,19710709,000000,102.499,102.499,102.499,102.499,0,0
EUR_I,D,19710712,000000,102.496,102.496,102.496,102.496,0,0
EUR_I,D,19710713,000000,102.508,102.508,102.508,102.508,0,0
EUR_I,D,19710714,000000,102.775,102.775,102.775,102.775,0,0
EUR_I,D,19710715,000000,102.912,102.912,102.912,102.912,0,0
EUR_I,D,19710716,000000,103.2,103.2,103.2,103.2,0,0
EUR_I,D,19710719,000000,103.207,103.207,103.207,103.207,0,0
EUR_I,D,19710720,000000,103.153,103.153,103.153,103.153,0,0
EUR_I,D,19710721,000000,103.313,103.313,103.313,103.313,0,0
EUR_I,D,19710722,000000,103.413,103.413,103.413,103.413,0,0
EUR_I,D,19710723,000000,103.423,103.423,103.423,103.423,0,0
EUR_I,D,19710726,000000,103.461,103.461,103.461,103.461,0,0
EUR_I,D,19710727,000000,103.564,103.564,103.564,103.564,0,0
EUR_I,D,19710728,000000,103.473,103.473,103.473,103.473,0,0
EUR_I,D,19710729,000000,103.586,103.586,103.586,103.586,0,0
EUR_I,D,19710730,000000,103.569,103.569,103.569,103.569,0,0
EUR_I,D,19710802,000000,103.561,103.561,103.561,103.561,0,0
EUR_I,D,19710803,000000,103.565,103.565,103.565,103.565,0,0
EUR_I,D,19710804,000000,103.666,103.666,103.666,103.666,0,0
EUR_I,D,19710805,000000,103.872,103.872,103.872,103.872,0,0
EUR_I,D,19710806,000000,103.869,103.869,103.869,103.869,0,0
EUR_I,D,19710809,000000,104.871,104.871,104.871,104.871,0,0
EUR_I,D,19710810,000000,104.933,104.933,104.933,104.933,0,0
EUR_I,D,19710811,000000,105.058,105.058,105.058,105.058,0,0
EUR_I,D,19710812,000000,105.612,105.612,105.612,105.612,0,0
EUR_I,D,19710813,000000,105.592,105.592,105.592,105.592,0,0
EUR_I,D,19710816,000000,105.267,105.267,105.267,105.267,0,0
EUR_I,D,19710817,000000,105.564,105.564,105.564,105.564,0,0
EUR_I,D,19710818,000000,104.763,104.763,104.763,104.763,0,0
EUR_I,D,19710819,000000,104.686,104.686,104.686,104.686,0,0
EUR_I,D,19710820,000000,104.181,104.181,104.181,104.181,0,0
EUR_I,D,19710823,000000,103.94,103.94,103.94,103.94,0,0
EUR_I,D,19710824,000000,104.47,104.47,104.47,104.47,0,0
EUR_I,D,19710825,000000,104.679,104.679,104.679,104.679,0,0
EUR_I,D,19710826,000000,104.305,104.305,104.305,104.305,0,0
EUR_I,D,19710827,000000,104.229,104.229,104.229,104.229,0,0
EUR_I,D,19710830,000000,104.368,104.368,104.368,104.368,0,0
EUR_I,D,19710831,000000,103.16,103.16,103.16,103.16,0,0
EUR_I,D,19710901,000000,103.355,103.355,103.355,103.355,0,0
EUR_I,D,19710902,000000,103.337,103.337,103.337,103.337,0,0
EUR_I,D,19710903,000000,103.342,103.342,103.342,103.342,0,0
EUR_I,D,19710907,000000,103.383,103.383,103.383,103.383,0,0
EUR_I,D,19710908,000000,103.272,103.272,103.272,103.272,0,0
EUR_I,D,19710909,000000,103.23,103.23,103.23,103.23,0,0
EUR_I,D,19710910,000000,103.428,103.428,103.428,103.428,0,0
EUR_I,D,19710913,000000,103.475,103.475,103.475,103.475,0,0
EUR_I,D,19710914,000000,103.717,103.717,103.717,103.717,0,0
EUR_I,D,19710915,000000,103.772,103.772,103.772,103.772,0,0
EUR_I,D,19710916,000000,103.721,103.721,103.721,103.721,0,0
EUR_I,D,19710917,000000,103.771,103.771,103.771,103.771,0,0
EUR_I,D,19710920,000000,104.524,104.524,104.524,104.524,0,0
EUR_I,D,19710921,000000,104.224,104.224,104.224,104.224,0,0
EUR_I,D,19710922,000000,104.555,104.555,104.555,104.555,0,0
EUR_I,D,19710923,000000,105.15,105.15,105.15,105.15,0,0
EUR_I,D,19710924,000000,105.107,105.107,105.107,105.107,0,0
EUR_I,D,19710927,000000,105.068,105.068,105.068,105.068,0,0
EUR_I,D,19710928,000000,105.074,105.074,105.074,105.074,0,0
EUR_I,D,19710929,000000,104.929,104.929,104.929,104.929,0,0
EUR_I,D,19710930,000000,104.776,104.776,104.776,104.776,0,0
EUR_I,D,19711001,000000,104.484,104.484,104.484,104.484,0,0
EUR_I,D,19711004,000000,104.368,104.368,104.368,104.368,0,0
EUR_I,D,19711005,000000,104.394,104.394,104.394,104.394,0,0
EUR_I,D,19711006,000000,104.543,104.543,104.543,104.543,0,0
EUR_I,D,19711007,000000,104.587,104.587,104.587,104.587,0,0
EUR_I,D,19711008,000000,104.693,104.693,104.693,104.693,0,0
EUR_I,D,19711012,000000,104.178,104.178,104.178,104.178,0,0
EUR_I,D,19711013,000000,104.215,104.215,104.215,104.215,0,0
EUR_I,D,19711014,000000,103.97,103.97,103.97,103.97,0,0
EUR_I,D,19711015,000000,103.942,103.942,103.942,103.942,0,0
EUR_I,D,19711018,000000,104.151,104.151,104.151,104.151,0,0
EUR_I,D,19711019,000000,104.347,104.347,104.347,104.347,0,0
EUR_I,D,19711020,000000,104.425,104.425,104.425,104.425,0,0
