<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURBTC,D,20100719,000000,16.0336,16.0336,16.0336,16.0336,0,0
EURBTC,D,20100720,000000,17.2575,17.2575,17.2575,17.2575,0,0
EURBTC,D,20100721,000000,16.1669,16.1669,16.1669,16.1669,0,0
EURBTC,D,20100722,000000,25.5375,25.5375,25.5375,25.5375,0,0
EURBTC,D,20100723,000000,20.5126,20.5126,20.5126,20.5126,0,0
EURBTC,D,20100726,000000,23.2093,23.2093,23.2093,23.2093,0,0
EURBTC,D,20100727,000000,21.6367,21.6367,21.6367,21.6367,0,0
EURBTC,D,20100728,000000,22.0662,22.0662,22.0662,22.0662,0,0
EURBTC,D,20100729,000000,18.7104,18.7104,18.7104,18.7104,0,0
EURBTC,D,20100730,000000,20.8101,20.8101,20.8101,20.8101,0,0
EURBTC,D,20100802,000000,21.9531,21.9531,21.9531,21.9531,0,0
EURBTC,D,20100803,000000,22.0548,22.0548,22.0548,22.0548,0,0
EURBTC,D,20100804,000000,23.0775,23.0775,23.0775,23.0775,0,0
EURBTC,D,20100805,000000,21.5738,21.5738,21.5738,21.5738,0,0
EURBTC,D,20100806,000000,21.2967,21.2967,21.2967,21.2967,0,0
EURBTC,D,20100809,000000,18.6297,18.6297,18.6297,18.6297,0,0
EURBTC,D,20100810,000000,18.7352,18.7352,18.7352,18.7352,0,0
EURBTC,D,20100811,000000,19.2238,19.2238,19.2238,19.2238,0,0
EURBTC,D,20100812,000000,18.3546,18.3546,18.3546,18.3546,0,0
EURBTC,D,20100813,000000,19.8281,19.8281,19.8281,19.8281,0,0
EURBTC,D,20100816,000000,19.601,19.601,19.601,19.601,0,0
EURBTC,D,20100817,000000,18.3949,18.3949,18.3949,18.3949,0,0
EURBTC,D,20100818,000000,18.9338,18.9338,18.9338,18.9338,0,0
EURBTC,D,20100819,000000,19.2235,19.2235,19.2235,19.2235,0,0
EURBTC,D,20100820,000000,19.4041,19.4041,19.4041,19.4041,0,0
EURBTC,D,20100823,000000,19.5009,19.5009,19.5009,19.5009,0,0
EURBTC,D,20100824,000000,19.4944,19.4944,19.4944,19.4944,0,0
EURBTC,D,20100825,000000,19.544,19.544,19.544,19.544,0,0
EURBTC,D,20100826,000000,19.8489,19.8489,19.8489,19.8489,0,0
EURBTC,D,20100827,000000,19.6085,19.6085,19.6085,19.6085,0,0
EURBTC,D,20100830,000000,19.5057,19.5057,19.5057,19.5057,0,0
EURBTC,D,20100831,000000,21.1475,21.1475,21.1475,21.1475,0,0
EURBTC,D,20100901,000000,20.3457,20.3457,20.3457,20.3457,0,0
EURBTC,D,20100902,000000,20.203,20.203,20.203,20.203,0,0
EURBTC,D,20100903,000000,21.1748,21.1748,21.1748,21.1748,0,0
EURBTC,D,20100906,000000,20.9065,20.9065,20.9065,20.9065,0,0
EURBTC,D,20100907,000000,20.8653,20.8653,20.8653,20.8653,0,0
EURBTC,D,20100908,000000,20.5668,20.5668,20.5668,20.5668,0,0
EURBTC,D,20100909,000000,20.7712,20.7712,20.7712,20.7712,0,0
EURBTC,D,20100910,000000,20.5794,20.5794,20.5794,20.5794,0,0
EURBTC,D,20100913,000000,20.6814,20.6814,20.6814,20.6814,0,0
EURBTC,D,20100914,000000,20.9905,20.9905,20.9905,20.9905,0,0
EURBTC,D,20100915,000000,21.5244,21.5244,21.5244,21.5244,0,0
EURBTC,D,20100916,000000,21.1203,21.1203,21.1203,21.1203,0,0
EURBTC,D,20100917,000000,22.1128,22.1128,22.1128,22.1128,0,0
EURBTC,D,20100920,000000,21.047,21.047,21.047,21.047,0,0
EURBTC,D,20100921,000000,20.952,20.952,20.952,20.952,0,0
EURBTC,D,20100922,000000,21.4962,21.4962,21.4962,21.4962,0,0
EURBTC,D,20100923,000000,21.4356,21.4356,21.4356,21.4356,0,0
EURBTC,D,20100924,000000,21.6555,21.6555,21.6555,21.6555,0,0
EURBTC,D,20100927,000000,21.6698,21.6698,21.6698,21.6698,0,0
EURBTC,D,20100928,000000,21.941,21.941,21.941,21.941,0,0
EURBTC,D,20100929,000000,22.0208,22.0208,22.0208,22.0208,0,0
EURBTC,D,20100930,000000,22.0011,22.0011,22.0011,22.0011,0,0
EURBTC,D,20101001,000000,22.1813,22.1813,22.1813,22.1813,0,0
EURBTC,D,20101004,000000,22.3342,22.3342,22.3342,22.3342,0,0
EURBTC,D,20101005,000000,22.523,22.523,22.523,22.523,0,0
EURBTC,D,20101006,000000,22.1649,22.1649,22.1649,22.1649,0,0
EURBTC,D,20101007,000000,20.7147,20.7147,20.7147,20.7147,0,0
EURBTC,D,20101008,000000,16.025,16.025,16.025,16.025,0,0
EURBTC,D,20101011,000000,14.6181,14.6181,14.6181,14.6181,0,0
EURBTC,D,20101012,000000,14.611,14.611,14.611,14.611,0,0
EURBTC,D,20101013,000000,13.2885,13.2885,13.2885,13.2885,0,0
EURBTC,D,20101014,000000,13.7772,13.7772,13.7772,13.7772,0,0
EURBTC,D,20101015,000000,13.3404,13.3404,13.3404,13.3404,0,0
EURBTC,D,20101018,000000,13.6618,13.6618,13.6618,13.6618,0,0
EURBTC,D,20101019,000000,14.2332,14.2332,14.2332,14.2332,0,0
EURBTC,D,20101020,000000,14.1017,14.1017,14.1017,14.1017,0,0
EURBTC,D,20101021,000000,13.0311,13.0311,13.0311,13.0311,0,0
EURBTC,D,20101022,000000,13.5804,13.5804,13.5804,13.5804,0,0
EURBTC,D,20101025,000000,10.5746,10.5746,10.5746,10.5746,0,0
EURBTC,D,20101026,000000,9.2214,9.2214,9.2214,9.2214,0,0
EURBTC,D,20101027,000000,7.3374,7.3374,7.3374,7.3374,0,0
EURBTC,D,20101028,000000,8.0449,8.0449,8.0449,8.0449,0,0
EURBTC,D,20101029,000000,7.3231,7.3231,7.3231,7.3231,0,0
EURBTC,D,20101101,000000,7.1091,7.1091,7.1091,7.1091,0,0
