<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURXAG,D,19840924,000000,0.094413,0.094413,0.094413,0.094413,0,0
EURXAG,D,19841001,000000,0.09693,0.09693,0.09693,0.09693,0,0
EURXAG,D,19841008,000000,0.09928,0.09928,0.09928,0.09928,0,0
EURXAG,D,19841015,000000,0.09903,0.09903,0.09903,0.09903,0,0
EURXAG,D,19841022,000000,0.09757,0.09757,0.09757,0.09757,0,0
EURXAG,D,19841029,000000,0.09981,0.09981,0.09981,0.09981,0,0
EURXAG,D,19841105,000000,0.094035,0.094035,0.094035,0.094035,0,0
EURXAG,D,19841112,000000,0.09781,0.09781,0.09781,0.09781,0,0
EURXAG,D,19841119,000000,0.1,0.1,0.1,0.1,0,0
EURXAG,D,19841126,000000,0.10121,0.10121,0.10121,0.10121,0,0
EURXAG,D,19841201,000000,0.09919,0.09919,0.09919,0.09919,0,0
EURXAG,D,19841210,000000,0.10452,0.10452,0.10452,0.10452,0,0
EURXAG,D,19841217,000000,0.11068,0.11068,0.11068,0.11068,0,0
EURXAG,D,19841224,000000,0.11057,0.11057,0.11057,0.11057,0,0
EURXAG,D,19850101,000000,0.10932,0.10932,0.10932,0.10932,0,0
EURXAG,D,19850107,000000,0.11491,0.11491,0.11491,0.11491,0,0
EURXAG,D,19850114,000000,0.1171,0.1171,0.1171,0.1171,0,0
EURXAG,D,19850121,000000,0.11052,0.11052,0.11052,0.11052,0,0
EURXAG,D,19850128,000000,0.11039,0.11039,0.11039,0.11039,0,0
EURXAG,D,19850204,000000,0.11323,0.11323,0.11323,0.11323,0,0
EURXAG,D,19850211,000000,0.10955,0.10955,0.10955,0.10955,0,0
EURXAG,D,19850218,000000,0.10761,0.10761,0.10761,0.10761,0,0
EURXAG,D,19850225,000000,0.12164,0.12164,0.12164,0.12164,0,0
EURXAG,D,19850304,000000,0.11421,0.11421,0.11421,0.11421,0,0
EURXAG,D,19850311,000000,0.11524,0.11524,0.11524,0.11524,0,0
EURXAG,D,19850318,000000,0.11052,0.11052,0.11052,0.11052,0,0
EURXAG,D,19850325,000000,0.10632,0.10632,0.10632,0.10632,0,0
EURXAG,D,19850329,000000,0.10005,0.10005,0.10005,0.10005,0,0
EURXAG,D,19850401,000000,0.10987,0.10987,0.10987,0.10987,0,0
EURXAG,D,19850409,000000,0.10839,0.10839,0.10839,0.10839,0,0
EURXAG,D,19850415,000000,0.10784,0.10784,0.10784,0.10784,0,0
EURXAG,D,19850422,000000,0.11612,0.11612,0.11612,0.11612,0,0
EURXAG,D,19850429,000000,0.11463,0.11463,0.11463,0.11463,0,0
EURXAG,D,19850506,000000,0.11693,0.11693,0.11693,0.11693,0,0
EURXAG,D,19850513,000000,0.10407,0.10407,0.10407,0.10407,0,0
EURXAG,D,19850520,000000,0.11944,0.11944,0.11944,0.11944,0,0
EURXAG,D,19850527,000000,0.12001,0.12001,0.12001,0.12001,0,0
EURXAG,D,19850601,000000,0.11803,0.11803,0.11803,0.11803,0,0
EURXAG,D,19850610,000000,0.11969,0.11969,0.11969,0.11969,0,0
EURXAG,D,19850617,000000,0.11604,0.11604,0.11604,0.11604,0,0
EURXAG,D,19850624,000000,0.11996,0.11996,0.11996,0.11996,0,0
EURXAG,D,19850701,000000,0.12247,0.12247,0.12247,0.12247,0,0
EURXAG,D,19850708,000000,0.12108,0.12108,0.12108,0.12108,0,0
EURXAG,D,19850715,000000,0.12193,0.12193,0.12193,0.12193,0,0
EURXAG,D,19850723,000000,0.12683,0.12683,0.12683,0.12683,0,0
EURXAG,D,19850729,000000,0.12501,0.12501,0.12501,0.12501,0,0
EURXAG,D,19850805,000000,0.1276,0.1276,0.1276,0.1276,0,0
EURXAG,D,19850812,000000,0.12274,0.12274,0.12274,0.12274,0,0
EURXAG,D,19850819,000000,0.12669,0.12669,0.12669,0.12669,0,0
EURXAG,D,19850826,000000,0.12457,0.12457,0.12457,0.12457,0,0
EURXAG,D,19850902,000000,0.12399,0.12399,0.12399,0.12399,0,0
EURXAG,D,19850909,000000,0.12837,0.12837,0.12837,0.12837,0,0
EURXAG,D,19850916,000000,0.12371,0.12371,0.12371,0.12371,0,0
EURXAG,D,19850923,000000,0.12357,0.12357,0.12357,0.12357,0,0
EURXAG,D,19850930,000000,0.13437,0.13437,0.13437,0.13437,0,0
EURXAG,D,19851007,000000,0.12909,0.12909,0.12909,0.12909,0,0
EURXAG,D,19851014,000000,0.13253,0.13253,0.13253,0.13253,0,0
EURXAG,D,19851021,000000,0.13347,0.13347,0.13347,0.13347,0,0
EURXAG,D,19851028,000000,0.13487,0.13487,0.13487,0.13487,0,0
EURXAG,D,19851104,000000,0.14214,0.14214,0.14214,0.14214,0,0
EURXAG,D,19851111,000000,0.13815,0.13815,0.13815,0.13815,0,0
