<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURXPT,D,19840924,000000,0.0022413,0.0022413,0.0022413,0.0022413,0,0
EURXPT,D,19841001,000000,0.0022881,0.0022881,0.0022881,0.0022881,0,0
EURXPT,D,19841008,000000,0.0022827,0.0022827,0.0022827,0.0022827,0,0
EURXPT,D,19841015,000000,0.0022311,0.0022311,0.0022311,0.0022311,0,0
EURXPT,D,19841022,000000,0.0021957,0.0021957,0.0021957,0.0021957,0,0
EURXPT,D,19841029,000000,0.0022766,0.0022766,0.0022766,0.0022766,0,0
EURXPT,D,19841105,000000,0.0021673,0.0021673,0.0021673,0.0021673,0,0
EURXPT,D,19841112,000000,0.0022778,0.0022778,0.0022778,0.0022778,0,0
EURXPT,D,19841119,000000,0.002341,0.002341,0.002341,0.002341,0,0
EURXPT,D,19841126,000000,0.0023625,0.0023625,0.0023625,0.0023625,0,0
EURXPT,D,19841201,000000,0.0023155,0.0023155,0.0023155,0.0023155,0,0
EURXPT,D,19841210,000000,0.0023144,0.0023144,0.0023144,0.0023144,0,0
EURXPT,D,19841217,000000,0.0024336,0.0024336,0.0024336,0.0024336,0,0
EURXPT,D,19841224,000000,0.0024312,0.0024312,0.0024312,0.0024312,0,0
EURXPT,D,19850101,000000,0.0024035,0.0024035,0.0024035,0.0024035,0,0
EURXPT,D,19850107,000000,0.0025507,0.0025507,0.0025507,0.0025507,0,0
EURXPT,D,19850114,000000,0.0026487,0.0026487,0.0026487,0.0026487,0,0
EURXPT,D,19850121,000000,0.0025267,0.0025267,0.0025267,0.0025267,0,0
EURXPT,D,19850128,000000,0.0025695,0.0025695,0.0025695,0.0025695,0,0
EURXPT,D,19850204,000000,0.0025584,0.0025584,0.0025584,0.0025584,0,0
EURXPT,D,19850211,000000,0.0025184,0.0025184,0.0025184,0.0025184,0,0
EURXPT,D,19850218,000000,0.0024736,0.0024736,0.0024736,0.0024736,0,0
EURXPT,D,19850225,000000,0.0027707,0.0027707,0.0027707,0.0027707,0,0
EURXPT,D,19850304,000000,0.0026477,0.0026477,0.0026477,0.0026477,0,0
EURXPT,D,19850311,000000,0.0026826,0.0026826,0.0026826,0.0026826,0,0
EURXPT,D,19850318,000000,0.002595,0.002595,0.002595,0.002595,0,0
EURXPT,D,19850325,000000,0.0025332,0.0025332,0.0025332,0.0025332,0,0
EURXPT,D,19850329,000000,0.0023726,0.0023726,0.0023726,0.0023726,0,0
