<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBPKRW,D,19840109,000000,1129.7,1129.7,1129.7,1129.7,0,0
GBPKRW,D,19840116,000000,1117.9,1117.9,1117.9,1117.9,0,0
GBPKRW,D,19840123,000000,1133.3,1133.3,1133.3,1133.3,0,0
GBPKRW,D,19840130,000000,1118.2,1118.2,1118.2,1118.2,0,0
GBPKRW,D,19840206,000000,1122.5,1122.5,1122.5,1122.5,0,0
GBPKRW,D,19840213,000000,1122.3,1122.3,1122.3,1122.3,0,0
GBPKRW,D,19840220,000000,1134.6,1134.6,1134.6,1134.6,0,0
GBPKRW,D,19840301,000000,1157.2,1157.2,1157.2,1157.2,0,0
GBPKRW,D,19840305,000000,1183.1,1183.1,1183.1,1183.1,0,0
GBPKRW,D,19840312,000000,1183.5,1183.5,1183.5,1183.5,0,0
GBPKRW,D,19840319,000000,1175.6,1175.6,1175.6,1175.6,0,0
GBPKRW,D,19840326,000000,1150.6,1150.6,1150.6,1150.6,0,0
GBPKRW,D,19840402,000000,1152,1152,1152,1152,0,0
GBPKRW,D,19840409,000000,1139.7,1139.7,1139.7,1139.7,0,0
GBPKRW,D,19840416,000000,1141.2,1141.2,1141.2,1141.2,0,0
GBPKRW,D,19840424,000000,1129.5,1129.5,1129.5,1129.5,0,0
GBPKRW,D,19840502,000000,1133.9,1133.9,1133.9,1133.9,0,0
GBPKRW,D,19840507,000000,1114.4,1114.4,1114.4,1114.4,0,0
GBPKRW,D,19840514,000000,1121.7,1121.7,1121.7,1121.7,0,0
GBPKRW,D,19840521,000000,1116.9,1116.9,1116.9,1116.9,0,0
GBPKRW,D,19840528,000000,1120.5,1120.5,1120.5,1120.5,0,0
GBPKRW,D,19840604,000000,1104,1104,1104,1104,0,0
GBPKRW,D,19840611,000000,1125.3,1125.3,1125.3,1125.3,0,0
GBPKRW,D,19840618,000000,1110.9,1110.9,1110.9,1110.9,0,0
GBPKRW,D,19840625,000000,1110.5,1110.5,1110.5,1110.5,0,0
GBPKRW,D,19840702,000000,1087.4,1087.4,1087.4,1087.4,0,0
GBPKRW,D,19840709,000000,1087.5,1087.5,1087.5,1087.5,0,0
GBPKRW,D,19840716,000000,1066.2,1066.2,1066.2,1066.2,0,0
GBPKRW,D,19840723,000000,1072.4,1072.4,1072.4,1072.4,0,0
