<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDILS,D,19931025,000000,0.37348,0.37348,0.37348,0.37348,0,0
HKDILS,D,19931026,000000,0.37464,0.37464,0.37464,0.37464,0,0
HKDILS,D,19931027,000000,0.37483,0.37483,0.37483,0.37483,0,0
HKDILS,D,19931028,000000,0.37559,0.37559,0.37559,0.37559,0,0
HKDILS,D,19931029,000000,0.37629,0.37629,0.37629,0.37629,0,0
HKDILS,D,19931102,000000,0.37674,0.37674,0.37674,0.37674,0,0
HKDILS,D,19931103,000000,0.37803,0.37803,0.37803,0.37803,0,0
HKDILS,D,19931104,000000,0.37724,0.37724,0.37724,0.37724,0,0
HKDILS,D,19931105,000000,0.37694,0.37694,0.37694,0.37694,0,0
HKDILS,D,19931108,000000,0.37713,0.37713,0.37713,0.37713,0,0
HKDILS,D,19931109,000000,0.3773,0.3773,0.3773,0.3773,0,0
HKDILS,D,19931110,000000,0.37829,0.37829,0.37829,0.37829,0,0
HKDILS,D,19931112,000000,0.37813,0.37813,0.37813,0.37813,0,0
HKDILS,D,19931115,000000,0.37782,0.37782,0.37782,0.37782,0,0
HKDILS,D,19931116,000000,0.37748,0.37748,0.37748,0.37748,0,0
HKDILS,D,19931117,000000,0.37837,0.37837,0.37837,0.37837,0,0
HKDILS,D,19931118,000000,0.37853,0.37853,0.37853,0.37853,0,0
HKDILS,D,19931119,000000,0.37985,0.37985,0.37985,0.37985,0,0
HKDILS,D,19931122,000000,0.38027,0.38027,0.38027,0.38027,0,0
HKDILS,D,19931123,000000,0.38101,0.38101,0.38101,0.38101,0,0
HKDILS,D,19931124,000000,0.38056,0.38056,0.38056,0.38056,0,0
HKDILS,D,19931125,000000,0.37953,0.37953,0.37953,0.37953,0,0
HKDILS,D,19931126,000000,0.38028,0.38028,0.38028,0.38028,0,0
HKDILS,D,19931129,000000,0.38162,0.38162,0.38162,0.38162,0,0
HKDILS,D,19931130,000000,0.38226,0.38226,0.38226,0.38226,0,0
HKDILS,D,19931201,000000,0.38261,0.38261,0.38261,0.38261,0,0
HKDILS,D,19931202,000000,0.38212,0.38212,0.38212,0.38212,0,0
HKDILS,D,19931203,000000,0.38184,0.38184,0.38184,0.38184,0,0
HKDILS,D,19931206,000000,0.38169,0.38169,0.38169,0.38169,0,0
HKDILS,D,19931207,000000,0.38119,0.38119,0.38119,0.38119,0,0
HKDILS,D,19931208,000000,0.38095,0.38095,0.38095,0.38095,0,0
HKDILS,D,19931209,000000,0.38098,0.38098,0.38098,0.38098,0,0
HKDILS,D,19931210,000000,0.38082,0.38082,0.38082,0.38082,0,0
HKDILS,D,19931213,000000,0.38083,0.38083,0.38083,0.38083,0,0
HKDILS,D,19931214,000000,0.38172,0.38172,0.38172,0.38172,0,0
HKDILS,D,19931215,000000,0.38172,0.38172,0.38172,0.38172,0,0
HKDILS,D,19931216,000000,0.3814,0.3814,0.3814,0.3814,0,0
HKDILS,D,19931217,000000,0.38163,0.38163,0.38163,0.38163,0,0
HKDILS,D,19931220,000000,0.38221,0.38221,0.38221,0.38221,0,0
HKDILS,D,19931221,000000,0.38271,0.38271,0.38271,0.38271,0,0
HKDILS,D,19931222,000000,0.38271,0.38271,0.38271,0.38271,0,0
HKDILS,D,19931223,000000,0.38261,0.38261,0.38261,0.38261,0,0
HKDILS,D,19931224,000000,0.38268,0.38268,0.38268,0.38268,0,0
HKDILS,D,19931227,000000,0.383,0.383,0.383,0.383,0,0
HKDILS,D,19931228,000000,0.38315,0.38315,0.38315,0.38315,0,0
HKDILS,D,19931229,000000,0.38335,0.38335,0.38335,0.38335,0,0
HKDILS,D,19931230,000000,0.38496,0.38496,0.38496,0.38496,0,0
HKDILS,D,19931231,000000,0.38429,0.38429,0.38429,0.38429,0,0
HKDILS,D,19940103,000000,0.3838,0.3838,0.3838,0.3838,0,0
HKDILS,D,19940104,000000,0.38457,0.38457,0.38457,0.38457,0,0
HKDILS,D,19940105,000000,0.38415,0.38415,0.38415,0.38415,0,0
HKDILS,D,19940106,000000,0.38399,0.38399,0.38399,0.38399,0,0
HKDILS,D,19940107,000000,0.38445,0.38445,0.38445,0.38445,0,0
HKDILS,D,19940110,000000,0.38364,0.38364,0.38364,0.38364,0,0
HKDILS,D,19940111,000000,0.38349,0.38349,0.38349,0.38349,0,0
HKDILS,D,19940112,000000,0.38355,0.38355,0.38355,0.38355,0,0
HKDILS,D,19940113,000000,0.38212,0.38212,0.38212,0.38212,0,0
HKDILS,D,19940114,000000,0.38246,0.38246,0.38246,0.38246,0,0
HKDILS,D,19940117,000000,0.38279,0.38279,0.38279,0.38279,0,0
HKDILS,D,19940118,000000,0.38277,0.38277,0.38277,0.38277,0,0
HKDILS,D,19940119,000000,0.38265,0.38265,0.38265,0.38265,0,0
HKDILS,D,19940120,000000,0.3831,0.3831,0.3831,0.3831,0,0
HKDILS,D,19940121,000000,0.38339,0.38339,0.38339,0.38339,0,0
HKDILS,D,19940124,000000,0.38474,0.38474,0.38474,0.38474,0,0
HKDILS,D,19940125,000000,0.3844,0.3844,0.3844,0.3844,0,0
HKDILS,D,19940126,000000,0.38378,0.38378,0.38378,0.38378,0,0
HKDILS,D,19940127,000000,0.38514,0.38514,0.38514,0.38514,0,0
HKDILS,D,19940128,000000,0.3856,0.3856,0.3856,0.3856,0,0
HKDILS,D,19940131,000000,0.38454,0.38454,0.38454,0.38454,0,0
HKDILS,D,19940201,000000,0.38318,0.38318,0.38318,0.38318,0,0
HKDILS,D,19940202,000000,0.38229,0.38229,0.38229,0.38229,0,0
HKDILS,D,19940203,000000,0.3823,0.3823,0.3823,0.3823,0,0
HKDILS,D,19940204,000000,0.3821,0.3821,0.3821,0.3821,0,0
HKDILS,D,19940207,000000,0.38313,0.38313,0.38313,0.38313,0,0
HKDILS,D,19940208,000000,0.38292,0.38292,0.38292,0.38292,0,0
HKDILS,D,19940209,000000,0.38254,0.38254,0.38254,0.38254,0,0
HKDILS,D,19940210,000000,0.38278,0.38278,0.38278,0.38278,0,0
HKDILS,D,19940211,000000,0.38266,0.38266,0.38266,0.38266,0,0
HKDILS,D,19940214,000000,0.38215,0.38215,0.38215,0.38215,0,0
HKDILS,D,19940215,000000,0.38106,0.38106,0.38106,0.38106,0,0
HKDILS,D,19940216,000000,0.38,0.38,0.38,0.38,0,0
HKDILS,D,19940217,000000,0.38068,0.38068,0.38068,0.38068,0,0
HKDILS,D,19940218,000000,0.38016,0.38016,0.38016,0.38016,0,0
HKDILS,D,19940221,000000,0.38198,0.38198,0.38198,0.38198,0,0
HKDILS,D,19940222,000000,0.38164,0.38164,0.38164,0.38164,0,0
HKDILS,D,19940223,000000,0.38288,0.38288,0.38288,0.38288,0,0
HKDILS,D,19940224,000000,0.38455,0.38455,0.38455,0.38455,0,0
HKDILS,D,19940225,000000,0.38444,0.38444,0.38444,0.38444,0,0
HKDILS,D,19940228,000000,0.38228,0.38228,0.38228,0.38228,0,0
HKDILS,D,19940301,000000,0.3814,0.3814,0.3814,0.3814,0,0
HKDILS,D,19940302,000000,0.3808,0.3808,0.3808,0.3808,0,0
HKDILS,D,19940303,000000,0.38083,0.38083,0.38083,0.38083,0,0
HKDILS,D,19940304,000000,0.38099,0.38099,0.38099,0.38099,0,0
HKDILS,D,19940307,000000,0.38283,0.38283,0.38283,0.38283,0,0
HKDILS,D,19940308,000000,0.38358,0.38358,0.38358,0.38358,0,0
HKDILS,D,19940309,000000,0.38235,0.38235,0.38235,0.38235,0,0
HKDILS,D,19940310,000000,0.3822,0.3822,0.3822,0.3822,0,0
HKDILS,D,19940311,000000,0.38213,0.38213,0.38213,0.38213,0,0
HKDILS,D,19940314,000000,0.38179,0.38179,0.38179,0.38179,0,0
HKDILS,D,19940315,000000,0.38512,0.38512,0.38512,0.38512,0,0
HKDILS,D,19940316,000000,0.38227,0.38227,0.38227,0.38227,0,0
HKDILS,D,19940317,000000,0.38184,0.38184,0.38184,0.38184,0,0
HKDILS,D,19940318,000000,0.3822,0.3822,0.3822,0.3822,0,0
HKDILS,D,19940321,000000,0.38354,0.38354,0.38354,0.38354,0,0
HKDILS,D,19940322,000000,0.38226,0.38226,0.38226,0.38226,0,0
HKDILS,D,19940323,000000,0.38223,0.38223,0.38223,0.38223,0,0
HKDILS,D,19940324,000000,0.38198,0.38198,0.38198,0.38198,0,0
HKDILS,D,19940325,000000,0.38118,0.38118,0.38118,0.38118,0,0
HKDILS,D,19940328,000000,0.38089,0.38089,0.38089,0.38089,0,0
HKDILS,D,19940329,000000,0.38189,0.38189,0.38189,0.38189,0,0
HKDILS,D,19940330,000000,0.38351,0.38351,0.38351,0.38351,0,0
HKDILS,D,19940331,000000,0.38167,0.38167,0.38167,0.38167,0,0
HKDILS,D,19940401,000000,0.38112,0.38112,0.38112,0.38112,0,0
HKDILS,D,19940405,000000,0.38403,0.38403,0.38403,0.38403,0,0
HKDILS,D,19940406,000000,0.38482,0.38482,0.38482,0.38482,0,0
HKDILS,D,19940407,000000,0.38492,0.38492,0.38492,0.38492,0,0
HKDILS,D,19940408,000000,0.38486,0.38486,0.38486,0.38486,0,0
HKDILS,D,19940411,000000,0.38466,0.38466,0.38466,0.38466,0,0
HKDILS,D,19940412,000000,0.3849,0.3849,0.3849,0.3849,0,0
HKDILS,D,19940413,000000,0.38464,0.38464,0.38464,0.38464,0,0
HKDILS,D,19940414,000000,0.38423,0.38423,0.38423,0.38423,0,0
HKDILS,D,19940415,000000,0.38375,0.38375,0.38375,0.38375,0,0
HKDILS,D,19940418,000000,0.38414,0.38414,0.38414,0.38414,0,0
HKDILS,D,19940419,000000,0.38412,0.38412,0.38412,0.38412,0,0
HKDILS,D,19940420,000000,0.38331,0.38331,0.38331,0.38331,0,0
HKDILS,D,19940421,000000,0.38231,0.38231,0.38231,0.38231,0,0
HKDILS,D,19940422,000000,0.38237,0.38237,0.38237,0.38237,0,0
HKDILS,D,19940425,000000,0.3845,0.3845,0.3845,0.3845,0,0
HKDILS,D,19940426,000000,0.38578,0.38578,0.38578,0.38578,0,0
HKDILS,D,19940427,000000,0.38671,0.38671,0.38671,0.38671,0,0
HKDILS,D,19940428,000000,0.38706,0.38706,0.38706,0.38706,0,0
HKDILS,D,19940429,000000,0.38625,0.38625,0.38625,0.38625,0,0
