<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFARS,D,19960806,000000,0.00635,0.00635,0.00635,0.00635,0,0
HUFARS,D,19960807,000000,0.006303,0.006303,0.006303,0.006303,0,0
HUFARS,D,19960808,000000,0.006303,0.006303,0.006303,0.006303,0,0
HUFARS,D,19960809,000000,0.006364,0.006364,0.006364,0.006364,0,0
HUFARS,D,19960812,000000,0.006307,0.006307,0.006307,0.006307,0,0
HUFARS,D,19960813,000000,0.006349,0.006349,0.006349,0.006349,0,0
HUFARS,D,19960814,000000,0.006292,0.006292,0.006292,0.006292,0,0
HUFARS,D,19960815,000000,0.006336,0.006336,0.006336,0.006336,0,0
HUFARS,D,19960816,000000,0.006295,0.006295,0.006295,0.006295,0,0
HUFARS,D,19960819,000000,0.006296,0.006296,0.006296,0.006296,0,0
HUFARS,D,19960820,000000,0.006297,0.006297,0.006297,0.006297,0,0
HUFARS,D,19960821,000000,0.006294,0.006294,0.006294,0.006294,0,0
HUFARS,D,19960822,000000,0.006306,0.006306,0.006306,0.006306,0,0
HUFARS,D,19960823,000000,0.006314,0.006314,0.006314,0.006314,0,0
HUFARS,D,19960826,000000,0.006309,0.006309,0.006309,0.006309,0,0
HUFARS,D,19960827,000000,0.006324,0.006324,0.006324,0.006324,0,0
HUFARS,D,19960828,000000,0.00633,0.00633,0.00633,0.00633,0,0
HUFARS,D,19960829,000000,0.006271,0.006271,0.006271,0.006271,0,0
HUFARS,D,19960830,000000,0.00632,0.00632,0.00632,0.00632,0,0
HUFARS,D,19960902,000000,0.00632,0.00632,0.00632,0.00632,0,0
HUFARS,D,19960903,000000,0.006313,0.006313,0.006313,0.006313,0,0
HUFARS,D,19960904,000000,0.006313,0.006313,0.006313,0.006313,0,0
HUFARS,D,19960905,000000,0.006256,0.006256,0.006256,0.006256,0,0
HUFARS,D,19960906,000000,0.006239,0.006239,0.006239,0.006239,0,0
HUFARS,D,19960909,000000,0.006244,0.006244,0.006244,0.006244,0,0
HUFARS,D,19960910,000000,0.006196,0.006196,0.006196,0.006196,0,0
HUFARS,D,19960911,000000,0.006192,0.006192,0.006192,0.006192,0,0
HUFARS,D,19960912,000000,0.006194,0.006194,0.006194,0.006194,0,0
HUFARS,D,19960913,000000,0.006198,0.006198,0.006198,0.006198,0,0
HUFARS,D,19960916,000000,0.006198,0.006198,0.006198,0.006198,0,0
HUFARS,D,19960917,000000,0.006195,0.006195,0.006195,0.006195,0,0
HUFARS,D,19960918,000000,0.006191,0.006191,0.006191,0.006191,0,0
HUFARS,D,19960919,000000,0.006195,0.006195,0.006195,0.006195,0,0
HUFARS,D,19960920,000000,0.006154,0.006154,0.006154,0.006154,0,0
HUFARS,D,19960923,000000,0.006217,0.006217,0.006217,0.006217,0,0
HUFARS,D,19960924,000000,0.006211,0.006211,0.006211,0.006211,0,0
HUFARS,D,19960925,000000,0.006215,0.006215,0.006215,0.006215,0,0
HUFARS,D,19960926,000000,0.006156,0.006156,0.006156,0.006156,0,0
HUFARS,D,19960927,000000,0.006175,0.006175,0.006175,0.006175,0,0
HUFARS,D,19960930,000000,0.006126,0.006126,0.006126,0.006126,0,0
HUFARS,D,19961001,000000,0.006126,0.006126,0.006126,0.006126,0,0
HUFARS,D,19961002,000000,0.006128,0.006128,0.006128,0.006128,0,0
HUFARS,D,19961003,000000,0.006132,0.006132,0.006132,0.006132,0,0
HUFARS,D,19961004,000000,0.006103,0.006103,0.006103,0.006103,0,0
HUFARS,D,19961007,000000,0.006111,0.006111,0.006111,0.006111,0,0
HUFARS,D,19961008,000000,0.006106,0.006106,0.006106,0.006106,0,0
HUFARS,D,19961009,000000,0.006107,0.006107,0.006107,0.006107,0,0
HUFARS,D,19961010,000000,0.006122,0.006122,0.006122,0.006122,0,0
HUFARS,D,19961011,000000,0.006115,0.006115,0.006115,0.006115,0,0
HUFARS,D,19961014,000000,0.006115,0.006115,0.006115,0.006115,0,0
HUFARS,D,19961015,000000,0.00611,0.00611,0.00611,0.00611,0,0
HUFARS,D,19961016,000000,0.006103,0.006103,0.006103,0.006103,0,0
HUFARS,D,19961017,000000,0.006065,0.006065,0.006065,0.006065,0,0
HUFARS,D,19961018,000000,0.006078,0.006078,0.006078,0.006078,0,0
HUFARS,D,19961021,000000,0.006088,0.006088,0.006088,0.006088,0,0
HUFARS,D,19961022,000000,0.006099,0.006099,0.006099,0.006099,0,0
HUFARS,D,19961023,000000,0.006103,0.006103,0.006103,0.006103,0,0
HUFARS,D,19961024,000000,0.006147,0.006147,0.006147,0.006147,0,0
HUFARS,D,19961025,000000,0.006154,0.006154,0.006154,0.006154,0,0
HUFARS,D,19961028,000000,0.006151,0.006151,0.006151,0.006151,0,0
HUFARS,D,19961029,000000,0.006149,0.006149,0.006149,0.006149,0,0
HUFARS,D,19961030,000000,0.006115,0.006115,0.006115,0.006115,0,0
HUFARS,D,19961031,000000,0.006116,0.006116,0.006116,0.006116,0,0
HUFARS,D,19961101,000000,0.006143,0.006143,0.006143,0.006143,0,0
HUFARS,D,19961104,000000,0.00614,0.00614,0.00614,0.00614,0,0
HUFARS,D,19961105,000000,0.0061,0.0061,0.0061,0.0061,0,0
HUFARS,D,19961106,000000,0.006111,0.006111,0.006111,0.006111,0,0
HUFARS,D,19961107,000000,0.006103,0.006103,0.006103,0.006103,0,0
HUFARS,D,19961108,000000,0.006106,0.006106,0.006106,0.006106,0,0
HUFARS,D,19961112,000000,0.006145,0.006145,0.006145,0.006145,0,0
HUFARS,D,19961113,000000,0.006097,0.006097,0.006097,0.006097,0,0
HUFARS,D,19961114,000000,0.006096,0.006096,0.006096,0.006096,0,0
HUFARS,D,19961115,000000,0.006132,0.006132,0.006132,0.006132,0,0
HUFARS,D,19961118,000000,0.006112,0.006112,0.006112,0.006112,0,0
HUFARS,D,19961119,000000,0.00611,0.00611,0.00611,0.00611,0,0
HUFARS,D,19961120,000000,0.006162,0.006162,0.006162,0.006162,0,0
HUFARS,D,19961121,000000,0.006124,0.006124,0.006124,0.006124,0,0
