<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFHKD,D,19951023,000000,0.059486,0.059486,0.059486,0.059486,0,0
HUFHKD,D,19951024,000000,0.059412,0.059412,0.059412,0.059412,0,0
HUFHKD,D,19951025,000000,0.059293,0.059293,0.059293,0.059293,0,0
HUFHKD,D,19951026,000000,0.059135,0.059135,0.059135,0.059135,0,0
HUFHKD,D,19951027,000000,0.059118,0.059118,0.059118,0.059118,0,0
HUFHKD,D,19951030,000000,0.058925,0.058925,0.058925,0.058925,0,0
HUFHKD,D,19951031,000000,0.058844,0.058844,0.058844,0.058844,0,0
HUFHKD,D,19951102,000000,0.058494,0.058494,0.058494,0.058494,0,0
HUFHKD,D,19951103,000000,0.058424,0.058424,0.058424,0.058424,0,0
HUFHKD,D,19951106,000000,0.058475,0.058475,0.058475,0.058475,0,0
HUFHKD,D,19951107,000000,0.058478,0.058478,0.058478,0.058478,0,0
HUFHKD,D,19951108,000000,0.058452,0.058452,0.058452,0.058452,0,0
HUFHKD,D,19951109,000000,0.058301,0.058301,0.058301,0.058301,0,0
HUFHKD,D,19951110,000000,0.058414,0.058414,0.058414,0.058414,0,0
HUFHKD,D,19951113,000000,0.058288,0.058288,0.058288,0.058288,0,0
HUFHKD,D,19951114,000000,0.058183,0.058183,0.058183,0.058183,0,0
HUFHKD,D,19951115,000000,0.05854,0.05854,0.05854,0.05854,0,0
HUFHKD,D,19951116,000000,0.058359,0.058359,0.058359,0.058359,0,0
HUFHKD,D,19951117,000000,0.058409,0.058409,0.058409,0.058409,0,0
HUFHKD,D,19951120,000000,0.058101,0.058101,0.058101,0.058101,0,0
HUFHKD,D,19951121,000000,0.058147,0.058147,0.058147,0.058147,0,0
HUFHKD,D,19951122,000000,0.058319,0.058319,0.058319,0.058319,0,0
HUFHKD,D,19951123,000000,0.058226,0.058226,0.058226,0.058226,0,0
HUFHKD,D,19951124,000000,0.058113,0.058113,0.058113,0.058113,0,0
HUFHKD,D,19951127,000000,0.057949,0.057949,0.057949,0.057949,0,0
HUFHKD,D,19951128,000000,0.057787,0.057787,0.057787,0.057787,0,0
HUFHKD,D,19951129,000000,0.057653,0.057653,0.057653,0.057653,0,0
HUFHKD,D,19951130,000000,0.05706,0.05706,0.05706,0.05706,0,0
HUFHKD,D,19951201,000000,0.057027,0.057027,0.057027,0.057027,0,0
HUFHKD,D,19951204,000000,0.057009,0.057009,0.057009,0.057009,0,0
HUFHKD,D,19951205,000000,0.057353,0.057353,0.057353,0.057353,0,0
HUFHKD,D,19951206,000000,0.057283,0.057283,0.057283,0.057283,0,0
HUFHKD,D,19951207,000000,0.057211,0.057211,0.057211,0.057211,0,0
HUFHKD,D,19951208,000000,0.056889,0.056889,0.056889,0.056889,0,0
HUFHKD,D,19951211,000000,0.057062,0.057062,0.057062,0.057062,0,0
HUFHKD,D,19951212,000000,0.056766,0.056766,0.056766,0.056766,0,0
HUFHKD,D,19951213,000000,0.056552,0.056552,0.056552,0.056552,0,0
HUFHKD,D,19951214,000000,0.056671,0.056671,0.056671,0.056671,0,0
HUFHKD,D,19951215,000000,0.056725,0.056725,0.056725,0.056725,0,0
HUFHKD,D,19951218,000000,0.056998,0.056998,0.056998,0.056998,0,0
HUFHKD,D,19951219,000000,0.056909,0.056909,0.056909,0.056909,0,0
HUFHKD,D,19951220,000000,0.056864,0.056864,0.056864,0.056864,0,0
HUFHKD,D,19951221,000000,0.056859,0.056859,0.056859,0.056859,0,0
HUFHKD,D,19951222,000000,0.056812,0.056812,0.056812,0.056812,0,0
HUFHKD,D,19951227,000000,0.056321,0.056321,0.056321,0.056321,0,0
HUFHKD,D,19951228,000000,0.056288,0.056288,0.056288,0.056288,0,0
HUFHKD,D,19951229,000000,0.056094,0.056094,0.056094,0.056094,0,0
HUFHKD,D,19960102,000000,0.056415,0.056415,0.056415,0.056415,0,0
HUFHKD,D,19960103,000000,0.056392,0.056392,0.056392,0.056392,0,0
HUFHKD,D,19960104,000000,0.056386,0.056386,0.056386,0.056386,0,0
HUFHKD,D,19960105,000000,0.05698,0.05698,0.05698,0.05698,0,0
HUFHKD,D,19960108,000000,0.056849,0.056849,0.056849,0.056849,0,0
HUFHKD,D,19960109,000000,0.056819,0.056819,0.056819,0.056819,0,0
HUFHKD,D,19960110,000000,0.056827,0.056827,0.056827,0.056827,0,0
HUFHKD,D,19960111,000000,0.056811,0.056811,0.056811,0.056811,0,0
HUFHKD,D,19960112,000000,0.056193,0.056193,0.056193,0.056193,0,0
HUFHKD,D,19960115,000000,0.056129,0.056129,0.056129,0.056129,0,0
HUFHKD,D,19960116,000000,0.056032,0.056032,0.056032,0.056032,0,0
HUFHKD,D,19960117,000000,0.055993,0.055993,0.055993,0.055993,0,0
HUFHKD,D,19960118,000000,0.055608,0.055608,0.055608,0.055608,0,0
HUFHKD,D,19960119,000000,0.055005,0.055005,0.055005,0.055005,0,0
HUFHKD,D,19960122,000000,0.055388,0.055388,0.055388,0.055388,0,0
HUFHKD,D,19960123,000000,0.055361,0.055361,0.055361,0.055361,0,0
HUFHKD,D,19960124,000000,0.05479,0.05479,0.05479,0.05479,0,0
HUFHKD,D,19960125,000000,0.05508,0.05508,0.05508,0.05508,0,0
HUFHKD,D,19960126,000000,0.054329,0.054329,0.054329,0.054329,0,0
HUFHKD,D,19960129,000000,0.054361,0.054361,0.054361,0.054361,0,0
HUFHKD,D,19960130,000000,0.054512,0.054512,0.054512,0.054512,0,0
HUFHKD,D,19960131,000000,0.054637,0.054637,0.054637,0.054637,0,0
HUFHKD,D,19960201,000000,0.054667,0.054667,0.054667,0.054667,0,0
HUFHKD,D,19960202,000000,0.054605,0.054605,0.054605,0.054605,0,0
HUFHKD,D,19960205,000000,0.055018,0.055018,0.055018,0.055018,0,0
HUFHKD,D,19960206,000000,0.054632,0.054632,0.054632,0.054632,0,0
HUFHKD,D,19960207,000000,0.054414,0.054414,0.054414,0.054414,0,0
HUFHKD,D,19960208,000000,0.054298,0.054298,0.054298,0.054298,0,0
HUFHKD,D,19960209,000000,0.054698,0.054698,0.054698,0.054698,0,0
HUFHKD,D,19960212,000000,0.054698,0.054698,0.054698,0.054698,0,0
HUFHKD,D,19960213,000000,0.054728,0.054728,0.054728,0.054728,0,0
HUFHKD,D,19960214,000000,0.054455,0.054455,0.054455,0.054455,0,0
HUFHKD,D,19960215,000000,0.054988,0.054988,0.054988,0.054988,0,0
HUFHKD,D,19960216,000000,0.054864,0.054864,0.054864,0.054864,0,0
HUFHKD,D,19960219,000000,0.054706,0.054706,0.054706,0.054706,0,0
HUFHKD,D,19960220,000000,0.054894,0.054894,0.054894,0.054894,0,0
HUFHKD,D,19960221,000000,0.054989,0.054989,0.054989,0.054989,0,0
HUFHKD,D,19960222,000000,0.054571,0.054571,0.054571,0.054571,0,0
HUFHKD,D,19960223,000000,0.054516,0.054516,0.054516,0.054516,0,0
HUFHKD,D,19960226,000000,0.055107,0.055107,0.055107,0.055107,0,0
HUFHKD,D,19960227,000000,0.054603,0.054603,0.054603,0.054603,0,0
HUFHKD,D,19960228,000000,0.054604,0.054604,0.054604,0.054604,0,0
HUFHKD,D,19960229,000000,0.054173,0.054173,0.054173,0.054173,0,0
HUFHKD,D,19960301,000000,0.054261,0.054261,0.054261,0.054261,0,0
HUFHKD,D,19960304,000000,0.054203,0.054203,0.054203,0.054203,0,0
HUFHKD,D,19960305,000000,0.054201,0.054201,0.054201,0.054201,0,0
HUFHKD,D,19960306,000000,0.054201,0.054201,0.054201,0.054201,0,0
HUFHKD,D,19960307,000000,0.054232,0.054232,0.054232,0.054232,0,0
HUFHKD,D,19960308,000000,0.054412,0.054412,0.054412,0.054412,0,0
HUFHKD,D,19960311,000000,0.054384,0.054384,0.054384,0.054384,0,0
HUFHKD,D,19960312,000000,0.054357,0.054357,0.054357,0.054357,0,0
HUFHKD,D,19960313,000000,0.054355,0.054355,0.054355,0.054355,0,0
HUFHKD,D,19960314,000000,0.054356,0.054356,0.054356,0.054356,0,0
HUFHKD,D,19960315,000000,0.05399,0.05399,0.05399,0.05399,0,0
HUFHKD,D,19960318,000000,0.054169,0.054169,0.054169,0.054169,0,0
HUFHKD,D,19960319,000000,0.05421,0.05421,0.05421,0.05421,0,0
HUFHKD,D,19960320,000000,0.054143,0.054143,0.054143,0.054143,0,0
HUFHKD,D,19960321,000000,0.054112,0.054112,0.054112,0.054112,0,0
HUFHKD,D,19960322,000000,0.054048,0.054048,0.054048,0.054048,0,0
HUFHKD,D,19960325,000000,0.054048,0.054048,0.054048,0.054048,0,0
HUFHKD,D,19960326,000000,0.054017,0.054017,0.054017,0.054017,0,0
HUFHKD,D,19960327,000000,0.054018,0.054018,0.054018,0.054018,0,0
HUFHKD,D,19960328,000000,0.054018,0.054018,0.054018,0.054018,0,0
HUFHKD,D,19960329,000000,0.054018,0.054018,0.054018,0.054018,0,0
HUFHKD,D,19960401,000000,0.053849,0.053849,0.053849,0.053849,0,0
HUFHKD,D,19960402,000000,0.053823,0.053823,0.053823,0.053823,0,0
HUFHKD,D,19960403,000000,0.053755,0.053755,0.053755,0.053755,0,0
HUFHKD,D,19960404,000000,0.053726,0.053726,0.053726,0.053726,0,0
HUFHKD,D,19960405,000000,0.053693,0.053693,0.053693,0.053693,0,0
HUFHKD,D,19960409,000000,0.053698,0.053698,0.053698,0.053698,0,0
HUFHKD,D,19960410,000000,0.053252,0.053252,0.053252,0.053252,0,0
HUFHKD,D,19960411,000000,0.053244,0.053244,0.053244,0.053244,0,0
HUFHKD,D,19960412,000000,0.053279,0.053279,0.053279,0.053279,0,0
HUFHKD,D,19960415,000000,0.052824,0.052824,0.052824,0.052824,0,0
HUFHKD,D,19960416,000000,0.053252,0.053252,0.053252,0.053252,0,0
HUFHKD,D,19960417,000000,0.053282,0.053282,0.053282,0.053282,0,0
HUFHKD,D,19960418,000000,0.053103,0.053103,0.053103,0.053103,0,0
HUFHKD,D,19960419,000000,0.053103,0.053103,0.053103,0.053103,0,0
HUFHKD,D,19960422,000000,0.052582,0.052582,0.052582,0.052582,0,0
HUFHKD,D,19960423,000000,0.052583,0.052583,0.052583,0.052583,0,0
HUFHKD,D,19960424,000000,0.052585,0.052585,0.052585,0.052585,0,0
HUFHKD,D,19960425,000000,0.052493,0.052493,0.052493,0.052493,0,0
HUFHKD,D,19960426,000000,0.052547,0.052547,0.052547,0.052547,0,0
HUFHKD,D,19960429,000000,0.052547,0.052547,0.052547,0.052547,0,0
