<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFMXN,D,19951023,000000,0.051334,0.051334,0.051334,0.051334,0,0
HUFMXN,D,19951024,000000,0.051937,0.051937,0.051937,0.051937,0,0
HUFMXN,D,19951025,000000,0.052016,0.052016,0.052016,0.052016,0,0
HUFMXN,D,19951026,000000,0.053093,0.053093,0.053093,0.053093,0,0
HUFMXN,D,19951027,000000,0.054246,0.054246,0.054246,0.054246,0,0
HUFMXN,D,19951030,000000,0.052621,0.052621,0.052621,0.052621,0,0
HUFMXN,D,19951031,000000,0.054273,0.054273,0.054273,0.054273,0,0
HUFMXN,D,19951102,000000,0.05534,0.05534,0.05534,0.05534,0,0
HUFMXN,D,19951103,000000,0.057759,0.057759,0.057759,0.057759,0,0
HUFMXN,D,19951106,000000,0.055462,0.055462,0.055462,0.055462,0,0
HUFMXN,D,19951107,000000,0.056705,0.056705,0.056705,0.056705,0,0
HUFMXN,D,19951108,000000,0.059501,0.059501,0.059501,0.059501,0,0
HUFMXN,D,19951109,000000,0.06091,0.06091,0.06091,0.06091,0,0
HUFMXN,D,19951110,000000,0.057788,0.057788,0.057788,0.057788,0,0
HUFMXN,D,19951113,000000,0.057658,0.057658,0.057658,0.057658,0,0
HUFMXN,D,19951114,000000,0.059931,0.059931,0.059931,0.059931,0,0
HUFMXN,D,19951115,000000,0.059804,0.059804,0.059804,0.059804,0,0
HUFMXN,D,19951116,000000,0.058625,0.058625,0.058625,0.058625,0,0
HUFMXN,D,19951117,000000,0.058608,0.058608,0.058608,0.058608,0,0
HUFMXN,D,19951120,000000,0.057831,0.057831,0.057831,0.057831,0,0
HUFMXN,D,19951121,000000,0.057815,0.057815,0.057815,0.057815,0,0
HUFMXN,D,19951122,000000,0.058317,0.058317,0.058317,0.058317,0,0
HUFMXN,D,19951123,000000,0.057407,0.057407,0.057407,0.057407,0,0
HUFMXN,D,19951124,000000,0.057652,0.057652,0.057652,0.057652,0,0
HUFMXN,D,19951127,000000,0.057427,0.057427,0.057427,0.057427,0,0
HUFMXN,D,19951128,000000,0.057231,0.057231,0.057231,0.057231,0,0
HUFMXN,D,19951129,000000,0.055655,0.055655,0.055655,0.055655,0,0
HUFMXN,D,19951130,000000,0.055544,0.055544,0.055544,0.055544,0,0
HUFMXN,D,19951201,000000,0.055921,0.055921,0.055921,0.055921,0,0
HUFMXN,D,19951204,000000,0.055966,0.055966,0.055966,0.055966,0,0
HUFMXN,D,19951205,000000,0.056805,0.056805,0.056805,0.056805,0,0
HUFMXN,D,19951206,000000,0.056734,0.056734,0.056734,0.056734,0,0
HUFMXN,D,19951207,000000,0.057022,0.057022,0.057022,0.057022,0,0
HUFMXN,D,19951208,000000,0.057111,0.057111,0.057111,0.057111,0,0
HUFMXN,D,19951211,000000,0.057257,0.057257,0.057257,0.057257,0,0
HUFMXN,D,19951212,000000,0.056864,0.056864,0.056864,0.056864,0,0
HUFMXN,D,19951213,000000,0.056933,0.056933,0.056933,0.056933,0,0
HUFMXN,D,19951214,000000,0.057219,0.057219,0.057219,0.057219,0,0
HUFMXN,D,19951215,000000,0.056983,0.056983,0.056983,0.056983,0,0
HUFMXN,D,19951218,000000,0.057159,0.057159,0.057159,0.057159,0,0
HUFMXN,D,19951219,000000,0.056435,0.056435,0.056435,0.056435,0,0
HUFMXN,D,19951220,000000,0.05542,0.05542,0.05542,0.05542,0,0
HUFMXN,D,19951221,000000,0.055722,0.055722,0.055722,0.055722,0,0
HUFMXN,D,19951222,000000,0.055521,0.055521,0.055521,0.055521,0,0
HUFMXN,D,19951227,000000,0.05556,0.05556,0.05556,0.05556,0,0
HUFMXN,D,19951228,000000,0.055846,0.055846,0.055846,0.055846,0,0
HUFMXN,D,19951229,000000,0.05603,0.05603,0.05603,0.05603,0,0
HUFMXN,D,19960102,000000,0.056129,0.056129,0.056129,0.056129,0,0
HUFMXN,D,19960103,000000,0.055073,0.055073,0.055073,0.055073,0,0
HUFMXN,D,19960104,000000,0.055124,0.055124,0.055124,0.055124,0,0
HUFMXN,D,19960105,000000,0.05574,0.05574,0.05574,0.05574,0,0
HUFMXN,D,19960108,000000,0.055339,0.055339,0.055339,0.055339,0,0
HUFMXN,D,19960109,000000,0.05494,0.05494,0.05494,0.05494,0,0
HUFMXN,D,19960110,000000,0.055262,0.055262,0.055262,0.055262,0,0
HUFMXN,D,19960111,000000,0.055248,0.055248,0.055248,0.055248,0,0
HUFMXN,D,19960112,000000,0.054222,0.054222,0.054222,0.054222,0,0
HUFMXN,D,19960115,000000,0.054551,0.054551,0.054551,0.054551,0,0
HUFMXN,D,19960116,000000,0.054524,0.054524,0.054524,0.054524,0,0
HUFMXN,D,19960117,000000,0.054041,0.054041,0.054041,0.054041,0,0
HUFMXN,D,19960118,000000,0.053664,0.053664,0.053664,0.053664,0,0
HUFMXN,D,19960119,000000,0.052852,0.052852,0.052852,0.052852,0,0
HUFMXN,D,19960122,000000,0.052311,0.052311,0.052311,0.052311,0,0
HUFMXN,D,19960123,000000,0.052713,0.052713,0.052713,0.052713,0,0
HUFMXN,D,19960124,000000,0.052562,0.052562,0.052562,0.052562,0,0
HUFMXN,D,19960125,000000,0.052596,0.052596,0.052596,0.052596,0,0
HUFMXN,D,19960126,000000,0.052108,0.052108,0.052108,0.052108,0,0
HUFMXN,D,19960129,000000,0.051834,0.051834,0.051834,0.051834,0,0
HUFMXN,D,19960130,000000,0.051836,0.051836,0.051836,0.051836,0,0
HUFMXN,D,19960131,000000,0.052456,0.052456,0.052456,0.052456,0,0
HUFMXN,D,19960201,000000,0.052371,0.052371,0.052371,0.052371,0,0
HUFMXN,D,19960202,000000,0.052345,0.052345,0.052345,0.052345,0,0
HUFMXN,D,19960205,000000,0.052704,0.052704,0.052704,0.052704,0,0
HUFMXN,D,19960206,000000,0.052795,0.052795,0.052795,0.052795,0,0
HUFMXN,D,19960207,000000,0.052566,0.052566,0.052566,0.052566,0,0
HUFMXN,D,19960208,000000,0.05251,0.05251,0.05251,0.05251,0,0
HUFMXN,D,19960209,000000,0.052855,0.052855,0.052855,0.052855,0,0
HUFMXN,D,19960212,000000,0.053162,0.053162,0.053162,0.053162,0,0
HUFMXN,D,19960213,000000,0.05322,0.05322,0.05322,0.05322,0,0
HUFMXN,D,19960214,000000,0.052912,0.052912,0.052912,0.052912,0,0
HUFMXN,D,19960215,000000,0.05331,0.05331,0.05331,0.05331,0,0
HUFMXN,D,19960216,000000,0.053524,0.053524,0.053524,0.053524,0,0
HUFMXN,D,19960219,000000,0.053313,0.053313,0.053313,0.053313,0,0
HUFMXN,D,19960220,000000,0.053773,0.053773,0.053773,0.053773,0,0
HUFMXN,D,19960221,000000,0.053538,0.053538,0.053538,0.053538,0,0
HUFMXN,D,19960222,000000,0.053219,0.053219,0.053219,0.053219,0,0
HUFMXN,D,19960223,000000,0.053165,0.053165,0.053165,0.053165,0,0
HUFMXN,D,19960226,000000,0.053718,0.053718,0.053718,0.053718,0,0
HUFMXN,D,19960227,000000,0.053225,0.053225,0.053225,0.053225,0,0
HUFMXN,D,19960228,000000,0.053193,0.053193,0.053193,0.053193,0,0
HUFMXN,D,19960229,000000,0.053038,0.053038,0.053038,0.053038,0,0
HUFMXN,D,19960301,000000,0.053239,0.053239,0.053239,0.053239,0,0
HUFMXN,D,19960304,000000,0.05304,0.05304,0.05304,0.05304,0,0
HUFMXN,D,19960305,000000,0.053094,0.053094,0.053094,0.053094,0,0
HUFMXN,D,19960306,000000,0.053178,0.053178,0.053178,0.053178,0,0
HUFMXN,D,19960307,000000,0.053129,0.053129,0.053129,0.053129,0,0
