<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFNOK,D,19951023,000000,0.047412,0.047412,0.047412,0.047412,0,0
HUFNOK,D,19951024,000000,0.047401,0.047401,0.047401,0.047401,0,0
HUFNOK,D,19951025,000000,0.047407,0.047407,0.047407,0.047407,0,0
HUFNOK,D,19951026,000000,0.047495,0.047495,0.047495,0.047495,0,0
HUFNOK,D,19951027,000000,0.047145,0.047145,0.047145,0.047145,0,0
HUFNOK,D,19951030,000000,0.047472,0.047472,0.047472,0.047472,0,0
HUFNOK,D,19951031,000000,0.047481,0.047481,0.047481,0.047481,0,0
HUFNOK,D,19951102,000000,0.047392,0.047392,0.047392,0.047392,0,0
HUFNOK,D,19951103,000000,0.047304,0.047304,0.047304,0.047304,0,0
HUFNOK,D,19951106,000000,0.047144,0.047144,0.047144,0.047144,0,0
HUFNOK,D,19951107,000000,0.047276,0.047276,0.047276,0.047276,0,0
HUFNOK,D,19951108,000000,0.04715,0.04715,0.04715,0.04715,0,0
HUFNOK,D,19951109,000000,0.047211,0.047211,0.047211,0.047211,0,0
HUFNOK,D,19951110,000000,0.047105,0.047105,0.047105,0.047105,0,0
HUFNOK,D,19951113,000000,0.046901,0.046901,0.046901,0.046901,0,0
HUFNOK,D,19951114,000000,0.047097,0.047097,0.047097,0.047097,0,0
HUFNOK,D,19951115,000000,0.046922,0.046922,0.046922,0.046922,0,0
HUFNOK,D,19951116,000000,0.046812,0.046812,0.046812,0.046812,0,0
HUFNOK,D,19951117,000000,0.046784,0.046784,0.046784,0.046784,0,0
HUFNOK,D,19951120,000000,0.046857,0.046857,0.046857,0.046857,0,0
HUFNOK,D,19951121,000000,0.046812,0.046812,0.046812,0.046812,0,0
HUFNOK,D,19951122,000000,0.0469,0.0469,0.0469,0.0469,0,0
HUFNOK,D,19951123,000000,0.046865,0.046865,0.046865,0.046865,0,0
HUFNOK,D,19951124,000000,0.046869,0.046869,0.046869,0.046869,0,0
HUFNOK,D,19951127,000000,0.047152,0.047152,0.047152,0.047152,0,0
HUFNOK,D,19951128,000000,0.047181,0.047181,0.047181,0.047181,0,0
HUFNOK,D,19951129,000000,0.047214,0.047214,0.047214,0.047214,0,0
HUFNOK,D,19951130,000000,0.046789,0.046789,0.046789,0.046789,0,0
HUFNOK,D,19951201,000000,0.047058,0.047058,0.047058,0.047058,0,0
HUFNOK,D,19951204,000000,0.046629,0.046629,0.046629,0.046629,0,0
HUFNOK,D,19951205,000000,0.046905,0.046905,0.046905,0.046905,0,0
HUFNOK,D,19951206,000000,0.047007,0.047007,0.047007,0.047007,0,0
HUFNOK,D,19951207,000000,0.046812,0.046812,0.046812,0.046812,0,0
HUFNOK,D,19951208,000000,0.046836,0.046836,0.046836,0.046836,0,0
HUFNOK,D,19951211,000000,0.047015,0.047015,0.047015,0.047015,0,0
HUFNOK,D,19951212,000000,0.046849,0.046849,0.046849,0.046849,0,0
HUFNOK,D,19951213,000000,0.046889,0.046889,0.046889,0.046889,0,0
HUFNOK,D,19951214,000000,0.046877,0.046877,0.046877,0.046877,0,0
HUFNOK,D,19951215,000000,0.046749,0.046749,0.046749,0.046749,0,0
HUFNOK,D,19951218,000000,0.046797,0.046797,0.046797,0.046797,0,0
HUFNOK,D,19951219,000000,0.046691,0.046691,0.046691,0.046691,0,0
HUFNOK,D,19951220,000000,0.046867,0.046867,0.046867,0.046867,0,0
HUFNOK,D,19951221,000000,0.046799,0.046799,0.046799,0.046799,0,0
HUFNOK,D,19951222,000000,0.046793,0.046793,0.046793,0.046793,0,0
HUFNOK,D,19951227,000000,0.046156,0.046156,0.046156,0.046156,0,0
HUFNOK,D,19951228,000000,0.046031,0.046031,0.046031,0.046031,0,0
HUFNOK,D,19951229,000000,0.045858,0.045858,0.045858,0.045858,0,0
HUFNOK,D,19960102,000000,0.046055,0.046055,0.046055,0.046055,0,0
HUFNOK,D,19960103,000000,0.046228,0.046228,0.046228,0.046228,0,0
HUFNOK,D,19960104,000000,0.046551,0.046551,0.046551,0.046551,0,0
HUFNOK,D,19960105,000000,0.046839,0.046839,0.046839,0.046839,0,0
HUFNOK,D,19960108,000000,0.046634,0.046634,0.046634,0.046634,0,0
HUFNOK,D,19960109,000000,0.046698,0.046698,0.046698,0.046698,0,0
HUFNOK,D,19960110,000000,0.046513,0.046513,0.046513,0.046513,0,0
HUFNOK,D,19960111,000000,0.046402,0.046402,0.046402,0.046402,0,0
HUFNOK,D,19960112,000000,0.046121,0.046121,0.046121,0.046121,0,0
HUFNOK,D,19960115,000000,0.046009,0.046009,0.046009,0.046009,0,0
HUFNOK,D,19960116,000000,0.04628,0.04628,0.04628,0.04628,0,0
HUFNOK,D,19960117,000000,0.046447,0.046447,0.046447,0.046447,0,0
HUFNOK,D,19960118,000000,0.046296,0.046296,0.046296,0.046296,0,0
HUFNOK,D,19960119,000000,0.04598,0.04598,0.04598,0.04598,0,0
HUFNOK,D,19960122,000000,0.046458,0.046458,0.046458,0.046458,0,0
HUFNOK,D,19960123,000000,0.046276,0.046276,0.046276,0.046276,0,0
HUFNOK,D,19960124,000000,0.046091,0.046091,0.046091,0.046091,0,0
HUFNOK,D,19960125,000000,0.046101,0.046101,0.046101,0.046101,0,0
HUFNOK,D,19960126,000000,0.045742,0.045742,0.045742,0.045742,0,0
HUFNOK,D,19960129,000000,0.045926,0.045926,0.045926,0.045926,0,0
HUFNOK,D,19960130,000000,0.045978,0.045978,0.045978,0.045978,0,0
HUFNOK,D,19960131,000000,0.046039,0.046039,0.046039,0.046039,0,0
HUFNOK,D,19960201,000000,0.04592,0.04592,0.04592,0.04592,0,0
HUFNOK,D,19960202,000000,0.045909,0.045909,0.045909,0.045909,0,0
HUFNOK,D,19960205,000000,0.045857,0.045857,0.045857,0.045857,0,0
HUFNOK,D,19960206,000000,0.045402,0.045402,0.045402,0.045402,0,0
