<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFPLN,D,19951023,000000,0.01868,0.01868,0.01868,0.01868,0,0
HUFPLN,D,19951024,000000,0.018666,0.018666,0.018666,0.018666,0,0
HUFPLN,D,19951025,000000,0.018697,0.018697,0.018697,0.018697,0,0
HUFPLN,D,19951026,000000,0.01867,0.01867,0.01867,0.01867,0,0
HUFPLN,D,19951027,000000,0.018594,0.018594,0.018594,0.018594,0,0
HUFPLN,D,19951030,000000,0.018671,0.018671,0.018671,0.018671,0,0
HUFPLN,D,19951031,000000,0.01866,0.01866,0.01866,0.01866,0,0
HUFPLN,D,19951102,000000,0.018616,0.018616,0.018616,0.018616,0,0
HUFPLN,D,19951103,000000,0.018609,0.018609,0.018609,0.018609,0,0
HUFPLN,D,19951106,000000,0.01856,0.01856,0.01856,0.01856,0,0
HUFPLN,D,19951107,000000,0.018608,0.018608,0.018608,0.018608,0,0
HUFPLN,D,19951108,000000,0.018605,0.018605,0.018605,0.018605,0,0
HUFPLN,D,19951109,000000,0.018629,0.018629,0.018629,0.018629,0,0
HUFPLN,D,19951110,000000,0.018602,0.018602,0.018602,0.018602,0,0
HUFPLN,D,19951113,000000,0.018563,0.018563,0.018563,0.018563,0,0
HUFPLN,D,19951114,000000,0.018613,0.018613,0.018613,0.018613,0,0
HUFPLN,D,19951115,000000,0.018633,0.018633,0.018633,0.018633,0,0
HUFPLN,D,19951116,000000,0.018605,0.018605,0.018605,0.018605,0,0
HUFPLN,D,19951117,000000,0.018612,0.018612,0.018612,0.018612,0,0
HUFPLN,D,19951120,000000,0.018598,0.018598,0.018598,0.018598,0,0
HUFPLN,D,19951121,000000,0.018608,0.018608,0.018608,0.018608,0,0
HUFPLN,D,19951122,000000,0.018622,0.018622,0.018622,0.018622,0,0
HUFPLN,D,19951123,000000,0.01865,0.01865,0.01865,0.01865,0,0
HUFPLN,D,19951124,000000,0.018646,0.018646,0.018646,0.018646,0,0
HUFPLN,D,19951127,000000,0.018724,0.018724,0.018724,0.018724,0,0
HUFPLN,D,19951128,000000,0.018686,0.018686,0.018686,0.018686,0,0
HUFPLN,D,19951129,000000,0.018694,0.018694,0.018694,0.018694,0,0
HUFPLN,D,19951130,000000,0.018588,0.018588,0.018588,0.018588,0,0
HUFPLN,D,19951201,000000,0.018581,0.018581,0.018581,0.018581,0,0
HUFPLN,D,19951204,000000,0.018546,0.018546,0.018546,0.018546,0,0
HUFPLN,D,19951205,000000,0.018656,0.018656,0.018656,0.018656,0,0
HUFPLN,D,19951206,000000,0.018667,0.018667,0.018667,0.018667,0,0
HUFPLN,D,19951207,000000,0.018638,0.018638,0.018638,0.018638,0,0
HUFPLN,D,19951208,000000,0.01862,0.01862,0.01862,0.01862,0,0
HUFPLN,D,19951211,000000,0.018631,0.018631,0.018631,0.018631,0,0
HUFPLN,D,19951212,000000,0.018595,0.018595,0.018595,0.018595,0,0
HUFPLN,D,19951213,000000,0.01855,0.01855,0.01855,0.01855,0,0
HUFPLN,D,19951214,000000,0.01854,0.01854,0.01854,0.01854,0,0
HUFPLN,D,19951215,000000,0.018571,0.018571,0.018571,0.018571,0,0
HUFPLN,D,19951218,000000,0.018572,0.018572,0.018572,0.018572,0,0
HUFPLN,D,19951219,000000,0.018567,0.018567,0.018567,0.018567,0,0
HUFPLN,D,19951220,000000,0.018646,0.018646,0.018646,0.018646,0,0
HUFPLN,D,19951221,000000,0.018637,0.018637,0.018637,0.018637,0,0
HUFPLN,D,19951222,000000,0.018147,0.018147,0.018147,0.018147,0,0
HUFPLN,D,19951227,000000,0.017963,0.017963,0.017963,0.017963,0,0
HUFPLN,D,19951228,000000,0.017929,0.017929,0.017929,0.017929,0,0
HUFPLN,D,19951229,000000,0.017869,0.017869,0.017869,0.017869,0,0
HUFPLN,D,19960102,000000,0.018018,0.018018,0.018018,0.018018,0,0
HUFPLN,D,19960103,000000,0.018056,0.018056,0.018056,0.018056,0,0
HUFPLN,D,19960104,000000,0.018171,0.018171,0.018171,0.018171,0,0
HUFPLN,D,19960105,000000,0.018276,0.018276,0.018276,0.018276,0,0
HUFPLN,D,19960108,000000,0.018244,0.018244,0.018244,0.018244,0,0
HUFPLN,D,19960109,000000,0.018262,0.018262,0.018262,0.018262,0,0
HUFPLN,D,19960110,000000,0.018268,0.018268,0.018268,0.018268,0,0
HUFPLN,D,19960111,000000,0.018262,0.018262,0.018262,0.018262,0,0
HUFPLN,D,19960112,000000,0.018118,0.018118,0.018118,0.018118,0,0
HUFPLN,D,19960115,000000,0.018129,0.018129,0.018129,0.018129,0,0
HUFPLN,D,19960116,000000,0.018152,0.018152,0.018152,0.018152,0,0
HUFPLN,D,19960117,000000,0.01819,0.01819,0.01819,0.01819,0,0
HUFPLN,D,19960118,000000,0.018118,0.018118,0.018118,0.018118,0,0
HUFPLN,D,19960119,000000,0.01798,0.01798,0.01798,0.01798,0,0
HUFPLN,D,19960122,000000,0.018136,0.018136,0.018136,0.018136,0,0
HUFPLN,D,19960123,000000,0.018131,0.018131,0.018131,0.018131,0,0
HUFPLN,D,19960124,000000,0.017987,0.017987,0.017987,0.017987,0,0
HUFPLN,D,19960125,000000,0.018073,0.018073,0.018073,0.018073,0,0
HUFPLN,D,19960126,000000,0.017923,0.017923,0.017923,0.017923,0,0
HUFPLN,D,19960129,000000,0.017894,0.017894,0.017894,0.017894,0,0
HUFPLN,D,19960130,000000,0.017977,0.017977,0.017977,0.017977,0,0
HUFPLN,D,19960131,000000,0.018008,0.018008,0.018008,0.018008,0,0
HUFPLN,D,19960201,000000,0.018012,0.018012,0.018012,0.018012,0,0
HUFPLN,D,19960202,000000,0.017997,0.017997,0.017997,0.017997,0,0
HUFPLN,D,19960205,000000,0.018022,0.018022,0.018022,0.018022,0,0
HUFPLN,D,19960206,000000,0.017838,0.017838,0.017838,0.017838,0,0
HUFPLN,D,19960207,000000,0.017881,0.017881,0.017881,0.017881,0,0
HUFPLN,D,19960208,000000,0.017868,0.017868,0.017868,0.017868,0,0
HUFPLN,D,19960209,000000,0.017993,0.017993,0.017993,0.017993,0,0
HUFPLN,D,19960212,000000,0.017987,0.017987,0.017987,0.017987,0,0
