<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFSGD,D,19951023,000000,0.010842,0.010842,0.010842,0.010842,0,0
HUFSGD,D,19951024,000000,0.010831,0.010831,0.010831,0.010831,0,0
HUFSGD,D,19951025,000000,0.010888,0.010888,0.010888,0.010888,0,0
HUFSGD,D,19951026,000000,0.010856,0.010856,0.010856,0.010856,0,0
HUFSGD,D,19951027,000000,0.010773,0.010773,0.010773,0.010773,0,0
HUFSGD,D,19951030,000000,0.010818,0.010818,0.010818,0.010818,0,0
HUFSGD,D,19951031,000000,0.010724,0.010724,0.010724,0.010724,0,0
HUFSGD,D,19951102,000000,0.010738,0.010738,0.010738,0.010738,0,0
HUFSGD,D,19951103,000000,0.010647,0.010647,0.010647,0.010647,0,0
HUFSGD,D,19951106,000000,0.010658,0.010658,0.010658,0.010658,0,0
HUFSGD,D,19951107,000000,0.01066,0.01066,0.01066,0.01066,0,0
HUFSGD,D,19951108,000000,0.010655,0.010655,0.010655,0.010655,0,0
HUFSGD,D,19951109,000000,0.010627,0.010627,0.010627,0.010627,0,0
HUFSGD,D,19951110,000000,0.010647,0.010647,0.010647,0.010647,0,0
HUFSGD,D,19951113,000000,0.010627,0.010627,0.010627,0.010627,0,0
HUFSGD,D,19951114,000000,0.010606,0.010606,0.010606,0.010606,0,0
HUFSGD,D,19951115,000000,0.010673,0.010673,0.010673,0.010673,0,0
HUFSGD,D,19951116,000000,0.01066,0.01066,0.01066,0.01066,0,0
HUFSGD,D,19951117,000000,0.010659,0.010659,0.010659,0.010659,0,0
HUFSGD,D,19951120,000000,0.010607,0.010607,0.010607,0.010607,0,0
HUFSGD,D,19951121,000000,0.010628,0.010628,0.010628,0.010628,0,0
HUFSGD,D,19951122,000000,0.010628,0.010628,0.010628,0.010628,0,0
HUFSGD,D,19951123,000000,0.010628,0.010628,0.010628,0.010628,0,0
HUFSGD,D,19951124,000000,0.010617,0.010617,0.010617,0.010617,0,0
HUFSGD,D,19951127,000000,0.010585,0.010585,0.010585,0.010585,0,0
HUFSGD,D,19951128,000000,0.010555,0.010555,0.010555,0.010555,0,0
HUFSGD,D,19951129,000000,0.010535,0.010535,0.010535,0.010535,0,0
HUFSGD,D,19951130,000000,0.010401,0.010401,0.010401,0.010401,0,0
HUFSGD,D,19951201,000000,0.010434,0.010434,0.010434,0.010434,0,0
HUFSGD,D,19951204,000000,0.010428,0.010428,0.010428,0.010428,0,0
HUFSGD,D,19951205,000000,0.010485,0.010485,0.010485,0.010485,0,0
HUFSGD,D,19951206,000000,0.010464,0.010464,0.010464,0.010464,0,0
HUFSGD,D,19951207,000000,0.010455,0.010455,0.010455,0.010455,0,0
HUFSGD,D,19951208,000000,0.010404,0.010404,0.010404,0.010404,0,0
HUFSGD,D,19951211,000000,0.010435,0.010435,0.010435,0.010435,0,0
HUFSGD,D,19951212,000000,0.010394,0.010394,0.010394,0.010394,0,0
HUFSGD,D,19951213,000000,0.010352,0.010352,0.010352,0.010352,0,0
HUFSGD,D,19951214,000000,0.010372,0.010372,0.010372,0.010372,0,0
HUFSGD,D,19951215,000000,0.010392,0.010392,0.010392,0.010392,0,0
HUFSGD,D,19951218,000000,0.010413,0.010413,0.010413,0.010413,0,0
HUFSGD,D,19951219,000000,0.010403,0.010403,0.010403,0.010403,0,0
HUFSGD,D,19951220,000000,0.010398,0.010398,0.010398,0.010398,0,0
HUFSGD,D,19951221,000000,0.010393,0.010393,0.010393,0.010393,0,0
HUFSGD,D,19951222,000000,0.010388,0.010388,0.010388,0.010388,0,0
HUFSGD,D,19951227,000000,0.010307,0.010307,0.010307,0.010307,0,0
HUFSGD,D,19951228,000000,0.010277,0.010277,0.010277,0.010277,0,0
HUFSGD,D,19951229,000000,0.010257,0.010257,0.010257,0.010257,0,0
HUFSGD,D,19960102,000000,0.010326,0.010326,0.010326,0.010326,0,0
HUFSGD,D,19960103,000000,0.010321,0.010321,0.010321,0.010321,0,0
HUFSGD,D,19960104,000000,0.010316,0.010316,0.010316,0.010316,0,0
HUFSGD,D,19960105,000000,0.01049,0.01049,0.01049,0.01049,0,0
HUFSGD,D,19960108,000000,0.01047,0.01047,0.01047,0.01047,0,0
HUFSGD,D,19960109,000000,0.01046,0.01046,0.01046,0.01046,0,0
HUFSGD,D,19960110,000000,0.010471,0.010471,0.010471,0.010471,0,0
HUFSGD,D,19960111,000000,0.010466,0.010466,0.010466,0.010466,0,0
HUFSGD,D,19960112,000000,0.010337,0.010337,0.010337,0.010337,0,0
HUFSGD,D,19960115,000000,0.010327,0.010327,0.010327,0.010327,0,0
HUFSGD,D,19960116,000000,0.010327,0.010327,0.010327,0.010327,0,0
HUFSGD,D,19960117,000000,0.010322,0.010322,0.010322,0.010322,0,0
HUFSGD,D,19960118,000000,0.010206,0.010206,0.010206,0.010206,0,0
HUFSGD,D,19960119,000000,0.010116,0.010116,0.010116,0.010116,0,0
HUFSGD,D,19960122,000000,0.010196,0.010196,0.010196,0.010196,0,0
HUFSGD,D,19960123,000000,0.01019,0.01019,0.01019,0.01019,0,0
HUFSGD,D,19960124,000000,0.010068,0.010068,0.010068,0.010068,0,0
HUFSGD,D,19960125,000000,0.010108,0.010108,0.010108,0.010108,0,0
HUFSGD,D,19960126,000000,0.009961,0.009961,0.009961,0.009961,0,0
HUFSGD,D,19960129,000000,0.009971,0.009971,0.009971,0.009971,0,0
HUFSGD,D,19960130,000000,0.01001,0.01001,0.01001,0.01001,0,0
HUFSGD,D,19960131,000000,0.01003,0.01003,0.01003,0.01003,0,0
HUFSGD,D,19960201,000000,0.010029,0.010029,0.010029,0.010029,0,0
HUFSGD,D,19960202,000000,0.01001,0.01001,0.01001,0.01001,0,0
HUFSGD,D,19960205,000000,0.010068,0.010068,0.010068,0.010068,0,0
HUFSGD,D,19960206,000000,0.01,0.01,0.01,0.01,0,0
HUFSGD,D,19960207,000000,0.009962,0.009962,0.009962,0.009962,0,0
HUFSGD,D,19960208,000000,0.009942,0.009942,0.009942,0.009942,0,0
HUFSGD,D,19960209,000000,0.010019,0.010019,0.010019,0.010019,0,0
HUFSGD,D,19960212,000000,0.00999,0.00999,0.00999,0.00999,0,0
HUFSGD,D,19960213,000000,0.010019,0.010019,0.010019,0.010019,0,0
HUFSGD,D,19960214,000000,0.009961,0.009961,0.009961,0.009961,0,0
HUFSGD,D,19960215,000000,0.010049,0.010049,0.010049,0.010049,0,0
HUFSGD,D,19960216,000000,0.01001,0.01001,0.01001,0.01001,0,0
HUFSGD,D,19960219,000000,0.009873,0.009873,0.009873,0.009873,0,0
HUFSGD,D,19960220,000000,0.009961,0.009961,0.009961,0.009961,0,0
HUFSGD,D,19960221,000000,0.00997,0.00997,0.00997,0.00997,0,0
HUFSGD,D,19960222,000000,0.009922,0.009922,0.009922,0.009922,0,0
HUFSGD,D,19960223,000000,0.009932,0.009932,0.009932,0.009932,0,0
HUFSGD,D,19960226,000000,0.010019,0.010019,0.010019,0.010019,0,0
HUFSGD,D,19960227,000000,0.009942,0.009942,0.009942,0.009942,0,0
HUFSGD,D,19960228,000000,0.009971,0.009971,0.009971,0.009971,0,0
HUFSGD,D,19960229,000000,0.009894,0.009894,0.009894,0.009894,0,0
HUFSGD,D,19960301,000000,0.009904,0.009904,0.009904,0.009904,0,0
HUFSGD,D,19960304,000000,0.009895,0.009895,0.009895,0.009895,0,0
HUFSGD,D,19960305,000000,0.009894,0.009894,0.009894,0.009894,0,0
HUFSGD,D,19960306,000000,0.009894,0.009894,0.009894,0.009894,0,0
HUFSGD,D,19960307,000000,0.009885,0.009885,0.009885,0.009885,0,0
HUFSGD,D,19960308,000000,0.009914,0.009914,0.009914,0.009914,0,0
HUFSGD,D,19960311,000000,0.009885,0.009885,0.009885,0.009885,0,0
HUFSGD,D,19960312,000000,0.009904,0.009904,0.009904,0.009904,0,0
HUFSGD,D,19960313,000000,0.009895,0.009895,0.009895,0.009895,0,0
HUFSGD,D,19960314,000000,0.009895,0.009895,0.009895,0.009895,0,0
HUFSGD,D,19960315,000000,0.009828,0.009828,0.009828,0.009828,0,0
HUFSGD,D,19960318,000000,0.009857,0.009857,0.009857,0.009857,0,0
HUFSGD,D,19960319,000000,0.009867,0.009867,0.009867,0.009867,0,0
HUFSGD,D,19960320,000000,0.009886,0.009886,0.009886,0.009886,0,0
HUFSGD,D,19960321,000000,0.009866,0.009866,0.009866,0.009866,0,0
HUFSGD,D,19960322,000000,0.009857,0.009857,0.009857,0.009857,0,0
HUFSGD,D,19960325,000000,0.009839,0.009839,0.009839,0.009839,0,0
HUFSGD,D,19960326,000000,0.009819,0.009819,0.009819,0.009819,0,0
HUFSGD,D,19960327,000000,0.009857,0.009857,0.009857,0.009857,0,0
HUFSGD,D,19960328,000000,0.009838,0.009838,0.009838,0.009838,0,0
HUFSGD,D,19960329,000000,0.009828,0.009828,0.009828,0.009828,0,0
HUFSGD,D,19960401,000000,0.009793,0.009793,0.009793,0.009793,0,0
HUFSGD,D,19960402,000000,0.009784,0.009784,0.009784,0.009784,0,0
HUFSGD,D,19960403,000000,0.009764,0.009764,0.009764,0.009764,0,0
HUFSGD,D,19960404,000000,0.009755,0.009755,0.009755,0.009755,0,0
HUFSGD,D,19960405,000000,0.00975,0.00975,0.00975,0.00975,0,0
HUFSGD,D,19960409,000000,0.009774,0.009774,0.009774,0.009774,0,0
HUFSGD,D,19960410,000000,0.00971,0.00971,0.00971,0.00971,0,0
HUFSGD,D,19960411,000000,0.009705,0.009705,0.009705,0.009705,0,0
HUFSGD,D,19960412,000000,0.00972,0.00972,0.00972,0.00972,0,0
HUFSGD,D,19960415,000000,0.009639,0.009639,0.009639,0.009639,0,0
HUFSGD,D,19960416,000000,0.00972,0.00972,0.00972,0.00972,0,0
HUFSGD,D,19960417,000000,0.009711,0.009711,0.009711,0.009711,0,0
HUFSGD,D,19960418,000000,0.009664,0.009664,0.009664,0.009664,0,0
HUFSGD,D,19960419,000000,0.009664,0.009664,0.009664,0.009664,0,0
HUFSGD,D,19960422,000000,0.009583,0.009583,0.009583,0.009583,0,0
HUFSGD,D,19960423,000000,0.009574,0.009574,0.009574,0.009574,0,0
HUFSGD,D,19960424,000000,0.009584,0.009584,0.009584,0.009584,0,0
HUFSGD,D,19960425,000000,0.009556,0.009556,0.009556,0.009556,0,0
HUFSGD,D,19960426,000000,0.009565,0.009565,0.009565,0.009565,0,0
HUFSGD,D,19960429,000000,0.009546,0.009546,0.009546,0.009546,0,0
HUFSGD,D,19960430,000000,0.009565,0.009565,0.009565,0.009565,0,0
HUFSGD,D,19960506,000000,0.009519,0.009519,0.009519,0.009519,0,0
HUFSGD,D,19960507,000000,0.009519,0.009519,0.009519,0.009519,0,0
HUFSGD,D,19960508,000000,0.009598,0.009598,0.009598,0.009598,0,0
HUFSGD,D,19960509,000000,0.009598,0.009598,0.009598,0.009598,0,0
HUFSGD,D,19960510,000000,0.009608,0.009608,0.009608,0.009608,0,0
HUFSGD,D,19960513,000000,0.009509,0.009509,0.009509,0.009509,0,0
HUFSGD,D,19960514,000000,0.009422,0.009422,0.009422,0.009422,0,0
HUFSGD,D,19960515,000000,0.009528,0.009528,0.009528,0.009528,0,0
HUFSGD,D,19960516,000000,0.009528,0.009528,0.009528,0.009528,0,0
HUFSGD,D,19960517,000000,0.009524,0.009524,0.009524,0.009524,0,0
HUFSGD,D,19960520,000000,0.009519,0.009519,0.009519,0.009519,0,0
HUFSGD,D,19960521,000000,0.009422,0.009422,0.009422,0.009422,0,0
HUFSGD,D,19960522,000000,0.009422,0.009422,0.009422,0.009422,0,0
HUFSGD,D,19960523,000000,0.009404,0.009404,0.009404,0.009404,0,0
HUFSGD,D,19960524,000000,0.009413,0.009413,0.009413,0.009413,0,0
HUFSGD,D,19960527,000000,0.009422,0.009422,0.009422,0.009422,0,0
HUFSGD,D,19960528,000000,0.009422,0.009422,0.009422,0.009422,0,0
HUFSGD,D,19960529,000000,0.009441,0.009441,0.009441,0.009441,0,0
HUFSGD,D,19960530,000000,0.009537,0.009537,0.009537,0.009537,0,0
HUFSGD,D,19960531,000000,0.009519,0.009519,0.009519,0.009519,0,0
HUFSGD,D,19960603,000000,0.009518,0.009518,0.009518,0.009518,0,0
HUFSGD,D,19960604,000000,0.009518,0.009518,0.009518,0.009518,0,0
HUFSGD,D,19960605,000000,0.009477,0.009477,0.009477,0.009477,0,0
HUFSGD,D,19960607,000000,0.009373,0.009373,0.009373,0.009373,0,0
HUFSGD,D,19960610,000000,0.009391,0.009391,0.009391,0.009391,0,0
HUFSGD,D,19960611,000000,0.009382,0.009382,0.009382,0.009382,0,0
HUFSGD,D,19960612,000000,0.009373,0.009373,0.009373,0.009373,0,0
HUFSGD,D,19960613,000000,0.00944,0.00944,0.00944,0.00944,0,0
HUFSGD,D,19960614,000000,0.009373,0.009373,0.009373,0.009373,0,0
HUFSGD,D,19960617,000000,0.009459,0.009459,0.009459,0.009459,0,0
HUFSGD,D,19960618,000000,0.00944,0.00944,0.00944,0.00944,0,0
HUFSGD,D,19960619,000000,0.009431,0.009431,0.009431,0.009431,0,0
HUFSGD,D,19960620,000000,0.009449,0.009449,0.009449,0.009449,0,0
HUFSGD,D,19960621,000000,0.009391,0.009391,0.009391,0.009391,0,0
HUFSGD,D,19960624,000000,0.009409,0.009409,0.009409,0.009409,0,0
HUFSGD,D,19960625,000000,0.009436,0.009436,0.009436,0.009436,0,0
HUFSGD,D,19960626,000000,0.009343,0.009343,0.009343,0.009343,0,0
HUFSGD,D,19960627,000000,0.009409,0.009409,0.009409,0.009409,0,0
HUFSGD,D,19960628,000000,0.009391,0.009391,0.009391,0.009391,0,0
HUFSGD,D,19960701,000000,0.009386,0.009386,0.009386,0.009386,0,0
HUFSGD,D,19960702,000000,0.009409,0.009409,0.009409,0.009409,0,0
HUFSGD,D,19960703,000000,0.009446,0.009446,0.009446,0.009446,0,0
HUFSGD,D,19960704,000000,0.009446,0.009446,0.009446,0.009446,0,0
HUFSGD,D,19960705,000000,0.009391,0.009391,0.009391,0.009391,0,0
HUFSGD,D,19960708,000000,0.009373,0.009373,0.009373,0.009373,0,0
HUFSGD,D,19960709,000000,0.009382,0.009382,0.009382,0.009382,0,0
HUFSGD,D,19960710,000000,0.009382,0.009382,0.009382,0.009382,0,0
HUFSGD,D,19960711,000000,0.009391,0.009391,0.009391,0.009391,0,0
HUFSGD,D,19960712,000000,0.009428,0.009428,0.009428,0.009428,0,0
HUFSGD,D,19960715,000000,0.009418,0.009418,0.009418,0.009418,0,0
HUFSGD,D,19960716,000000,0.009556,0.009556,0.009556,0.009556,0,0
HUFSGD,D,19960717,000000,0.009565,0.009565,0.009565,0.009565,0,0
HUFSGD,D,19960718,000000,0.009514,0.009514,0.009514,0.009514,0,0
HUFSGD,D,19960719,000000,0.009504,0.009504,0.009504,0.009504,0,0
HUFSGD,D,19960722,000000,0.009514,0.009514,0.009514,0.009514,0,0
HUFSGD,D,19960723,000000,0.009478,0.009478,0.009478,0.009478,0,0
HUFSGD,D,19960724,000000,0.009477,0.009477,0.009477,0.009477,0,0
HUFSGD,D,19960725,000000,0.009459,0.009459,0.009459,0.009459,0,0
HUFSGD,D,19960726,000000,0.009449,0.009449,0.009449,0.009449,0,0
HUFSGD,D,19960729,000000,0.009459,0.009459,0.009459,0.009459,0,0
HUFSGD,D,19960730,000000,0.00944,0.00944,0.00944,0.00944,0,0
HUFSGD,D,19960731,000000,0.009518,0.009518,0.009518,0.009518,0,0
HUFSGD,D,19960801,000000,0.009459,0.009459,0.009459,0.009459,0,0
