<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFTRY,D,19951023,000000,0.0003853,0.0003853,0.0003853,0.0003853,0,0
HUFTRY,D,19951024,000000,0.0003872,0.0003872,0.0003872,0.0003872,0,0
HUFTRY,D,19951025,000000,0.0003857,0.0003857,0.0003857,0.0003857,0,0
HUFTRY,D,19951026,000000,0.0003854,0.0003854,0.0003854,0.0003854,0,0
HUFTRY,D,19951027,000000,0.0003882,0.0003882,0.0003882,0.0003882,0,0
HUFTRY,D,19951030,000000,0.0003887,0.0003887,0.0003887,0.0003887,0,0
HUFTRY,D,19951031,000000,0.0003873,0.0003873,0.0003873,0.0003873,0,0
HUFTRY,D,19951102,000000,0.000388,0.000388,0.000388,0.000388,0,0
HUFTRY,D,19951103,000000,0.0003898,0.0003898,0.0003898,0.0003898,0,0
HUFTRY,D,19951106,000000,0.0003894,0.0003894,0.0003894,0.0003894,0,0
HUFTRY,D,19951107,000000,0.0003902,0.0003902,0.0003902,0.0003902,0,0
HUFTRY,D,19951108,000000,0.0003908,0.0003908,0.0003908,0.0003908,0,0
HUFTRY,D,19951109,000000,0.0003905,0.0003905,0.0003905,0.0003905,0,0
HUFTRY,D,19951110,000000,0.0003905,0.0003905,0.0003905,0.0003905,0,0
HUFTRY,D,19951113,000000,0.0003912,0.0003912,0.0003912,0.0003912,0,0
HUFTRY,D,19951114,000000,0.0003927,0.0003927,0.0003927,0.0003927,0,0
HUFTRY,D,19951115,000000,0.0003952,0.0003952,0.0003952,0.0003952,0,0
HUFTRY,D,19951116,000000,0.0003954,0.0003954,0.0003954,0.0003954,0,0
HUFTRY,D,19951117,000000,0.0003958,0.0003958,0.0003958,0.0003958,0,0
HUFTRY,D,19951120,000000,0.0003974,0.0003974,0.0003974,0.0003974,0,0
HUFTRY,D,19951121,000000,0.0003977,0.0003977,0.0003977,0.0003977,0,0
HUFTRY,D,19951122,000000,0.0003996,0.0003996,0.0003996,0.0003996,0,0
HUFTRY,D,19951123,000000,0.0003989,0.0003989,0.0003989,0.0003989,0,0
HUFTRY,D,19951124,000000,0.0004034,0.0004034,0.0004034,0.0004034,0,0
HUFTRY,D,19951127,000000,0.0004047,0.0004047,0.0004047,0.0004047,0,0
HUFTRY,D,19951128,000000,0.0004056,0.0004056,0.0004056,0.0004056,0,0
HUFTRY,D,19951129,000000,0.0004056,0.0004056,0.0004056,0.0004056,0,0
HUFTRY,D,19951130,000000,0.000402,0.000402,0.000402,0.000402,0,0
HUFTRY,D,19951201,000000,0.0004048,0.0004048,0.0004048,0.0004048,0,0
HUFTRY,D,19951204,000000,0.0004039,0.0004039,0.0004039,0.0004039,0,0
HUFTRY,D,19951205,000000,0.000408,0.000408,0.000408,0.000408,0,0
HUFTRY,D,19951206,000000,0.0004087,0.0004087,0.0004087,0.0004087,0,0
HUFTRY,D,19951207,000000,0.0004097,0.0004097,0.0004097,0.0004097,0,0
HUFTRY,D,19951208,000000,0.0004076,0.0004076,0.0004076,0.0004076,0,0
HUFTRY,D,19951211,000000,0.000411,0.000411,0.000411,0.000411,0,0
HUFTRY,D,19951212,000000,0.0004111,0.0004111,0.0004111,0.0004111,0,0
HUFTRY,D,19951213,000000,0.0004108,0.0004108,0.0004108,0.0004108,0,0
HUFTRY,D,19951214,000000,0.0004133,0.0004133,0.0004133,0.0004133,0,0
HUFTRY,D,19951215,000000,0.0004144,0.0004144,0.0004144,0.0004144,0,0
HUFTRY,D,19951218,000000,0.0004186,0.0004186,0.0004186,0.0004186,0,0
HUFTRY,D,19951219,000000,0.0004179,0.0004179,0.0004179,0.0004179,0,0
HUFTRY,D,19951220,000000,0.0004192,0.0004192,0.0004192,0.0004192,0,0
HUFTRY,D,19951221,000000,0.0004219,0.0004219,0.0004219,0.0004219,0,0
HUFTRY,D,19951222,000000,0.0004217,0.0004217,0.0004217,0.0004217,0,0
HUFTRY,D,19951227,000000,0.000445,0.000445,0.000445,0.000445,0,0
HUFTRY,D,19951228,000000,0.0004453,0.0004453,0.0004453,0.0004453,0,0
HUFTRY,D,19951229,000000,0.000433,0.000433,0.000433,0.000433,0,0
HUFTRY,D,19960102,000000,0.0004429,0.0004429,0.0004429,0.0004429,0,0
HUFTRY,D,19960103,000000,0.0004375,0.0004375,0.0004375,0.0004375,0,0
HUFTRY,D,19960104,000000,0.0004315,0.0004315,0.0004315,0.0004315,0,0
HUFTRY,D,19960105,000000,0.0004333,0.0004333,0.0004333,0.0004333,0,0
HUFTRY,D,19960108,000000,0.0004343,0.0004343,0.0004343,0.0004343,0,0
HUFTRY,D,19960109,000000,0.0004356,0.0004356,0.0004356,0.0004356,0,0
HUFTRY,D,19960110,000000,0.0004358,0.0004358,0.0004358,0.0004358,0,0
HUFTRY,D,19960111,000000,0.0004371,0.0004371,0.0004371,0.0004371,0,0
HUFTRY,D,19960112,000000,0.0004339,0.0004339,0.0004339,0.0004339,0,0
HUFTRY,D,19960115,000000,0.0004355,0.0004355,0.0004355,0.0004355,0,0
HUFTRY,D,19960116,000000,0.0004347,0.0004347,0.0004347,0.0004347,0,0
HUFTRY,D,19960117,000000,0.0004359,0.0004359,0.0004359,0.0004359,0,0
HUFTRY,D,19960118,000000,0.000435,0.000435,0.000435,0.000435,0,0
HUFTRY,D,19960119,000000,0.0004317,0.0004317,0.0004317,0.0004317,0,0
HUFTRY,D,19960122,000000,0.0004376,0.0004376,0.0004376,0.0004376,0,0
HUFTRY,D,19960123,000000,0.0004396,0.0004396,0.0004396,0.0004396,0,0
HUFTRY,D,19960124,000000,0.0004358,0.0004358,0.0004358,0.0004358,0,0
HUFTRY,D,19960125,000000,0.0004394,0.0004394,0.0004394,0.0004394,0,0
HUFTRY,D,19960126,000000,0.0004362,0.0004362,0.0004362,0.0004362,0,0
HUFTRY,D,19960129,000000,0.00044,0.00044,0.00044,0.00044,0,0
HUFTRY,D,19960130,000000,0.0004406,0.0004406,0.0004406,0.0004406,0,0
HUFTRY,D,19960131,000000,0.000443,0.000443,0.000443,0.000443,0,0
HUFTRY,D,19960201,000000,0.0004438,0.0004438,0.0004438,0.0004438,0,0
HUFTRY,D,19960202,000000,0.000445,0.000445,0.000445,0.000445,0,0
HUFTRY,D,19960205,000000,0.0004498,0.0004498,0.0004498,0.0004498,0,0
HUFTRY,D,19960206,000000,0.0004482,0.0004482,0.0004482,0.0004482,0,0
HUFTRY,D,19960207,000000,0.000447,0.000447,0.000447,0.000447,0,0
HUFTRY,D,19960208,000000,0.0004458,0.0004458,0.0004458,0.0004458,0,0
HUFTRY,D,19960209,000000,0.00045,0.00045,0.00045,0.00045,0,0
HUFTRY,D,19960212,000000,0.000452,0.000452,0.000452,0.000452,0,0
HUFTRY,D,19960213,000000,0.0004529,0.0004529,0.0004529,0.0004529,0,0
HUFTRY,D,19960214,000000,0.0004507,0.0004507,0.0004507,0.0004507,0,0
HUFTRY,D,19960215,000000,0.0004572,0.0004572,0.0004572,0.0004572,0,0
HUFTRY,D,19960216,000000,0.000457,0.000457,0.000457,0.000457,0,0
