<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFUAH,D,19960902,000000,0.011699,0.011699,0.011699,0.011699,0,0
HUFUAH,D,19960903,000000,0.01168,0.01168,0.01168,0.01168,0,0
HUFUAH,D,19960904,000000,0.01168,0.01168,0.01168,0.01168,0,0
HUFUAH,D,19960905,000000,0.011574,0.011574,0.011574,0.011574,0,0
HUFUAH,D,19960906,000000,0.011544,0.011544,0.011544,0.011544,0,0
HUFUAH,D,19960909,000000,0.011552,0.011552,0.011552,0.011552,0,0
HUFUAH,D,19960910,000000,0.011464,0.011464,0.011464,0.011464,0,0
HUFUAH,D,19960911,000000,0.011457,0.011457,0.011457,0.011457,0,0
HUFUAH,D,19960912,000000,0.01146,0.01146,0.01146,0.01146,0,0
HUFUAH,D,19960913,000000,0.011468,0.011468,0.011468,0.011468,0,0
HUFUAH,D,19960916,000000,0.011467,0.011467,0.011467,0.011467,0,0
HUFUAH,D,19960917,000000,0.011463,0.011463,0.011463,0.011463,0,0
HUFUAH,D,19960918,000000,0.011455,0.011455,0.011455,0.011455,0,0
HUFUAH,D,19960919,000000,0.011462,0.011462,0.011462,0.011462,0,0
HUFUAH,D,19960920,000000,0.011387,0.011387,0.011387,0.011387,0,0
HUFUAH,D,19960923,000000,0.011503,0.011503,0.011503,0.011503,0,0
HUFUAH,D,19960924,000000,0.011491,0.011491,0.011491,0.011491,0,0
HUFUAH,D,19960925,000000,0.0115,0.0115,0.0115,0.0115,0,0
HUFUAH,D,19960926,000000,0.011389,0.011389,0.011389,0.011389,0,0
HUFUAH,D,19960927,000000,0.011425,0.011425,0.011425,0.011425,0,0
HUFUAH,D,19960930,000000,0.011334,0.011334,0.011334,0.011334,0,0
HUFUAH,D,19961001,000000,0.011335,0.011335,0.011335,0.011335,0,0
HUFUAH,D,19961002,000000,0.011338,0.011338,0.011338,0.011338,0,0
HUFUAH,D,19961003,000000,0.011345,0.011345,0.011345,0.011345,0,0
HUFUAH,D,19961004,000000,0.011292,0.011292,0.011292,0.011292,0,0
HUFUAH,D,19961007,000000,0.011307,0.011307,0.011307,0.011307,0,0
HUFUAH,D,19961008,000000,0.011355,0.011355,0.011355,0.011355,0,0
HUFUAH,D,19961009,000000,0.011357,0.011357,0.011357,0.011357,0,0
HUFUAH,D,19961010,000000,0.011378,0.011378,0.011378,0.011378,0,0
HUFUAH,D,19961011,000000,0.011379,0.011379,0.011379,0.011379,0,0
HUFUAH,D,19961014,000000,0.011379,0.011379,0.011379,0.011379,0,0
HUFUAH,D,19961015,000000,0.011368,0.011368,0.011368,0.011368,0,0
HUFUAH,D,19961016,000000,0.011381,0.011381,0.011381,0.011381,0,0
HUFUAH,D,19961017,000000,0.011297,0.011297,0.011297,0.011297,0,0
HUFUAH,D,19961018,000000,0.011355,0.011355,0.011355,0.011355,0,0
HUFUAH,D,19961021,000000,0.011372,0.011372,0.011372,0.011372,0,0
HUFUAH,D,19961022,000000,0.011413,0.011413,0.011413,0.011413,0,0
HUFUAH,D,19961023,000000,0.011419,0.011419,0.011419,0.011419,0,0
HUFUAH,D,19961024,000000,0.011516,0.011516,0.011516,0.011516,0,0
HUFUAH,D,19961025,000000,0.011547,0.011547,0.011547,0.011547,0,0
HUFUAH,D,19961028,000000,0.011542,0.011542,0.011542,0.011542,0,0
