<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRARS,D,19960806,000000,0.00040784,0.00040784,0.00040784,0.00040784,0,0
IDRARS,D,19960807,000000,0.00040528,0.00040528,0.00040528,0.00040528,0,0
IDRARS,D,19960808,000000,0.00040623,0.00040623,0.00040623,0.00040623,0,0
IDRARS,D,19960809,000000,0.00040632,0.00040632,0.00040632,0.00040632,0,0
IDRARS,D,19960812,000000,0.00040587,0.00040587,0.00040587,0.00040587,0,0
IDRARS,D,19960813,000000,0.00040757,0.00040757,0.00040757,0.00040757,0,0
IDRARS,D,19960814,000000,0.00040689,0.00040689,0.00040689,0.00040689,0,0
IDRARS,D,19960816,000000,0.0004073,0.0004073,0.0004073,0.0004073,0,0
IDRARS,D,19960819,000000,0.00040821,0.00040821,0.00040821,0.00040821,0,0
IDRARS,D,19960820,000000,0.0004079,0.0004079,0.0004079,0.0004079,0,0
IDRARS,D,19960821,000000,0.00040753,0.00040753,0.00040753,0.00040753,0,0
IDRARS,D,19960822,000000,0.00040636,0.00040636,0.00040636,0.00040636,0,0
IDRARS,D,19960823,000000,0.00040749,0.00040749,0.00040749,0.00040749,0,0
IDRARS,D,19960826,000000,0.00040598,0.00040598,0.00040598,0.00040598,0,0
IDRARS,D,19960827,000000,0.00040679,0.00040679,0.00040679,0.00040679,0,0
IDRARS,D,19960828,000000,0.0004076,0.0004076,0.0004076,0.0004076,0,0
IDRARS,D,19960829,000000,0.00040739,0.00040739,0.00040739,0.00040739,0,0
IDRARS,D,19960830,000000,0.00040717,0.00040717,0.00040717,0.00040717,0,0
IDRARS,D,19960902,000000,0.00040631,0.00040631,0.00040631,0.00040631,0,0
IDRARS,D,19960903,000000,0.0004064,0.0004064,0.0004064,0.0004064,0,0
IDRARS,D,19960904,000000,0.00040653,0.00040653,0.00040653,0.00040653,0,0
IDRARS,D,19960905,000000,0.00040555,0.00040555,0.00040555,0.00040555,0,0
IDRARS,D,19960906,000000,0.00040413,0.00040413,0.00040413,0.00040413,0,0
IDRARS,D,19960909,000000,0.0004045,0.0004045,0.0004045,0.0004045,0,0
IDRARS,D,19960910,000000,0.00040509,0.00040509,0.00040509,0.00040509,0,0
IDRARS,D,19960911,000000,0.00040802,0.00040802,0.00040802,0.00040802,0,0
IDRARS,D,19960912,000000,0.00041067,0.00041067,0.00041067,0.00041067,0,0
IDRARS,D,19960913,000000,0.00041077,0.00041077,0.00041077,0.00041077,0,0
IDRARS,D,19960916,000000,0.00041125,0.00041125,0.00041125,0.00041125,0,0
IDRARS,D,19960917,000000,0.0004105,0.0004105,0.0004105,0.0004105,0,0
IDRARS,D,19960918,000000,0.00041107,0.00041107,0.00041107,0.00041107,0,0
IDRARS,D,19960919,000000,0.0004103,0.0004103,0.0004103,0.0004103,0,0
IDRARS,D,19960920,000000,0.00041204,0.00041204,0.00041204,0.00041204,0,0
IDRARS,D,19960923,000000,0.0004104,0.0004104,0.0004104,0.0004104,0,0
IDRARS,D,19960924,000000,0.0004134,0.0004134,0.0004134,0.0004134,0,0
IDRARS,D,19960925,000000,0.00041114,0.00041114,0.00041114,0.00041114,0,0
IDRARS,D,19960926,000000,0.00041169,0.00041169,0.00041169,0.00041169,0,0
IDRARS,D,19960927,000000,0.00041071,0.00041071,0.00041071,0.00041071,0,0
IDRARS,D,19960930,000000,0.00041166,0.00041166,0.00041166,0.00041166,0,0
IDRARS,D,19961001,000000,0.00040869,0.00040869,0.00040869,0.00040869,0,0
IDRARS,D,19961002,000000,0.00040777,0.00040777,0.00040777,0.00040777,0,0
IDRARS,D,19961003,000000,0.00040914,0.00040914,0.00040914,0.00040914,0,0
IDRARS,D,19961004,000000,0.00041017,0.00041017,0.00041017,0.00041017,0,0
IDRARS,D,19961007,000000,0.00040853,0.00040853,0.00040853,0.00040853,0,0
IDRARS,D,19961008,000000,0.00041054,0.00041054,0.00041054,0.00041054,0,0
IDRARS,D,19961009,000000,0.00041128,0.00041128,0.00041128,0.00041128,0,0
IDRARS,D,19961010,000000,0.00041003,0.00041003,0.00041003,0.00041003,0,0
IDRARS,D,19961011,000000,0.00040901,0.00040901,0.00040901,0.00040901,0,0
IDRARS,D,19961014,000000,0.00040895,0.00040895,0.00040895,0.00040895,0,0
IDRARS,D,19961015,000000,0.00040784,0.00040784,0.00040784,0.00040784,0,0
IDRARS,D,19961016,000000,0.00041072,0.00041072,0.00041072,0.00041072,0,0
IDRARS,D,19961017,000000,0.00040893,0.00040893,0.00040893,0.00040893,0,0
IDRARS,D,19961018,000000,0.00041001,0.00041001,0.00041001,0.00041001,0,0
IDRARS,D,19961021,000000,0.00041121,0.00041121,0.00041121,0.00041121,0,0
IDRARS,D,19961022,000000,0.00041037,0.00041037,0.00041037,0.00041037,0,0
IDRARS,D,19961023,000000,0.00040973,0.00040973,0.00040973,0.00040973,0,0
IDRARS,D,19961024,000000,0.00040946,0.00040946,0.00040946,0.00040946,0,0
IDRARS,D,19961025,000000,0.00040986,0.00040986,0.00040986,0.00040986,0,0
IDRARS,D,19961028,000000,0.00040956,0.00040956,0.00040956,0.00040956,0,0
IDRARS,D,19961029,000000,0.00040898,0.00040898,0.00040898,0.00040898,0,0
IDRARS,D,19961030,000000,0.00040756,0.00040756,0.00040756,0.00040756,0,0
IDRARS,D,19961031,000000,0.00040727,0.00040727,0.00040727,0.00040727,0,0
IDRARS,D,19961104,000000,0.00041007,0.00041007,0.00041007,0.00041007,0,0
IDRARS,D,19961105,000000,0.00040712,0.00040712,0.00040712,0.00040712,0,0
IDRARS,D,19961106,000000,0.0004088,0.0004088,0.0004088,0.0004088,0,0
IDRARS,D,19961107,000000,0.00040775,0.00040775,0.00040775,0.00040775,0,0
IDRARS,D,19961108,000000,0.00040907,0.00040907,0.00040907,0.00040907,0,0
IDRARS,D,19961112,000000,0.00040634,0.00040634,0.00040634,0.00040634,0,0
IDRARS,D,19961113,000000,0.00040797,0.00040797,0.00040797,0.00040797,0,0
IDRARS,D,19961114,000000,0.0004076,0.0004076,0.0004076,0.0004076,0,0
IDRARS,D,19961115,000000,0.00040659,0.00040659,0.00040659,0.00040659,0,0
IDRARS,D,19961118,000000,0.00040833,0.00040833,0.00040833,0.00040833,0,0
IDRARS,D,19961119,000000,0.00040705,0.00040705,0.00040705,0.00040705,0,0
IDRARS,D,19961120,000000,0.0004075,0.0004075,0.0004075,0.0004075,0,0
IDRARS,D,19961121,000000,0.00040692,0.00040692,0.00040692,0.00040692,0,0
IDRARS,D,19961122,000000,0.00040557,0.00040557,0.00040557,0.00040557,0,0
IDRARS,D,19961125,000000,0.00040462,0.00040462,0.00040462,0.00040462,0,0
IDRARS,D,19961126,000000,0.00040501,0.00040501,0.00040501,0.00040501,0,0
IDRARS,D,19961127,000000,0.00040582,0.00040582,0.00040582,0.00040582,0,0
IDRARS,D,19961128,000000,0.00040602,0.00040602,0.00040602,0.00040602,0,0
IDRARS,D,19961129,000000,0.00040497,0.00040497,0.00040497,0.00040497,0,0
IDRARS,D,19961202,000000,0.00040502,0.00040502,0.00040502,0.00040502,0,0
IDRARS,D,19961203,000000,0.00040488,0.00040488,0.00040488,0.00040488,0,0
IDRARS,D,19961204,000000,0.00040467,0.00040467,0.00040467,0.00040467,0,0
IDRARS,D,19961205,000000,0.00040604,0.00040604,0.00040604,0.00040604,0,0
IDRARS,D,19961206,000000,0.00040359,0.00040359,0.00040359,0.00040359,0,0
IDRARS,D,19961209,000000,0.00040292,0.00040292,0.00040292,0.00040292,0,0
IDRARS,D,19961210,000000,0.0004055,0.0004055,0.0004055,0.0004055,0,0
IDRARS,D,19961211,000000,0.00040447,0.00040447,0.00040447,0.00040447,0,0
IDRARS,D,19961212,000000,0.00040573,0.00040573,0.00040573,0.00040573,0,0
IDRARS,D,19961213,000000,0.00040312,0.00040312,0.00040312,0.00040312,0,0
IDRARS,D,19961216,000000,0.0004054,0.0004054,0.0004054,0.0004054,0,0
IDRARS,D,19961217,000000,0.00040535,0.00040535,0.00040535,0.00040535,0,0
IDRARS,D,19961218,000000,0.00040445,0.00040445,0.00040445,0.00040445,0,0
IDRARS,D,19961219,000000,0.00040384,0.00040384,0.00040384,0.00040384,0,0
IDRARS,D,19961220,000000,0.00040249,0.00040249,0.00040249,0.00040249,0,0
IDRARS,D,19961223,000000,0.00040231,0.00040231,0.00040231,0.00040231,0,0
IDRARS,D,19961224,000000,0.00040286,0.00040286,0.00040286,0.00040286,0,0
IDRARS,D,19961230,000000,0.00040433,0.00040433,0.00040433,0.00040433,0,0
IDRARS,D,19961231,000000,0.00040502,0.00040502,0.00040502,0.00040502,0,0
IDRARS,D,19970102,000000,0.00040259,0.00040259,0.00040259,0.00040259,0,0
IDRARS,D,19970103,000000,0.00040258,0.00040258,0.00040258,0.00040258,0,0
IDRARS,D,19970106,000000,0.00040267,0.00040267,0.00040267,0.00040267,0,0
IDRARS,D,19970107,000000,0.00040294,0.00040294,0.00040294,0.00040294,0,0
IDRARS,D,19970108,000000,0.00040166,0.00040166,0.00040166,0.00040166,0,0
IDRARS,D,19970109,000000,0.00040224,0.00040224,0.00040224,0.00040224,0,0
IDRARS,D,19970110,000000,0.00040241,0.00040241,0.00040241,0.00040241,0,0
IDRARS,D,19970113,000000,0.00040304,0.00040304,0.00040304,0.00040304,0,0
IDRARS,D,19970114,000000,0.00039924,0.00039924,0.00039924,0.00039924,0,0
IDRARS,D,19970115,000000,0.00040174,0.00040174,0.00040174,0.00040174,0,0
IDRARS,D,19970116,000000,0.00040194,0.00040194,0.00040194,0.00040194,0,0
IDRARS,D,19970117,000000,0.00040018,0.00040018,0.00040018,0.00040018,0,0
IDRARS,D,19970120,000000,0.00040436,0.00040436,0.00040436,0.00040436,0,0
IDRARS,D,19970121,000000,0.00040183,0.00040183,0.00040183,0.00040183,0,0
IDRARS,D,19970122,000000,0.0004035,0.0004035,0.0004035,0.0004035,0,0
IDRARS,D,19970123,000000,0.00040132,0.00040132,0.00040132,0.00040132,0,0
IDRARS,D,19970124,000000,0.00040154,0.00040154,0.00040154,0.00040154,0,0
IDRARS,D,19970127,000000,0.0004023,0.0004023,0.0004023,0.0004023,0,0
IDRARS,D,19970128,000000,0.00040192,0.00040192,0.00040192,0.00040192,0,0
IDRARS,D,19970129,000000,0.0004019,0.0004019,0.0004019,0.0004019,0,0
IDRARS,D,19970130,000000,0.00040172,0.00040172,0.00040172,0.00040172,0,0
IDRARS,D,19970131,000000,0.0004011,0.0004011,0.0004011,0.0004011,0,0
IDRARS,D,19970203,000000,0.0004007,0.0004007,0.0004007,0.0004007,0,0
IDRARS,D,19970204,000000,0.00039987,0.00039987,0.00039987,0.00039987,0,0
IDRARS,D,19970205,000000,0.00040101,0.00040101,0.00040101,0.00040101,0,0
IDRARS,D,19970206,000000,0.00040157,0.00040157,0.00040157,0.00040157,0,0
IDRARS,D,19970207,000000,0.0004004,0.0004004,0.0004004,0.0004004,0,0
IDRARS,D,19970210,000000,0.00039962,0.00039962,0.00039962,0.00039962,0,0
IDRARS,D,19970211,000000,0.00040145,0.00040145,0.00040145,0.00040145,0,0
IDRARS,D,19970212,000000,0.00040072,0.00040072,0.00040072,0.00040072,0,0
IDRARS,D,19970213,000000,0.00039924,0.00039924,0.00039924,0.00039924,0,0
IDRARS,D,19970214,000000,0.00040109,0.00040109,0.00040109,0.00040109,0,0
IDRARS,D,19970217,000000,0.00039962,0.00039962,0.00039962,0.00039962,0,0
IDRARS,D,19970218,000000,0.00039979,0.00039979,0.00039979,0.00039979,0,0
IDRARS,D,19970219,000000,0.00039907,0.00039907,0.00039907,0.00039907,0,0
IDRARS,D,19970220,000000,0.00039961,0.00039961,0.00039961,0.00039961,0,0
IDRARS,D,19970221,000000,0.00039944,0.00039944,0.00039944,0.00039944,0,0
IDRARS,D,19970224,000000,0.00039999,0.00039999,0.00039999,0.00039999,0,0
IDRARS,D,19970225,000000,0.00039733,0.00039733,0.00039733,0.00039733,0,0
IDRARS,D,19970226,000000,0.00039653,0.00039653,0.00039653,0.00039653,0,0
IDRARS,D,19970227,000000,0.00039784,0.00039784,0.00039784,0.00039784,0,0
IDRARS,D,19970228,000000,0.00039778,0.00039778,0.00039778,0.00039778,0,0
IDRARS,D,19970303,000000,0.00039758,0.00039758,0.00039758,0.00039758,0,0
IDRARS,D,19970304,000000,0.00039629,0.00039629,0.00039629,0.00039629,0,0
IDRARS,D,19970305,000000,0.0003977,0.0003977,0.0003977,0.0003977,0,0
IDRARS,D,19970306,000000,0.00039891,0.00039891,0.00039891,0.00039891,0,0
IDRARS,D,19970307,000000,0.00039747,0.00039747,0.00039747,0.00039747,0,0
IDRARS,D,19970310,000000,0.00039724,0.00039724,0.00039724,0.00039724,0,0
IDRARS,D,19970311,000000,0.00039833,0.00039833,0.00039833,0.00039833,0,0
IDRARS,D,19970312,000000,0.00039727,0.00039727,0.00039727,0.00039727,0,0
IDRARS,D,19970313,000000,0.00039547,0.00039547,0.00039547,0.00039547,0,0
IDRARS,D,19970314,000000,0.00039803,0.00039803,0.00039803,0.00039803,0,0
IDRARS,D,19970317,000000,0.00039637,0.00039637,0.00039637,0.00039637,0,0
IDRARS,D,19970318,000000,0.00039661,0.00039661,0.00039661,0.00039661,0,0
IDRARS,D,19970319,000000,0.00039458,0.00039458,0.00039458,0.00039458,0,0
IDRARS,D,19970320,000000,0.00039296,0.00039296,0.00039296,0.00039296,0,0
IDRARS,D,19970321,000000,0.00039696,0.00039696,0.00039696,0.00039696,0,0
IDRARS,D,19970324,000000,0.00039479,0.00039479,0.00039479,0.00039479,0,0
IDRARS,D,19970325,000000,0.00039642,0.00039642,0.00039642,0.00039642,0,0
IDRARS,D,19970326,000000,0.00039569,0.00039569,0.00039569,0.00039569,0,0
IDRARS,D,19970327,000000,0.00039737,0.00039737,0.00039737,0.00039737,0,0
IDRARS,D,19970328,000000,0.00039724,0.00039724,0.00039724,0.00039724,0,0
IDRARS,D,19970401,000000,0.00039764,0.00039764,0.00039764,0.00039764,0,0
IDRARS,D,19970402,000000,0.00039648,0.00039648,0.00039648,0.00039648,0,0
IDRARS,D,19970403,000000,0.00039643,0.00039643,0.00039643,0.00039643,0,0
IDRARS,D,19970404,000000,0.00039507,0.00039507,0.00039507,0.00039507,0,0
IDRARS,D,19970407,000000,0.00039527,0.00039527,0.00039527,0.00039527,0,0
IDRARS,D,19970408,000000,0.00039685,0.00039685,0.00039685,0.00039685,0,0
IDRARS,D,19970409,000000,0.00039557,0.00039557,0.00039557,0.00039557,0,0
IDRARS,D,19970410,000000,0.00039525,0.00039525,0.00039525,0.00039525,0,0
IDRARS,D,19970411,000000,0.00039584,0.00039584,0.00039584,0.00039584,0,0
IDRARS,D,19970414,000000,0.00039559,0.00039559,0.00039559,0.00039559,0,0
