<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRBGN,D,19951023,000000,0.00003017,0.00003017,0.00003017,0.00003017,0,0
IDRBGN,D,19951024,000000,0.000030165,0.000030165,0.000030165,0.000030165,0,0
IDRBGN,D,19951025,000000,0.000030216,0.000030216,0.000030216,0.000030216,0,0
IDRBGN,D,19951026,000000,0.000030234,0.000030234,0.000030234,0.000030234,0,0
IDRBGN,D,19951027,000000,0.000030145,0.000030145,0.000030145,0.000030145,0,0
IDRBGN,D,19951030,000000,0.000030234,0.000030234,0.000030234,0.000030234,0,0
IDRBGN,D,19951031,000000,0.000030258,0.000030258,0.000030258,0.000030258,0,0
IDRBGN,D,19951102,000000,0.000030187,0.000030187,0.000030187,0.000030187,0,0
IDRBGN,D,19951103,000000,0.000030149,0.000030149,0.000030149,0.000030149,0,0
IDRBGN,D,19951106,000000,0.000030142,0.000030142,0.000030142,0.000030142,0,0
IDRBGN,D,19951107,000000,0.000030211,0.000030211,0.000030211,0.000030211,0,0
IDRBGN,D,19951108,000000,0.000030184,0.000030184,0.000030184,0.000030184,0,0
IDRBGN,D,19951109,000000,0.000030162,0.000030162,0.000030162,0.000030162,0,0
IDRBGN,D,19951110,000000,0.000030166,0.000030166,0.000030166,0.000030166,0,0
IDRBGN,D,19951113,000000,0.000030274,0.000030274,0.000030274,0.000030274,0,0
IDRBGN,D,19951114,000000,0.000030219,0.000030219,0.000030219,0.000030219,0,0
IDRBGN,D,19951115,000000,0.000030197,0.000030197,0.000030197,0.000030197,0,0
IDRBGN,D,19951116,000000,0.00003016,0.00003016,0.00003016,0.00003016,0,0
IDRBGN,D,19951117,000000,0.000030297,0.000030297,0.000030297,0.000030297,0,0
IDRBGN,D,19951120,000000,0.000030328,0.000030328,0.000030328,0.000030328,0,0
IDRBGN,D,19951121,000000,0.000030349,0.000030349,0.000030349,0.000030349,0,0
IDRBGN,D,19951122,000000,0.000030345,0.000030345,0.000030345,0.000030345,0,0
IDRBGN,D,19951123,000000,0.000030373,0.000030373,0.000030373,0.000030373,0,0
IDRBGN,D,19951124,000000,0.000030419,0.000030419,0.000030419,0.000030419,0,0
IDRBGN,D,19951127,000000,0.000030332,0.000030332,0.000030332,0.000030332,0,0
IDRBGN,D,19951128,000000,0.000030455,0.000030455,0.000030455,0.000030455,0,0
IDRBGN,D,19951129,000000,0.000030402,0.000030402,0.000030402,0.000030402,0,0
IDRBGN,D,19951130,000000,0.000030431,0.000030431,0.000030431,0.000030431,0,0
IDRBGN,D,19951201,000000,0.000030486,0.000030486,0.000030486,0.000030486,0,0
IDRBGN,D,19951204,000000,0.000030508,0.000030508,0.000030508,0.000030508,0,0
IDRBGN,D,19951205,000000,0.000030497,0.000030497,0.000030497,0.000030497,0,0
IDRBGN,D,19951206,000000,0.000030551,0.000030551,0.000030551,0.000030551,0,0
IDRBGN,D,19951207,000000,0.000030528,0.000030528,0.000030528,0.000030528,0,0
IDRBGN,D,19951208,000000,0.000030643,0.000030643,0.000030643,0.000030643,0,0
IDRBGN,D,19951211,000000,0.000030459,0.000030459,0.000030459,0.000030459,0,0
IDRBGN,D,19951212,000000,0.000030497,0.000030497,0.000030497,0.000030497,0,0
IDRBGN,D,19951213,000000,0.000030537,0.000030537,0.000030537,0.000030537,0,0
IDRBGN,D,19951214,000000,0.00003046,0.00003046,0.00003046,0.00003046,0,0
IDRBGN,D,19951215,000000,0.00003047,0.00003047,0.00003047,0.00003047,0,0
