<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRCNY,D,19931025,000000,0.0041273,0.0041273,0.0041273,0.0041273,0,0
IDRCNY,D,19931026,000000,0.0041288,0.0041288,0.0041288,0.0041288,0,0
IDRCNY,D,19931027,000000,0.0041309,0.0041309,0.0041309,0.0041309,0,0
IDRCNY,D,19931028,000000,0.0041285,0.0041285,0.0041285,0.0041285,0,0
IDRCNY,D,19931029,000000,0.0041285,0.0041285,0.0041285,0.0041285,0,0
IDRCNY,D,19931102,000000,0.0041299,0.0041299,0.0041299,0.0041299,0,0
IDRCNY,D,19931103,000000,0.0041318,0.0041318,0.0041318,0.0041318,0,0
IDRCNY,D,19931104,000000,0.0041333,0.0041333,0.0041333,0.0041333,0,0
IDRCNY,D,19931105,000000,0.0041332,0.0041332,0.0041332,0.0041332,0,0
IDRCNY,D,19931108,000000,0.0041369,0.0041369,0.0041369,0.0041369,0,0
IDRCNY,D,19931109,000000,0.0041411,0.0041411,0.0041411,0.0041411,0,0
IDRCNY,D,19931110,000000,0.004143,0.004143,0.004143,0.004143,0,0
IDRCNY,D,19931112,000000,0.0041487,0.0041487,0.0041487,0.0041487,0,0
IDRCNY,D,19931115,000000,0.0041519,0.0041519,0.0041519,0.0041519,0,0
IDRCNY,D,19931116,000000,0.0041483,0.0041483,0.0041483,0.0041483,0,0
IDRCNY,D,19931117,000000,0.0041436,0.0041436,0.0041436,0.0041436,0,0
IDRCNY,D,19931118,000000,0.0041513,0.0041513,0.0041513,0.0041513,0,0
IDRCNY,D,19931119,000000,0.0041444,0.0041444,0.0041444,0.0041444,0,0
IDRCNY,D,19931122,000000,0.0041312,0.0041312,0.0041312,0.0041312,0,0
IDRCNY,D,19931123,000000,0.0041363,0.0041363,0.0041363,0.0041363,0,0
IDRCNY,D,19931124,000000,0.0041446,0.0041446,0.0041446,0.0041446,0,0
IDRCNY,D,19931125,000000,0.0041459,0.0041459,0.0041459,0.0041459,0,0
IDRCNY,D,19931126,000000,0.0041458,0.0041458,0.0041458,0.0041458,0,0
IDRCNY,D,19931129,000000,0.0041421,0.0041421,0.0041421,0.0041421,0,0
IDRCNY,D,19931130,000000,0.0041381,0.0041381,0.0041381,0.0041381,0,0
IDRCNY,D,19931201,000000,0.0041353,0.0041353,0.0041353,0.0041353,0,0
IDRCNY,D,19931202,000000,0.0041346,0.0041346,0.0041346,0.0041346,0,0
IDRCNY,D,19931203,000000,0.0041342,0.0041342,0.0041342,0.0041342,0,0
IDRCNY,D,19931206,000000,0.0041356,0.0041356,0.0041356,0.0041356,0,0
IDRCNY,D,19931207,000000,0.0041399,0.0041399,0.0041399,0.0041399,0,0
IDRCNY,D,19931208,000000,0.0041394,0.0041394,0.0041394,0.0041394,0,0
IDRCNY,D,19931209,000000,0.0041379,0.0041379,0.0041379,0.0041379,0,0
IDRCNY,D,19931210,000000,0.0041382,0.0041382,0.0041382,0.0041382,0,0
IDRCNY,D,19931213,000000,0.004139,0.004139,0.004139,0.004139,0,0
IDRCNY,D,19931214,000000,0.0041381,0.0041381,0.0041381,0.0041381,0,0
IDRCNY,D,19931215,000000,0.0041408,0.0041408,0.0041408,0.0041408,0,0
IDRCNY,D,19931216,000000,0.0041397,0.0041397,0.0041397,0.0041397,0,0
IDRCNY,D,19931217,000000,0.0041402,0.0041402,0.0041402,0.0041402,0,0
IDRCNY,D,19931220,000000,0.004141,0.004141,0.004141,0.004141,0,0
IDRCNY,D,19931221,000000,0.0041419,0.0041419,0.0041419,0.0041419,0,0
IDRCNY,D,19931222,000000,0.0041409,0.0041409,0.0041409,0.0041409,0,0
IDRCNY,D,19931223,000000,0.0041415,0.0041415,0.0041415,0.0041415,0,0
IDRCNY,D,19931224,000000,0.0041411,0.0041411,0.0041411,0.0041411,0,0
IDRCNY,D,19931227,000000,0.0041394,0.0041394,0.0041394,0.0041394,0,0
IDRCNY,D,19931228,000000,0.0041387,0.0041387,0.0041387,0.0041387,0,0
IDRCNY,D,19931229,000000,0.0041322,0.0041322,0.0041322,0.0041322,0,0
IDRCNY,D,19931230,000000,0.0041225,0.0041225,0.0041225,0.0041225,0,0
IDRCNY,D,19931231,000000,0.0041194,0.0041194,0.0041194,0.0041194,0,0
IDRCNY,D,19940103,000000,0.0041412,0.0041412,0.0041412,0.0041412,0,0
