<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRCZK,D,19951023,000000,0.011429,0.011429,0.011429,0.011429,0,0
IDRCZK,D,19951024,000000,0.011405,0.011405,0.011405,0.011405,0,0
IDRCZK,D,19951025,000000,0.011461,0.011461,0.011461,0.011461,0,0
IDRCZK,D,19951026,000000,0.01145,0.01145,0.01145,0.01145,0,0
IDRCZK,D,19951027,000000,0.011415,0.011415,0.011415,0.011415,0,0
IDRCZK,D,19951030,000000,0.011542,0.011542,0.011542,0.011542,0,0
IDRCZK,D,19951031,000000,0.011553,0.011553,0.011553,0.011553,0,0
IDRCZK,D,19951102,000000,0.011548,0.011548,0.011548,0.011548,0,0
IDRCZK,D,19951103,000000,0.011513,0.011513,0.011513,0.011513,0,0
IDRCZK,D,19951106,000000,0.011499,0.011499,0.011499,0.011499,0,0
IDRCZK,D,19951107,000000,0.011532,0.011532,0.011532,0.011532,0,0
IDRCZK,D,19951108,000000,0.01153,0.01153,0.01153,0.01153,0,0
IDRCZK,D,19951109,000000,0.011545,0.011545,0.011545,0.011545,0,0
IDRCZK,D,19951110,000000,0.011472,0.011472,0.011472,0.011472,0,0
IDRCZK,D,19951113,000000,0.011486,0.011486,0.011486,0.011486,0,0
IDRCZK,D,19951114,000000,0.011511,0.011511,0.011511,0.011511,0,0
IDRCZK,D,19951115,000000,0.011416,0.011416,0.011416,0.011416,0,0
IDRCZK,D,19951116,000000,0.011414,0.011414,0.011414,0.011414,0,0
IDRCZK,D,19951117,000000,0.011428,0.011428,0.011428,0.011428,0,0
IDRCZK,D,19951120,000000,0.011498,0.011498,0.011498,0.011498,0,0
IDRCZK,D,19951121,000000,0.011446,0.011446,0.011446,0.011446,0,0
IDRCZK,D,19951122,000000,0.011444,0.011444,0.011444,0.011444,0,0
IDRCZK,D,19951123,000000,0.011443,0.011443,0.011443,0.011443,0,0
IDRCZK,D,19951124,000000,0.011458,0.011458,0.011458,0.011458,0,0
IDRCZK,D,19951127,000000,0.011533,0.011533,0.011533,0.011533,0,0
IDRCZK,D,19951128,000000,0.011574,0.011574,0.011574,0.011574,0,0
IDRCZK,D,19951129,000000,0.011543,0.011543,0.011543,0.011543,0,0
