<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRDKK,D,19931025,000000,0.0031931,0.0031931,0.0031931,0.0031931,0,0
IDRDKK,D,19931026,000000,0.0032025,0.0032025,0.0032025,0.0032025,0,0
IDRDKK,D,19931027,000000,0.0032266,0.0032266,0.0032266,0.0032266,0,0
IDRDKK,D,19931028,000000,0.0032089,0.0032089,0.0032089,0.0032089,0,0
IDRDKK,D,19931029,000000,0.0032246,0.0032246,0.0032246,0.0032246,0,0
IDRDKK,D,19931102,000000,0.0032134,0.0032134,0.0032134,0.0032134,0,0
IDRDKK,D,19931103,000000,0.0032361,0.0032361,0.0032361,0.0032361,0,0
IDRDKK,D,19931104,000000,0.0032302,0.0032302,0.0032302,0.0032302,0,0
IDRDKK,D,19931105,000000,0.0032198,0.0032198,0.0032198,0.0032198,0,0
IDRDKK,D,19931108,000000,0.0032285,0.0032285,0.0032285,0.0032285,0,0
IDRDKK,D,19931109,000000,0.0032105,0.0032105,0.0032105,0.0032105,0,0
IDRDKK,D,19931110,000000,0.003206,0.003206,0.003206,0.003206,0,0
IDRDKK,D,19931112,000000,0.0032257,0.0032257,0.0032257,0.0032257,0,0
IDRDKK,D,19931115,000000,0.0032417,0.0032417,0.0032417,0.0032417,0,0
IDRDKK,D,19931116,000000,0.0032188,0.0032188,0.0032188,0.0032188,0,0
IDRDKK,D,19931117,000000,0.003226,0.003226,0.003226,0.003226,0,0
IDRDKK,D,19931118,000000,0.0032338,0.0032338,0.0032338,0.0032338,0,0
IDRDKK,D,19931119,000000,0.0032256,0.0032256,0.0032256,0.0032256,0,0
IDRDKK,D,19931122,000000,0.0032265,0.0032265,0.0032265,0.0032265,0,0
IDRDKK,D,19931123,000000,0.0032214,0.0032214,0.0032214,0.0032214,0,0
IDRDKK,D,19931124,000000,0.003234,0.003234,0.003234,0.003234,0,0
IDRDKK,D,19931125,000000,0.0032162,0.0032162,0.0032162,0.0032162,0,0
IDRDKK,D,19931126,000000,0.0032293,0.0032293,0.0032293,0.0032293,0,0
IDRDKK,D,19931129,000000,0.0032325,0.0032325,0.0032325,0.0032325,0,0
IDRDKK,D,19931130,000000,0.0032307,0.0032307,0.0032307,0.0032307,0,0
IDRDKK,D,19931201,000000,0.0032227,0.0032227,0.0032227,0.0032227,0,0
IDRDKK,D,19931202,000000,0.0032358,0.0032358,0.0032358,0.0032358,0,0
IDRDKK,D,19931203,000000,0.00323,0.00323,0.00323,0.00323,0,0
IDRDKK,D,19931206,000000,0.0032286,0.0032286,0.0032286,0.0032286,0,0
IDRDKK,D,19931207,000000,0.0032039,0.0032039,0.0032039,0.0032039,0,0
