<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRJPY,D,19931025,000000,0.051411,0.051411,0.051411,0.051411,0,0
IDRJPY,D,19931026,000000,0.051729,0.051729,0.051729,0.051729,0,0
IDRJPY,D,19931027,000000,0.051519,0.051519,0.051519,0.051519,0,0
IDRJPY,D,19931028,000000,0.051544,0.051544,0.051544,0.051544,0,0
IDRJPY,D,19931029,000000,0.051614,0.051614,0.051614,0.051614,0,0
IDRJPY,D,19931102,000000,0.051601,0.051601,0.051601,0.051601,0,0
IDRJPY,D,19931103,000000,0.05161,0.05161,0.05161,0.05161,0,0
IDRJPY,D,19931104,000000,0.05123,0.05123,0.05123,0.05123,0,0
IDRJPY,D,19931105,000000,0.051457,0.051457,0.051457,0.051457,0,0
IDRJPY,D,19931108,000000,0.051598,0.051598,0.051598,0.051598,0,0
IDRJPY,D,19931109,000000,0.051701,0.051701,0.051701,0.051701,0,0
IDRJPY,D,19931110,000000,0.051653,0.051653,0.051653,0.051653,0,0
IDRJPY,D,19931112,000000,0.051244,0.051244,0.051244,0.051244,0,0
IDRJPY,D,19931115,000000,0.05101,0.05101,0.05101,0.05101,0,0
IDRJPY,D,19931116,000000,0.050528,0.050528,0.050528,0.050528,0,0
IDRJPY,D,19931117,000000,0.051006,0.051006,0.051006,0.051006,0,0
IDRJPY,D,19931118,000000,0.051194,0.051194,0.051194,0.051194,0,0
IDRJPY,D,19931119,000000,0.050724,0.050724,0.050724,0.050724,0,0
IDRJPY,D,19931122,000000,0.051309,0.051309,0.051309,0.051309,0,0
IDRJPY,D,19931123,000000,0.051447,0.051447,0.051447,0.051447,0,0
IDRJPY,D,19931124,000000,0.051787,0.051787,0.051787,0.051787,0,0
IDRJPY,D,19931125,000000,0.051582,0.051582,0.051582,0.051582,0,0
IDRJPY,D,19931126,000000,0.051634,0.051634,0.051634,0.051634,0,0
IDRJPY,D,19931129,000000,0.051817,0.051817,0.051817,0.051817,0,0
IDRJPY,D,19931130,000000,0.051926,0.051926,0.051926,0.051926,0,0
IDRJPY,D,19931201,000000,0.051845,0.051845,0.051845,0.051845,0,0
IDRJPY,D,19931202,000000,0.051655,0.051655,0.051655,0.051655,0,0
IDRJPY,D,19931203,000000,0.051683,0.051683,0.051683,0.051683,0,0
IDRJPY,D,19931206,000000,0.051763,0.051763,0.051763,0.051763,0,0
IDRJPY,D,19931207,000000,0.051538,0.051538,0.051538,0.051538,0,0
IDRJPY,D,19931208,000000,0.051197,0.051197,0.051197,0.051197,0,0
IDRJPY,D,19931209,000000,0.051656,0.051656,0.051656,0.051656,0,0
IDRJPY,D,19931210,000000,0.051813,0.051813,0.051813,0.051813,0,0
IDRJPY,D,19931213,000000,0.051885,0.051885,0.051885,0.051885,0,0
IDRJPY,D,19931214,000000,0.051825,0.051825,0.051825,0.051825,0,0
IDRJPY,D,19931215,000000,0.051888,0.051888,0.051888,0.051888,0,0
IDRJPY,D,19931216,000000,0.052138,0.052138,0.052138,0.052138,0,0
IDRJPY,D,19931217,000000,0.052334,0.052334,0.052334,0.052334,0,0
IDRJPY,D,19931220,000000,0.05224,0.05224,0.05224,0.05224,0,0
IDRJPY,D,19931221,000000,0.052519,0.052519,0.052519,0.052519,0,0
IDRJPY,D,19931222,000000,0.052681,0.052681,0.052681,0.052681,0,0
IDRJPY,D,19931223,000000,0.052977,0.052977,0.052977,0.052977,0,0
IDRJPY,D,19931224,000000,0.05263,0.05263,0.05263,0.05263,0,0
IDRJPY,D,19931227,000000,0.052638,0.052638,0.052638,0.052638,0,0
IDRJPY,D,19931228,000000,0.052921,0.052921,0.052921,0.052921,0,0
IDRJPY,D,19931229,000000,0.05285,0.05285,0.05285,0.05285,0,0
IDRJPY,D,19931230,000000,0.052929,0.052929,0.052929,0.052929,0,0
IDRJPY,D,19931231,000000,0.052855,0.052855,0.052855,0.052855,0,0
IDRJPY,D,19940103,000000,0.053012,0.053012,0.053012,0.053012,0,0
IDRJPY,D,19940104,000000,0.053257,0.053257,0.053257,0.053257,0,0
IDRJPY,D,19940105,000000,0.053776,0.053776,0.053776,0.053776,0,0
IDRJPY,D,19940106,000000,0.053627,0.053627,0.053627,0.053627,0,0
IDRJPY,D,19940107,000000,0.053598,0.053598,0.053598,0.053598,0,0
IDRJPY,D,19940110,000000,0.053486,0.053486,0.053486,0.053486,0,0
IDRJPY,D,19940111,000000,0.053413,0.053413,0.053413,0.053413,0,0
IDRJPY,D,19940112,000000,0.053592,0.053592,0.053592,0.053592,0,0
IDRJPY,D,19940113,000000,0.053415,0.053415,0.053415,0.053415,0,0
IDRJPY,D,19940114,000000,0.052958,0.052958,0.052958,0.052958,0,0
IDRJPY,D,19940117,000000,0.052434,0.052434,0.052434,0.052434,0,0
IDRJPY,D,19940118,000000,0.052617,0.052617,0.052617,0.052617,0,0
IDRJPY,D,19940119,000000,0.052557,0.052557,0.052557,0.052557,0,0
IDRJPY,D,19940120,000000,0.052165,0.052165,0.052165,0.052165,0,0
IDRJPY,D,19940121,000000,0.052884,0.052884,0.052884,0.052884,0,0
IDRJPY,D,19940124,000000,0.051943,0.051943,0.051943,0.051943,0,0
IDRJPY,D,19940125,000000,0.05303,0.05303,0.05303,0.05303,0,0
IDRJPY,D,19940126,000000,0.052586,0.052586,0.052586,0.052586,0,0
IDRJPY,D,19940127,000000,0.052254,0.052254,0.052254,0.052254,0,0
IDRJPY,D,19940128,000000,0.051894,0.051894,0.051894,0.051894,0,0
IDRJPY,D,19940131,000000,0.051824,0.051824,0.051824,0.051824,0,0
