<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRNOK,D,19931025,000000,0.0034575,0.0034575,0.0034575,0.0034575,0,0
IDRNOK,D,19931026,000000,0.0034714,0.0034714,0.0034714,0.0034714,0,0
IDRNOK,D,19931027,000000,0.0034884,0.0034884,0.0034884,0.0034884,0,0
IDRNOK,D,19931028,000000,0.0034747,0.0034747,0.0034747,0.0034747,0,0
IDRNOK,D,19931029,000000,0.0034912,0.0034912,0.0034912,0.0034912,0,0
IDRNOK,D,19931102,000000,0.003482,0.003482,0.003482,0.003482,0,0
IDRNOK,D,19931103,000000,0.0035212,0.0035212,0.0035212,0.0035212,0,0
IDRNOK,D,19931104,000000,0.0035105,0.0035105,0.0035105,0.0035105,0,0
IDRNOK,D,19931105,000000,0.0035022,0.0035022,0.0035022,0.0035022,0,0
IDRNOK,D,19931108,000000,0.0035163,0.0035163,0.0035163,0.0035163,0,0
IDRNOK,D,19931109,000000,0.0035051,0.0035051,0.0035051,0.0035051,0,0
IDRNOK,D,19931110,000000,0.003501,0.003501,0.003501,0.003501,0,0
IDRNOK,D,19931112,000000,0.0035256,0.0035256,0.0035256,0.0035256,0,0
IDRNOK,D,19931115,000000,0.003536,0.003536,0.003536,0.003536,0,0
IDRNOK,D,19931116,000000,0.0035067,0.0035067,0.0035067,0.0035067,0,0
IDRNOK,D,19931117,000000,0.003517,0.003517,0.003517,0.003517,0,0
IDRNOK,D,19931118,000000,0.0035374,0.0035374,0.0035374,0.0035374,0,0
IDRNOK,D,19931119,000000,0.0035271,0.0035271,0.0035271,0.0035271,0,0
IDRNOK,D,19931122,000000,0.0035296,0.0035296,0.0035296,0.0035296,0,0
IDRNOK,D,19931123,000000,0.0035297,0.0035297,0.0035297,0.0035297,0,0
IDRNOK,D,19931124,000000,0.0035414,0.0035414,0.0035414,0.0035414,0,0
IDRNOK,D,19931125,000000,0.0035206,0.0035206,0.0035206,0.0035206,0,0
IDRNOK,D,19931126,000000,0.0035391,0.0035391,0.0035391,0.0035391,0,0
IDRNOK,D,19931129,000000,0.0035413,0.0035413,0.0035413,0.0035413,0,0
IDRNOK,D,19931130,000000,0.0035428,0.0035428,0.0035428,0.0035428,0,0
IDRNOK,D,19931201,000000,0.0035362,0.0035362,0.0035362,0.0035362,0,0
IDRNOK,D,19931202,000000,0.0035545,0.0035545,0.0035545,0.0035545,0,0
IDRNOK,D,19931203,000000,0.0035523,0.0035523,0.0035523,0.0035523,0,0
IDRNOK,D,19931206,000000,0.0035528,0.0035528,0.0035528,0.0035528,0,0
IDRNOK,D,19931207,000000,0.0035264,0.0035264,0.0035264,0.0035264,0,0
IDRNOK,D,19931208,000000,0.0035084,0.0035084,0.0035084,0.0035084,0,0
IDRNOK,D,19931209,000000,0.0035226,0.0035226,0.0035226,0.0035226,0,0
IDRNOK,D,19931210,000000,0.0035258,0.0035258,0.0035258,0.0035258,0,0
IDRNOK,D,19931213,000000,0.0035054,0.0035054,0.0035054,0.0035054,0,0
IDRNOK,D,19931214,000000,0.0035032,0.0035032,0.0035032,0.0035032,0,0
IDRNOK,D,19931215,000000,0.003537,0.003537,0.003537,0.003537,0,0
IDRNOK,D,19931216,000000,0.0035419,0.0035419,0.0035419,0.0035419,0,0
IDRNOK,D,19931217,000000,0.0035394,0.0035394,0.0035394,0.0035394,0,0
IDRNOK,D,19931220,000000,0.0035279,0.0035279,0.0035279,0.0035279,0,0
IDRNOK,D,19931221,000000,0.0035338,0.0035338,0.0035338,0.0035338,0,0
IDRNOK,D,19931222,000000,0.0035237,0.0035237,0.0035237,0.0035237,0,0
IDRNOK,D,19931223,000000,0.0035164,0.0035164,0.0035164,0.0035164,0,0
IDRNOK,D,19931224,000000,0.0035039,0.0035039,0.0035039,0.0035039,0,0
IDRNOK,D,19931227,000000,0.0034931,0.0034931,0.0034931,0.0034931,0,0
IDRNOK,D,19931228,000000,0.0035127,0.0035127,0.0035127,0.0035127,0,0
IDRNOK,D,19931229,000000,0.0035083,0.0035083,0.0035083,0.0035083,0,0
IDRNOK,D,19931230,000000,0.0035213,0.0035213,0.0035213,0.0035213,0,0
IDRNOK,D,19931231,000000,0.003546,0.003546,0.003546,0.003546,0,0
IDRNOK,D,19940103,000000,0.0035685,0.0035685,0.0035685,0.0035685,0,0
IDRNOK,D,19940104,000000,0.0035716,0.0035716,0.0035716,0.0035716,0,0
IDRNOK,D,19940105,000000,0.0035818,0.0035818,0.0035818,0.0035818,0,0
IDRNOK,D,19940106,000000,0.0035613,0.0035613,0.0035613,0.0035613,0,0
IDRNOK,D,19940107,000000,0.0035719,0.0035719,0.0035719,0.0035719,0,0
IDRNOK,D,19940110,000000,0.0035741,0.0035741,0.0035741,0.0035741,0,0
IDRNOK,D,19940111,000000,0.0035602,0.0035602,0.0035602,0.0035602,0,0
IDRNOK,D,19940112,000000,0.0035769,0.0035769,0.0035769,0.0035769,0,0
IDRNOK,D,19940113,000000,0.0035595,0.0035595,0.0035595,0.0035595,0,0
IDRNOK,D,19940114,000000,0.0035484,0.0035484,0.0035484,0.0035484,0,0
IDRNOK,D,19940117,000000,0.0035653,0.0035653,0.0035653,0.0035653,0,0
IDRNOK,D,19940118,000000,0.0035727,0.0035727,0.0035727,0.0035727,0,0
IDRNOK,D,19940119,000000,0.0035711,0.0035711,0.0035711,0.0035711,0,0
IDRNOK,D,19940120,000000,0.0035506,0.0035506,0.0035506,0.0035506,0,0
IDRNOK,D,19940121,000000,0.0035573,0.0035573,0.0035573,0.0035573,0,0
