<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRRON,D,19951023,000000,0.00009782,0.00009782,0.00009782,0.00009782,0,0
IDRRON,D,19951024,000000,0.00009784,0.00009784,0.00009784,0.00009784,0,0
IDRRON,D,19951025,000000,0.00009859,0.00009859,0.00009859,0.00009859,0,0
IDRRON,D,19951026,000000,0.00009855,0.00009855,0.00009855,0.00009855,0,0
IDRRON,D,19951027,000000,0.0000982,0.0000982,0.0000982,0.0000982,0,0
IDRRON,D,19951030,000000,0.00009872,0.00009872,0.00009872,0.00009872,0,0
IDRRON,D,19951031,000000,0.00009879,0.00009879,0.00009879,0.00009879,0,0
IDRRON,D,19951102,000000,0.00009972,0.00009972,0.00009972,0.00009972,0,0
IDRRON,D,19951103,000000,0.00010077,0.00010077,0.00010077,0.00010077,0,0
IDRRON,D,19951106,000000,0.00010082,0.00010082,0.00010082,0.00010082,0,0
IDRRON,D,19951107,000000,0.00010319,0.00010319,0.00010319,0.00010319,0,0
IDRRON,D,19951108,000000,0.00010233,0.00010233,0.00010233,0.00010233,0,0
IDRRON,D,19951109,000000,0.00010287,0.00010287,0.00010287,0.00010287,0,0
IDRRON,D,19951110,000000,0.00010381,0.00010381,0.00010381,0.00010381,0,0
IDRRON,D,19951113,000000,0.00010419,0.00010419,0.00010419,0.00010419,0,0
IDRRON,D,19951114,000000,0.00010405,0.00010405,0.00010405,0.00010405,0,0
IDRRON,D,19951115,000000,0.00010411,0.00010411,0.00010411,0.00010411,0,0
IDRRON,D,19951116,000000,0.00010716,0.00010716,0.00010716,0.00010716,0,0
IDRRON,D,19951117,000000,0.00011163,0.00011163,0.00011163,0.00011163,0,0
IDRRON,D,19951120,000000,0.00011166,0.00011166,0.00011166,0.00011166,0,0
IDRRON,D,19951121,000000,0.00011154,0.00011154,0.00011154,0.00011154,0,0
IDRRON,D,19951122,000000,0.00011153,0.00011153,0.00011153,0.00011153,0,0
