<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRTRY,D,19931025,000000,0.000006089,0.000006089,0.000006089,0.000006089,0,0
IDRTRY,D,19931026,000000,0.000006188,0.000006188,0.000006188,0.000006188,0,0
IDRTRY,D,19931027,000000,0.000006143,0.000006143,0.000006143,0.000006143,0,0
IDRTRY,D,19931028,000000,0.00000614,0.00000614,0.00000614,0.00000614,0,0
IDRTRY,D,19931029,000000,0.000006139,0.000006139,0.000006139,0.000006139,0,0
IDRTRY,D,19931102,000000,0.000006331,0.000006331,0.000006331,0.000006331,0,0
IDRTRY,D,19931103,000000,0.000006239,0.000006239,0.000006239,0.000006239,0,0
IDRTRY,D,19931104,000000,0.000006193,0.000006193,0.000006193,0.000006193,0,0
IDRTRY,D,19931105,000000,0.000006194,0.000006194,0.000006194,0.000006194,0,0
IDRTRY,D,19931108,000000,0.000006247,0.000006247,0.000006247,0.000006247,0,0
IDRTRY,D,19931109,000000,0.000006253,0.000006253,0.000006253,0.000006253,0,0
IDRTRY,D,19931110,000000,0.000006304,0.000006304,0.000006304,0.000006304,0,0
IDRTRY,D,19931112,000000,0.000006361,0.000006361,0.000006361,0.000006361,0,0
IDRTRY,D,19931115,000000,0.000006365,0.000006365,0.000006365,0.000006365,0,0
IDRTRY,D,19931116,000000,0.00000636,0.00000636,0.00000636,0.00000636,0,0
IDRTRY,D,19931117,000000,0.000006402,0.000006402,0.000006402,0.000006402,0,0
IDRTRY,D,19931118,000000,0.000006393,0.000006393,0.000006393,0.000006393,0,0
IDRTRY,D,19931119,000000,0.000006429,0.000006429,0.000006429,0.000006429,0,0
IDRTRY,D,19931122,000000,0.000006409,0.000006409,0.000006409,0.000006409,0,0
IDRTRY,D,19931123,000000,0.000006416,0.000006416,0.000006416,0.000006416,0,0
IDRTRY,D,19931124,000000,0.000006429,0.000006429,0.000006429,0.000006429,0,0
IDRTRY,D,19931125,000000,0.000006432,0.000006432,0.000006432,0.000006432,0,0
IDRTRY,D,19931126,000000,0.00000648,0.00000648,0.00000648,0.00000648,0,0
IDRTRY,D,19931129,000000,0.000006521,0.000006521,0.000006521,0.000006521,0,0
IDRTRY,D,19931130,000000,0.000006514,0.000006514,0.000006514,0.000006514,0,0
IDRTRY,D,19931201,000000,0.000006559,0.000006559,0.000006559,0.000006559,0,0
IDRTRY,D,19931202,000000,0.000006556,0.000006556,0.000006556,0.000006556,0,0
IDRTRY,D,19931203,000000,0.000006605,0.000006605,0.000006605,0.000006605,0,0
IDRTRY,D,19931206,000000,0.000006654,0.000006654,0.000006654,0.000006654,0,0
IDRTRY,D,19931207,000000,0.00000666,0.00000666,0.00000666,0.00000666,0,0
IDRTRY,D,19931208,000000,0.000006659,0.000006659,0.000006659,0.000006659,0,0
IDRTRY,D,19931209,000000,0.000006657,0.000006657,0.000006657,0.000006657,0,0
IDRTRY,D,19931210,000000,0.000006562,0.000006562,0.000006562,0.000006562,0,0
IDRTRY,D,19931213,000000,0.000006611,0.000006611,0.000006611,0.000006611,0,0
IDRTRY,D,19931214,000000,0.000006657,0.000006657,0.000006657,0.000006657,0,0
IDRTRY,D,19931215,000000,0.000006704,0.000006704,0.000006704,0.000006704,0,0
IDRTRY,D,19931216,000000,0.000006701,0.000006701,0.000006701,0.000006701,0,0
IDRTRY,D,19931217,000000,0.000006703,0.000006703,0.000006703,0.000006703,0,0
IDRTRY,D,19931220,000000,0.000006752,0.000006752,0.000006752,0.000006752,0,0
IDRTRY,D,19931221,000000,0.000006753,0.000006753,0.000006753,0.000006753,0,0
IDRTRY,D,19931222,000000,0.000006752,0.000006752,0.000006752,0.000006752,0,0
IDRTRY,D,19931223,000000,0.000006752,0.000006752,0.000006752,0.000006752,0,0
IDRTRY,D,19931224,000000,0.000006752,0.000006752,0.000006752,0.000006752,0,0
IDRTRY,D,19931227,000000,0.000006797,0.000006797,0.000006797,0.000006797,0,0
IDRTRY,D,19931228,000000,0.000006796,0.000006796,0.000006796,0.000006796,0,0
IDRTRY,D,19931229,000000,0.000006843,0.000006843,0.000006843,0.000006843,0,0
IDRTRY,D,19931230,000000,0.000006875,0.000006875,0.000006875,0.000006875,0,0
IDRTRY,D,19931231,000000,0.000006918,0.000006918,0.000006918,0.000006918,0,0
IDRTRY,D,19940103,000000,0.00000698,0.00000698,0.00000698,0.00000698,0,0
IDRTRY,D,19940104,000000,0.000006981,0.000006981,0.000006981,0.000006981,0,0
IDRTRY,D,19940105,000000,0.000006987,0.000006987,0.000006987,0.000006987,0,0
IDRTRY,D,19940106,000000,0.000007039,0.000007039,0.000007039,0.000007039,0,0
IDRTRY,D,19940107,000000,0.000007096,0.000007096,0.000007096,0.000007096,0,0
IDRTRY,D,19940110,000000,0.000007096,0.000007096,0.000007096,0.000007096,0,0
IDRTRY,D,19940111,000000,0.000007099,0.000007099,0.000007099,0.000007099,0,0
IDRTRY,D,19940112,000000,0.000007136,0.000007136,0.000007136,0.000007136,0,0
IDRTRY,D,19940113,000000,0.000007158,0.000007158,0.000007158,0.000007158,0,0
IDRTRY,D,19940114,000000,0.000007362,0.000007362,0.000007362,0.000007362,0,0
IDRTRY,D,19940117,000000,0.000007372,0.000007372,0.000007372,0.000007372,0,0
IDRTRY,D,19940118,000000,0.00000743,0.00000743,0.00000743,0.00000743,0,0
IDRTRY,D,19940119,000000,0.000007116,0.000007116,0.000007116,0.000007116,0,0
IDRTRY,D,19940120,000000,0.000007093,0.000007093,0.000007093,0.000007093,0,0
IDRTRY,D,19940121,000000,0.000007139,0.000007139,0.000007139,0.000007139,0,0
IDRTRY,D,19940124,000000,0.000007134,0.000007134,0.000007134,0.000007134,0,0
IDRTRY,D,19940125,000000,0.000007179,0.000007179,0.000007179,0.000007179,0,0
IDRTRY,D,19940126,000000,0.000007187,0.000007187,0.000007187,0.000007187,0,0
IDRTRY,D,19940127,000000,0.000008044,0.000008044,0.000008044,0.000008044,0,0
IDRTRY,D,19940128,000000,0.000008143,0.000008143,0.000008143,0.000008143,0,0
IDRTRY,D,19940131,000000,0.000008181,0.000008181,0.000008181,0.000008181,0,0
IDRTRY,D,19940201,000000,0.000008184,0.000008184,0.000008184,0.000008184,0,0
IDRTRY,D,19940202,000000,0.000008239,0.000008239,0.000008239,0.000008239,0,0
IDRTRY,D,19940203,000000,0.000008234,0.000008234,0.000008234,0.000008234,0,0
IDRTRY,D,19940204,000000,0.000008231,0.000008231,0.000008231,0.000008231,0,0
IDRTRY,D,19940207,000000,0.000008325,0.000008325,0.000008325,0.000008325,0,0
IDRTRY,D,19940208,000000,0.000008375,0.000008375,0.000008375,0.000008375,0,0
IDRTRY,D,19940209,000000,0.000008363,0.000008363,0.000008363,0.000008363,0,0
IDRTRY,D,19940210,000000,0.000008358,0.000008358,0.000008358,0.000008358,0,0
IDRTRY,D,19940211,000000,0.000008401,0.000008401,0.000008401,0.000008401,0,0
IDRTRY,D,19940214,000000,0.000008356,0.000008356,0.000008356,0.000008356,0,0
IDRTRY,D,19940215,000000,0.000008361,0.000008361,0.000008361,0.000008361,0,0
IDRTRY,D,19940216,000000,0.000008355,0.000008355,0.000008355,0.000008355,0,0
IDRTRY,D,19940217,000000,0.000008439,0.000008439,0.000008439,0.000008439,0,0
IDRTRY,D,19940218,000000,0.000008372,0.000008372,0.000008372,0.000008372,0,0
IDRTRY,D,19940221,000000,0.000008349,0.000008349,0.000008349,0.000008349,0,0
IDRTRY,D,19940222,000000,0.000008398,0.000008398,0.000008398,0.000008398,0,0
IDRTRY,D,19940223,000000,0.000008349,0.000008349,0.000008349,0.000008349,0,0
IDRTRY,D,19940224,000000,0.000008458,0.000008458,0.000008458,0.000008458,0,0
IDRTRY,D,19940225,000000,0.000008543,0.000008543,0.000008543,0.000008543,0,0
IDRTRY,D,19940228,000000,0.000008674,0.000008674,0.000008674,0.000008674,0,0
IDRTRY,D,19940301,000000,0.000008858,0.000008858,0.000008858,0.000008858,0,0
IDRTRY,D,19940302,000000,0.000008851,0.000008851,0.000008851,0.000008851,0,0
IDRTRY,D,19940303,000000,0.000008943,0.000008943,0.000008943,0.000008943,0,0
IDRTRY,D,19940304,000000,0.000009087,0.000009087,0.000009087,0.000009087,0,0
IDRTRY,D,19940307,000000,0.00000918,0.00000918,0.00000918,0.00000918,0,0
IDRTRY,D,19940308,000000,0.000009314,0.000009314,0.000009314,0.000009314,0,0
IDRTRY,D,19940309,000000,0.000009357,0.000009357,0.000009357,0.000009357,0,0
IDRTRY,D,19940310,000000,0.000009442,0.000009442,0.000009442,0.000009442,0,0
IDRTRY,D,19940311,000000,0.000009395,0.000009395,0.000009395,0.000009395,0,0
IDRTRY,D,19940314,000000,0.000009349,0.000009349,0.000009349,0.000009349,0,0
IDRTRY,D,19940315,000000,0.0000094,0.0000094,0.0000094,0.0000094,0,0
IDRTRY,D,19940316,000000,0.000009595,0.000009595,0.000009595,0.000009595,0,0
IDRTRY,D,19940317,000000,0.000009771,0.000009771,0.000009771,0.000009771,0,0
IDRTRY,D,19940318,000000,0.000010006,0.000010006,0.000010006,0.000010006,0,0
IDRTRY,D,19940321,000000,0.000010006,0.000010006,0.000010006,0.000010006,0,0
IDRTRY,D,19940322,000000,0.000010007,0.000010007,0.000010007,0.000010007,0,0
IDRTRY,D,19940323,000000,0.000010098,0.000010098,0.000010098,0.000010098,0,0
IDRTRY,D,19940324,000000,0.000010094,0.000010094,0.000010094,0.000010094,0,0
IDRTRY,D,19940325,000000,0.000010091,0.000010091,0.000010091,0.000010091,0,0
IDRTRY,D,19940328,000000,0.000010186,0.000010186,0.000010186,0.000010186,0,0
IDRTRY,D,19940329,000000,0.000010225,0.000010225,0.000010225,0.000010225,0,0
IDRTRY,D,19940330,000000,0.00001031,0.00001031,0.00001031,0.00001031,0,0
IDRTRY,D,19940331,000000,0.000010354,0.000010354,0.000010354,0.000010354,0,0
IDRTRY,D,19940401,000000,0.000010492,0.000010492,0.000010492,0.000010492,0,0
IDRTRY,D,19940405,000000,0.000014897,0.000014897,0.000014897,0.000014897,0,0
IDRTRY,D,19940406,000000,0.000018459,0.000018459,0.000018459,0.000018459,0,0
IDRTRY,D,19940407,000000,0.00001715,0.00001715,0.00001715,0.00001715,0,0
IDRTRY,D,19940408,000000,0.000015527,0.000015527,0.000015527,0.000015527,0,0
IDRTRY,D,19940411,000000,0.000015616,0.000015616,0.000015616,0.000015616,0,0
