<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRUAH,D,19960902,000000,0.00075256,0.00075256,0.00075256,0.00075256,0,0
IDRUAH,D,19960903,000000,0.00075137,0.00075137,0.00075137,0.00075137,0,0
IDRUAH,D,19960904,000000,0.00075134,0.00075134,0.00075134,0.00075134,0,0
IDRUAH,D,19960905,000000,0.00075127,0.00075127,0.00075127,0.00075127,0,0
IDRUAH,D,19960906,000000,0.00074935,0.00074935,0.00074935,0.00074935,0,0
IDRUAH,D,19960909,000000,0.00074989,0.00074989,0.00074989,0.00074989,0,0
IDRUAH,D,19960910,000000,0.00075082,0.00075082,0.00075082,0.00075082,0,0
IDRUAH,D,19960911,000000,0.00075481,0.00075481,0.00075481,0.00075481,0,0
IDRUAH,D,19960912,000000,0.00075944,0.00075944,0.00075944,0.00075944,0,0
IDRUAH,D,19960913,000000,0.00076,0.00076,0.00076,0.00076,0,0
IDRUAH,D,19960916,000000,0.00075993,0.00075993,0.00075993,0.00075993,0,0
IDRUAH,D,19960917,000000,0.00075967,0.00075967,0.00075967,0.00075967,0,0
IDRUAH,D,19960918,000000,0.00075917,0.00075917,0.00075917,0.00075917,0,0
IDRUAH,D,19960919,000000,0.0007596,0.0007596,0.0007596,0.0007596,0,0
IDRUAH,D,19960920,000000,0.00076138,0.00076138,0.00076138,0.00076138,0,0
IDRUAH,D,19960923,000000,0.0007578,0.0007578,0.0007578,0.0007578,0,0
IDRUAH,D,19960924,000000,0.00076154,0.00076154,0.00076154,0.00076154,0,0
IDRUAH,D,19960925,000000,0.0007621,0.0007621,0.0007621,0.0007621,0,0
IDRUAH,D,19960926,000000,0.00076151,0.00076151,0.00076151,0.00076151,0,0
IDRUAH,D,19960927,000000,0.00075941,0.00075941,0.00075941,0.00075941,0,0
IDRUAH,D,19960930,000000,0.00076003,0.00076003,0.00076003,0.00076003,0,0
IDRUAH,D,19961001,000000,0.00075569,0.00075569,0.00075569,0.00075569,0,0
IDRUAH,D,19961002,000000,0.00075585,0.00075585,0.00075585,0.00075585,0,0
IDRUAH,D,19961003,000000,0.00075634,0.00075634,0.00075634,0.00075634,0,0
IDRUAH,D,19961004,000000,0.0007594,0.0007594,0.0007594,0.0007594,0,0
IDRUAH,D,19961007,000000,0.00075601,0.00075601,0.00075601,0.00075601,0,0
IDRUAH,D,19961008,000000,0.00076365,0.00076365,0.00076365,0.00076365,0,0
IDRUAH,D,19961009,000000,0.00076375,0.00076375,0.00076375,0.00076375,0,0
IDRUAH,D,19961010,000000,0.00076073,0.00076073,0.00076073,0.00076073,0,0
IDRUAH,D,19961011,000000,0.0007608,0.0007608,0.0007608,0.0007608,0,0
IDRUAH,D,19961014,000000,0.0007608,0.0007608,0.0007608,0.0007608,0,0
IDRUAH,D,19961015,000000,0.00076008,0.00076008,0.00076008,0.00076008,0,0
