<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRXDR,D,19931025,000000,0.00033963,0.00033963,0.00033963,0.00033963,0,0
IDRXDR,D,19931026,000000,0.00034136,0.00034136,0.00034136,0.00034136,0,0
IDRXDR,D,19931027,000000,0.000342,0.000342,0.000342,0.000342,0,0
IDRXDR,D,19931028,000000,0.00034236,0.00034236,0.00034236,0.00034236,0,0
IDRXDR,D,19931029,000000,0.00034154,0.00034154,0.00034154,0.00034154,0,0
IDRXDR,D,19931102,000000,0.00034222,0.00034222,0.00034222,0.00034222,0,0
IDRXDR,D,19931103,000000,0.0003429,0.0003429,0.0003429,0.0003429,0,0
IDRXDR,D,19931104,000000,0.00034335,0.00034335,0.00034335,0.00034335,0,0
IDRXDR,D,19931105,000000,0.0003427,0.0003427,0.0003427,0.0003427,0,0
IDRXDR,D,19931108,000000,0.00034283,0.00034283,0.00034283,0.00034283,0,0
IDRXDR,D,19931109,000000,0.00034387,0.00034387,0.00034387,0.00034387,0,0
IDRXDR,D,19931110,000000,0.00034351,0.00034351,0.00034351,0.00034351,0,0
IDRXDR,D,19931112,000000,0.00034383,0.00034383,0.00034383,0.00034383,0,0
IDRXDR,D,19931115,000000,0.00034406,0.00034406,0.00034406,0.00034406,0,0
IDRXDR,D,19931116,000000,0.0003435,0.0003435,0.0003435,0.0003435,0,0
IDRXDR,D,19931117,000000,0.00034152,0.00034152,0.00034152,0.00034152,0,0
IDRXDR,D,19931118,000000,0.00034218,0.00034218,0.00034218,0.00034218,0,0
IDRXDR,D,19931119,000000,0.00034306,0.00034306,0.00034306,0.00034306,0,0
IDRXDR,D,19931122,000000,0.00034136,0.00034136,0.00034136,0.00034136,0,0
IDRXDR,D,19931123,000000,0.00034306,0.00034306,0.00034306,0.00034306,0,0
IDRXDR,D,19931124,000000,0.00034366,0.00034366,0.00034366,0.00034366,0,0
IDRXDR,D,19931125,000000,0.00034401,0.00034401,0.00034401,0.00034401,0,0
IDRXDR,D,19931126,000000,0.000343,0.000343,0.000343,0.000343,0,0
IDRXDR,D,19931129,000000,0.00034269,0.00034269,0.00034269,0.00034269,0,0
IDRXDR,D,19931130,000000,0.0003423,0.0003423,0.0003423,0.0003423,0,0
IDRXDR,D,19931201,000000,0.00034371,0.00034371,0.00034371,0.00034371,0,0
IDRXDR,D,19931202,000000,0.00034329,0.00034329,0.00034329,0.00034329,0,0
IDRXDR,D,19931203,000000,0.00034387,0.00034387,0.00034387,0.00034387,0,0
IDRXDR,D,19931206,000000,0.00034382,0.00034382,0.00034382,0.00034382,0,0
IDRXDR,D,19931207,000000,0.0003441,0.0003441,0.0003441,0.0003441,0,0
IDRXDR,D,19931208,000000,0.00034264,0.00034264,0.00034264,0.00034264,0,0
IDRXDR,D,19931209,000000,0.00034171,0.00034171,0.00034171,0.00034171,0,0
