<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSCNY,D,19931025,000000,3.0064,3.0064,3.0064,3.0064,0,0
ILSCNY,D,19931026,000000,2.9966,2.9966,2.9966,2.9966,0,0
ILSCNY,D,19931027,000000,2.9945,2.9945,2.9945,2.9945,0,0
ILSCNY,D,19931028,000000,2.9863,2.9863,2.9863,2.9863,0,0
ILSCNY,D,19931029,000000,2.983,2.983,2.983,2.983,0,0
ILSCNY,D,19931102,000000,2.9796,2.9796,2.9796,2.9796,0,0
ILSCNY,D,19931103,000000,2.9697,2.9697,2.9697,2.9697,0,0
ILSCNY,D,19931104,000000,2.9759,2.9759,2.9759,2.9759,0,0
ILSCNY,D,19931105,000000,2.9775,2.9775,2.9775,2.9775,0,0
ILSCNY,D,19931108,000000,2.9764,2.9764,2.9764,2.9764,0,0
ILSCNY,D,19931109,000000,2.9751,2.9751,2.9751,2.9751,0,0
ILSCNY,D,19931110,000000,2.9675,2.9675,2.9675,2.9675,0,0
ILSCNY,D,19931112,000000,2.9689,2.9689,2.9689,2.9689,0,0
ILSCNY,D,19931115,000000,2.9709,2.9709,2.9709,2.9709,0,0
ILSCNY,D,19931116,000000,2.9743,2.9743,2.9743,2.9743,0,0
ILSCNY,D,19931117,000000,2.9664,2.9664,2.9664,2.9664,0,0
ILSCNY,D,19931118,000000,2.9753,2.9753,2.9753,2.9753,0,0
ILSCNY,D,19931119,000000,2.9648,2.9648,2.9648,2.9648,0,0
ILSCNY,D,19931122,000000,2.9607,2.9607,2.9607,2.9607,0,0
ILSCNY,D,19931123,000000,2.9582,2.9582,2.9582,2.9582,0,0
ILSCNY,D,19931124,000000,2.9589,2.9589,2.9589,2.9589,0,0
ILSCNY,D,19931125,000000,2.9672,2.9672,2.9672,2.9672,0,0
ILSCNY,D,19931126,000000,2.9606,2.9606,2.9606,2.9606,0,0
ILSCNY,D,19931129,000000,2.9512,2.9512,2.9512,2.9512,0,0
ILSCNY,D,19931130,000000,2.9466,2.9466,2.9466,2.9466,0,0
ILSCNY,D,19931201,000000,2.9453,2.9453,2.9453,2.9453,0,0
ILSCNY,D,19931202,000000,2.9469,2.9469,2.9469,2.9469,0,0
ILSCNY,D,19931203,000000,2.9513,2.9513,2.9513,2.9513,0,0
ILSCNY,D,19931206,000000,2.9526,2.9526,2.9526,2.9526,0,0
ILSCNY,D,19931207,000000,2.9567,2.9567,2.9567,2.9567,0,0
ILSCNY,D,19931208,000000,2.9582,2.9582,2.9582,2.9582,0,0
ILSCNY,D,19931209,000000,2.9579,2.9579,2.9579,2.9579,0,0
ILSCNY,D,19931210,000000,2.9601,2.9601,2.9601,2.9601,0,0
ILSCNY,D,19931213,000000,2.9583,2.9583,2.9583,2.9583,0,0
ILSCNY,D,19931214,000000,2.9529,2.9529,2.9529,2.9529,0,0
ILSCNY,D,19931215,000000,2.9547,2.9547,2.9547,2.9547,0,0
ILSCNY,D,19931216,000000,2.9547,2.9547,2.9547,2.9547,0,0
ILSCNY,D,19931217,000000,2.9524,2.9524,2.9524,2.9524,0,0
ILSCNY,D,19931220,000000,2.9477,2.9477,2.9477,2.9477,0,0
ILSCNY,D,19931221,000000,2.945,2.945,2.945,2.945,0,0
ILSCNY,D,19931222,000000,2.9457,2.9457,2.9457,2.9457,0,0
ILSCNY,D,19931223,000000,2.9478,2.9478,2.9478,2.9478,0,0
ILSCNY,D,19931224,000000,2.9476,2.9476,2.9476,2.9476,0,0
ILSCNY,D,19931227,000000,2.944,2.944,2.944,2.944,0,0
ILSCNY,D,19931228,000000,2.9425,2.9425,2.9425,2.9425,0,0
ILSCNY,D,19931229,000000,2.938,2.938,2.938,2.938,0,0
ILSCNY,D,19931230,000000,2.9255,2.9255,2.9255,2.9255,0,0
ILSCNY,D,19931231,000000,2.9271,2.9271,2.9271,2.9271,0,0
ILSCNY,D,19940103,000000,2.9413,2.9413,2.9413,2.9413,0,0
ILSCNY,D,19940104,000000,2.9373,2.9373,2.9373,2.9373,0,0
ILSCNY,D,19940105,000000,2.9399,2.9399,2.9399,2.9399,0,0
ILSCNY,D,19940106,000000,2.9411,2.9411,2.9411,2.9411,0,0
ILSCNY,D,19940107,000000,2.9352,2.9352,2.9352,2.9352,0,0
ILSCNY,D,19940110,000000,2.9441,2.9441,2.9441,2.9441,0,0
ILSCNY,D,19940111,000000,2.9423,2.9423,2.9423,2.9423,0,0
ILSCNY,D,19940112,000000,2.9421,2.9421,2.9421,2.9421,0,0
ILSCNY,D,19940113,000000,2.9546,2.9546,2.9546,2.9546,0,0
ILSCNY,D,19940114,000000,2.9511,2.9511,2.9511,2.9511,0,0
ILSCNY,D,19940117,000000,2.9488,2.9488,2.9488,2.9488,0,0
ILSCNY,D,19940118,000000,2.9497,2.9497,2.9497,2.9497,0,0
ILSCNY,D,19940119,000000,2.9493,2.9493,2.9493,2.9493,0,0
ILSCNY,D,19940120,000000,2.9485,2.9485,2.9485,2.9485,0,0
ILSCNY,D,19940121,000000,2.9473,2.9473,2.9473,2.9473,0,0
ILSCNY,D,19940124,000000,2.9359,2.9359,2.9359,2.9359,0,0
ILSCNY,D,19940125,000000,2.9418,2.9418,2.9418,2.9418,0,0
ILSCNY,D,19940126,000000,2.9423,2.9423,2.9423,2.9423,0,0
ILSCNY,D,19940127,000000,2.9338,2.9338,2.9338,2.9338,0,0
ILSCNY,D,19940128,000000,2.9302,2.9302,2.9302,2.9302,0,0
ILSCNY,D,19940131,000000,2.9377,2.9377,2.9377,2.9377,0,0
ILSCNY,D,19940201,000000,2.9467,2.9467,2.9467,2.9467,0,0
ILSCNY,D,19940202,000000,2.9542,2.9542,2.9542,2.9542,0,0
ILSCNY,D,19940203,000000,2.9542,2.9542,2.9542,2.9542,0,0
ILSCNY,D,19940204,000000,2.9527,2.9527,2.9527,2.9527,0,0
ILSCNY,D,19940207,000000,2.9437,2.9437,2.9437,2.9437,0,0
ILSCNY,D,19940208,000000,2.9439,2.9439,2.9439,2.9439,0,0
ILSCNY,D,19940209,000000,2.9436,2.9436,2.9436,2.9436,0,0
ILSCNY,D,19940210,000000,2.9429,2.9429,2.9429,2.9429,0,0
ILSCNY,D,19940211,000000,2.9422,2.9422,2.9422,2.9422,0,0
ILSCNY,D,19940214,000000,2.9485,2.9485,2.9485,2.9485,0,0
ILSCNY,D,19940215,000000,2.9619,2.9619,2.9619,2.9619,0,0
ILSCNY,D,19940216,000000,2.9658,2.9658,2.9658,2.9658,0,0
ILSCNY,D,19940217,000000,2.9649,2.9649,2.9649,2.9649,0,0
ILSCNY,D,19940218,000000,2.9682,2.9682,2.9682,2.9682,0,0
ILSCNY,D,19940221,000000,2.9566,2.9566,2.9566,2.9566,0,0
ILSCNY,D,19940222,000000,2.9579,2.9579,2.9579,2.9579,0,0
ILSCNY,D,19940223,000000,2.9469,2.9469,2.9469,2.9469,0,0
ILSCNY,D,19940224,000000,2.9337,2.9337,2.9337,2.9337,0,0
ILSCNY,D,19940225,000000,2.9316,2.9316,2.9316,2.9316,0,0
ILSCNY,D,19940228,000000,2.9527,2.9527,2.9527,2.9527,0,0
ILSCNY,D,19940301,000000,2.9594,2.9594,2.9594,2.9594,0,0
ILSCNY,D,19940302,000000,2.9661,2.9661,2.9661,2.9661,0,0
ILSCNY,D,19940303,000000,2.9661,2.9661,2.9661,2.9661,0,0
ILSCNY,D,19940304,000000,2.9638,2.9638,2.9638,2.9638,0,0
ILSCNY,D,19940307,000000,2.9508,2.9508,2.9508,2.9508,0,0
ILSCNY,D,19940308,000000,2.9442,2.9442,2.9442,2.9442,0,0
ILSCNY,D,19940309,000000,2.9525,2.9525,2.9525,2.9525,0,0
ILSCNY,D,19940310,000000,2.9529,2.9529,2.9529,2.9529,0,0
ILSCNY,D,19940311,000000,2.9543,2.9543,2.9543,2.9543,0,0
ILSCNY,D,19940314,000000,2.9554,2.9554,2.9554,2.9554,0,0
ILSCNY,D,19940315,000000,2.9305,2.9305,2.9305,2.9305,0,0
ILSCNY,D,19940316,000000,2.9521,2.9521,2.9521,2.9521,0,0
ILSCNY,D,19940317,000000,2.9549,2.9549,2.9549,2.9549,0,0
ILSCNY,D,19940318,000000,2.9537,2.9537,2.9537,2.9537,0,0
ILSCNY,D,19940321,000000,2.9423,2.9423,2.9423,2.9423,0,0
ILSCNY,D,19940322,000000,2.9519,2.9519,2.9519,2.9519,0,0
ILSCNY,D,19940323,000000,2.9518,2.9518,2.9518,2.9518,0,0
ILSCNY,D,19940324,000000,2.9562,2.9562,2.9562,2.9562,0,0
ILSCNY,D,19940325,000000,2.9612,2.9612,2.9612,2.9612,0,0
ILSCNY,D,19940328,000000,2.9638,2.9638,2.9638,2.9638,0,0
ILSCNY,D,19940329,000000,2.9561,2.9561,2.9561,2.9561,0,0
ILSCNY,D,19940330,000000,2.9437,2.9437,2.9437,2.9437,0,0
ILSCNY,D,19940331,000000,2.9601,2.9601,2.9601,2.9601,0,0
ILSCNY,D,19940401,000000,2.9644,2.9644,2.9644,2.9644,0,0
ILSCNY,D,19940405,000000,2.9416,2.9416,2.9416,2.9416,0,0
ILSCNY,D,19940406,000000,2.9361,2.9361,2.9361,2.9361,0,0
ILSCNY,D,19940407,000000,2.9353,2.9353,2.9353,2.9353,0,0
ILSCNY,D,19940408,000000,2.9353,2.9353,2.9353,2.9353,0,0
ILSCNY,D,19940411,000000,2.9362,2.9362,2.9362,2.9362,0,0
ILSCNY,D,19940412,000000,2.9349,2.9349,2.9349,2.9349,0,0
ILSCNY,D,19940413,000000,2.936,2.936,2.936,2.936,0,0
ILSCNY,D,19940414,000000,2.9395,2.9395,2.9395,2.9395,0,0
ILSCNY,D,19940415,000000,2.9464,2.9464,2.9464,2.9464,0,0
ILSCNY,D,19940418,000000,2.9369,2.9369,2.9369,2.9369,0,0
ILSCNY,D,19940419,000000,2.9347,2.9347,2.9347,2.9347,0,0
ILSCNY,D,19940420,000000,2.9419,2.9419,2.9419,2.9419,0,0
ILSCNY,D,19940421,000000,2.9488,2.9488,2.9488,2.9488,0,0
ILSCNY,D,19940422,000000,2.9498,2.9498,2.9498,2.9498,0,0
ILSCNY,D,19940425,000000,2.9409,2.9409,2.9409,2.9409,0,0
ILSCNY,D,19940426,000000,2.9222,2.9222,2.9222,2.9222,0,0
ILSCNY,D,19940427,000000,2.9196,2.9196,2.9196,2.9196,0,0
ILSCNY,D,19940428,000000,2.9174,2.9174,2.9174,2.9174,0,0
ILSCNY,D,19940429,000000,2.923,2.923,2.923,2.923,0,0
ILSCNY,D,19940504,000000,2.9157,2.9157,2.9157,2.9157,0,0
ILSCNY,D,19940505,000000,2.9052,2.9052,2.9052,2.9052,0,0
ILSCNY,D,19940506,000000,2.8997,2.8997,2.8997,2.8997,0,0
