<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSXPD,D,19931025,000000,0.0026313,0.0026313,0.0026313,0.0026313,0,0
ILSXPD,D,19931026,000000,0.0026633,0.0026633,0.0026633,0.0026633,0,0
ILSXPD,D,19931027,000000,0.0026493,0.0026493,0.0026493,0.0026493,0,0
ILSXPD,D,19931028,000000,0.0026586,0.0026586,0.0026586,0.0026586,0,0
ILSXPD,D,19931029,000000,0.0026514,0.0026514,0.0026514,0.0026514,0,0
ILSXPD,D,19931102,000000,0.002677,0.002677,0.002677,0.002677,0,0
ILSXPD,D,19931103,000000,0.0026494,0.0026494,0.0026494,0.0026494,0,0
ILSXPD,D,19931104,000000,0.0026204,0.0026204,0.0026204,0.0026204,0,0
ILSXPD,D,19931105,000000,0.0026565,0.0026565,0.0026565,0.0026565,0,0
ILSXPD,D,19931108,000000,0.0026617,0.0026617,0.0026617,0.0026617,0,0
ILSXPD,D,19931109,000000,0.002648,0.002648,0.002648,0.002648,0,0
ILSXPD,D,19931110,000000,0.0026413,0.0026413,0.0026413,0.0026413,0,0
ILSXPD,D,19931112,000000,0.0026551,0.0026551,0.0026551,0.0026551,0,0
ILSXPD,D,19931115,000000,0.0026242,0.0026242,0.0026242,0.0026242,0,0
ILSXPD,D,19931116,000000,0.0026152,0.0026152,0.0026152,0.0026152,0,0
ILSXPD,D,19931117,000000,0.002649,0.002649,0.002649,0.002649,0,0
ILSXPD,D,19931118,000000,0.0026405,0.0026405,0.0026405,0.0026405,0,0
ILSXPD,D,19931119,000000,0.0026471,0.0026471,0.0026471,0.0026471,0,0
ILSXPD,D,19931122,000000,0.0026479,0.0026479,0.0026479,0.0026479,0,0
ILSXPD,D,19931123,000000,0.002715,0.002715,0.002715,0.002715,0,0
ILSXPD,D,19931124,000000,0.0027242,0.0027242,0.0027242,0.0027242,0,0
ILSXPD,D,19931125,000000,0.0027325,0.0027325,0.0027325,0.0027325,0,0
ILSXPD,D,19931126,000000,0.0027265,0.0027265,0.0027265,0.0027265,0,0
ILSXPD,D,19931129,000000,0.0027912,0.0027912,0.0027912,0.0027912,0,0
ILSXPD,D,19931130,000000,0.0028028,0.0028028,0.0028028,0.0028028,0,0
ILSXPD,D,19931201,000000,0.0027611,0.0027611,0.0027611,0.0027611,0,0
ILSXPD,D,19931202,000000,0.0027373,0.0027373,0.0027373,0.0027373,0,0
ILSXPD,D,19931203,000000,0.0027489,0.0027489,0.0027489,0.0027489,0,0
ILSXPD,D,19931206,000000,0.0027082,0.0027082,0.0027082,0.0027082,0,0
ILSXPD,D,19931207,000000,0.0026648,0.0026648,0.0026648,0.0026648,0,0
ILSXPD,D,19931208,000000,0.0026577,0.0026577,0.0026577,0.0026577,0,0
ILSXPD,D,19931209,000000,0.0026871,0.0026871,0.0026871,0.0026871,0,0
ILSXPD,D,19931210,000000,0.0026782,0.0026782,0.0026782,0.0026782,0,0
ILSXPD,D,19931213,000000,0.002658,0.002658,0.002658,0.002658,0,0
ILSXPD,D,19931214,000000,0.0026715,0.0026715,0.0026715,0.0026715,0,0
ILSXPD,D,19931215,000000,0.0026881,0.0026881,0.0026881,0.0026881,0,0
ILSXPD,D,19931216,000000,0.0026902,0.0026902,0.0026902,0.0026902,0,0
ILSXPD,D,19931217,000000,0.0027056,0.0027056,0.0027056,0.0027056,0,0
ILSXPD,D,19931220,000000,0.0026929,0.0026929,0.0026929,0.0026929,0,0
