<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSXPT,D,19931025,000000,0.00093535,0.00093535,0.00093535,0.00093535,0,0
ILSXPT,D,19931026,000000,0.00093611,0.00093611,0.00093611,0.00093611,0,0
ILSXPT,D,19931027,000000,0.0009302,0.0009302,0.0009302,0.0009302,0,0
ILSXPT,D,19931028,000000,0.00093378,0.00093378,0.00093378,0.00093378,0,0
ILSXPT,D,19931029,000000,0.00093395,0.00093395,0.00093395,0.00093395,0,0
ILSXPT,D,19931102,000000,0.00094175,0.00094175,0.00094175,0.00094175,0,0
ILSXPT,D,19931103,000000,0.00092689,0.00092689,0.00092689,0.00092689,0,0
ILSXPT,D,19931104,000000,0.00092479,0.00092479,0.00092479,0.00092479,0,0
ILSXPT,D,19931105,000000,0.00091525,0.00091525,0.00091525,0.00091525,0,0
ILSXPT,D,19931108,000000,0.00091959,0.00091959,0.00091959,0.00091959,0,0
ILSXPT,D,19931109,000000,0.00091565,0.00091565,0.00091565,0.00091565,0,0
ILSXPT,D,19931110,000000,0.00091285,0.00091285,0.00091285,0.00091285,0,0
ILSXPT,D,19931112,000000,0.00091828,0.00091828,0.00091828,0.00091828,0,0
ILSXPT,D,19931115,000000,0.0009137,0.0009137,0.0009137,0.0009137,0,0
ILSXPT,D,19931116,000000,0.00091721,0.00091721,0.00091721,0.00091721,0,0
ILSXPT,D,19931117,000000,0.00091562,0.00091562,0.00091562,0.00091562,0,0
ILSXPT,D,19931118,000000,0.0009155,0.0009155,0.0009155,0.0009155,0,0
ILSXPT,D,19931119,000000,0.00090849,0.00090849,0.00090849,0.00090849,0,0
ILSXPT,D,19931122,000000,0.00090517,0.00090517,0.00090517,0.00090517,0,0
ILSXPT,D,19931123,000000,0.00092068,0.00092068,0.00092068,0.00092068,0,0
ILSXPT,D,19931124,000000,0.0009169,0.0009169,0.0009169,0.0009169,0,0
ILSXPT,D,19931125,000000,0.00091968,0.00091968,0.00091968,0.00091968,0,0
ILSXPT,D,19931126,000000,0.00091765,0.00091765,0.00091765,0.00091765,0,0
ILSXPT,D,19931129,000000,0.00093813,0.00093813,0.00093813,0.00093813,0,0
ILSXPT,D,19931130,000000,0.00093324,0.00093324,0.00093324,0.00093324,0,0
ILSXPT,D,19931201,000000,0.0009149,0.0009149,0.0009149,0.0009149,0,0
ILSXPT,D,19931202,000000,0.00091366,0.00091366,0.00091366,0.00091366,0,0
ILSXPT,D,19931203,000000,0.00091705,0.00091705,0.00091705,0.00091705,0,0
ILSXPT,D,19931206,000000,0.00091025,0.00091025,0.00091025,0.00091025,0,0
ILSXPT,D,19931207,000000,0.00090993,0.00090993,0.00090993,0.00090993,0,0
ILSXPT,D,19931208,000000,0.00089759,0.00089759,0.00089759,0.00089759,0,0
ILSXPT,D,19931209,000000,0.00090259,0.00090259,0.00090259,0.00090259,0,0
ILSXPT,D,19931210,000000,0.00090219,0.00090219,0.00090219,0.00090219,0,0
ILSXPT,D,19931213,000000,0.00088393,0.00088393,0.00088393,0.00088393,0,0
ILSXPT,D,19931214,000000,0.00088217,0.00088217,0.00088217,0.00088217,0,0
ILSXPT,D,19931215,000000,0.0008832,0.0008832,0.0008832,0.0008832,0,0
ILSXPT,D,19931216,000000,0.00088021,0.00088021,0.00088021,0.00088021,0,0
ILSXPT,D,19931217,000000,0.00088056,0.00088056,0.00088056,0.00088056,0,0
ILSXPT,D,19931220,000000,0.00087423,0.00087423,0.00087423,0.00087423,0,0
ILSXPT,D,19931221,000000,0.00087834,0.00087834,0.00087834,0.00087834,0,0
ILSXPT,D,19931222,000000,0.00088252,0.00088252,0.00088252,0.00088252,0,0
ILSXPT,D,19931223,000000,0.00088271,0.00088271,0.00088271,0.00088271,0,0
ILSXPT,D,19931224,000000,0.00088286,0.00088286,0.00088286,0.00088286,0,0
ILSXPT,D,19931227,000000,0.00088049,0.00088049,0.00088049,0.00088049,0,0
ILSXPT,D,19931228,000000,0.00087944,0.00087944,0.00087944,0.00087944,0,0
ILSXPT,D,19931229,000000,0.00087016,0.00087016,0.00087016,0.00087016,0,0
ILSXPT,D,19931230,000000,0.00085772,0.00085772,0.00085772,0.00085772,0,0
ILSXPT,D,19931231,000000,0.00085821,0.00085821,0.00085821,0.00085821,0,0
ILSXPT,D,19940103,000000,0.00085424,0.00085424,0.00085424,0.00085424,0,0
ILSXPT,D,19940104,000000,0.00084841,0.00084841,0.00084841,0.00084841,0,0
ILSXPT,D,19940105,000000,0.00086337,0.00086337,0.00086337,0.00086337,0,0
ILSXPT,D,19940106,000000,0.00087287,0.00087287,0.00087287,0.00087287,0,0
ILSXPT,D,19940107,000000,0.00087752,0.00087752,0.00087752,0.00087752,0,0
ILSXPT,D,19940110,000000,0.00088186,0.00088186,0.00088186,0.00088186,0,0
ILSXPT,D,19940111,000000,0.00087537,0.00087537,0.00087537,0.00087537,0,0
ILSXPT,D,19940112,000000,0.00087972,0.00087972,0.00087972,0.00087972,0,0
ILSXPT,D,19940113,000000,0.000878,0.000878,0.000878,0.000878,0,0
ILSXPT,D,19940114,000000,0.00087506,0.00087506,0.00087506,0.00087506,0,0
ILSXPT,D,19940117,000000,0.00086405,0.00086405,0.00086405,0.00086405,0,0
ILSXPT,D,19940118,000000,0.00086243,0.00086243,0.00086243,0.00086243,0,0
ILSXPT,D,19940119,000000,0.00086575,0.00086575,0.00086575,0.00086575,0,0
ILSXPT,D,19940120,000000,0.00087952,0.00087952,0.00087952,0.00087952,0,0
ILSXPT,D,19940121,000000,0.00089859,0.00089859,0.00089859,0.00089859,0,0
