<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRDKK,D,19840102,000000,0.94712,0.94712,0.94712,0.94712,0,0
INRDKK,D,19840109,000000,0.94687,0.94687,0.94687,0.94687,0,0
INRDKK,D,19840116,000000,0.95816,0.95816,0.95816,0.95816,0,0
INRDKK,D,19840123,000000,0.94583,0.94583,0.94583,0.94583,0,0
INRDKK,D,19840130,000000,0.95491,0.95491,0.95491,0.95491,0,0
INRDKK,D,19840206,000000,0.94959,0.94959,0.94959,0.94959,0,0
INRDKK,D,19840213,000000,0.93423,0.93423,0.93423,0.93423,0,0
INRDKK,D,19840220,000000,0.92902,0.92902,0.92902,0.92902,0,0
INRDKK,D,19840301,000000,0.9113,0.9113,0.9113,0.9113,0,0
INRDKK,D,19840305,000000,0.89283,0.89283,0.89283,0.89283,0,0
INRDKK,D,19840312,000000,0.87952,0.87952,0.87952,0.87952,0,0
INRDKK,D,19840319,000000,0.87414,0.87414,0.87414,0.87414,0,0
INRDKK,D,19840326,000000,0.89298,0.89298,0.89298,0.89298,0,0
INRDKK,D,19840402,000000,0.88502,0.88502,0.88502,0.88502,0,0
INRDKK,D,19840409,000000,0.89427,0.89427,0.89427,0.89427,0,0
INRDKK,D,19840416,000000,0.89506,0.89506,0.89506,0.89506,0,0
INRDKK,D,19840424,000000,0.89497,0.89497,0.89497,0.89497,0,0
INRDKK,D,19840502,000000,0.90698,0.90698,0.90698,0.90698,0,0
INRDKK,D,19840507,000000,0.91434,0.91434,0.91434,0.91434,0,0
INRDKK,D,19840514,000000,0.92441,0.92441,0.92441,0.92441,0,0
INRDKK,D,19840521,000000,0.91387,0.91387,0.91387,0.91387,0,0
INRDKK,D,19840528,000000,0.91297,0.91297,0.91297,0.91297,0,0
INRDKK,D,19840604,000000,0.90769,0.90769,0.90769,0.90769,0,0
INRDKK,D,19840611,000000,0.89314,0.89314,0.89314,0.89314,0,0
INRDKK,D,19840618,000000,0.90631,0.90631,0.90631,0.90631,0,0
INRDKK,D,19840625,000000,0.91372,0.91372,0.91372,0.91372,0,0
INRDKK,D,19840702,000000,0.91249,0.91249,0.91249,0.91249,0,0
INRDKK,D,19840709,000000,0.91728,0.91728,0.91728,0.91728,0,0
INRDKK,D,19840716,000000,0.9172,0.9172,0.9172,0.9172,0,0
INRDKK,D,19840723,000000,0.91513,0.91513,0.91513,0.91513,0,0
INRDKK,D,19840730,000000,0.91814,0.91814,0.91814,0.91814,0,0
INRDKK,D,19840806,000000,0.9169,0.9169,0.9169,0.9169,0,0
INRDKK,D,19840813,000000,0.91776,0.91776,0.91776,0.91776,0,0
INRDKK,D,19840820,000000,0.91163,0.91163,0.91163,0.91163,0,0
INRDKK,D,19840827,000000,0.90977,0.90977,0.90977,0.90977,0,0
INRDKK,D,19840901,000000,0.90492,0.90492,0.90492,0.90492,0,0
INRDKK,D,19840910,000000,0.90644,0.90644,0.90644,0.90644,0,0
INRDKK,D,19840917,000000,0.92408,0.92408,0.92408,0.92408,0,0
INRDKK,D,19840924,000000,0.93988,0.93988,0.93988,0.93988,0,0
INRDKK,D,19841001,000000,0.93292,0.93292,0.93292,0.93292,0,0
INRDKK,D,19841008,000000,0.9245,0.9245,0.9245,0.9245,0,0
INRDKK,D,19841015,000000,0.92681,0.92681,0.92681,0.92681,0,0
INRDKK,D,19841022,000000,0.93744,0.93744,0.93744,0.93744,0,0
INRDKK,D,19841029,000000,0.9174,0.9174,0.9174,0.9174,0,0
INRDKK,D,19841105,000000,0.91316,0.91316,0.91316,0.91316,0,0
INRDKK,D,19841112,000000,0.88613,0.88613,0.88613,0.88613,0,0
INRDKK,D,19841119,000000,0.88879,0.88879,0.88879,0.88879,0,0
INRDKK,D,19841126,000000,0.89688,0.89688,0.89688,0.89688,0,0
INRDKK,D,19841201,000000,0.90385,0.90385,0.90385,0.90385,0,0
INRDKK,D,19841210,000000,0.90917,0.90917,0.90917,0.90917,0,0
INRDKK,D,19841217,000000,0.90351,0.90351,0.90351,0.90351,0,0
INRDKK,D,19841224,000000,0.90439,0.90439,0.90439,0.90439,0,0
INRDKK,D,19850101,000000,0.90696,0.90696,0.90696,0.90696,0,0
INRDKK,D,19850107,000000,0.91109,0.91109,0.91109,0.91109,0,0
INRDKK,D,19850114,000000,0.89401,0.89401,0.89401,0.89401,0,0
INRDKK,D,19850121,000000,0.90507,0.90507,0.90507,0.90507,0,0
INRDKK,D,19850128,000000,0.89804,0.89804,0.89804,0.89804,0,0
INRDKK,D,19850204,000000,0.89205,0.89205,0.89205,0.89205,0,0
INRDKK,D,19850211,000000,0.89975,0.89975,0.89975,0.89975,0,0
INRDKK,D,19850218,000000,0.90615,0.90615,0.90615,0.90615,0,0
INRDKK,D,19850225,000000,0.91534,0.91534,0.91534,0.91534,0,0
INRDKK,D,19850304,000000,0.9249,0.9249,0.9249,0.9249,0,0
INRDKK,D,19850311,000000,0.93691,0.93691,0.93691,0.93691,0,0
INRDKK,D,19850318,000000,0.92081,0.92081,0.92081,0.92081,0,0
INRDKK,D,19850325,000000,0.91253,0.91253,0.91253,0.91253,0,0
INRDKK,D,19850329,000000,0.87316,0.87316,0.87316,0.87316,0,0
INRDKK,D,19850401,000000,0.90057,0.90057,0.90057,0.90057,0,0
INRDKK,D,19850409,000000,0.89862,0.89862,0.89862,0.89862,0,0
INRDKK,D,19850415,000000,0.88662,0.88662,0.88662,0.88662,0,0
INRDKK,D,19850422,000000,0.88924,0.88924,0.88924,0.88924,0,0
INRDKK,D,19850429,000000,0.88391,0.88391,0.88391,0.88391,0,0
INRDKK,D,19850506,000000,0.89739,0.89739,0.89739,0.89739,0,0
