<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INREUR,D,19840924,000000,0.11501,0.11501,0.11501,0.11501,0,0
INREUR,D,19841001,000000,0.11284,0.11284,0.11284,0.11284,0,0
INREUR,D,19841008,000000,0.11436,0.11436,0.11436,0.11436,0,0
INREUR,D,19841015,000000,0.11367,0.11367,0.11367,0.11367,0,0
INREUR,D,19841022,000000,0.11596,0.11596,0.11596,0.11596,0,0
INREUR,D,19841029,000000,0.11481,0.11481,0.11481,0.11481,0,0
INREUR,D,19841105,000000,0.11366,0.11366,0.11366,0.11366,0,0
INREUR,D,19841112,000000,0.10998,0.10998,0.10998,0.10998,0,0
INREUR,D,19841119,000000,0.11112,0.11112,0.11112,0.11112,0,0
INREUR,D,19841126,000000,0.11116,0.11116,0.11116,0.11116,0,0
INREUR,D,19841201,000000,0.1124,0.1124,0.1124,0.1124,0,0
INREUR,D,19841210,000000,0.11314,0.11314,0.11314,0.11314,0,0
INREUR,D,19841217,000000,0.1131,0.1131,0.1131,0.1131,0,0
INREUR,D,19841224,000000,0.11332,0.11332,0.11332,0.11332,0,0
INREUR,D,19850101,000000,0.1138,0.1138,0.1138,0.1138,0,0
INREUR,D,19850107,000000,0.11427,0.11427,0.11427,0.11427,0,0
INREUR,D,19850114,000000,0.11247,0.11247,0.11247,0.11247,0,0
INREUR,D,19850121,000000,0.11373,0.11373,0.11373,0.11373,0,0
INREUR,D,19850128,000000,0.11317,0.11317,0.11317,0.11317,0,0
INREUR,D,19850204,000000,0.11263,0.11263,0.11263,0.11263,0,0
INREUR,D,19850211,000000,0.11314,0.11314,0.11314,0.11314,0,0
INREUR,D,19850218,000000,0.11395,0.11395,0.11395,0.11395,0,0
INREUR,D,19850225,000000,0.11494,0.11494,0.11494,0.11494,0,0
INREUR,D,19850304,000000,0.11655,0.11655,0.11655,0.11655,0,0
INREUR,D,19850311,000000,0.11789,0.11789,0.11789,0.11789,0,0
INREUR,D,19850318,000000,0.11633,0.11633,0.11633,0.11633,0,0
INREUR,D,19850325,000000,0.11497,0.11497,0.11497,0.11497,0,0
INREUR,D,19850329,000000,0.11499,0.11499,0.11499,0.11499,0,0
INREUR,D,19850401,000000,0.11264,0.11264,0.11264,0.11264,0,0
INREUR,D,19850409,000000,0.1122,0.1122,0.1122,0.1122,0,0
INREUR,D,19850415,000000,0.11084,0.11084,0.11084,0.11084,0,0
INREUR,D,19850422,000000,0.11076,0.11076,0.11076,0.11076,0,0
INREUR,D,19850429,000000,0.10997,0.10997,0.10997,0.10997,0,0
INREUR,D,19850506,000000,0.11113,0.11113,0.11113,0.11113,0,0
INREUR,D,19850513,000000,0.11318,0.11318,0.11318,0.11318,0,0
INREUR,D,19850520,000000,0.1102,0.1102,0.1102,0.1102,0,0
INREUR,D,19850527,000000,0.10997,0.10997,0.10997,0.10997,0,0
INREUR,D,19850601,000000,0.11117,0.11117,0.11117,0.11117,0,0
INREUR,D,19850610,000000,0.10935,0.10935,0.10935,0.10935,0,0
INREUR,D,19850617,000000,0.11004,0.11004,0.11004,0.11004,0,0
INREUR,D,19850624,000000,0.10931,0.10931,0.10931,0.10931,0,0
INREUR,D,19850701,000000,0.11008,0.11008,0.11008,0.11008,0,0
INREUR,D,19850708,000000,0.1097,0.1097,0.1097,0.1097,0,0
INREUR,D,19850715,000000,0.1087,0.1087,0.1087,0.1087,0,0
INREUR,D,19850723,000000,0.10727,0.10727,0.10727,0.10727,0,0
INREUR,D,19850729,000000,0.10702,0.10702,0.10702,0.10702,0,0
INREUR,D,19850805,000000,0.10654,0.10654,0.10654,0.10654,0,0
INREUR,D,19850812,000000,0.10654,0.10654,0.10654,0.10654,0,0
INREUR,D,19850819,000000,0.10481,0.10481,0.10481,0.10481,0,0
INREUR,D,19850826,000000,0.1046,0.1046,0.1046,0.1046,0,0
INREUR,D,19850902,000000,0.10517,0.10517,0.10517,0.10517,0,0
INREUR,D,19850909,000000,0.10579,0.10579,0.10579,0.10579,0,0
INREUR,D,19850916,000000,0.10643,0.10643,0.10643,0.10643,0,0
INREUR,D,19850923,000000,0.10525,0.10525,0.10525,0.10525,0,0
INREUR,D,19850930,000000,0.10298,0.10298,0.10298,0.10298,0,0
INREUR,D,19851007,000000,0.10092,0.10092,0.10092,0.10092,0,0
INREUR,D,19851014,000000,0.09925,0.09925,0.09925,0.09925,0,0
INREUR,D,19851021,000000,0.09964,0.09964,0.09964,0.09964,0,0
INREUR,D,19851028,000000,0.09934,0.09934,0.09934,0.09934,0,0
INREUR,D,19851104,000000,0.09542,0.09542,0.09542,0.09542,0,0
