<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRILS,D,19931025,000000,0.091857,0.091857,0.091857,0.091857,0,0
INRILS,D,19931026,000000,0.092115,0.092115,0.092115,0.092115,0,0
INRILS,D,19931027,000000,0.092161,0.092161,0.092161,0.092161,0,0
INRILS,D,19931028,000000,0.092435,0.092435,0.092435,0.092435,0,0
INRILS,D,19931029,000000,0.092558,0.092558,0.092558,0.092558,0,0
INRILS,D,19931102,000000,0.092673,0.092673,0.092673,0.092673,0,0
INRILS,D,19931103,000000,0.092956,0.092956,0.092956,0.092956,0,0
INRILS,D,19931104,000000,0.092779,0.092779,0.092779,0.092779,0,0
INRILS,D,19931105,000000,0.092725,0.092725,0.092725,0.092725,0,0
INRILS,D,19931108,000000,0.092748,0.092748,0.092748,0.092748,0,0
INRILS,D,19931109,000000,0.092805,0.092805,0.092805,0.092805,0,0
INRILS,D,19931110,000000,0.093034,0.093034,0.093034,0.093034,0,0
INRILS,D,19931112,000000,0.093066,0.093066,0.093066,0.093066,0,0
INRILS,D,19931115,000000,0.092787,0.092787,0.092787,0.092787,0,0
INRILS,D,19931116,000000,0.0928,0.0928,0.0928,0.0928,0,0
INRILS,D,19931117,000000,0.093047,0.093047,0.093047,0.093047,0,0
INRILS,D,19931118,000000,0.093048,0.093048,0.093048,0.093048,0,0
INRILS,D,19931119,000000,0.093376,0.093376,0.093376,0.093376,0,0
INRILS,D,19931122,000000,0.093473,0.093473,0.093473,0.093473,0,0
INRILS,D,19931123,000000,0.093605,0.093605,0.093605,0.093605,0,0
INRILS,D,19931124,000000,0.093601,0.093601,0.093601,0.093601,0,0
INRILS,D,19931125,000000,0.093039,0.093039,0.093039,0.093039,0,0
INRILS,D,19931126,000000,0.0935,0.0935,0.0935,0.0935,0,0
INRILS,D,19931129,000000,0.093824,0.093824,0.093824,0.093824,0,0
INRILS,D,19931130,000000,0.093974,0.093974,0.093974,0.093974,0,0
INRILS,D,19931201,000000,0.093951,0.093951,0.093951,0.093951,0,0
INRILS,D,19931202,000000,0.093935,0.093935,0.093935,0.093935,0,0
INRILS,D,19931203,000000,0.093786,0.093786,0.093786,0.093786,0,0
INRILS,D,19931206,000000,0.093752,0.093752,0.093752,0.093752,0,0
