<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRXAU,D,19840109,000000,0.00025491,0.00025491,0.00025491,0.00025491,0,0
INRXAU,D,19840116,000000,0.00025232,0.00025232,0.00025232,0.00025232,0,0
INRXAU,D,19840123,000000,0.00025482,0.00025482,0.00025482,0.00025482,0,0
INRXAU,D,19840130,000000,0.00024845,0.00024845,0.00024845,0.00024845,0,0
INRXAU,D,19840206,000000,0.00024041,0.00024041,0.00024041,0.00024041,0,0
INRXAU,D,19840213,000000,0.00024247,0.00024247,0.00024247,0.00024247,0,0
INRXAU,D,19840220,000000,0.00024457,0.00024457,0.00024457,0.00024457,0,0
INRXAU,D,19840301,000000,0.0002345,0.0002345,0.0002345,0.0002345,0,0
INRXAU,D,19840305,000000,0.00022966,0.00022966,0.00022966,0.00022966,0,0
INRXAU,D,19840312,000000,0.00023636,0.00023636,0.00023636,0.00023636,0,0
INRXAU,D,19840319,000000,0.00023739,0.00023739,0.00023739,0.00023739,0,0
INRXAU,D,19840326,000000,0.0002404,0.0002404,0.0002404,0.0002404,0,0
INRXAU,D,19840402,000000,0.00024167,0.00024167,0.00024167,0.00024167,0,0
INRXAU,D,19840409,000000,0.00024,0.00024,0.00024,0.00024,0,0
INRXAU,D,19840416,000000,0.00024218,0.00024218,0.00024218,0.00024218,0,0
INRXAU,D,19840424,000000,0.00023875,0.00023875,0.00023875,0.00023875,0,0
INRXAU,D,19840502,000000,0.00024176,0.00024176,0.00024176,0.00024176,0,0
INRXAU,D,19840507,000000,0.00024393,0.00024393,0.00024393,0.00024393,0,0
INRXAU,D,19840514,000000,0.00024352,0.00024352,0.00024352,0.00024352,0,0
INRXAU,D,19840521,000000,0.00023885,0.00023885,0.00023885,0.00023885,0,0
INRXAU,D,19840528,000000,0.00023861,0.00023861,0.00023861,0.00023861,0,0
INRXAU,D,19840604,000000,0.00022467,0.00022467,0.00022467,0.00022467,0,0
INRXAU,D,19840611,000000,0.00024065,0.00024065,0.00024065,0.00024065,0,0
INRXAU,D,19840618,000000,0.00024123,0.00024123,0.00024123,0.00024123,0,0
INRXAU,D,19840625,000000,0.0002433,0.0002433,0.0002433,0.0002433,0,0
INRXAU,D,19840702,000000,0.00023923,0.00023923,0.00023923,0.00023923,0,0
INRXAU,D,19840709,000000,0.00025474,0.00025474,0.00025474,0.00025474,0,0
INRXAU,D,19840716,000000,0.00025448,0.00025448,0.00025448,0.00025448,0,0
INRXAU,D,19840723,000000,0.00025988,0.00025988,0.00025988,0.00025988,0,0
INRXAU,D,19840730,000000,0.00024597,0.00024597,0.00024597,0.00024597,0,0
INRXAU,D,19840806,000000,0.0002404,0.0002404,0.0002404,0.0002404,0,0
INRXAU,D,19840813,000000,0.0002396,0.0002396,0.0002396,0.0002396,0,0
INRXAU,D,19840820,000000,0.00024444,0.00024444,0.00024444,0.00024444,0,0
INRXAU,D,19840827,000000,0.00024115,0.00024115,0.00024115,0.00024115,0,0
INRXAU,D,19840901,000000,0.00024148,0.00024148,0.00024148,0.00024148,0,0
INRXAU,D,19840910,000000,0.00024528,0.00024528,0.00024528,0.00024528,0,0
INRXAU,D,19840917,000000,0.00024664,0.00024664,0.00024664,0.00024664,0,0
INRXAU,D,19840924,000000,0.00023947,0.00023947,0.00023947,0.00023947,0,0
INRXAU,D,19841001,000000,0.00023907,0.00023907,0.00023907,0.00023907,0,0
INRXAU,D,19841008,000000,0.00024221,0.00024221,0.00024221,0.00024221,0,0
INRXAU,D,19841015,000000,0.00024164,0.00024164,0.00024164,0.00024164,0,0
INRXAU,D,19841022,000000,0.00024152,0.00024152,0.00024152,0.00024152,0,0
INRXAU,D,19841029,000000,0.00024514,0.00024514,0.00024514,0.00024514,0,0
INRXAU,D,19841105,000000,0.00023619,0.00023619,0.00023619,0.00023619,0,0
INRXAU,D,19841112,000000,0.00023903,0.00023903,0.00023903,0.00023903,0,0
INRXAU,D,19841119,000000,0.00024407,0.00024407,0.00024407,0.00024407,0,0
INRXAU,D,19841126,000000,0.00024977,0.00024977,0.00024977,0.00024977,0,0
INRXAU,D,19841201,000000,0.00024755,0.00024755,0.00024755,0.00024755,0,0
INRXAU,D,19841210,000000,0.00024841,0.00024841,0.00024841,0.00024841,0,0
INRXAU,D,19841217,000000,0.00025796,0.00025796,0.00025796,0.00025796,0,0
INRXAU,D,19841224,000000,0.00025821,0.00025821,0.00025821,0.00025821,0,0
INRXAU,D,19850101,000000,0.00025633,0.00025633,0.00025633,0.00025633,0,0
INRXAU,D,19850107,000000,0.0002646,0.0002646,0.0002646,0.0002646,0,0
INRXAU,D,19850114,000000,0.00026348,0.00026348,0.00026348,0.00026348,0,0
INRXAU,D,19850121,000000,0.000258,0.000258,0.000258,0.000258,0,0
INRXAU,D,19850128,000000,0.0002586,0.0002586,0.0002586,0.0002586,0,0
INRXAU,D,19850204,000000,0.00025889,0.00025889,0.00025889,0.00025889,0,0
INRXAU,D,19850211,000000,0.00025436,0.00025436,0.00025436,0.00025436,0,0
INRXAU,D,19850218,000000,0.00025163,0.00025163,0.00025163,0.00025163,0,0
INRXAU,D,19850225,000000,0.0002726,0.0002726,0.0002726,0.0002726,0,0
INRXAU,D,19850304,000000,0.00026629,0.00026629,0.00026629,0.00026629,0,0
INRXAU,D,19850311,000000,0.0002613,0.0002613,0.0002613,0.0002613,0,0
INRXAU,D,19850318,000000,0.00025516,0.00025516,0.00025516,0.00025516,0,0
INRXAU,D,19850325,000000,0.00024151,0.00024151,0.00024151,0.00024151,0,0
INRXAU,D,19850329,000000,0.00023142,0.00023142,0.00023142,0.00023142,0,0
INRXAU,D,19850401,000000,0.00024813,0.00024813,0.00024813,0.00024813,0,0
INRXAU,D,19850409,000000,0.00024665,0.00024665,0.00024665,0.00024665,0,0
INRXAU,D,19850415,000000,0.0002364,0.0002364,0.0002364,0.0002364,0,0
INRXAU,D,19850422,000000,0.00024859,0.00024859,0.00024859,0.00024859,0,0
INRXAU,D,19850429,000000,0.00024809,0.00024809,0.00024809,0.00024809,0,0
INRXAU,D,19850506,000000,0.00025906,0.00025906,0.00025906,0.00025906,0,0
INRXAU,D,19850513,000000,0.00024076,0.00024076,0.00024076,0.00024076,0,0
INRXAU,D,19850520,000000,0.00025735,0.00025735,0.00025735,0.00025735,0,0
INRXAU,D,19850527,000000,0.00025806,0.00025806,0.00025806,0.00025806,0,0
INRXAU,D,19850601,000000,0.00025658,0.00025658,0.00025658,0.00025658,0,0
INRXAU,D,19850610,000000,0.0002546,0.0002546,0.0002546,0.0002546,0,0
INRXAU,D,19850617,000000,0.00024802,0.00024802,0.00024802,0.00024802,0,0
INRXAU,D,19850624,000000,0.00025324,0.00025324,0.00025324,0.00025324,0,0
INRXAU,D,19850701,000000,0.00026025,0.00026025,0.00026025,0.00026025,0,0
INRXAU,D,19850708,000000,0.00025548,0.00025548,0.00025548,0.00025548,0,0
INRXAU,D,19850715,000000,0.00025726,0.00025726,0.00025726,0.00025726,0,0
INRXAU,D,19850723,000000,0.00026289,0.00026289,0.00026289,0.00026289,0,0
INRXAU,D,19850729,000000,0.00026038,0.00026038,0.00026038,0.00026038,0,0
INRXAU,D,19850805,000000,0.00025495,0.00025495,0.00025495,0.00025495,0,0
INRXAU,D,19850812,000000,0.00024731,0.00024731,0.00024731,0.00024731,0,0
INRXAU,D,19850819,000000,0.00024307,0.00024307,0.00024307,0.00024307,0,0
INRXAU,D,19850826,000000,0.00024512,0.00024512,0.00024512,0.00024512,0,0
INRXAU,D,19850902,000000,0.00024531,0.00024531,0.00024531,0.00024531,0,0
INRXAU,D,19850909,000000,0.00025559,0.00025559,0.00025559,0.00025559,0,0
INRXAU,D,19850916,000000,0.00024831,0.00024831,0.00024831,0.00024831,0,0
INRXAU,D,19850923,000000,0.00024399,0.00024399,0.00024399,0.00024399,0,0
INRXAU,D,19850930,000000,0.00025765,0.00025765,0.00025765,0.00025765,0,0
INRXAU,D,19851007,000000,0.00025268,0.00025268,0.00025268,0.00025268,0,0
INRXAU,D,19851014,000000,0.00025248,0.00025248,0.00025248,0.00025248,0,0
INRXAU,D,19851021,000000,0.00025071,0.00025071,0.00025071,0.00025071,0,0
INRXAU,D,19851028,000000,0.00025337,0.00025337,0.00025337,0.00025337,0,0
INRXAU,D,19851104,000000,0.00025375,0.00025375,0.00025375,0.00025375,0,0
INRXAU,D,19851111,000000,0.00025496,0.00025496,0.00025496,0.00025496,0,0
INRXAU,D,19851118,000000,0.00025316,0.00025316,0.00025316,0.00025316,0,0
INRXAU,D,19851125,000000,0.00024707,0.00024707,0.00024707,0.00024707,0,0
INRXAU,D,19851202,000000,0.00025366,0.00025366,0.00025366,0.00025366,0,0
INRXAU,D,19851209,000000,0.00025882,0.00025882,0.00025882,0.00025882,0,0
INRXAU,D,19851216,000000,0.00025288,0.00025288,0.00025288,0.00025288,0,0
INRXAU,D,19851223,000000,0.00025068,0.00025068,0.00025068,0.00025068,0,0
INRXAU,D,19860101,000000,0.00025027,0.00025027,0.00025027,0.00025027,0,0
INRXAU,D,19860106,000000,0.00025014,0.00025014,0.00025014,0.00025014,0,0
INRXAU,D,19860113,000000,0.00024004,0.00024004,0.00024004,0.00024004,0,0
INRXAU,D,19860120,000000,0.00023142,0.00023142,0.00023142,0.00023142,0,0
INRXAU,D,19860127,000000,0.00022964,0.00022964,0.00022964,0.00022964,0,0
INRXAU,D,19860201,000000,0.00022713,0.00022713,0.00022713,0.00022713,0,0
INRXAU,D,19860210,000000,0.00023405,0.00023405,0.00023405,0.00023405,0,0
INRXAU,D,19860217,000000,0.00023561,0.00023561,0.00023561,0.00023561,0,0
INRXAU,D,19860224,000000,0.00022893,0.00022893,0.00022893,0.00022893,0,0
INRXAU,D,19860301,000000,0.00023427,0.00023427,0.00023427,0.00023427,0,0
INRXAU,D,19860303,000000,0.0002415,0.0002415,0.0002415,0.0002415,0,0
INRXAU,D,19860310,000000,0.0002378,0.0002378,0.0002378,0.0002378,0,0
INRXAU,D,19860317,000000,0.00023198,0.00023198,0.00023198,0.00023198,0,0
INRXAU,D,19860318,000000,0.00023231,0.00023231,0.00023231,0.00023231,0,0
INRXAU,D,19860324,000000,0.00023218,0.00023218,0.00023218,0.00023218,0,0
INRXAU,D,19860401,000000,0.0002413,0.0002413,0.0002413,0.0002413,0,0
INRXAU,D,19860407,000000,0.00023497,0.00023497,0.00023497,0.00023497,0,0
INRXAU,D,19860409,000000,0.00023517,0.00023517,0.00023517,0.00023517,0,0
INRXAU,D,19860414,000000,0.00023156,0.00023156,0.00023156,0.00023156,0,0
INRXAU,D,19860421,000000,0.00023142,0.00023142,0.00023142,0.00023142,0,0
INRXAU,D,19860428,000000,0.0002354,0.0002354,0.0002354,0.0002354,0,0
INRXAU,D,19860505,000000,0.00023668,0.00023668,0.00023668,0.00023668,0,0
INRXAU,D,19860512,000000,0.00023418,0.00023418,0.00023418,0.00023418,0,0
INRXAU,D,19860519,000000,0.00023767,0.00023767,0.00023767,0.00023767,0,0
INRXAU,D,19860526,000000,0.00023588,0.00023588,0.00023588,0.00023588,0,0
INRXAU,D,19860602,000000,0.00022885,0.00022885,0.00022885,0.00022885,0,0
INRXAU,D,19860609,000000,0.00022263,0.00022263,0.00022263,0.00022263,0,0
INRXAU,D,19860616,000000,0.00023488,0.00023488,0.00023488,0.00023488,0,0
INRXAU,D,19860623,000000,0.00023074,0.00023074,0.00023074,0.00023074,0,0
INRXAU,D,19860630,000000,0.00022904,0.00022904,0.00022904,0.00022904,0,0
INRXAU,D,19860707,000000,0.0002334,0.0002334,0.0002334,0.0002334,0,0
INRXAU,D,19860714,000000,0.000232,0.000232,0.000232,0.000232,0,0
INRXAU,D,19860721,000000,0.00022309,0.00022309,0.00022309,0.00022309,0,0
INRXAU,D,19860728,000000,0.00022425,0.00022425,0.00022425,0.00022425,0,0
INRXAU,D,19860804,000000,0.00021765,0.00021765,0.00021765,0.00021765,0,0
INRXAU,D,19860811,000000,0.00019951,0.00019951,0.00019951,0.00019951,0,0
INRXAU,D,19860818,000000,0.00020866,0.00020866,0.00020866,0.00020866,0,0
INRXAU,D,19860825,000000,0.0002057,0.0002057,0.0002057,0.0002057,0,0
INRXAU,D,19860901,000000,0.00020582,0.00020582,0.00020582,0.00020582,0,0
INRXAU,D,19860908,000000,0.00019164,0.00019164,0.00019164,0.00019164,0,0
INRXAU,D,19860915,000000,0.00018814,0.00018814,0.00018814,0.00018814,0,0
INRXAU,D,19860922,000000,0.00017711,0.00017711,0.00017711,0.00017711,0,0
INRXAU,D,19860929,000000,0.00018345,0.00018345,0.00018345,0.00018345,0,0
INRXAU,D,19861006,000000,0.00017627,0.00017627,0.00017627,0.00017627,0,0
INRXAU,D,19861013,000000,0.00017919,0.00017919,0.00017919,0.00017919,0,0
INRXAU,D,19861020,000000,0.00018195,0.00018195,0.00018195,0.00018195,0,0
INRXAU,D,19861027,000000,0.0001903,0.0001903,0.0001903,0.0001903,0,0
INRXAU,D,19861101,000000,0.00018828,0.00018828,0.00018828,0.00018828,0,0
INRXAU,D,19861110,000000,0.00018899,0.00018899,0.00018899,0.00018899,0,0
INRXAU,D,19861117,000000,0.00019741,0.00019741,0.00019741,0.00019741,0,0
INRXAU,D,19861124,000000,0.00019875,0.00019875,0.00019875,0.00019875,0,0
INRXAU,D,19861201,000000,0.0001919,0.0001919,0.0001919,0.0001919,0,0
INRXAU,D,19861208,000000,0.00019345,0.00019345,0.00019345,0.00019345,0,0
INRXAU,D,19861215,000000,0.00019059,0.00019059,0.00019059,0.00019059,0,0
INRXAU,D,19861222,000000,0.0001914,0.0001914,0.0001914,0.0001914,0,0
INRXAU,D,19861231,000000,0.00018693,0.00018693,0.00018693,0.00018693,0,0
INRXAU,D,19870112,000000,0.00018636,0.00018636,0.00018636,0.00018636,0,0
INRXAU,D,19870119,000000,0.0001816,0.0001816,0.0001816,0.0001816,0,0
INRXAU,D,19870126,000000,0.00018644,0.00018644,0.00018644,0.00018644,0,0
INRXAU,D,19870201,000000,0.0001866,0.0001866,0.0001866,0.0001866,0,0
INRXAU,D,19870209,000000,0.00018865,0.00018865,0.00018865,0.00018865,0,0
INRXAU,D,19870216,000000,0.00018818,0.00018818,0.00018818,0.00018818,0,0
INRXAU,D,19870223,000000,0.00018959,0.00018959,0.00018959,0.00018959,0,0
INRXAU,D,19870302,000000,0.00018895,0.00018895,0.00018895,0.00018895,0,0
INRXAU,D,19870309,000000,0.00018942,0.00018942,0.00018942,0.00018942,0,0
INRXAU,D,19870316,000000,0.00018981,0.00018981,0.00018981,0.00018981,0,0
INRXAU,D,19870323,000000,0.00018886,0.00018886,0.00018886,0.00018886,0,0
INRXAU,D,19870330,000000,0.00018371,0.00018371,0.00018371,0.00018371,0,0
INRXAU,D,19870406,000000,0.00018329,0.00018329,0.00018329,0.00018329,0,0
INRXAU,D,19870413,000000,0.00017656,0.00017656,0.00017656,0.00017656,0,0
INRXAU,D,19870421,000000,0.00017291,0.00017291,0.00017291,0.00017291,0,0
INRXAU,D,19870427,000000,0.00017541,0.00017541,0.00017541,0.00017541,0,0
INRXAU,D,19870504,000000,0.00016921,0.00016921,0.00016921,0.00016921,0,0
INRXAU,D,19870511,000000,0.00017364,0.00017364,0.00017364,0.00017364,0,0
INRXAU,D,19870518,000000,0.0001669,0.0001669,0.0001669,0.0001669,0,0
INRXAU,D,19870525,000000,0.00016771,0.00016771,0.00016771,0.00016771,0,0
INRXAU,D,19870601,000000,0.00017453,0.00017453,0.00017453,0.00017453,0,0
INRXAU,D,19870608,000000,0.00017164,0.00017164,0.00017164,0.00017164,0,0
INRXAU,D,19870615,000000,0.00017165,0.00017165,0.00017165,0.00017165,0,0
INRXAU,D,19870622,000000,0.00017644,0.00017644,0.00017644,0.00017644,0,0
INRXAU,D,19870629,000000,0.00017201,0.00017201,0.00017201,0.00017201,0,0
