<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKARS,D,19960806,000000,0.014393,0.014393,0.014393,0.014393,0,0
ISKARS,D,19960807,000000,0.01436,0.01436,0.01436,0.01436,0,0
ISKARS,D,19960808,000000,0.014379,0.014379,0.014379,0.014379,0,0
ISKARS,D,19960809,000000,0.014418,0.014418,0.014418,0.014418,0,0
ISKARS,D,19960812,000000,0.014414,0.014414,0.014414,0.014414,0,0
ISKARS,D,19960813,000000,0.014426,0.014426,0.014426,0.014426,0,0
ISKARS,D,19960814,000000,0.014366,0.014366,0.014366,0.014366,0,0
ISKARS,D,19960816,000000,0.014354,0.014354,0.014354,0.014354,0,0
ISKARS,D,19960819,000000,0.014379,0.014379,0.014379,0.014379,0,0
ISKARS,D,19960820,000000,0.014369,0.014369,0.014369,0.014369,0,0
ISKARS,D,19960821,000000,0.014383,0.014383,0.014383,0.014383,0,0
ISKARS,D,19960822,000000,0.014404,0.014404,0.014404,0.014404,0,0
ISKARS,D,19960823,000000,0.014418,0.014418,0.014418,0.014418,0,0
ISKARS,D,19960826,000000,0.014433,0.014433,0.014433,0.014433,0,0
ISKARS,D,19960827,000000,0.014441,0.014441,0.014441,0.014441,0,0
ISKARS,D,19960828,000000,0.014421,0.014421,0.014421,0.014421,0,0
ISKARS,D,19960829,000000,0.014435,0.014435,0.014435,0.014435,0,0
ISKARS,D,19960830,000000,0.014433,0.014433,0.014433,0.014433,0,0
ISKARS,D,19960902,000000,0.014403,0.014403,0.014403,0.014403,0,0
ISKARS,D,19960903,000000,0.014385,0.014385,0.014385,0.014385,0,0
ISKARS,D,19960904,000000,0.014404,0.014404,0.014404,0.014404,0,0
ISKARS,D,19960905,000000,0.014391,0.014391,0.014391,0.014391,0,0
ISKARS,D,19960906,000000,0.014361,0.014361,0.014361,0.014361,0,0
ISKARS,D,19960909,000000,0.014324,0.014324,0.014324,0.014324,0,0
ISKARS,D,19960910,000000,0.014256,0.014256,0.014256,0.014256,0,0
ISKARS,D,19960911,000000,0.014225,0.014225,0.014225,0.014225,0,0
ISKARS,D,19960912,000000,0.014248,0.014248,0.014248,0.014248,0,0
ISKARS,D,19960913,000000,0.014231,0.014231,0.014231,0.014231,0,0
ISKARS,D,19960916,000000,0.014254,0.014254,0.014254,0.014254,0,0
ISKARS,D,19960917,000000,0.014243,0.014243,0.014243,0.014243,0,0
ISKARS,D,19960918,000000,0.014339,0.014339,0.014339,0.014339,0,0
ISKARS,D,19960919,000000,0.014256,0.014256,0.014256,0.014256,0,0
ISKARS,D,19960920,000000,0.014246,0.014246,0.014246,0.014246,0,0
ISKARS,D,19960923,000000,0.014267,0.014267,0.014267,0.014267,0,0
ISKARS,D,19960924,000000,0.014322,0.014322,0.014322,0.014322,0,0
ISKARS,D,19960925,000000,0.01427,0.01427,0.01427,0.01427,0,0
ISKARS,D,19960926,000000,0.014208,0.014208,0.014208,0.014208,0,0
ISKARS,D,19960927,000000,0.014214,0.014214,0.014214,0.014214,0,0
ISKARS,D,19960930,000000,0.014206,0.014206,0.014206,0.014206,0,0
ISKARS,D,19961001,000000,0.014221,0.014221,0.014221,0.014221,0,0
ISKARS,D,19961002,000000,0.014184,0.014184,0.014184,0.014184,0,0
ISKARS,D,19961003,000000,0.014189,0.014189,0.014189,0.014189,0,0
ISKARS,D,19961004,000000,0.014181,0.014181,0.014181,0.014181,0,0
ISKARS,D,19961007,000000,0.014187,0.014187,0.014187,0.014187,0,0
ISKARS,D,19961008,000000,0.014222,0.014222,0.014222,0.014222,0,0
ISKARS,D,19961009,000000,0.014219,0.014219,0.014219,0.014219,0,0
ISKARS,D,19961010,000000,0.014219,0.014219,0.014219,0.014219,0,0
ISKARS,D,19961011,000000,0.014218,0.014218,0.014218,0.014218,0,0
ISKARS,D,19961014,000000,0.014216,0.014216,0.014216,0.014216,0,0
ISKARS,D,19961015,000000,0.014148,0.014148,0.014148,0.014148,0,0
ISKARS,D,19961016,000000,0.014174,0.014174,0.014174,0.014174,0,0
ISKARS,D,19961017,000000,0.014167,0.014167,0.014167,0.014167,0,0
ISKARS,D,19961018,000000,0.014161,0.014161,0.014161,0.014161,0,0
ISKARS,D,19961021,000000,0.01418,0.01418,0.01418,0.01418,0,0
ISKARS,D,19961022,000000,0.014261,0.014261,0.014261,0.014261,0,0
ISKARS,D,19961023,000000,0.014277,0.014277,0.014277,0.014277,0,0
ISKARS,D,19961024,000000,0.01431,0.01431,0.01431,0.01431,0,0
ISKARS,D,19961025,000000,0.014282,0.014282,0.014282,0.014282,0,0
ISKARS,D,19961028,000000,0.014305,0.014305,0.014305,0.014305,0,0
ISKARS,D,19961029,000000,0.014334,0.014334,0.014334,0.014334,0,0
ISKARS,D,19961030,000000,0.014347,0.014347,0.014347,0.014347,0,0
ISKARS,D,19961031,000000,0.014357,0.014357,0.014357,0.014357,0,0
ISKARS,D,19961104,000000,0.0144,0.0144,0.0144,0.0144,0,0
ISKARS,D,19961105,000000,0.014355,0.014355,0.014355,0.014355,0,0
