<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKBGN,D,19951023,000000,0.0010692,0.0010692,0.0010692,0.0010692,0,0
ISKBGN,D,19951024,000000,0.0010707,0.0010707,0.0010707,0.0010707,0,0
ISKBGN,D,19951025,000000,0.001069,0.001069,0.001069,0.001069,0,0
ISKBGN,D,19951026,000000,0.0010696,0.0010696,0.0010696,0.0010696,0,0
ISKBGN,D,19951027,000000,0.001071,0.001071,0.001071,0.001071,0,0
ISKBGN,D,19951030,000000,0.0010634,0.0010634,0.0010634,0.0010634,0,0
ISKBGN,D,19951031,000000,0.0010645,0.0010645,0.0010645,0.0010645,0,0
ISKBGN,D,19951102,000000,0.0010621,0.0010621,0.0010621,0.0010621,0,0
ISKBGN,D,19951103,000000,0.0010608,0.0010608,0.0010608,0.0010608,0,0
ISKBGN,D,19951106,000000,0.0010661,0.0010661,0.0010661,0.0010661,0,0
ISKBGN,D,19951107,000000,0.0010651,0.0010651,0.0010651,0.0010651,0,0
ISKBGN,D,19951108,000000,0.0010653,0.0010653,0.0010653,0.0010653,0,0
ISKBGN,D,19951109,000000,0.0010642,0.0010642,0.0010642,0.0010642,0,0
ISKBGN,D,19951110,000000,0.0010704,0.0010704,0.0010704,0.0010704,0,0
ISKBGN,D,19951113,000000,0.0010722,0.0010722,0.0010722,0.0010722,0,0
ISKBGN,D,19951114,000000,0.0010669,0.0010669,0.0010669,0.0010669,0,0
ISKBGN,D,19951115,000000,0.0010737,0.0010737,0.0010737,0.0010737,0,0
ISKBGN,D,19951116,000000,0.0010719,0.0010719,0.0010719,0.0010719,0,0
ISKBGN,D,19951117,000000,0.0010743,0.0010743,0.0010743,0.0010743,0,0
ISKBGN,D,19951120,000000,0.0010702,0.0010702,0.0010702,0.0010702,0,0
ISKBGN,D,19951121,000000,0.0010755,0.0010755,0.0010755,0.0010755,0,0
ISKBGN,D,19951122,000000,0.0010765,0.0010765,0.0010765,0.0010765,0,0
ISKBGN,D,19951123,000000,0.0010784,0.0010784,0.0010784,0.0010784,0,0
ISKBGN,D,19951124,000000,0.0010791,0.0010791,0.0010791,0.0010791,0,0
ISKBGN,D,19951127,000000,0.0010772,0.0010772,0.0010772,0.0010772,0,0
ISKBGN,D,19951128,000000,0.0010716,0.0010716,0.0010716,0.0010716,0,0
ISKBGN,D,19951129,000000,0.0010709,0.0010709,0.0010709,0.0010709,0,0
ISKBGN,D,19951130,000000,0.0010719,0.0010719,0.0010719,0.0010719,0,0
ISKBGN,D,19951201,000000,0.0010668,0.0010668,0.0010668,0.0010668,0,0
ISKBGN,D,19951204,000000,0.0010675,0.0010675,0.0010675,0.0010675,0,0
ISKBGN,D,19951205,000000,0.0010735,0.0010735,0.0010735,0.0010735,0,0
ISKBGN,D,19951206,000000,0.0010742,0.0010742,0.0010742,0.0010742,0,0
ISKBGN,D,19951207,000000,0.0010729,0.0010729,0.0010729,0.0010729,0,0
ISKBGN,D,19951208,000000,0.0010746,0.0010746,0.0010746,0.0010746,0,0
ISKBGN,D,19951211,000000,0.0010713,0.0010713,0.0010713,0.0010713,0,0
ISKBGN,D,19951212,000000,0.0010695,0.0010695,0.0010695,0.0010695,0,0
ISKBGN,D,19951213,000000,0.0010678,0.0010678,0.0010678,0.0010678,0,0
ISKBGN,D,19951214,000000,0.0010705,0.0010705,0.0010705,0.0010705,0,0
ISKBGN,D,19951215,000000,0.0010745,0.0010745,0.0010745,0.0010745,0,0
ISKBGN,D,19951218,000000,0.0010754,0.0010754,0.0010754,0.0010754,0,0
ISKBGN,D,19951219,000000,0.0010759,0.0010759,0.0010759,0.0010759,0,0
ISKBGN,D,19951220,000000,0.0010768,0.0010768,0.0010768,0.0010768,0,0
ISKBGN,D,19951221,000000,0.0010801,0.0010801,0.0010801,0.0010801,0,0
ISKBGN,D,19951222,000000,0.0010813,0.0010813,0.0010813,0.0010813,0,0
ISKBGN,D,19951227,000000,0.0010836,0.0010836,0.0010836,0.0010836,0,0
ISKBGN,D,19951228,000000,0.0010871,0.0010871,0.0010871,0.0010871,0,0
ISKBGN,D,19951229,000000,0.0010859,0.0010859,0.0010859,0.0010859,0,0
ISKBGN,D,19960102,000000,0.0010862,0.0010862,0.0010862,0.0010862,0,0
ISKBGN,D,19960103,000000,0.0010908,0.0010908,0.0010908,0.0010908,0,0
ISKBGN,D,19960104,000000,0.0010966,0.0010966,0.0010966,0.0010966,0,0
ISKBGN,D,19960105,000000,0.0010958,0.0010958,0.0010958,0.0010958,0,0
ISKBGN,D,19960108,000000,0.0011042,0.0011042,0.0011042,0.0011042,0,0
ISKBGN,D,19960109,000000,0.0011065,0.0011065,0.0011065,0.0011065,0,0
ISKBGN,D,19960110,000000,0.0011031,0.0011031,0.0011031,0.0011031,0,0
ISKBGN,D,19960111,000000,0.0011054,0.0011054,0.0011054,0.0011054,0,0
ISKBGN,D,19960112,000000,0.0011051,0.0011051,0.0011051,0.0011051,0,0
ISKBGN,D,19960115,000000,0.0011078,0.0011078,0.0011078,0.0011078,0,0
ISKBGN,D,19960116,000000,0.0011049,0.0011049,0.0011049,0.0011049,0,0
ISKBGN,D,19960117,000000,0.0011041,0.0011041,0.0011041,0.0011041,0,0
ISKBGN,D,19960118,000000,0.0011001,0.0011001,0.0011001,0.0011001,0,0
ISKBGN,D,19960119,000000,0.0010968,0.0010968,0.0010968,0.0010968,0,0
ISKBGN,D,19960122,000000,0.0010971,0.0010971,0.0010971,0.0010971,0,0
ISKBGN,D,19960123,000000,0.0010966,0.0010966,0.0010966,0.0010966,0,0
ISKBGN,D,19960124,000000,0.0010959,0.0010959,0.0010959,0.0010959,0,0
ISKBGN,D,19960125,000000,0.0011023,0.0011023,0.0011023,0.0011023,0,0
ISKBGN,D,19960126,000000,0.0011001,0.0011001,0.0011001,0.0011001,0,0
ISKBGN,D,19960129,000000,0.0010998,0.0010998,0.0010998,0.0010998,0,0
ISKBGN,D,19960130,000000,0.0011051,0.0011051,0.0011051,0.0011051,0,0
ISKBGN,D,19960131,000000,0.0011027,0.0011027,0.0011027,0.0011027,0,0
ISKBGN,D,19960201,000000,0.0011061,0.0011061,0.0011061,0.0011061,0,0
ISKBGN,D,19960202,000000,0.0011019,0.0011019,0.0011019,0.0011019,0,0
ISKBGN,D,19960205,000000,0.00111,0.00111,0.00111,0.00111,0,0
ISKBGN,D,19960206,000000,0.0011125,0.0011125,0.0011125,0.0011125,0,0
ISKBGN,D,19960207,000000,0.0011101,0.0011101,0.0011101,0.0011101,0,0
ISKBGN,D,19960208,000000,0.0011092,0.0011092,0.0011092,0.0011092,0,0
ISKBGN,D,19960209,000000,0.0011129,0.0011129,0.0011129,0.0011129,0,0
ISKBGN,D,19960212,000000,0.0011165,0.0011165,0.0011165,0.0011165,0,0
ISKBGN,D,19960213,000000,0.0011166,0.0011166,0.0011166,0.0011166,0,0
ISKBGN,D,19960214,000000,0.0011191,0.0011191,0.0011191,0.0011191,0,0
ISKBGN,D,19960215,000000,0.0011243,0.0011243,0.0011243,0.0011243,0,0
ISKBGN,D,19960216,000000,0.0011268,0.0011268,0.0011268,0.0011268,0,0
ISKBGN,D,19960219,000000,0.0011346,0.0011346,0.0011346,0.0011346,0,0
ISKBGN,D,19960220,000000,0.0011426,0.0011426,0.0011426,0.0011426,0,0
ISKBGN,D,19960221,000000,0.0011388,0.0011388,0.0011388,0.0011388,0,0
ISKBGN,D,19960222,000000,0.0011433,0.0011433,0.0011433,0.0011433,0,0
ISKBGN,D,19960223,000000,0.001143,0.001143,0.001143,0.001143,0,0
ISKBGN,D,19960226,000000,0.0011524,0.0011524,0.0011524,0.0011524,0,0
ISKBGN,D,19960227,000000,0.0011546,0.0011546,0.0011546,0.0011546,0,0
ISKBGN,D,19960228,000000,0.0011556,0.0011556,0.0011556,0.0011556,0,0
ISKBGN,D,19960229,000000,0.0011619,0.0011619,0.0011619,0.0011619,0,0
ISKBGN,D,19960301,000000,0.0011579,0.0011579,0.0011579,0.0011579,0,0
ISKBGN,D,19960304,000000,0.0011653,0.0011653,0.0011653,0.0011653,0,0
ISKBGN,D,19960305,000000,0.0011656,0.0011656,0.0011656,0.0011656,0,0
ISKBGN,D,19960306,000000,0.0011769,0.0011769,0.0011769,0.0011769,0,0
